dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992353,3.037014,0.000198,0.019835,0.991756,49.587796,6.283132
0.020000,0.992353,3.037014,0.000793,0.039670,0.991756,0.000000,6.283166
0.020000,0.992992,3.037014,0.001785,0.059505,0.991756,0.000000,0.000036
0.020000,0.994381,3.037014,0.003174,0.079340,0.991756,-0.000000,0.000113
0.020000,0.996166,3.037014,0.004959,0.099176,0.991756,0.000000,0.000212
0.020000,0.998348,3.037015,0.007141,0.119011,0.991756,0.000000,0.000332
0.020000,1.000926,3.037016,0.009719,0.138846,0.991756,-0.000000,0.000474
0.020000,1.003902,3.037018,0.012694,0.158681,0.991756,0.000000,0.000636
0.020000,1.007274,3.037020,0.016066,0.178516,0.991756,0.000000,0.000817
0.020000,1.011042,3.037024,0.019835,0.198351,0.991756,0.000000,0.001018
0.020000,1.015208,3.037028,0.024000,0.218186,0.991756,0.000000,0.001238
0.020000,1.019770,3.037034,0.028563,0.238021,0.991756,0.000000,0.001475
0.020000,1.024728,3.037042,0.033521,0.257857,0.991756,0.000000,0.001730
0.020000,1.030084,3.037052,0.038877,0.277692,0.991756,-0.000000,0.002000
0.020000,1.035836,3.037065,0.044629,0.297527,0.991756,0.000000,0.002286
0.020000,1.041985,3.037080,0.050778,0.317362,0.991756,-0.000000,0.002585
0.020000,1.048531,3.037098,0.057323,0.337197,0.991756,0.000000,0.002898
0.020000,1.055473,3.037119,0.064266,0.357032,0.991756,-0.000000,0.003222
0.020000,1.062812,3.037144,0.071605,0.376867,0.991756,0.000000,0.003557
0.020000,1.070547,3.037173,0.079340,0.396702,0.991756,-0.000000,0.003901
0.020000,1.078680,3.037206,0.087473,0.416537,0.991756,0.000000,0.004252
0.020000,1.087209,3.037244,0.096002,0.436373,0.991756,-0.000000,0.004610
0.020000,1.096134,3.037286,0.104928,0.456208,0.991756,0.000000,0.004972
0.020000,1.105457,3.037334,0.114250,0.476043,0.991756,0.000000,0.005337
0.020000,1.115176,3.037388,0.123969,0.495878,0.991756,-0.000000,0.005703
0.020000,1.125292,3.037448,0.134085,0.515713,0.991756,0.000000,0.006069
0.020000,1.135804,3.037513,0.144598,0.535548,0.991756,0.000000,0.006432
0.020000,1.146713,3.037585,0.155507,0.555383,0.991756,-0.000000,0.006792
0.020000,1.158019,3.037664,0.166813,0.575218,0.991756,0.000000,0.007144
0.020000,1.169721,3.037750,0.178516,0.595054,0.991756,-0.000000,0.007489
