dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992334,2.681414,0.000198,0.019835,0.991756,49.587796,6.283132
0.020000,0.992346,2.681414,0.000210,0.000593,-0.962119,-97.693761,6.283166
0.020000,0.993005,2.681414,0.000870,0.032967,1.618737,129.042824,0.000036
0.020000,0.994421,2.681414,0.002286,0.070798,1.891546,13.640430,0.000113
0.020000,0.996241,2.681414,0.004106,0.091019,1.011016,-44.026466,0.000212
0.020000,0.998466,2.681415,0.006331,0.111233,1.010725,-0.014590,0.000332
0.020000,1.001095,2.681416,0.008959,0.131441,1.010368,-0.017836,0.000474
0.020000,1.004128,2.681418,0.011992,0.151640,1.009946,-0.021073,0.000636
0.020000,1.007564,2.681420,0.015429,0.171829,1.009460,-0.024324,0.000817
0.020000,1.011404,2.681424,0.019269,0.192007,1.008909,-0.027564,0.001018
0.020000,1.015648,2.681428,0.023512,0.212173,1.008293,-0.030798,0.001238
0.020000,1.020294,2.681435,0.028159,0.232325,1.007612,-0.034055,0.001475
0.020000,1.025343,2.681443,0.033208,0.252462,1.006866,-0.037291,0.001730
0.020000,1.030795,2.681453,0.038660,0.272583,1.006055,-0.040529,0.002000
0.020000,1.036649,2.681466,0.044513,0.292687,1.005180,-0.043783,0.002286
0.020000,1.042904,2.681481,0.050769,0.312772,1.004239,-0.047022,0.002585
0.020000,1.049561,2.681499,0.057426,0.332836,1.003234,-0.050253,0.002898
0.020000,1.056619,2.681521,0.064483,0.352880,1.002164,-0.053515,0.003222
0.020000,1.064077,2.681546,0.071941,0.372900,1.001029,-0.056745,0.003557
0.020000,1.071934,2.681575,0.079799,0.392897,0.999829,-0.059982,0.003901
0.020000,1.080192,2.681609,0.088057,0.412868,0.998565,-0.063236,0.004252
0.020000,1.088848,2.681647,0.096713,0.432813,0.997235,-0.066467,0.004610
0.020000,1.097902,2.681691,0.105767,0.452730,0.995841,-0.069718,0.004972
0.020000,1.107355,2.681739,0.115220,0.472617,0.994382,-0.072945,0.005337
0.020000,1.117204,2.681794,0.125069,0.492475,0.992858,-0.076195,0.005703
0.020000,1.127450,2.681854,0.135315,0.512300,0.991270,-0.079428,0.006069
0.020000,1.138091,2.681921,0.145957,0.532092,0.989616,-0.082677,0.006432
0.020000,1.149128,2.681994,0.156994,0.551850,0.987898,-0.085899,0.006792
0.020000,1.160559,2.682073,0.168426,0.571572,0.986115,-0.089149,0.007144
0.020000,1.172384,2.682160,0.180251,0.591258,0.984267,-0.092379,0.007489
0.020000,1.184602,2.682253,0.192469,0.610905,0.982355,-0.095627,0.007822
0.020000,1.197212,2.682354,0.205079,0.630512,0.980378,-0.098850,0.008143
0.020000,1.210213,2.682462,0.218081,0.650079,0.978336,-0.102098,0.008449
0.020000,1.223604,2.682577,0.231473,0.669604,0.976229,-0.105326,0.008737
0.020000,1.237386,2.682699,0.245254,0.689085,0.974058,-0.108572,0.009006
0.020000,1.251555,2.682829,0.259425,0.708521,0.971822,-0.111807,0.009252
0.020000,1.266113,2.682965,0.273983,0.727912,0.969521,-0.115036,0.009473
0.020000,1.281057,2.683108,0.288928,0.747255,0.967155,-0.118291,0.009666
0.020000,1.296388,2.683258,0.304259,0.766549,0.964725,-0.121523,0.009829
0.020000,1.312103,2.683413,0.319975,0.785794,0.962230,-0.124760,0.009959
0.020000,1.328202,2.683574,0.336075,0.804987,0.959669,-0.128015,0.010053
0.020000,1.344683,2.683741,0.352557,0.824128,0.957044,-0.131253,0.010107
0.020000,1.361547,2.683911,0.369422,0.843215,0.954354,-0.134501,0.010120
0.020000,1.378791,2.684085,0.386667,0.862247,0.951599,-0.137753,0.010087
0.020000,1.396415,2.684263,0.404291,0.881223,0.948779,-0.141004,0.010006
0.020000,1.414416,2.684442,0.422294,0.900141,0.945894,-0.144260,0.009874
0.020000,1.432796,2.684621,0.440674,0.919000,0.942944,-0.147517,0.009686
0.020000,1.451551,2.684801,0.459430,0.937798,0.939928,-0.150779,0.009440
0.020000,1.470681,2.684979,0.478561,0.956535,0.936847,-0.154031,0.009133
0.020000,1.490184,2.685153,0.498065,0.975209,0.933701,-0.157308,0.008760
0.020000,1.510060,2.685323,0.517941,0.993819,0.930490,-0.160558,0.008318
0.020000,1.530306,2.685486,0.538188,1.012363,0.927213,-0.163835,0.007804
0.020000,1.550922,2.685641,0.558805,1.030841,0.923872,-0.167083,0.007213
0.020000,1.571907,2.685786,0.579790,1.049250,0.920465,-0.170356,0.006542
0.020000,1.593258,2.685918,0.601142,1.067590,0.916993,-0.173592,0.005787
0.020000,1.614975,2.686034,0.622859,1.085859,0.913456,-0.176858,0.004944
0.020000,1.637056,2.686133,0.644940,1.104056,0.909854,-0.180068,0.004009
0.020000,1.659500,2.686212,0.667384,1.122180,0.906188,-0.183316,0.002977
0.020000,1.682304,2.686267,0.690188,1.140229,0.902458,-0.186500,0.001846
0.020000,1.705468,2.686296,0.713352,1.158202,0.898664,-0.189680,0.000609
0.020000,1.728990,2.686294,0.736874,1.176098,0.894808,-0.192830,6.282449
0.020000,1.752868,2.686259,0.760753,1.193916,0.890889,-0.195938,6.280989
0.020000,1.777101,2.686187,0.784986,1.211654,0.886909,-0.199003,6.279412
0.020000,1.801687,2.686074,0.809572,1.229312,0.882869,-0.202013,6.277713
0.020000,1.826625,2.685915,0.834510,1.246887,0.878769,-0.204960,6.275886
0.020000,1.851911,2.685706,0.859797,1.264379,0.874613,-0.207816,6.273928
0.020000,1.877546,2.685442,0.885433,1.281787,0.870401,-0.210606,6.271833
0.020000,1.903526,2.685118,0.911415,1.299110,0.866136,-0.213265,6.269597
0.020000,1.929850,2.684729,0.937742,1.316347,0.861820,-0.215802,6.267214
0.020000,1.956516,2.684270,0.964412,1.333496,0.857455,-0.218209,6.264681
0.020000,1.983522,2.683734,0.991423,1.350557,0.853047,-0.220415,6.261991
0.020000,2.010865,2.683116,1.018774,1.367529,0.848597,-0.222520,6.259141
0.020000,2.038544,2.682408,1.046462,1.384411,0.844112,-0.224240,6.256124
