dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.659884,3.390600,0.000129,0.012924,0.646208,32.310397,0.000800
0.020000,1.659939,3.390600,0.000184,0.002762,-0.508089,-57.714851,0.000644
0.020000,1.660050,3.390600,0.000295,0.005523,0.138013,32.305122,0.000334
0.020000,1.660655,3.390600,0.000900,0.030237,1.235718,54.885214,6.283053
0.020000,1.662943,3.390599,0.003188,0.114422,4.209253,148.676776,6.282433
0.020000,1.665803,3.390596,0.006048,0.143015,1.429635,-138.980902,6.281659
0.020000,1.669235,3.390589,0.009480,0.171595,1.429022,-0.030657,6.280730
0.020000,1.673238,3.390577,0.013484,0.200168,1.428656,-0.018306,6.279649
0.020000,1.677813,3.390558,0.018058,0.228724,1.427809,-0.042353,6.278415
0.020000,1.682958,3.390530,0.023204,0.257266,1.427095,-0.035680,6.277030
0.020000,1.688674,3.390490,0.028919,0.285790,1.426164,-0.046547,6.275494
0.020000,1.694960,3.390437,0.035205,0.314295,1.425275,-0.044450,6.273808
0.020000,1.701815,3.390366,0.042061,0.342778,1.424155,-0.055998,6.271975
0.020000,1.709239,3.390275,0.049485,0.371234,1.422809,-0.067329,6.269995
0.020000,1.717231,3.390161,0.057479,0.399670,1.421801,-0.050401,6.267869
0.020000,1.725792,3.390021,0.066040,0.428072,1.420052,-0.087447,6.265600
0.020000,1.734919,3.389849,0.075169,0.456444,1.418618,-0.071672,6.263189
0.020000,1.744612,3.389643,0.084865,0.484783,1.416941,-0.083883,6.260638
0.020000,1.754871,3.389398,0.095126,0.513083,1.415025,-0.095761,6.257948
0.020000,1.765694,3.389109,0.105953,0.541347,1.413187,-0.091915,6.255123
0.020000,1.777081,3.388773,0.117345,0.569565,1.410923,-0.113204,6.252165
0.020000,1.789029,3.388383,0.129300,0.597743,1.408884,-0.101963,6.249076
0.020000,1.801539,3.387936,0.141817,0.625871,1.406391,-0.124631,6.245858
0.020000,1.814608,3.387426,0.154896,0.653950,1.403942,-0.122482,6.242515
0.020000,1.828235,3.386848,0.168535,0.681971,1.401058,-0.144201,6.239050
0.020000,1.842419,3.386196,0.182734,0.709938,1.398378,-0.133963,6.235465
0.020000,1.857157,3.385465,0.197491,0.737843,1.395242,-0.156816,6.231765
0.020000,1.872449,3.384649,0.212805,0.765686,1.392126,-0.155812,6.227953
0.020000,1.888293,3.383742,0.228674,0.793461,1.388752,-0.168699,6.224032
0.020000,1.904685,3.382738,0.245097,0.821164,1.385148,-0.180176,6.220007
0.020000,1.921625,3.381631,0.262073,0.848797,1.381671,-0.173846,6.215882
0.020000,1.939110,3.380415,0.279600,0.876349,1.377572,-0.204966,6.211661
0.020000,1.957137,3.379085,0.297677,0.903820,1.373573,-0.199965,6.207349
0.020000,1.975704,3.377633,0.316301,0.931207,1.369331,-0.212103,6.202950
0.020000,1.994809,3.376053,0.335471,0.958504,1.364846,-0.224252,6.198469
0.020000,2.014449,3.374340,0.355185,0.985712,1.360409,-0.221835,6.193912
0.020000,2.034621,3.372488,0.375441,1.012820,1.355418,-0.249555,6.189285
0.020000,2.055321,3.370489,0.396238,1.039830,1.350508,-0.245485,6.184592
0.020000,2.076547,3.368338,0.417573,1.066737,1.345351,-0.257866,6.179839
0.020000,2.098296,3.366030,0.439444,1.093537,1.339964,-0.269337,6.175033
0.020000,2.120563,3.363557,0.461848,1.120225,1.334441,-0.276139,6.170179
