dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660168,3.035000,0.000129,0.012924,0.646208,32.310397,0.000800
0.020000,1.660168,3.035000,0.000646,0.038772,1.292416,32.310397,0.000644
0.020000,1.660168,3.035000,0.001680,0.064621,1.292416,0.000000,0.000334
0.020000,1.660608,3.035000,0.003231,0.090469,1.292416,0.000000,6.283053
0.020000,1.662676,3.034999,0.005299,0.116317,1.292416,-0.000000,6.282433
0.020000,1.665260,3.034996,0.007884,0.142166,1.292416,0.000000,6.281659
0.020000,1.668362,3.034990,0.010986,0.168014,1.292416,-0.000000,6.280730
0.020000,1.671981,3.034979,0.014604,0.193862,1.292416,0.000000,6.279649
0.020000,1.676117,3.034962,0.018740,0.219711,1.292416,0.000000,6.278415
0.020000,1.680769,3.034936,0.023393,0.245559,1.292416,0.000000,6.277030
0.020000,1.685939,3.034901,0.028562,0.271407,1.292416,0.000000,6.275494
0.020000,1.691625,3.034852,0.034249,0.297256,1.292416,-0.000000,6.273808
0.020000,1.697828,3.034788,0.040453,0.323104,1.292416,0.000000,6.271975
0.020000,1.704548,3.034706,0.047173,0.348952,1.292416,-0.000000,6.269995
0.020000,1.711785,3.034603,0.054411,0.374801,1.292416,0.000000,6.267869
0.020000,1.719539,3.034476,0.062165,0.400649,1.292416,0.000000,6.265600
0.020000,1.727809,3.034320,0.070437,0.426497,1.292416,0.000000,6.263189
0.020000,1.736595,3.034133,0.079225,0.452346,1.292416,-0.000000,6.260638
0.020000,1.745898,3.033911,0.088530,0.478194,1.292416,0.000000,6.257948
0.020000,1.755717,3.033649,0.098353,0.504042,1.292416,-0.000000,6.255123
0.020000,1.766052,3.033344,0.108692,0.529891,1.292416,0.000000,6.252165
0.020000,1.776902,3.032990,0.119548,0.555739,1.292416,-0.000000,6.249076
0.020000,1.788268,3.032584,0.130922,0.581587,1.292416,0.000000,6.245858
0.020000,1.800149,3.032120,0.142812,0.607435,1.292416,0.000000,6.242515
0.020000,1.812545,3.031595,0.155219,0.633284,1.292416,0.000000,6.239050
0.020000,1.825456,3.031001,0.168143,0.659132,1.292416,-0.000000,6.235465
0.020000,1.838880,3.030335,0.181584,0.684980,1.292416,0.000000,6.231765
0.020000,1.852819,3.029591,0.195543,0.710829,1.292416,-0.000000,6.227953
0.020000,1.867270,3.028764,0.210018,0.736677,1.292416,0.000000,6.224032
0.020000,1.882234,3.027847,0.225010,0.762525,1.292416,-0.000000,6.220007
0.020000,1.897710,3.026836,0.240519,0.788374,1.292416,-0.000000,6.215882
0.020000,1.913697,3.025724,0.256545,0.814222,1.292416,0.000000,6.211661
0.020000,1.930195,3.024507,0.273087,0.840070,1.292416,-0.000000,6.207349
0.020000,1.947203,3.023177,0.290147,0.865919,1.292416,0.000000,6.202950
0.020000,1.964720,3.021728,0.307724,0.891767,1.292416,0.000000,6.198469
0.020000,1.982746,3.020156,0.325818,0.917615,1.292416,-0.000000,6.193912
0.020000,2.001279,3.018454,0.344429,0.943464,1.292416,0.000000,6.189285
0.020000,2.020318,3.016616,0.363557,0.969312,1.292416,-0.000000,6.184592
