dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660131,2.679400,0.000129,0.012903,0.645160,32.258008,6.283079
0.020000,1.660155,2.679400,0.000153,0.001193,-0.585530,-61.534488,6.283146
0.020000,1.660932,2.679400,0.000930,0.038871,1.883944,123.473670,0.000095
0.020000,1.662551,2.679400,0.002550,0.080974,2.105111,11.058364,0.000294
0.020000,1.664710,2.679401,0.004709,0.107938,1.348200,-37.845553,0.000560
0.020000,1.667408,2.679403,0.007406,0.134878,1.347033,-0.058366,0.000888
0.020000,1.670644,2.679407,0.010642,0.161790,1.345573,-0.072962,0.001279
0.020000,1.674417,2.679412,0.014415,0.188666,1.343822,-0.087558,0.001730
0.020000,1.678727,2.679421,0.018725,0.215502,1.341779,-0.102158,0.002239
0.020000,1.683573,2.679433,0.023571,0.242291,1.339444,-0.116762,0.002804
0.020000,1.688953,2.679450,0.028952,0.269027,1.336817,-0.131358,0.003420
0.020000,1.694867,2.679472,0.034866,0.295705,1.333897,-0.145973,0.004086
0.020000,1.701314,2.679501,0.041312,0.322319,1.330686,-0.160573,0.004797
0.020000,1.708291,2.679537,0.048289,0.348862,1.327183,-0.175164,0.005549
0.020000,1.715797,2.679582,0.055796,0.375330,1.323387,-0.189781,0.006339
0.020000,1.723831,2.679636,0.063830,0.401716,1.319299,-0.204372,0.007161
0.020000,1.732391,2.679701,0.072391,0.428015,1.314920,-0.218959,0.008011
0.020000,1.741475,2.679777,0.081475,0.454220,1.310249,-0.233564,0.008884
0.020000,1.751082,2.679867,0.091081,0.480325,1.305287,-0.248116,0.009773
0.020000,1.761208,2.679971,0.101208,0.506326,1.300033,-0.262711,0.010673
0.020000,1.771851,2.680089,0.111852,0.532216,1.294487,-0.277255,0.011578
0.020000,1.783010,2.680223,0.123012,0.557989,1.288651,-0.291799,0.012481
0.020000,1.794682,2.680374,0.134685,0.583639,1.282524,-0.306378,0.013375
0.020000,1.806864,2.680543,0.146868,0.609161,1.276106,-0.320880,0.014253
0.020000,1.819554,2.680729,0.159559,0.634549,1.269399,-0.335382,0.015108
0.020000,1.832748,2.680934,0.172755,0.659797,1.262400,-0.349923,0.015931
0.020000,1.846444,2.681158,0.186453,0.684899,1.255111,-0.364446,0.016715
0.020000,1.860639,2.681400,0.200650,0.709850,1.247533,-0.378909,0.017450
0.020000,1.875330,2.681662,0.215343,0.734643,1.239664,-0.393479,0.018129
0.020000,1.890513,2.681942,0.230528,0.759274,1.231505,-0.407927,0.018741
0.020000,1.906184,2.682240,0.246203,0.783735,1.223055,-0.422516,0.019278
0.020000,1.922342,2.682555,0.262363,0.808021,1.214314,-0.437012,0.019729
0.020000,1.938981,2.682887,0.279006,0.832127,1.205282,-0.451612,0.020084
0.020000,1.956098,2.683233,0.296127,0.856046,1.195958,-0.466198,0.020334
0.020000,1.973690,2.683592,0.313722,0.879773,1.186342,-0.480833,0.020466
0.020000,1.991752,2.683962,0.331788,0.903301,1.176431,-0.495509,0.020471
0.020000,2.010281,2.684340,0.350321,0.926626,1.166227,-0.510225,0.020335
0.020000,2.029272,2.684724,0.369316,0.949740,1.155727,-0.524992,0.020049
0.020000,2.048721,2.685110,0.388768,0.972639,1.144931,-0.539790,0.019598
0.020000,2.068624,2.685494,0.408675,0.995316,1.133838,-0.554670,0.018972
0.020000,2.088975,2.685872,0.429030,1.017765,1.122448,-0.569516,0.018157
0.020000,2.109772,2.686239,0.449830,1.039980,1.110758,-0.584461,0.017140
0.020000,2.131008,2.686591,0.471069,1.061955,1.098772,-0.599311,0.015908
