dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660091,3.480569,0.000075,0.007458,0.372895,18.644741,0.000219
0.020000,1.660097,3.480569,0.000081,0.000308,-0.357474,-36.518423,0.000201
0.020000,1.660109,3.480569,0.000093,0.000617,0.015423,18.644814,0.000167
0.020000,1.660128,3.480569,0.000112,0.000925,0.015426,0.000145,0.000115
0.020000,1.660152,3.480569,0.000136,0.001234,0.015430,0.000217,0.000045
0.020000,1.660895,3.480569,0.000879,0.037145,1.795533,89.005139,6.283144
0.020000,1.662722,3.480569,0.002706,0.091347,2.710095,45.728133,6.283040
0.020000,1.664854,3.480568,0.004838,0.106571,0.761223,-97.443620,6.282918
0.020000,1.667290,3.480567,0.007273,0.121796,0.761262,0.001962,6.282779
0.020000,1.670030,3.480566,0.010014,0.137022,0.761281,0.000959,6.282623
0.020000,1.673075,3.480564,0.013059,0.152247,0.761261,-0.001040,6.282449
0.020000,1.676424,3.480561,0.016408,0.167473,0.761290,0.001492,6.282258
0.020000,1.680078,3.480558,0.020062,0.182699,0.761317,0.001317,6.282049
0.020000,1.684037,3.480553,0.024021,0.197926,0.761340,0.001143,6.281823
0.020000,1.688300,3.480546,0.028284,0.213153,0.761359,0.000971,6.281580
0.020000,1.692868,3.480538,0.032851,0.228381,0.761375,0.000800,6.281318
0.020000,1.697740,3.480529,0.037724,0.243608,0.761388,0.000631,6.281040
0.020000,1.702916,3.480517,0.042900,0.258836,0.761397,0.000465,6.280743
0.020000,1.708398,3.480503,0.048382,0.274066,0.761489,0.004584,6.280429
0.020000,1.714184,3.480486,0.054168,0.289295,0.761449,-0.001958,6.280098
0.020000,1.720274,3.480466,0.060258,0.304526,0.761520,0.003537,6.279749
0.020000,1.726669,3.480443,0.066653,0.319756,0.761499,-0.001063,6.279382
0.020000,1.733369,3.480416,0.073353,0.334988,0.761623,0.006183,6.278997
0.020000,1.740373,3.480385,0.080357,0.350220,0.761581,-0.002091,6.278595
0.020000,1.747682,3.480350,0.087666,0.365452,0.761630,0.002445,6.278174
0.020000,1.755296,3.480310,0.095280,0.380686,0.761675,0.002272,6.277736
0.020000,1.763214,3.480265,0.103199,0.395920,0.761717,0.002101,6.277280
0.020000,1.771437,3.480215,0.111422,0.411155,0.761756,0.001934,6.276806
0.020000,1.779965,3.480158,0.119949,0.426391,0.761791,0.001771,6.276314
0.020000,1.788797,3.480095,0.128782,0.441627,0.761823,0.001611,6.275804
0.020000,1.797934,3.480025,0.137919,0.456865,0.761901,0.003900,6.275276
0.020000,1.807376,3.479948,0.147361,0.472104,0.761937,0.001799,6.274729
0.020000,1.817122,3.479863,0.157108,0.487343,0.761945,0.000356,6.274165
0.020000,1.827173,3.479769,0.167160,0.502584,0.762066,0.006054,6.273582
0.020000,1.837529,3.479667,0.177516,0.517826,0.762056,-0.000463,6.272981
0.020000,1.848190,3.479555,0.188178,0.533068,0.762107,0.002546,6.272361
0.020000,1.859156,3.479432,0.199144,0.548312,0.762221,0.005694,6.271723
0.020000,1.870426,3.479300,0.210415,0.563557,0.762232,0.000536,6.271067
0.020000,1.882001,3.479155,0.221991,0.578803,0.762289,0.002838,6.270392
0.020000,1.893881,3.478999,0.233872,0.594050,0.762349,0.003039,6.269698
0.020000,1.906066,3.478831,0.246058,0.609298,0.762407,0.002881,6.268985
0.020000,1.918556,3.478649,0.258549,0.624547,0.762465,0.002907,6.268254
0.020000,1.931350,3.478453,0.271345,0.639799,0.762577,0.005589,6.267504
0.020000,1.944449,3.478242,0.284446,0.655050,0.762581,0.000187,6.266735
0.020000,1.957854,3.478017,0.297852,0.670303,0.762642,0.003053,6.265948
0.020000,1.971563,3.477775,0.311563,0.685559,0.762778,0.006805,6.265141
0.020000,1.985577,3.477516,0.325580,0.700814,0.762765,-0.000642,6.264315
0.020000,1.999895,3.477240,0.339901,0.716072,0.762889,0.006206,6.263469
0.020000,2.014519,3.476945,0.354528,0.731331,0.762952,0.003147,6.262605
0.020000,2.029447,3.476631,0.369459,0.746591,0.763003,0.002560,6.261721
0.020000,2.044681,3.476297,0.384696,0.761852,0.763088,0.004228,6.260817
0.020000,2.060219,3.475942,0.400239,0.777116,0.763169,0.004069,6.259894
0.020000,2.076062,3.475566,0.416086,0.792381,0.763248,0.003918,6.258952
0.020000,2.092210,3.475167,0.432239,0.807647,0.763323,0.003774,6.257989
0.020000,2.108663,3.474744,0.448698,0.822915,0.763396,0.003637,6.257007
0.020000,2.125421,3.474297,0.465461,0.838184,0.763466,0.003509,6.256005
0.020000,2.142483,3.473824,0.482530,0.853457,0.763600,0.006710,6.254983
0.020000,2.159851,3.473325,0.499905,0.868729,0.763631,0.001563,6.253941
0.020000,2.177523,3.472799,0.517585,0.884004,0.763737,0.005275,6.252879
0.020000,2.195500,3.472244,0.535571,0.899280,0.763812,0.003761,6.251796
0.020000,2.213782,3.471660,0.553862,0.914559,0.763932,0.006014,6.250693
0.020000,2.232369,3.471045,0.572459,0.929838,0.763980,0.002394,6.249570
0.020000,2.251260,3.470399,0.591361,0.945120,0.764083,0.005153,6.248426
0.020000,2.270456,3.469721,0.610569,0.960404,0.764183,0.004998,6.247261
0.020000,2.289957,3.469008,0.630083,0.975689,0.764280,0.004852,6.246075
0.020000,2.309762,3.468261,0.649902,0.990977,0.764375,0.004715,6.244869
0.020000,2.329872,3.467478,0.670028,1.006266,0.764466,0.004589,6.243641
0.020000,2.350287,3.466657,0.690459,1.021557,0.764556,0.004474,6.242393
0.020000,2.371006,3.465798,0.711196,1.036850,0.764643,0.004369,6.241123
0.020000,2.392030,3.464900,0.732239,1.052146,0.764770,0.006336,6.239832
0.020000,2.413358,3.463961,0.753588,1.067443,0.764860,0.004507,6.238520
0.020000,2.434991,3.462979,0.775243,1.082742,0.764950,0.004494,6.237185
0.020000,2.456928,3.461955,0.797203,1.098043,0.765061,0.005560,6.235830
0.020000,2.479169,3.460885,0.819470,1.113347,0.765180,0.005952,6.234452
0.020000,2.501714,3.459770,0.842043,1.128652,0.765256,0.003803,6.233053
0.020000,2.524564,3.458607,0.864923,1.143959,0.765372,0.005769,6.231631
0.020000,2.547718,3.457396,0.888108,1.159269,0.765484,0.005627,6.230187
0.020000,2.571175,3.456134,0.911600,1.174581,0.765594,0.005498,6.228721
0.020000,2.594937,3.454821,0.935397,1.189895,0.765702,0.005381,6.227233
0.020000,2.619002,3.453455,0.959502,1.205211,0.765807,0.005278,6.225722
0.020000,2.643372,3.452034,0.983912,1.220529,0.765911,0.005188,6.224189
0.020000,2.668045,3.450558,1.008629,1.235849,0.766015,0.005214,6.222632
0.020000,2.693021,3.449024,1.033653,1.251173,0.766176,0.008009,6.221053
0.020000,2.718301,3.447430,1.058983,1.266497,0.766224,0.002400,6.219451
0.020000,2.743884,3.445777,1.084619,1.281825,0.766394,0.008495,6.217826
0.020000,2.769770,3.444061,1.110562,1.297154,0.766460,0.003321,6.216177
0.020000,2.795959,3.442282,1.136812,1.312487,0.766607,0.007369,6.214505
0.020000,2.822452,3.440437,1.163368,1.327821,0.766720,0.005636,6.212809
0.020000,2.849247,3.438525,1.190232,1.343157,0.766824,0.005202,6.211090
0.020000,2.876344,3.436544,1.217401,1.358496,0.766945,0.006041,6.209347
0.020000,2.903744,3.434493,1.244878,1.373838,0.767064,0.005931,6.207580
0.020000,2.931447,3.432369,1.272662,1.389181,0.767180,0.005837,6.205789
0.020000,2.959451,3.430172,1.300752,1.404527,0.767295,0.005760,6.203974
0.020000,2.987758,3.427899,1.329150,1.419876,0.767428,0.006616,6.202134
0.020000,3.016366,3.425548,1.357854,1.435227,0.767542,0.005701,6.200270
0.020000,3.045275,3.423118,1.386866,1.450579,0.767640,0.004928,6.198382
0.020000,3.074486,3.420607,1.416185,1.465935,0.767799,0.007912,6.196468
0.020000,3.103998,3.418013,1.445811,1.481293,0.767877,0.003943,6.194530
0.020000,3.133811,3.415333,1.475744,1.496653,0.768031,0.007658,6.192567
0.020000,3.163925,3.412567,1.505984,1.512016,0.768133,0.005145,6.190579
0.020000,3.194339,3.409711,1.536532,1.527381,0.768253,0.005956,6.188565
0.020000,3.225053,3.406765,1.567387,1.542749,0.768376,0.006173,6.186526
0.020000,3.256066,3.403725,1.598549,1.558119,0.768497,0.006063,6.184461
0.020000,3.287380,3.400591,1.630019,1.573491,0.768617,0.005974,6.182371
0.020000,3.318992,3.397359,1.661796,1.588866,0.768735,0.005904,6.180255
0.020000,3.350904,3.394028,1.693881,1.604243,0.768852,0.005855,6.178113
0.020000,3.383114,3.390596,1.726273,1.619622,0.768968,0.005827,6.175945
0.020000,3.415622,3.387060,1.758973,1.635004,0.769100,0.006587,6.173751
0.020000,3.448429,3.383419,1.791981,1.650388,0.769201,0.005061,6.171530
0.020000,3.481532,3.379670,1.825297,1.665775,0.769328,0.006332,6.169283
0.020000,3.514934,3.375810,1.858920,1.681163,0.769437,0.005438,6.167009
0.020000,3.548631,3.371838,1.892851,1.696555,0.769562,0.006247,6.164709
0.020000,3.582626,3.367752,1.927090,1.711948,0.769669,0.005347,6.162382
