dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660168,3.124969,0.000080,0.007990,0.399484,19.974220,0.000219
0.020000,1.660168,3.124969,0.000399,0.023969,0.798969,19.974220,0.000200
0.020000,1.660168,3.124969,0.001119,0.047938,1.198453,19.974220,0.000158
0.020000,1.660168,3.124969,0.002397,0.079897,1.597938,19.974220,0.000084
0.020000,1.660726,3.124969,0.004394,0.119845,1.997422,19.974220,6.283153
0.020000,1.663522,3.124969,0.007191,0.159794,1.997422,0.000000,6.282990
0.020000,1.667117,3.124967,0.010786,0.199742,1.997422,-0.000000,6.282781
0.020000,1.671512,3.124965,0.015180,0.239691,1.997422,0.000000,6.282525
0.020000,1.676705,3.124961,0.020374,0.279639,1.997422,0.000000,6.282222
0.020000,1.682697,3.124954,0.026366,0.319588,1.997422,0.000000,6.281873
0.020000,1.689488,3.124944,0.033157,0.359536,1.997422,0.000000,6.281477
0.020000,1.697079,3.124929,0.040747,0.399484,1.997422,-0.000000,6.281034
0.020000,1.705468,3.124909,0.049137,0.439433,1.997422,0.000000,6.280544
0.020000,1.714656,3.124882,0.058325,0.479381,1.997422,-0.000000,6.280006
0.020000,1.724643,3.124848,0.068312,0.519330,1.997422,0.000000,6.279421
0.020000,1.735429,3.124804,0.079098,0.559278,1.997422,-0.000000,6.278789
0.020000,1.747014,3.124749,0.090683,0.599227,1.997422,0.000000,6.278109
0.020000,1.759398,3.124681,0.103067,0.639175,1.997422,-0.000000,6.277381
0.020000,1.772580,3.124600,0.116250,0.679123,1.997422,0.000000,6.276605
0.020000,1.786562,3.124502,0.130232,0.719072,1.997422,0.000000,6.275781
0.020000,1.801342,3.124386,0.145013,0.759020,1.997422,-0.000000,6.274908
0.020000,1.816922,3.124250,0.160593,0.798969,1.997422,0.000000,6.273987
0.020000,1.833300,3.124091,0.176972,0.838917,1.997422,0.000000,6.273016
0.020000,1.850477,3.123908,0.194149,0.878866,1.997422,0.000000,6.271997
0.020000,1.868452,3.123697,0.212126,0.918814,1.997422,-0.000000,6.270928
0.020000,1.887226,3.123457,0.230902,0.958763,1.997422,0.000000,6.269809
0.020000,1.906799,3.123183,0.250477,0.998711,1.997422,0.000000,6.268640
0.020000,1.927171,3.122875,0.270850,1.038659,1.997422,0.000000,6.267421
0.020000,1.948340,3.122527,0.292023,1.078608,1.997422,-0.000000,6.266151
0.020000,1.970309,3.122139,0.313995,1.118556,1.997422,0.000000,6.264830
0.020000,1.993075,3.121705,0.336765,1.158505,1.997422,0.000000,6.263458
0.020000,2.016640,3.121223,0.360335,1.198453,1.997422,0.000000,6.262034
0.020000,2.041003,3.120690,0.384703,1.238402,1.997422,-0.000000,6.260558
0.020000,2.066163,3.120101,0.409871,1.278350,1.997422,0.000000,6.259030
0.020000,2.092122,3.119454,0.435837,1.318299,1.997422,0.000000,6.257449
0.020000,2.118878,3.118743,0.462603,1.358247,1.997422,0.000000,6.255814
0.020000,2.146431,3.117965,0.490167,1.398195,1.997422,0.000000,6.254126
0.020000,2.174782,3.117117,0.518531,1.438144,1.997422,-0.000000,6.252385
0.020000,2.203929,3.116192,0.547693,1.478092,1.997422,-0.000000,6.250588
0.020000,2.233874,3.115188,0.577654,1.518041,1.997422,0.000000,6.248737
0.020000,2.264615,3.114099,0.608415,1.557989,1.997422,0.000000,6.246830
0.020000,2.296152,3.112921,0.639974,1.597938,1.997422,-0.000000,6.244868
0.020000,2.328485,3.111649,0.672332,1.637886,1.997422,0.000000,6.242850
0.020000,2.361614,3.110278,0.705489,1.677834,1.997422,-0.000000,6.240774
0.020000,2.395538,3.108802,0.739446,1.717783,1.997422,0.000000,6.238642
0.020000,2.430257,3.107216,0.774201,1.757731,1.997422,0.000000,6.236452
0.020000,2.465771,3.105516,0.809755,1.797680,1.997422,-0.000000,6.234203
0.020000,2.502078,3.103694,0.846108,1.837628,1.997422,0.000000,6.231896
0.020000,2.539179,3.101745,0.883260,1.877577,1.997422,0.000000,6.229530
0.020000,2.577073,3.099664,0.921211,1.917525,1.997422,-0.000000,6.227103
0.020000,2.615759,3.097444,0.959961,1.957474,1.997422,0.000000,6.224617
0.020000,2.655237,3.095079,0.999510,1.997422,1.997422,-0.000000,6.222069
0.020000,2.695507,3.092562,1.039858,2.037370,1.997422,0.000000,6.219460
0.020000,2.736566,3.089887,1.081005,2.077319,1.997422,-0.000000,6.216790
0.020000,2.778416,3.087046,1.122951,2.117267,1.997422,0.000000,6.214056
0.020000,2.821055,3.084034,1.165695,2.157216,1.997422,0.000000,6.211260
0.020000,2.864481,3.080843,1.209239,2.197164,1.997422,0.000000,6.208399
0.020000,2.908695,3.077465,1.253582,2.237113,1.997422,0.000000,6.205475
0.020000,2.953695,3.073894,1.298724,2.277061,1.997422,0.000000,6.202485
0.020000,2.999481,3.070120,1.344664,2.317010,1.997422,-0.000000,6.199431
0.020000,3.046051,3.066138,1.391404,2.356958,1.997422,0.000000,6.196310
0.020000,3.093403,3.061938,1.438943,2.396906,1.997422,0.000000,6.193122
