dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660246,2.769369,0.000075,0.007458,0.372895,18.644741,0.000219
0.020000,1.660240,2.769369,0.000081,0.000308,-0.357474,-36.518423,0.000201
0.020000,1.660228,2.769369,0.000093,0.000617,0.015423,18.644814,0.000167
0.020000,1.660209,2.769369,0.000112,0.000925,0.015426,0.000145,0.000115
0.020000,1.660185,2.769369,0.000136,0.001234,0.015430,0.000217,0.000045
0.020000,1.660866,2.769369,0.000817,0.034059,1.641262,81.291594,6.283144
0.020000,1.662619,2.769369,0.002570,0.087643,2.679208,51.897307,6.283040
0.020000,1.664664,2.769368,0.004615,0.102250,0.730317,-97.444542,6.282918
0.020000,1.667001,2.769368,0.006952,0.116856,0.730333,0.000819,6.282779
0.020000,1.669630,2.769366,0.009582,0.131463,0.730328,-0.000295,6.282623
0.020000,1.672551,2.769364,0.012503,0.146069,0.730280,-0.002364,6.282449
0.020000,1.675765,2.769362,0.015717,0.160674,0.730279,-0.000087,6.282258
0.020000,1.679270,2.769358,0.019222,0.175280,0.730270,-0.000407,6.282049
0.020000,1.683068,2.769353,0.023020,0.189885,0.730256,-0.000725,6.281823
0.020000,1.687158,2.769347,0.027110,0.204489,0.730235,-0.001042,6.281580
0.020000,1.691540,2.769340,0.031491,0.219094,0.730208,-0.001357,6.281318
0.020000,1.696214,2.769330,0.036165,0.233697,0.730175,-0.001670,6.281040
0.020000,1.701180,2.769319,0.041131,0.248300,0.730135,-0.001981,6.280743
0.020000,1.706438,2.769305,0.046389,0.262903,0.730171,0.001820,6.280429
0.020000,1.711988,2.769289,0.051940,0.277505,0.730079,-0.004607,6.280098
0.020000,1.717830,2.769270,0.057782,0.292106,0.730089,0.000513,6.279749
0.020000,1.723964,2.769248,0.063916,0.306707,0.730008,-0.004050,6.279382
0.020000,1.730390,2.769222,0.070342,0.321308,0.730063,0.002750,6.278997
0.020000,1.737108,2.769193,0.077060,0.335907,0.729957,-0.005337,6.278595
0.020000,1.744118,2.769159,0.084070,0.350506,0.729934,-0.001136,6.278174
0.020000,1.751420,2.769121,0.091372,0.365104,0.729905,-0.001452,6.277736
0.020000,1.759014,2.769078,0.098966,0.379701,0.729870,-0.001766,6.277280
0.020000,1.766900,2.769029,0.106852,0.394298,0.729828,-0.002076,6.276806
0.020000,1.775078,2.768975,0.115030,0.408893,0.729780,-0.002382,6.276314
0.020000,1.783547,2.768915,0.123500,0.423488,0.729727,-0.002685,6.275804
0.020000,1.792309,2.768848,0.132262,0.438082,0.729714,-0.000638,6.275276
0.020000,1.801362,2.768774,0.141315,0.452675,0.729658,-0.002802,6.274729
0.020000,1.810707,2.768692,0.150660,0.467267,0.729571,-0.004333,6.274165
0.020000,1.820343,2.768602,0.160298,0.481859,0.729591,0.000981,6.273582
0.020000,1.830272,2.768504,0.170227,0.496448,0.729483,-0.005415,6.272981
0.020000,1.840492,2.768396,0.180447,0.511037,0.729429,-0.002677,6.272361
0.020000,1.851004,2.768279,0.190960,0.525626,0.729433,0.000193,6.271723
0.020000,1.861807,2.768152,0.201764,0.540212,0.729335,-0.004898,6.271067
0.020000,1.872903,2.768014,0.212860,0.554798,0.729278,-0.002837,6.270392
0.020000,1.884289,2.767864,0.224248,0.569382,0.729222,-0.002791,6.269698
0.020000,1.895967,2.767702,0.235927,0.583965,0.729161,-0.003087,6.268985
0.020000,1.907937,2.767528,0.247898,0.598547,0.729097,-0.003207,6.268254
0.020000,1.920198,2.767340,0.260161,0.613129,0.729081,-0.000782,6.267504
0.020000,1.932751,2.767139,0.272715,0.627708,0.728959,-0.006103,6.266735
0.020000,1.945595,2.766922,0.285560,0.642286,0.728889,-0.003499,6.265948
0.020000,1.958730,2.766690,0.298698,0.656864,0.728888,-0.000047,6.265141
0.020000,1.972156,2.766443,0.312126,0.671439,0.728741,-0.007325,6.264315
0.020000,1.985874,2.766178,0.325847,0.686013,0.728723,-0.000904,6.263469
0.020000,1.999883,2.765896,0.339858,0.700586,0.728644,-0.003976,6.262605
0.020000,2.014183,2.765595,0.354162,0.715157,0.728550,-0.004678,6.261721
0.020000,2.028774,2.765275,0.368756,0.729727,0.728486,-0.003219,6.260817
0.020000,2.043656,2.764935,0.383642,0.744295,0.728416,-0.003510,6.259894
0.020000,2.058829,2.764575,0.398819,0.758862,0.728340,-0.003792,6.258952
0.020000,2.074293,2.764192,0.414288,0.773427,0.728258,-0.004067,6.257989
0.020000,2.090047,2.763788,0.430048,0.787990,0.728172,-0.004333,6.257007
0.020000,2.106093,2.763360,0.446099,0.802552,0.728080,-0.004590,6.256005
0.020000,2.122429,2.762907,0.462441,0.817113,0.728047,-0.001659,6.254983
0.020000,2.139055,2.762429,0.479074,0.831671,0.727912,-0.006720,6.253941
0.020000,2.155972,2.761925,0.495999,0.846228,0.727847,-0.003297,6.252879
0.020000,2.173180,2.761394,0.513214,0.860783,0.727749,-0.004877,6.251796
0.020000,2.190678,2.760835,0.530721,0.875337,0.727692,-0.002849,6.250693
0.020000,2.208466,2.760247,0.548519,0.889888,0.727563,-0.006441,6.249570
0.020000,2.226544,2.759629,0.566608,0.904438,0.727485,-0.003926,6.248426
0.020000,2.244912,2.758980,0.584987,0.918986,0.727401,-0.004200,6.247261
0.020000,2.263570,2.758298,0.603658,0.933532,0.727311,-0.004463,6.246075
0.020000,2.282518,2.757583,0.622620,0.948076,0.727217,-0.004715,6.244869
0.020000,2.301756,2.756834,0.641872,0.962619,0.727118,-0.004955,6.243641
0.020000,2.321284,2.756049,0.661415,0.977159,0.727014,-0.005184,6.242393
0.020000,2.341100,2.755227,0.681249,0.991697,0.726906,-0.005400,6.241123
0.020000,2.361207,2.754368,0.701374,1.006234,0.726834,-0.003633,6.239832
0.020000,2.381602,2.753470,0.721789,1.020768,0.726724,-0.005495,6.238520
0.020000,2.402287,2.752532,0.742495,1.035301,0.726611,-0.005618,6.237185
0.020000,2.423261,2.751552,0.763492,1.049831,0.726517,-0.004707,6.235830
0.020000,2.444523,2.750530,0.784779,1.064359,0.726429,-0.004438,6.234452
0.020000,2.466075,2.749463,0.806357,1.078885,0.726297,-0.006596,6.233053
0.020000,2.487915,2.748352,0.828225,1.093409,0.726200,-0.004817,6.231631
0.020000,2.510043,2.747194,0.850384,1.107931,0.726099,-0.005052,6.230187
0.020000,2.532460,2.745989,0.872833,1.122451,0.725994,-0.005272,6.228721
0.020000,2.555164,2.744734,0.895572,1.136969,0.725884,-0.005476,6.227233
0.020000,2.578157,2.743429,0.918602,1.151484,0.725771,-0.005666,6.225722
0.020000,2.601438,2.742071,0.941922,1.165997,0.725654,-0.005839,6.224189
0.020000,2.625006,2.740661,0.965532,1.180508,0.725536,-0.005899,6.222632
0.020000,2.648861,2.739196,0.989432,1.195018,0.725470,-0.003310,6.221053
0.020000,2.673004,2.737674,1.013623,1.209523,0.725295,-0.008745,6.219451
0.020000,2.697433,2.736095,1.038103,1.224028,0.725235,-0.002999,6.217826
0.020000,2.722149,2.734457,1.062874,1.238530,0.725075,-0.008011,6.216177
0.020000,2.747152,2.732758,1.087934,1.253029,0.724991,-0.004213,6.214505
0.020000,2.772442,2.730997,1.113285,1.267527,0.724872,-0.005932,6.212809
0.020000,2.798017,2.729172,1.138925,1.282022,0.724744,-0.006405,6.211090
0.020000,2.823878,2.727282,1.164856,1.296514,0.724631,-0.005660,6.209347
0.020000,2.850025,2.725324,1.191076,1.311005,0.724514,-0.005817,6.207580
0.020000,2.876458,2.723298,1.217585,1.325493,0.724395,-0.005953,6.205789
0.020000,2.903175,2.721202,1.244385,1.339978,0.724274,-0.006069,6.203974
0.020000,2.930177,2.719034,1.271474,1.354461,0.724168,-0.005290,6.202134
0.020000,2.957464,2.716792,1.298853,1.368942,0.724044,-0.006196,6.200270
0.020000,2.985035,2.714474,1.326522,1.383420,0.723905,-0.006960,6.198382
0.020000,3.012891,2.712079,1.354479,1.397897,0.723822,-0.004137,6.196468
0.020000,3.041030,2.709606,1.382727,1.412370,0.723663,-0.007939,6.194530
0.020000,3.069452,2.707051,1.411264,1.426842,0.723575,-0.004408,6.192567
0.020000,3.098157,2.704414,1.440090,1.441310,0.723439,-0.006811,6.190579
0.020000,3.127145,2.701692,1.469205,1.455777,0.723318,-0.006037,6.188565
0.020000,3.156416,2.698884,1.498610,1.470241,0.723202,-0.005825,6.186526
0.020000,3.185968,2.695988,1.528304,1.484702,0.723084,-0.005917,6.184461
0.020000,3.215802,2.693002,1.558288,1.499162,0.722964,-0.005983,6.182371
0.020000,3.245918,2.689923,1.588560,1.513619,0.722843,-0.006025,6.180255
0.020000,3.276314,2.686751,1.619121,1.528073,0.722723,-0.006039,6.178113
0.020000,3.306991,2.683482,1.649972,1.542525,0.722602,-0.006026,6.175945
0.020000,3.337948,2.680115,1.681111,1.556975,0.722497,-0.005256,6.173751
0.020000,3.369184,2.676648,1.712540,1.571422,0.722364,-0.006655,6.171530
0.020000,3.400700,2.673078,1.744257,1.585867,0.722256,-0.005383,6.169283
0.020000,3.432495,2.669404,1.776263,1.600310,0.722133,-0.006165,6.167009
0.020000,3.464568,2.665624,1.808558,1.614751,0.722027,-0.005317,6.164709
0.020000,3.496919,2.661735,1.841142,1.629189,0.721905,-0.006088,6.162382
0.020000,3.529547,2.657735,1.874015,1.643625,0.721793,-0.005588,6.160027
0.020000,3.562452,2.653622,1.907176,1.658058,0.721681,-0.005596,6.157646
0.020000,3.595634,2.649394,1.940626,1.672490,0.721570,-0.005574,6.155237
0.020000,3.629091,2.645048,1.974364,1.686919,0.721459,-0.005520,6.152801
0.020000,3.662824,2.640583,2.008391,1.701346,0.721351,-0.005434,6.150338
0.020000,3.696831,2.635995,2.042706,1.715771,0.721244,-0.005315,6.147846
0.020000,3.731112,2.631283,2.077310,1.730193,0.721138,-0.005292,6.145328
0.020000,3.765668,2.626444,2.112202,1.744614,0.721029,-0.005468,6.142781
0.020000,3.800496,2.621476,2.147383,1.759033,0.720938,-0.004538,6.140206
0.020000,3.835596,2.616376,2.182852,1.773449,0.720821,-0.005873,6.137603
0.020000,3.870968,2.611142,2.218609,1.787864,0.720740,-0.004055,6.134973
0.020000,3.906612,2.605772,2.254655,1.802277,0.720634,-0.005309,6.132313
0.020000,3.942525,2.600263,2.290989,1.816687,0.720536,-0.004874,6.129626
0.020000,3.978709,2.594612,2.327611,1.831096,0.720452,-0.004223,6.126910
0.020000,4.015161,2.588817,2.364521,1.845504,0.720360,-0.004560,6.124165
0.020000,4.051882,2.582876,2.401719,1.859909,0.720273,-0.004392,6.121391
0.020000,4.088870,2.576786,2.439205,1.874313,0.720189,-0.004186,6.118589
0.020000,4.126125,2.570544,2.476979,1.888715,0.720110,-0.003941,6.115758
0.020000,4.163646,2.564147,2.515042,1.903116,0.720032,-0.003924,6.112898
0.020000,4.201432,2.557593,2.553392,1.917514,0.719934,-0.004856,6.110009
0.020000,4.239482,2.550880,2.592030,1.931912,0.719896,-0.001924,6.107090
0.020000,4.277796,2.544004,2.630956,1.946308,0.719805,-0.004552,6.104143
0.020000,4.316373,2.536963,2.670171,1.960703,0.719753,-0.002602,6.101166
0.020000,4.355212,2.529754,2.709672,1.975097,0.719671,-0.004101,6.098160
0.020000,4.394311,2.522375,2.749462,1.989490,0.719642,-0.001436,6.095124
0.020000,4.433671,2.514822,2.789540,2.003881,0.719577,-0.003271,6.092059
0.020000,4.473289,2.507093,2.829905,2.018271,0.719500,-0.003829,6.088965
0.020000,4.513166,2.499184,2.870559,2.032661,0.719482,-0.000917,6.085840
0.020000,4.553300,2.491094,2.911500,2.047050,0.719439,-0.002161,6.082686
0.020000,4.593689,2.482818,2.952728,2.061438,0.719403,-0.001781,6.079503
0.020000,4.634334,2.474355,2.994245,2.075825,0.719358,-0.002230,6.076289
0.020000,4.675233,2.465702,3.036049,2.090211,0.719319,-0.001951,6.073046
0.020000,4.716384,2.456854,3.078141,2.104598,0.719329,0.000464,6.069774
0.020000,4.757788,2.447810,3.120521,2.118984,0.719320,-0.000416,6.066471
0.020000,4.799442,2.438566,3.163188,2.133369,0.719234,-0.004295,6.063138
0.020000,4.841345,2.429120,3.206143,2.147756,0.719329,0.004710,6.059776
0.020000,4.883497,2.419467,3.249386,2.162140,0.719227,-0.005103,6.056384
0.020000,4.925896,2.409606,3.292916,2.176526,0.719300,0.003654,6.052962
0.020000,4.968541,2.399534,3.336735,2.190912,0.719308,0.000428,6.049510
0.020000,5.011430,2.389246,3.380841,2.205298,0.719301,-0.000338,6.046029
0.020000,5.054563,2.378741,3.425234,2.219684,0.719303,0.000064,6.042518
0.020000,5.097867,2.368032,3.469843,2.230445,0.538031,-9.063580,6.038982
0.020000,5.141132,2.357170,3.514451,2.230365,-0.003982,-27.100642,6.035440
0.020000,5.184146,2.346209,3.558840,2.219448,-0.545876,-27.094709,6.031909
0.020000,5.226840,2.335169,3.602937,2.204871,-0.728840,-9.148217,6.028395
0.020000,5.269211,2.324054,3.646742,2.190262,-0.730467,-0.081317,6.024898
0.020000,5.311262,2.312867,3.690255,2.175657,-0.730225,0.012067,6.021418
0.020000,5.354846,2.301163,3.735384,2.256432,4.038722,238.447370,6.027779
0.020000,5.414632,2.287108,3.796800,3.070788,40.717840,1833.955874,6.076339
0.020000,5.473275,2.276170,3.856454,2.982705,-4.404165,-2256.100220,6.120781
0.020000,5.530522,2.267982,3.914283,2.891470,-4.561735,-7.878517,6.160927
0.020000,5.586209,2.262164,3.970274,2.799537,-4.596659,-1.746210,6.196740
0.020000,5.640249,2.258353,4.024448,2.708719,-4.540916,2.787170,6.228281
0.020000,5.692610,2.256208,4.076853,2.620215,-4.425176,5.787001,6.255681
0.020000,5.743298,2.255421,4.127547,2.534710,-4.275273,7.495151,6.279110
0.020000,5.792347,2.255715,4.176597,2.452501,-4.110429,8.242174,0.015568
0.020000,5.839805,2.256847,4.224069,2.373588,-3.945656,8.238657,0.031611
0.020000,5.885728,2.258600,4.270024,2.297782,-3.790289,7.768383,0.044229
0.020000,5.930169,2.260786,4.314520,2.224769,-3.650649,6.981958,0.053579
0.020000,5.973183,2.263237,4.357603,2.154172,-3.529879,6.038533,0.059797
0.020000,6.014815,2.265807,4.399315,2.085575,-3.429823,5.002774,0.062996
0.020000,6.055105,2.268363,4.439686,2.018562,-3.350654,3.958488,0.063264
0.020000,6.094084,2.270791,4.478740,1.952729,-3.291677,2.948842,0.060669
0.020000,6.131774,2.272988,4.516494,1.887697,-3.251597,2.003983,0.055255
0.020000,6.168189,2.274861,4.552957,1.823127,-3.228499,1.154916,0.047049
0.020000,6.203333,2.276332,4.588131,1.758730,-3.219864,0.431746,0.036060
0.020000,6.237203,2.277330,4.622017,1.694276,-3.222666,-0.140124,0.022285
0.020000,6.269792,2.277795,4.654609,1.629613,-3.233143,-0.523839,0.005712
0.020000,6.301086,2.277680,4.685903,1.564680,-3.246677,-0.676713,6.269512
0.020000,6.331067,2.276947,4.715893,1.499526,-3.257676,-0.549956,6.247301
0.020000,6.359721,2.275568,4.744580,1.434340,-3.259304,-0.081367,6.222264
0.020000,6.387034,2.273529,4.771969,1.369451,-3.244475,0.741416,6.194416
0.020000,6.413001,2.270826,4.798077,1.305371,-3.203979,2.024834,6.163803
0.020000,6.437628,2.267464,4.822932,1.242778,-3.129642,3.716849,6.130509
0.020000,6.460937,2.263457,4.846583,1.182527,-3.012541,5.855014,6.094666
0.020000,6.482967,2.258825,4.869095,1.125612,-2.845760,8.339081,6.056461
0.020000,6.503781,2.253586,4.890557,1.073115,-2.624847,11.045636,6.016143
0.020000,6.523459,2.247761,4.911080,1.026126,-2.349457,13.769523,5.974021
0.020000,6.542104,2.241360,4.930793,0.985649,-2.023859,16.279896,5.930461
0.020000,6.559831,2.234385,4.949843,0.952489,-1.658000,18.292921,5.885875
0.020000,6.576764,2.226828,4.968386,0.927150,-1.266928,19.553621,5.840703
0.020000,6.593027,2.218667,4.986582,0.909797,-0.867649,19.963932,5.795394
0.020000,6.608737,2.209873,5.004585,0.900188,-0.480482,19.358368,5.750384
0.020000,6.623996,2.200411,5.022540,0.897740,-0.122406,17.903779,5.706074
0.020000,6.638890,2.190247,5.040572,0.901578,0.191916,15.716110,5.662818
0.020000,6.653482,2.179349,5.058784,0.910617,0.451936,13.000991,5.620911
0.020000,6.667817,2.167694,5.077258,0.923723,0.655333,10.169842,5.580578
0.020000,6.681920,2.155272,5.096053,0.939725,0.800057,7.236201,5.541985
0.020000,6.695805,2.142081,5.115205,0.957579,0.892710,4.632673,5.505234
0.020000,6.709470,2.128133,5.134731,0.976318,0.936943,2.211666,5.470377
0.020000,6.722911,2.113452,5.154635,0.995210,0.944604,0.383045,5.437420
0.020000,6.750059,2.083684,5.194924,2.014452,50.962128,2500.876179,5.466776
0.020000,6.778480,2.054287,5.235812,2.044415,1.498119,-2473.200420,5.494508
