dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660051,3.390600,0.000129,0.012897,0.644874,32.243685,6.283042
0.020000,1.660035,3.390600,0.000145,0.000786,-0.605561,-62.521726,6.283086
0.020000,1.660004,3.390600,0.000176,0.001565,0.038952,32.225624,6.283174
0.020000,1.661376,3.390600,0.001548,0.068598,3.351632,165.634016,0.000120
0.020000,1.663378,3.390600,0.003550,0.100107,1.575467,-88.808249,0.000293
0.020000,1.665882,3.390601,0.006054,0.125188,1.254036,-16.071533,0.000506
0.020000,1.668888,3.390603,0.009060,0.150306,1.255885,0.092412,0.000757
0.020000,1.672397,3.390607,0.012569,0.175466,1.258020,0.106776,0.001044
0.020000,1.676411,3.390611,0.016583,0.200677,1.260548,0.126409,0.001363
0.020000,1.680930,3.390618,0.021102,0.225946,1.263465,0.145827,0.001712
0.020000,1.685955,3.390628,0.026127,0.251280,1.266671,0.160326,0.002088
0.020000,1.691489,3.390641,0.031661,0.276686,1.270299,0.181359,0.002485
0.020000,1.697532,3.390657,0.037704,0.302170,1.274226,0.196398,0.002899
0.020000,1.704087,3.390677,0.044259,0.327742,1.278567,0.217017,0.003326
0.020000,1.711155,3.390702,0.051327,0.353406,1.283201,0.231721,0.003760
0.020000,1.718739,3.390733,0.058911,0.379170,1.288216,0.250736,0.004197
0.020000,1.726839,3.390768,0.067012,0.405042,1.293603,0.269360,0.004628
0.020000,1.735460,3.390810,0.075632,0.431028,1.299295,0.284576,0.005049
0.020000,1.744602,3.390858,0.084775,0.457135,1.305379,0.304204,0.005453
0.020000,1.754270,3.390913,0.094442,0.483371,1.311782,0.320140,0.005832
0.020000,1.764464,3.390974,0.104637,0.509742,1.318567,0.339255,0.006178
0.020000,1.775189,3.391042,0.115362,0.536256,1.325672,0.355265,0.006484
0.020000,1.786447,3.391116,0.126621,0.562919,1.333148,0.373818,0.006741
0.020000,1.798242,3.391197,0.138415,0.589739,1.340987,0.391910,0.006940
0.020000,1.810576,3.391284,0.150750,0.616722,1.349167,0.409031,0.007073
0.020000,1.823453,3.391375,0.163627,0.643876,1.357719,0.427608,0.007129
0.020000,1.836877,3.391471,0.177052,0.671209,1.366633,0.445684,0.007098
0.020000,1.850851,3.391569,0.191026,0.698727,1.375918,0.464227,0.006971
0.020000,1.865380,3.391669,0.205555,0.726439,1.385583,0.483267,0.006736
0.020000,1.880466,3.391768,0.220642,0.754352,1.395632,0.502434,0.006382
0.020000,1.896115,3.391864,0.236291,0.782473,1.406067,0.521777,0.005897
0.020000,1.912331,3.391955,0.252508,0.810811,1.416912,0.542254,0.005269
0.020000,1.929119,3.392037,0.269295,0.839374,1.428160,0.562400,0.004485
0.020000,1.946482,3.392107,0.286659,0.868171,1.439842,0.584096,0.003532
0.020000,1.964426,3.392160,0.304603,0.897210,1.451959,0.605867,0.002397
0.020000,1.982956,3.392192,0.323133,0.926501,1.464530,0.628508,0.001065
0.020000,2.002077,3.392198,0.342254,0.956052,1.477566,0.651799,6.282708
0.020000,2.021795,3.392172,0.361971,0.985874,1.491090,0.676240,6.280938
0.020000,2.042114,3.392106,0.382291,1.015976,1.505110,0.700969,6.278926
0.020000,2.063041,3.391993,0.403218,1.046369,1.519649,0.726954,6.276656
0.020000,2.084582,3.391826,0.424760,1.077064,1.534748,0.754938,6.274110
0.020000,2.106742,3.391594,0.446921,1.108072,1.550391,0.782161,6.271271
0.020000,2.129528,3.391287,0.469709,1.139405,1.566637,0.812333,6.268120
0.020000,2.152946,3.390894,0.493131,1.171075,1.583493,0.842753,6.264639
0.020000,2.177003,3.390402,0.517192,1.203092,1.600889,0.869814,6.260808
0.020000,2.201705,3.389798,0.541902,1.235473,1.619047,0.907933,6.256607
0.020000,2.227059,3.389066,0.567266,1.268228,1.637750,0.935129,6.252014
0.020000,2.253072,3.388190,0.593294,1.301373,1.657240,0.974515,6.247008
0.020000,2.279750,3.387153,0.619992,1.334918,1.677246,1.000304,6.241566
0.020000,2.307101,3.385934,0.647370,1.368879,1.698047,1.040012,6.235664
0.020000,2.335130,3.384512,0.675435,1.403268,1.719436,1.069472,6.229279
0.020000,2.363845,3.382864,0.704197,1.438099,1.741582,1.107292,6.222386
0.020000,2.393251,3.380965,0.733665,1.473383,1.764186,1.130216,6.214959
0.020000,2.423355,3.378788,0.763848,1.509132,1.787420,1.161702,6.206973
0.020000,2.454162,3.376304,0.794755,1.545357,1.811256,1.191768,6.198399
0.020000,2.485677,3.373481,0.826396,1.582063,1.835293,1.201841,6.189212
