dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660000,3.035000,0.000124,0.012431,0.621565,31.078238,6.283042
0.020000,1.660000,3.035000,0.000622,0.037294,1.243130,31.078238,6.283084
0.020000,1.660000,3.035000,0.001616,0.062156,1.243130,0.000000,6.283169
0.020000,1.661302,3.035000,0.003108,0.087019,1.243130,-0.000000,0.000110
0.020000,1.663291,3.035000,0.005097,0.111882,1.243130,0.000000,0.000277
0.020000,1.665777,3.035001,0.007583,0.136744,1.243130,-0.000000,0.000483
0.020000,1.668761,3.035003,0.010567,0.161607,1.243130,0.000000,0.000725
0.020000,1.672242,3.035006,0.014047,0.186469,1.243130,0.000000,0.001002
0.020000,1.676220,3.035011,0.018025,0.211332,1.243130,0.000000,0.001312
0.020000,1.680695,3.035017,0.022501,0.236195,1.243130,0.000000,0.001650
0.020000,1.685667,3.035027,0.027473,0.261057,1.243130,-0.000000,0.002014
0.020000,1.691137,3.035039,0.032943,0.285920,1.243130,0.000000,0.002400
0.020000,1.697104,3.035054,0.038910,0.310782,1.243130,0.000000,0.002803
0.020000,1.703568,3.035074,0.045374,0.335645,1.243130,-0.000000,0.003220
0.020000,1.710530,3.035098,0.052336,0.360508,1.243130,0.000000,0.003645
0.020000,1.717989,3.035126,0.059795,0.385370,1.243130,0.000000,0.004073
0.020000,1.725944,3.035160,0.067751,0.410233,1.243130,0.000000,0.004499
0.020000,1.734398,3.035200,0.076204,0.435095,1.243130,0.000000,0.004917
0.020000,1.743348,3.035246,0.085154,0.459958,1.243130,0.000000,0.005319
0.020000,1.752796,3.035298,0.094602,0.484821,1.243130,-0.000000,0.005700
0.020000,1.762741,3.035357,0.104547,0.509683,1.243130,0.000000,0.006053
0.020000,1.773183,3.035422,0.114989,0.534546,1.243130,0.000000,0.006369
0.020000,1.784122,3.035493,0.125929,0.559408,1.243130,-0.000000,0.006642
0.020000,1.795559,3.035570,0.137366,0.584271,1.243130,0.000000,0.006862
0.020000,1.807492,3.035653,0.149300,0.609133,1.243130,-0.000000,0.007022
0.020000,1.819923,3.035741,0.161731,0.633996,1.243130,0.000000,0.007113
