dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.659951,2.679400,0.000200,0.019951,0.997572,49.878613,6.283048
0.020000,1.659969,2.679400,0.000218,0.000912,-0.951992,-97.478210,6.283099
0.020000,1.660000,2.679400,0.000248,0.001512,0.030027,49.100933,6.283184
0.020000,1.661428,2.679400,0.001676,0.071423,3.495530,173.275146,0.000117
0.020000,1.663277,2.679400,0.003526,0.092458,1.051757,-122.188617,0.000268
0.020000,1.665537,2.679401,0.005785,0.112965,1.025336,-1.321063,0.000450
0.020000,1.668206,2.679403,0.008454,0.133447,1.024107,-0.061445,0.000661
0.020000,1.671284,2.679405,0.011532,0.153902,1.022756,-0.067533,0.000901
0.020000,1.674770,2.679409,0.015018,0.174324,1.021096,-0.083006,0.001168
0.020000,1.678664,2.679414,0.018913,0.194709,1.019272,-0.091238,0.001458
0.020000,1.682965,2.679421,0.023214,0.215053,1.017211,-0.103046,0.001771
0.020000,1.687672,2.679430,0.027921,0.235353,1.014982,-0.111450,0.002104
0.020000,1.692784,2.679442,0.033033,0.255602,1.012467,-0.125754,0.002453
0.020000,1.698300,2.679456,0.038549,0.275798,1.009804,-0.133116,0.002816
0.020000,1.704219,2.679474,0.044467,0.295937,1.006902,-0.145119,0.003189
0.020000,1.710539,2.679495,0.050788,0.316012,1.003775,-0.156345,0.003570
0.020000,1.717260,2.679521,0.057508,0.336021,1.000472,-0.165137,0.003954
0.020000,1.724379,2.679550,0.064627,0.355960,0.996919,-0.177674,0.004337
0.020000,1.731895,2.679584,0.072144,0.375824,0.993194,-0.186242,0.004715
0.020000,1.739807,2.679623,0.080056,0.395608,0.989231,-0.198156,0.005083
0.020000,1.748113,2.679667,0.088362,0.415310,0.985070,-0.208036,0.005438
0.020000,1.756812,2.679715,0.097061,0.434924,0.980701,-0.218432,0.005774
0.020000,1.765900,2.679769,0.106150,0.454446,0.976119,-0.229140,0.006085
0.020000,1.775378,2.679828,0.115627,0.473873,0.971324,-0.239719,0.006367
0.020000,1.785241,2.679892,0.125491,0.493199,0.966325,-0.249946,0.006614
0.020000,1.795490,2.679961,0.135739,0.512421,0.961095,-0.261522,0.006820
0.020000,1.806120,2.680035,0.146370,0.531535,0.955679,-0.270773,0.006978
0.020000,1.817131,2.680112,0.157381,0.550535,0.950031,-0.282436,0.007084
0.020000,1.828519,2.680193,0.168769,0.569419,0.944169,-0.293068,0.007129
0.020000,1.840282,2.680277,0.180533,0.588180,0.938089,-0.304037,0.007107
0.020000,1.852418,2.680363,0.192669,0.606816,0.931785,-0.315179,0.007011
0.020000,1.864924,2.680449,0.205175,0.625321,0.925259,-0.326295,0.006834
0.020000,1.877798,2.680536,0.218049,0.643691,0.918506,-0.337642,0.006568
0.020000,1.891036,2.680620,0.231288,0.661922,0.911514,-0.349600,0.006205
0.020000,1.904636,2.680702,0.244888,0.680007,0.904283,-0.361580,0.005737
0.020000,1.918594,2.680778,0.258847,0.697944,0.896815,-0.373379,0.005156
0.020000,1.932909,2.680847,0.273161,0.715726,0.889106,-0.385468,0.004453
0.020000,1.947576,2.680906,0.287828,0.733348,0.881132,-0.398707,0.003619
0.020000,1.962592,2.680953,0.302844,0.750806,0.872877,-0.412740,0.002645
0.020000,1.977953,2.680985,0.318206,0.768094,0.864398,-0.423924,0.001520
0.020000,1.993658,2.680999,0.333910,0.785206,0.855594,-0.440203,0.000236
0.020000,2.009700,2.680992,0.349953,0.802136,0.846527,-0.453374,6.281968
0.020000,2.026078,2.680959,0.366331,0.818879,0.837158,-0.468448,6.280334
0.020000,2.042786,2.680896,0.383039,0.835430,0.827508,-0.482468,6.278508
0.020000,2.059822,2.680799,0.400075,0.851780,0.817498,-0.500506,6.276480
0.020000,2.077180,2.680664,0.417433,0.867923,0.807182,-0.515834,6.274238
0.020000,2.094856,2.680484,0.435110,0.883854,0.796518,-0.533182,6.271769
0.020000,2.112846,2.680254,0.453102,0.899565,0.785571,-0.547364,6.269062
0.020000,2.131144,2.679969,0.471403,0.915048,0.774145,-0.571295,6.266104
0.020000,2.149747,2.679622,0.490009,0.930297,0.762453,-0.584607,6.262882
0.020000,2.168648,2.679205,0.508915,0.945304,0.750350,-0.605124,6.259381
0.020000,2.187843,2.678712,0.528116,0.960060,0.737821,-0.626467,6.255588
0.020000,2.207326,2.678135,0.547607,0.974560,0.724982,-0.641967,6.251488
0.020000,2.227090,2.677465,0.567383,0.988793,0.711651,-0.666518,6.247067
0.020000,2.247131,2.676694,0.587438,1.002753,0.697978,-0.683637,6.242309
0.020000,2.267440,2.675811,0.607767,1.016430,0.683860,-0.705910,6.237198
0.020000,2.288012,2.674809,0.628363,1.029818,0.669432,-0.721403,6.231718
0.020000,2.308839,2.673675,0.649221,1.042908,0.654484,-0.747402,6.225852
0.020000,2.329915,2.672400,0.670335,1.055693,0.639262,-0.761123,6.219583
0.020000,2.351230,2.670971,0.691698,1.068166,0.623640,-0.781078,6.212893
0.020000,2.372778,2.669378,0.713305,1.080320,0.607708,-0.796583,6.205765
0.020000,2.394549,2.667606,0.735148,1.092150,0.591484,-0.811216,6.198180
0.020000,2.416535,2.665644,0.757221,1.103651,0.575069,-0.820744,6.190120
0.020000,2.438725,2.663478,0.779517,1.114821,0.558456,-0.830641,6.181565
0.020000,2.461112,2.661094,0.802030,1.125655,0.541707,-0.837477,6.172498
0.020000,2.483684,2.658476,0.824753,1.136155,0.525034,-0.833625,6.162900
0.020000,2.506430,2.655610,0.847680,1.146324,0.508452,-0.829117,6.152751
0.020000,2.529341,2.652481,0.870803,1.156167,0.492148,-0.815209,6.142034
0.020000,2.552404,2.649072,0.894117,1.165692,0.476245,-0.795148,6.130731
0.020000,2.575608,2.645366,0.917615,1.174912,0.461011,-0.761705,6.118824
0.020000,2.598942,2.641347,0.941292,1.183843,0.446518,-0.724627,6.106297
0.020000,2.622392,2.636997,0.965142,1.192506,0.433142,-0.668801,6.093136
0.020000,2.645946,2.632298,0.989161,1.200928,0.421101,-0.602085,6.079326
0.020000,2.669592,2.627232,1.013344,1.209142,0.410692,-0.520441,6.064855
0.020000,2.693318,2.621780,1.037687,1.217187,0.402250,-0.422095,6.049716
0.020000,2.717110,2.615924,1.062190,1.225109,0.396127,-0.306132,6.033899
0.020000,2.740956,2.609645,1.086849,1.232963,0.392693,-0.171732,6.017403
0.020000,2.764845,2.602922,1.111665,1.240809,0.392314,-0.018938,6.000226
0.020000,2.788763,2.595737,1.136639,1.248717,0.395378,0.153206,5.982371
0.020000,2.812700,2.588068,1.161775,1.256762,0.402256,0.343918,5.963847
0.020000,2.836644,2.579897,1.187075,1.265029,0.413347,0.554522,5.944666
0.020000,2.860586,2.571201,1.212547,1.273607,0.428897,0.777532,5.924845
0.020000,2.884516,2.561960,1.238199,1.282588,0.449076,1.008937,5.904407
0.020000,2.908424,2.552153,1.264041,1.292075,0.474323,1.262358,5.883381
0.020000,2.932303,2.541759,1.290084,1.302163,0.504436,1.505644,5.861800
0.020000,2.956145,2.530754,1.316343,1.312957,0.539655,1.760955,5.839704
0.020000,2.979944,2.519119,1.342834,1.324547,0.579542,1.994358,5.817138
0.020000,3.003693,2.506829,1.369574,1.337027,0.624000,2.222882,5.794152
0.020000,3.027387,2.493864,1.396584,1.350480,0.672625,2.431248,5.770800
0.020000,3.051021,2.480199,1.423884,1.364978,0.724878,2.612676,5.747142
0.020000,3.074589,2.465814,1.451495,1.380579,0.780098,2.760954,5.723239
0.020000,3.098087,2.450686,1.479442,1.397330,0.837514,2.870827,5.699156
0.020000,3.121510,2.434794,1.507747,1.415249,0.895983,2.923465,5.674959
0.020000,3.144851,2.418117,1.536434,1.434352,0.955150,2.958329,5.650715
0.020000,3.168106,2.400636,1.565527,1.454636,1.014198,2.952386,5.626488
0.020000,3.195527,2.379319,1.600259,1.736617,14.099024,654.241329,5.623007
0.020000,3.226789,2.355118,1.639793,1.976696,12.003943,-104.754041,5.625896
0.020000,3.258536,2.330697,1.679847,2.002687,1.299577,-535.218317,5.629126
0.020000,3.290783,2.306066,1.720424,2.028888,1.310049,0.523589,5.632707
0.020000,3.323544,2.281237,1.761530,2.055305,1.320861,0.540605,5.636652
0.020000,3.356832,2.256224,1.803169,2.081947,1.332075,0.560719,5.640973
0.020000,3.390665,2.231040,1.845346,2.108820,1.343674,0.579909,5.645683
0.020000,3.425057,2.205701,1.888064,2.135933,1.355605,0.596551,5.650797
0.020000,3.460026,2.180224,1.931330,2.163290,1.367853,0.612407,5.656326
0.020000,3.495588,2.154625,1.975148,2.190901,1.380572,0.635956,5.662287
0.020000,3.531763,2.128923,2.019524,2.218771,1.393497,0.646237,5.668693
0.020000,3.568569,2.103139,2.064462,2.246907,1.406809,0.665621,5.675559
0.020000,3.606024,2.077295,2.109968,2.275314,1.420349,0.677017,5.682901
0.020000,3.644149,2.051413,2.156048,2.303998,1.434192,0.692148,5.690734
0.020000,3.682963,2.025519,2.202707,2.332960,1.448090,0.694866,5.699074
0.020000,3.722489,1.999640,2.249951,2.362204,1.462221,0.706588,5.707936
0.020000,3.762745,1.973803,2.297786,2.391731,1.476323,0.705065,5.717338
0.020000,3.803755,1.948040,2.346217,2.421537,1.490293,0.698530,5.727293
0.020000,3.845539,1.922384,2.395249,2.451619,1.504101,0.690384,5.737818
0.020000,3.888119,1.896869,2.444888,2.481970,1.517579,0.673902,5.748929
0.020000,3.931516,1.871532,2.495140,2.512582,1.530577,0.649880,5.760639
0.020000,3.975751,1.846415,2.546009,2.543438,1.542835,0.612914,5.772962
0.020000,4.020845,1.821558,2.597499,2.574522,1.554160,0.566256,5.785912
0.020000,4.066816,1.797007,2.649615,2.605810,1.564447,0.514341,5.799499
0.020000,4.113683,1.772809,2.702361,2.637275,1.573224,0.438876,5.813734
0.020000,4.161464,1.749014,2.755739,2.668882,1.580370,0.357263,5.828625
0.020000,4.210173,1.725676,2.809750,2.700592,1.585500,0.256534,5.844178
0.020000,4.259824,1.702848,2.864398,2.732359,1.588314,0.140698,5.860394
0.020000,4.310428,1.680590,2.919680,2.764128,1.588465,0.007558,5.877276
0.020000,4.361992,1.658960,2.975597,2.795840,1.585594,-0.143550,5.894820
0.020000,4.414212,1.638142,3.031814,2.810842,0.750093,-41.775071,5.912910
0.020000,4.466654,1.618338,3.087871,2.802865,-0.398842,-57.446765,5.931376
0.020000,4.519181,1.599611,3.143637,2.788276,-0.729421,-16.528931,5.950144
0.020000,4.571764,1.581979,3.199097,2.773001,-0.763778,-1.717854,5.969175
0.020000,4.624369,1.565451,3.254237,2.757018,-0.799120,-1.767087,5.988429
0.020000,4.676963,1.550039,3.309043,2.740308,-0.835542,-1.821100,6.007865
0.020000,4.729512,1.535747,3.363500,2.722852,-0.872780,-1.861920,6.027442
0.020000,4.781977,1.522578,3.417593,2.704653,-0.909963,-1.859157,6.047118
0.020000,4.834323,1.510530,3.471307,2.685702,-0.947527,-1.878184,6.066850
0.020000,4.886510,1.499599,3.524628,2.666012,-0.984513,-1.849316,6.086596
0.020000,4.938503,1.489776,3.577540,2.645603,-1.020441,-1.796361,6.106317
0.020000,4.990262,1.481048,3.630029,2.624482,-1.056048,-1.780353,6.125972
0.020000,5.041751,1.473401,3.682083,2.602689,-1.089662,-1.680738,6.145523
0.020000,5.092934,1.466816,3.733688,2.580250,-1.121971,-1.615418,6.164934
0.020000,5.143776,1.461271,3.784832,2.557209,-1.152005,-1.501708,6.184172
0.020000,5.194246,1.456742,3.835504,2.533602,-1.180352,-1.417356,6.203204
0.020000,5.244310,1.453203,3.885694,2.509481,-1.206064,-1.285576,6.222001
0.020000,5.289991,1.450787,3.931438,2.287219,-11.113087,-495.351183,6.238446
