dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660199,3.390999,0.000129,0.012885,0.644251,32.212567,6.283100
0.020000,1.660321,3.390999,0.000251,0.006100,-0.339269,-49.176010,0.000040
0.020000,1.661263,3.390999,0.001193,0.047107,2.050361,119.481475,0.000290
0.020000,1.662677,3.391000,0.002607,0.070715,1.180413,-43.497381,0.000661
0.020000,1.664565,3.391002,0.004495,0.094389,1.183703,0.164496,0.001150
0.020000,1.666928,3.391005,0.006858,0.118151,1.188090,0.219339,0.001751
0.020000,1.669768,3.391011,0.009699,0.142022,1.193574,0.274202,0.002460
0.020000,1.673089,3.391020,0.013019,0.166026,1.200155,0.329052,0.003268
0.020000,1.676892,3.391035,0.016823,0.190182,1.207833,0.383933,0.004166
0.020000,1.681183,3.391055,0.021113,0.214514,1.216609,0.438784,0.005146
0.020000,1.685963,3.391082,0.025894,0.239044,1.226482,0.493649,0.006195
0.020000,1.691239,3.391117,0.031170,0.263793,1.237452,0.548490,0.007302
0.020000,1.697015,3.391163,0.036945,0.288783,1.249518,0.603303,0.008453
0.020000,1.703295,3.391220,0.043226,0.314037,1.262680,0.658085,0.009632
0.020000,1.710086,3.391289,0.050018,0.339576,1.276936,0.712827,0.010825
0.020000,1.717394,3.391373,0.057326,0.365421,1.292287,0.767523,0.012013
0.020000,1.725226,3.391471,0.065158,0.391596,1.308730,0.822171,0.013179
0.020000,1.733587,3.391586,0.073520,0.418121,1.326265,0.876757,0.014302
0.020000,1.742487,3.391719,0.082421,0.445019,1.344892,0.931354,0.015362
0.020000,1.751932,3.391868,0.091867,0.472311,1.364610,0.985876,0.016336
0.020000,1.761931,3.392036,0.101867,0.500020,1.385419,1.040432,0.017201
0.020000,1.772492,3.392222,0.112431,0.528166,1.407319,1.095005,0.017932
0.020000,1.783626,3.392425,0.123566,0.556772,1.430312,1.149658,0.018504
0.020000,1.795341,3.392644,0.135283,0.585860,1.454400,1.204397,0.018889
0.020000,1.807648,3.392878,0.147592,0.615452,1.479586,1.259292,0.019060
0.020000,1.820557,3.393124,0.160504,0.645570,1.505873,1.314372,0.018986
0.020000,1.834079,3.393379,0.174029,0.676235,1.533266,1.369654,0.018636
0.020000,1.848226,3.393638,0.188178,0.707470,1.561769,1.425160,0.017979
0.020000,1.863010,3.393897,0.202964,0.739298,1.591387,1.480868,0.016982
0.020000,1.878443,3.394149,0.218399,0.771740,1.622121,1.536703,0.015609
0.020000,1.894537,3.394386,0.234495,0.804820,1.653972,1.592559,0.013825
0.020000,1.911307,3.394600,0.251266,0.838559,1.686937,1.648244,0.011593
0.020000,1.928766,3.394779,0.268726,0.872979,1.721004,1.703381,0.008874
0.020000,1.946927,3.394911,0.286888,0.908102,1.756157,1.757620,0.005630
0.020000,1.965806,3.394982,0.305767,0.943949,1.792361,1.810229,0.001818
0.020000,1.985417,3.394975,0.325378,0.980540,1.829571,1.860458,6.280583
0.020000,2.005775,3.394872,0.345736,1.017895,1.867713,1.907123,6.275512
0.020000,2.026894,3.394650,0.366856,1.056029,1.906690,1.948846,6.269745
0.020000,2.048790,3.394285,0.388755,1.094956,1.946366,1.983796,6.263238
0.020000,2.071478,3.393751,0.411449,1.134687,1.986560,2.009730,6.255945
0.020000,2.094971,3.393016,0.434954,1.175228,2.027039,2.023905,6.247822
0.020000,2.119283,3.392048,0.459285,1.216578,2.067498,2.022974,6.238823
0.020000,2.144427,3.390808,0.484460,1.258729,2.107558,2.003001,6.228902
0.020000,2.166353,3.389514,0.506424,1.098209,-8.025994,-506.677606,6.218933
0.020000,2.194469,3.387487,0.534613,1.409461,15.562577,1179.428580,6.203432
0.020000,2.223371,3.384940,0.563627,1.450689,2.061395,-675.059114,6.187060
0.020000,2.253066,3.381818,0.593485,1.492930,2.112068,2.533622,6.169766
