dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660168,3.035399,0.000085,0.008452,0.422577,21.128825,0.002909
0.020000,1.660168,3.035399,0.000423,0.025355,0.845153,21.128825,0.002570
0.020000,1.660168,3.035399,0.001183,0.050709,1.267730,21.128825,0.001809
0.020000,1.660168,3.035399,0.002535,0.084515,1.690306,21.128825,0.000453
0.020000,1.661832,3.035398,0.004648,0.126773,2.112883,21.128825,6.281511
0.020000,1.664874,3.035388,0.007691,0.177482,2.535459,21.128825,6.278432
0.020000,1.669014,3.035359,0.011832,0.236643,2.958036,21.128825,6.274205
0.020000,1.674339,3.035297,0.017157,0.295804,2.958036,-0.000000,6.268707
0.020000,1.680845,3.035181,0.023664,0.354964,2.958036,0.000000,6.261891
0.020000,1.688534,3.034985,0.031355,0.414125,2.958036,0.000000,6.253696
0.020000,1.697403,3.034681,0.040229,0.473286,2.958036,0.000000,6.244052
0.020000,1.707450,3.034232,0.050287,0.532446,2.958036,-0.000000,6.232872
0.020000,1.718672,3.033595,0.061527,0.591607,2.958036,-0.000000,6.220054
0.020000,1.731066,3.032721,0.073951,0.650768,2.958036,0.000000,6.205482
0.020000,1.744622,3.031554,0.087558,0.709929,2.958036,0.000000,6.189025
0.020000,1.759332,3.030028,0.102348,0.769089,2.958036,0.000000,6.170536
0.020000,1.775185,3.028070,0.118321,0.828250,2.958036,-0.000000,6.149845
0.020000,1.792162,3.025594,0.135478,0.887411,2.958036,0.000000,6.126773
0.020000,1.810240,3.022507,0.153818,0.946571,2.958036,0.000000,6.101127
0.020000,1.829388,3.018701,0.173341,1.005732,2.958036,-0.000000,6.072702
0.020000,1.849566,3.014060,0.194047,1.064893,2.958036,0.000000,6.041294
0.020000,1.870724,3.008453,0.215937,1.124054,2.958036,0.000000,6.006706
0.020000,1.892796,3.001738,0.239009,1.183214,2.958036,-0.000000,5.968770
0.020000,1.915702,2.993764,0.263265,1.242375,2.958036,0.000000,5.927364
0.020000,1.939341,2.984372,0.288704,1.301536,2.958036,-0.000000,5.882443
0.020000,1.963595,2.973401,0.315327,1.360696,2.958036,0.000000,5.834069
0.020000,1.988321,2.960689,0.343132,1.419857,2.958036,0.000000,5.782446
0.020000,2.013360,2.946088,0.372121,1.479018,2.958036,0.000000,5.727948
0.020000,2.038533,2.929462,0.402293,1.538178,2.958036,0.000000,5.671131
0.020000,2.063654,2.910706,0.433648,1.597339,2.958036,-0.000000,5.612727
0.020000,2.088534,2.889743,0.466186,1.656500,2.958036,0.000000,5.553613
0.020000,2.112990,2.866534,0.499908,1.715661,2.958036,0.000000,5.494742
0.020000,2.136862,2.841074,0.534813,1.774821,2.958036,0.000000,5.437078
0.020000,2.160012,2.813396,0.570901,1.833982,2.958036,0.000000,5.381515
0.020000,2.182338,2.783557,0.608172,1.893143,2.958036,0.000000,5.328814
0.020000,2.203774,2.751637,0.646627,1.952303,2.958036,-0.000000,5.279576
0.020000,2.224289,2.717725,0.686264,2.011464,2.958036,0.000000,5.234227
0.020000,2.243887,2.681919,0.727085,2.070625,2.958036,0.000000,5.193033
0.020000,2.262599,2.644316,0.769089,2.129786,2.958036,-0.000000,5.156135
0.020000,2.280485,2.605009,0.812277,2.188946,2.958036,0.000000,5.123578
0.020000,2.297627,2.564085,0.856647,2.248107,2.958036,-0.000000,5.095349
0.020000,2.314094,2.521703,0.902116,2.298816,2.535459,-21.128825,5.071448
0.020000,2.329955,2.478101,0.948515,2.341074,2.112883,-21.128825,5.051874
0.020000,2.345302,2.433508,0.995675,2.374880,1.690306,-21.128825,5.036588
0.020000,2.360247,2.388156,1.043426,2.400235,1.267730,-21.128825,5.025535
0.020000,2.374913,2.342270,1.091600,2.417138,0.845153,-21.128825,5.018668
0.020000,2.389436,2.296071,1.140027,2.425589,0.422577,-21.128825,5.015958
0.020000,2.403936,2.249844,1.188475,2.419205,-0.319186,-37.088113,5.017395
0.020000,2.418533,2.203870,1.236711,2.404370,-0.741762,-21.128825,5.022980
0.020000,2.433364,2.158372,1.284565,2.381083,-1.164339,-21.128825,5.032730
