dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660968,2.679800,0.000074,0.007442,0.372119,18.605958,0.002249
0.020000,1.660901,2.679800,0.000142,0.003377,-0.203255,-28.768685,0.002059
0.020000,1.660765,2.679799,0.000277,0.006757,0.169002,18.612845,0.001679
0.020000,1.660563,2.679799,0.000480,0.010143,0.169278,0.013776,0.001108
0.020000,1.660292,2.679799,0.000751,0.013537,0.169691,0.020667,0.000347
0.020000,1.660900,2.679799,0.001359,0.030396,0.842987,33.664776,6.282579
0.020000,1.662278,2.679797,0.002737,0.068920,1.926187,54.160013,6.281432
0.020000,1.663885,2.679793,0.004344,0.080343,0.571133,-67.752707,6.280090
0.020000,1.665719,2.679786,0.006177,0.091677,0.566709,-0.221207,6.278552
0.020000,1.667780,2.679775,0.008239,0.103083,0.570310,0.180042,6.276813
0.020000,1.670067,2.679758,0.010526,0.114357,0.563702,-0.330374,6.274872
0.020000,1.672579,2.679734,0.013038,0.125593,0.561779,-0.096153,6.272727
0.020000,1.675314,2.679703,0.015774,0.136780,0.559341,-0.121913,6.270374
0.020000,1.678272,2.679661,0.018732,0.147905,0.556246,-0.154732,6.267810
0.020000,1.681451,2.679608,0.021911,0.158954,0.552490,-0.187826,6.265030
0.020000,1.684849,2.679541,0.025310,0.169936,0.549087,-0.170134,6.262032
0.020000,1.688466,2.679459,0.028927,0.180891,0.547765,-0.066073,6.258809
0.020000,1.692298,2.679358,0.032761,0.191663,0.538565,-0.460030,6.255359
0.020000,1.696345,2.679238,0.036809,0.202434,0.538584,0.000963,6.251674
0.020000,1.700603,2.679096,0.041070,0.213014,0.528958,-0.481307,6.247751
0.020000,1.705071,2.678928,0.045542,0.223597,0.529168,0.010511,6.243581
0.020000,1.709747,2.678733,0.050222,0.233998,0.520032,-0.456806,6.239161
0.020000,1.714628,2.678506,0.055107,0.244284,0.514326,-0.285329,6.234483
0.020000,1.719710,2.678246,0.060196,0.254452,0.508376,-0.297499,6.229539
0.020000,1.724991,2.677948,0.065486,0.264484,0.501612,-0.338154,6.224323
0.020000,1.730468,2.677611,0.070973,0.274365,0.494034,-0.378932,6.218826
0.020000,1.736138,2.677229,0.076655,0.284110,0.487252,-0.339071,6.213039
0.020000,1.741996,2.676799,0.082530,0.293722,0.480626,-0.331311,6.206954
0.020000,1.748039,2.676318,0.088592,0.303085,0.468129,-0.624873,6.200562
0.020000,1.754264,2.675782,0.094839,0.312384,0.464969,-0.157998,6.193852
0.020000,1.760664,2.675186,0.101267,0.321413,0.451439,-0.676468,6.186814
0.020000,1.767236,2.674526,0.107873,0.330267,0.442688,-0.437552,6.179438
0.020000,1.773976,2.673798,0.114651,0.338934,0.433396,-0.464625,6.171712
0.020000,1.780878,2.672998,0.121599,0.347398,0.423166,-0.511508,6.163624
0.020000,1.787936,2.672119,0.128712,0.355638,0.412028,-0.556900,6.155162
0.020000,1.795145,2.671159,0.135985,0.363639,0.400023,-0.600241,6.146314
0.020000,1.802499,2.670112,0.143413,0.371399,0.388000,-0.601118,6.137066
0.020000,1.809992,2.668972,0.150993,0.378978,0.378949,-0.452573,6.127404
0.020000,1.817617,2.667735,0.158717,0.386243,0.363280,-0.783438,6.117316
0.020000,1.825368,2.666396,0.166583,0.393275,0.351557,-0.586157,6.106787
0.020000,1.833238,2.664949,0.174585,0.400085,0.340515,-0.552085,6.095803
0.020000,1.841219,2.663388,0.182717,0.406609,0.326198,-0.715870,6.084348
0.020000,1.849304,2.661709,0.190975,0.412896,0.314381,-0.590831,6.072409
0.020000,1.857486,2.659905,0.199353,0.418919,0.301121,-0.663035,6.059972
0.020000,1.865756,2.657972,0.207846,0.424662,0.287140,-0.699026,6.047022
0.020000,1.874108,2.655903,0.216451,0.430217,0.277766,-0.468724,6.033546
0.020000,1.882533,2.653692,0.225160,0.435491,0.263693,-0.703622,6.019530
0.020000,1.891023,2.651334,0.233972,0.440570,0.253964,-0.486476,6.004964
0.020000,1.899571,2.648823,0.242881,0.445462,0.244574,-0.469472,5.989834
0.020000,1.908169,2.646152,0.251885,0.450179,0.235871,-0.435153,5.974132
0.020000,1.916810,2.643316,0.260980,0.454744,0.228236,-0.381739,5.957850
0.020000,1.925488,2.640307,0.270164,0.459201,0.222862,-0.268746,5.940983
0.020000,1.934195,2.637120,0.279436,0.463624,0.221138,-0.086189,5.923526
0.020000,1.942927,2.633747,0.288796,0.468023,0.219938,-0.059971,5.905479
0.020000,1.951677,2.630180,0.298246,0.472469,0.222327,0.119445,5.886846
0.020000,1.960443,2.626413,0.307787,0.477034,0.228249,0.296094,5.867633
0.020000,1.969220,2.622437,0.317422,0.481783,0.237426,0.458847,5.847850
0.020000,1.978006,2.618241,0.327159,0.486828,0.252264,0.741884,5.827512
0.020000,1.986800,2.613818,0.337003,0.492193,0.268235,0.798578,5.806640
0.020000,1.995601,2.609154,0.346963,0.498038,0.292249,1.200685,5.785259
0.020000,2.004412,2.604240,0.357052,0.504413,0.318777,1.326401,5.763399
0.020000,2.013232,2.599060,0.367280,0.511432,0.350961,1.609178,5.741098
0.020000,2.022066,2.593602,0.377664,0.519205,0.388658,1.884879,5.718396
0.020000,2.030917,2.587850,0.388221,0.527813,0.430377,2.085964,5.695341
0.020000,2.039790,2.581786,0.398968,0.537354,0.477071,2.334694,5.671986
0.020000,2.048689,2.575392,0.409926,0.547917,0.528119,2.552364,5.648388
0.020000,2.057621,2.568648,0.421118,0.559583,0.583311,2.759622,5.624608
0.020000,2.066590,2.561534,0.432566,0.572408,0.641253,2.897098,5.600713
0.020000,2.075603,2.554027,0.444295,0.586448,0.701983,3.036525,5.576770
0.020000,2.084663,2.546106,0.456329,0.601731,0.764178,3.109741,5.552850
0.020000,2.093775,2.537747,0.468695,0.618281,0.827489,3.165557,5.529023
0.020000,2.102943,2.528927,0.481417,0.636099,0.890905,3.170755,5.505362
0.020000,2.112169,2.519622,0.494520,0.655165,0.953285,3.119021,5.481935
0.020000,2.121455,2.509811,0.508029,0.675446,1.014050,3.038266,5.458812
0.020000,2.130801,2.499471,0.521967,0.696894,1.072426,2.918787,5.436059
0.020000,2.140207,2.488581,0.536356,0.719449,1.127712,2.764279,5.413736
0.020000,2.149670,2.477123,0.551217,0.743037,1.179412,2.585042,5.391903
0.020000,2.159188,2.465079,0.566568,0.767576,1.226930,2.375868,5.370613
0.020000,2.168758,2.452432,0.582428,0.792983,1.270373,2.172156,5.349915
0.020000,2.178376,2.439168,0.598811,0.819167,1.309200,1.941352,5.329852
0.020000,2.188037,2.425276,0.615732,0.846042,1.343748,1.727378,5.310464
0.020000,2.197736,2.410746,0.633202,0.873510,1.373408,1.483001,5.291783
0.020000,2.207471,2.395570,0.651232,0.901501,1.399537,1.306470,5.273840
0.020000,2.217236,2.379741,0.669831,0.929929,1.421393,1.092800,5.256658
0.020000,2.227027,2.363255,0.689005,0.958722,1.439678,0.914267,5.240258
0.020000,2.236843,2.346110,0.708762,0.987818,1.454783,0.755240,5.224658
0.020000,2.246681,2.328304,0.729105,1.017160,1.467123,0.616976,5.209870
0.020000,2.256541,2.309837,0.750039,1.046699,1.476952,0.491457,5.195907
0.020000,2.266422,2.290711,0.771567,1.076395,1.484758,0.390288,5.182777
0.020000,2.276326,2.270927,0.793691,1.106228,1.491696,0.346928,5.170487
0.020000,2.286256,2.250488,0.816415,1.136160,1.496590,0.244676,5.159044
0.020000,2.296218,2.229399,0.839739,1.166197,1.501819,0.261493,5.148452
0.020000,2.306216,2.207661,0.863665,1.196309,1.505637,0.190877,5.138718
0.020000,2.316232,2.185342,0.888129,1.223203,1.344697,-8.046995,5.129867
0.020000,2.326199,2.162622,0.912939,1.240507,0.865209,-23.974418,5.121957
0.020000,2.336055,2.139696,0.937894,1.247738,0.361551,-25.182911,5.115014
0.020000,2.345783,2.116660,0.962899,1.250264,0.126283,-11.763397,5.109016
0.020000,2.355391,2.093549,0.987928,1.251427,0.058143,-3.406961,5.103921
0.020000,2.364894,2.070386,1.012964,1.251844,0.020841,-1.865109,5.099686
0.020000,2.374307,2.047192,1.037996,1.251568,-0.013787,-1.731411,5.096273
0.020000,2.383643,2.023987,1.063009,1.250657,-0.045530,-1.587134,5.093647
0.020000,2.392916,2.000788,1.087992,1.249165,-0.074636,-1.455290,5.091773
0.020000,2.402139,1.977613,1.112935,1.247138,-0.101353,-1.335852,5.090622
0.020000,2.411325,1.954477,1.137827,1.244619,-0.125931,-1.228916,5.090167
0.020000,2.420486,1.931396,1.162660,1.241650,-0.148433,-1.125098,5.090382
0.020000,2.429634,1.908382,1.187426,1.238268,-0.169148,-1.035749,5.091244
0.020000,2.438782,1.885449,1.212116,1.234502,-0.188282,-0.956712,5.092732
0.020000,2.447940,1.862609,1.236724,1.230384,-0.205909,-0.881353,5.094825
0.020000,2.457119,1.839874,1.261242,1.225939,-0.222216,-0.815342,5.097505
0.020000,2.466330,1.817253,1.285666,1.221192,-0.237388,-0.758614,5.100755
0.020000,2.475582,1.794759,1.309989,1.216160,-0.251603,-0.710726,5.104559
0.020000,2.484886,1.772400,1.334207,1.210859,-0.265027,-0.671229,5.108903
0.020000,2.494249,1.750186,1.358313,1.205303,-0.277821,-0.639668,5.113771
0.020000,2.503680,1.728128,1.382303,1.199515,-0.289362,-0.577076,5.119151
0.020000,2.513187,1.706233,1.406172,1.193482,-0.301684,-0.616111,5.125029
0.020000,2.522778,1.684511,1.429917,1.187237,-0.312257,-0.528613,5.131392
0.020000,2.532458,1.662971,1.453532,1.180761,-0.323760,-0.575150,5.138229
0.020000,2.542235,1.641622,1.477014,1.174068,-0.334674,-0.545734,5.145526
0.020000,2.552114,1.620472,1.500357,1.167157,-0.345550,-0.543805,5.153272
0.020000,2.562099,1.599531,1.523557,1.160025,-0.356578,-0.551397,5.161454
0.020000,2.572196,1.578806,1.546611,1.152668,-0.367871,-0.564620,5.170059
0.020000,2.582407,1.558307,1.569512,1.145077,-0.379531,-0.583005,5.179075
0.020000,2.592735,1.538042,1.592257,1.137251,-0.391302,-0.588543,5.188487
0.020000,2.603183,1.518020,1.614841,1.129182,-0.403465,-0.608145,5.198283
0.020000,2.613751,1.498251,1.637258,1.120843,-0.416947,-0.674095,5.208447
0.020000,2.624441,1.478743,1.659503,1.112247,-0.429815,-0.643408,5.218965
0.020000,2.635252,1.459505,1.681570,1.103363,-0.444198,-0.719185,5.229820
0.020000,2.646182,1.440547,1.703454,1.094180,-0.459139,-0.747030,5.240996
0.020000,2.657230,1.421877,1.725147,1.084689,-0.474530,-0.769566,5.252476
0.020000,2.668391,1.403504,1.746645,1.074875,-0.490740,-0.810476,5.264241
0.020000,2.679664,1.385438,1.767939,1.064719,-0.507777,-0.851838,5.276271
0.020000,2.691041,1.367687,1.789023,1.054206,-0.525629,-0.892605,5.288548
0.020000,2.702518,1.350260,1.809890,1.043327,-0.543986,-0.917856,5.301050
0.020000,2.714088,1.333166,1.830531,1.032070,-0.562839,-0.942676,5.313755
0.020000,2.725742,1.316413,1.850940,1.020407,-0.583168,-1.016455,5.326642
0.020000,2.737472,1.300008,1.871106,1.008344,-0.603123,-0.997724,5.339688
0.020000,2.749268,1.283960,1.891024,0.995864,-0.624009,-1.044323,5.352869
0.020000,2.761120,1.268275,1.910683,0.982954,-0.645490,-1.074016,5.366161
0.020000,2.773016,1.252961,1.930075,0.969613,-0.667056,-1.078314,5.379540
