dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.719882,2.692048,0.000080,0.007970,0.398497,19.924855,4.711179
0.020000,1.719882,2.692048,0.000398,0.023910,0.796994,19.924855,4.711312
0.020000,1.719882,2.692048,0.001116,0.047820,1.195491,19.924855,4.711612
0.020000,1.719882,2.692048,0.002311,0.071729,1.195491,0.000000,4.712111
0.020000,1.719882,2.691040,0.003985,0.095639,1.195491,0.000000,4.712810
0.020000,1.719884,2.688888,0.006137,0.119549,1.195491,0.000000,4.713710
0.020000,1.719889,2.686258,0.008767,0.143459,1.195491,-0.000000,4.714812
0.020000,1.719898,2.683150,0.011875,0.167369,1.195491,0.000000,4.716116
0.020000,1.719914,2.679563,0.015462,0.191279,1.195491,-0.000000,4.717625
0.020000,1.719939,2.675498,0.019526,0.215188,1.195491,0.000000,4.719338
0.020000,1.719975,2.670956,0.024069,0.239098,1.195491,0.000000,4.721259
0.020000,1.720025,2.665935,0.029090,0.263008,1.195491,-0.000000,4.723388
0.020000,1.720092,2.660436,0.034590,0.286918,1.195491,0.000000,4.725728
0.020000,1.720179,2.654459,0.040567,0.310828,1.195491,0.000000,4.728280
0.020000,1.720291,2.648005,0.047023,0.334738,1.195491,-0.000000,4.731047
0.020000,1.720430,2.641072,0.053957,0.358647,1.195491,0.000000,4.734032
0.020000,1.720603,2.633662,0.061369,0.382557,1.195491,0.000000,4.737237
0.020000,1.720812,2.625775,0.069259,0.406467,1.195491,0.000000,4.740664
0.020000,1.721064,2.617410,0.077627,0.430377,1.195491,-0.000000,4.744318
0.020000,1.721364,2.608568,0.086474,0.454287,1.195491,0.000000,4.748201
0.020000,1.721717,2.599250,0.095799,0.478197,1.195491,0.000000,4.752317
0.020000,1.722129,2.589456,0.105602,0.502106,1.195491,0.000000,4.756669
0.020000,1.722608,2.579186,0.115883,0.526016,1.195491,-0.000000,4.761260
0.020000,1.723160,2.568441,0.126642,0.549926,1.195491,0.000000,4.766096
0.020000,1.723791,2.557221,0.137880,0.573836,1.195491,-0.000000,4.771179
0.020000,1.724511,2.545527,0.149596,0.597746,1.195491,0.000000,4.776514
0.020000,1.725326,2.533360,0.161790,0.621655,1.195491,-0.000000,4.782106
0.020000,1.726246,2.520722,0.174462,0.645565,1.195491,0.000000,4.787958
0.020000,1.727279,2.507612,0.187612,0.669475,1.195491,0.000000,4.794075
0.020000,1.728434,2.494032,0.201241,0.693385,1.195491,-0.000000,4.800463
0.020000,1.729722,2.479984,0.215348,0.717295,1.195491,0.000000,4.807125
0.020000,1.731152,2.465470,0.229933,0.741205,1.195491,0.000000,4.814067
0.020000,1.732735,2.450490,0.244996,0.765114,1.195491,-0.000000,4.821293
0.020000,1.734482,2.435047,0.260537,0.789024,1.195491,0.000000,4.828808
0.020000,1.736405,2.419143,0.276557,0.812934,1.195491,0.000000,4.836618
0.020000,1.738515,2.402781,0.293055,0.836844,1.195491,-0.000000,4.844727
0.020000,1.740826,2.385963,0.310031,0.860754,1.195491,0.000000,4.853140
0.020000,1.743350,2.368693,0.327485,0.884664,1.195491,0.000000,4.861861
0.020000,1.746100,2.350973,0.345417,0.908573,1.195491,-0.000000,4.870895
0.020000,1.749091,2.332807,0.363828,0.932483,1.195491,0.000000,4.880246
0.020000,1.752336,2.314199,0.382717,0.956393,1.195491,0.000000,4.889919
0.020000,1.755852,2.295154,0.402084,0.980303,1.195491,-0.000000,4.899918
0.020000,1.759652,2.275676,0.421929,1.004213,1.195491,0.000000,4.910245
0.020000,1.763753,2.255771,0.442252,1.028123,1.195491,-0.000000,4.920903
0.020000,1.768171,2.235444,0.463054,1.052032,1.195491,0.000000,4.931896
0.020000,1.772922,2.214701,0.484333,1.075942,1.195491,0.000000,4.943226
0.020000,1.778023,2.193550,0.506091,1.099852,1.195491,0.000000,4.954892
0.020000,1.783492,2.171997,0.528327,1.123762,1.195491,0.000000,4.966897
0.020000,1.789346,2.150050,0.551042,1.147672,1.195491,-0.000000,4.979240
0.020000,1.795603,2.127718,0.574234,1.171581,1.195491,0.000000,4.991920
0.020000,1.802282,2.105009,0.597905,1.195491,1.195491,0.000000,5.004935
0.020000,1.809400,2.081933,0.622054,1.219401,1.195491,-0.000000,5.018282
0.020000,1.816977,2.058501,0.646681,1.243311,1.195491,0.000000,5.031957
0.020000,1.825030,2.034723,0.671786,1.267221,1.195491,0.000000,5.045954
0.020000,1.833579,2.010610,0.697370,1.291131,1.195491,-0.000000,5.060267
0.020000,1.842642,1.986175,0.723432,1.315040,1.195491,0.000000,5.074887
0.020000,1.852238,1.961431,0.749972,1.338950,1.195491,0.000000,5.089806
0.020000,1.862386,1.936391,0.776990,1.362860,1.195491,-0.000000,5.105012
0.020000,1.873102,1.911070,0.804486,1.386770,1.195491,0.000000,5.120493
0.020000,1.884406,1.885481,0.832460,1.410680,1.195491,0.000000,5.136236
0.020000,1.896315,1.859641,0.860913,1.434590,1.195491,-0.000000,5.152224
0.020000,1.908845,1.833564,0.889844,1.458499,1.195491,0.000000,5.168441
0.020000,1.922014,1.807269,0.919253,1.482409,1.195491,0.000000,5.184869
0.020000,1.935836,1.780770,0.949140,1.506319,1.195491,0.000000,5.201489
0.020000,1.950327,1.754086,0.979506,1.530229,1.195491,-0.000000,5.218278
0.020000,1.965502,1.727234,1.010350,1.554139,1.195491,0.000000,5.235214
0.020000,1.981373,1.700231,1.041671,1.578048,1.195491,0.000000,5.252275
0.020000,1.997953,1.673096,1.073471,1.601958,1.195491,-0.000000,5.269437
0.020000,2.015253,1.645846,1.105750,1.625868,1.195491,0.000000,5.286673
0.020000,2.033285,1.618500,1.138506,1.649778,1.195491,-0.000000,5.303958
0.020000,2.052057,1.591075,1.171741,1.673688,1.195491,-0.000000,5.321266
0.020000,2.071578,1.563589,1.205454,1.697598,1.195491,0.000000,5.338571
0.020000,2.091807,1.536124,1.239565,1.713538,0.796994,-19.924855,5.355806
0.020000,2.112649,1.508820,1.273916,1.721507,0.398497,-19.924855,5.372867
0.020000,2.133986,1.481826,1.308324,1.719351,-0.107803,-25.314986,5.389649
0.020000,2.155691,1.455285,1.342610,1.709225,-0.506300,-19.924855,5.406053
0.020000,2.177639,1.429315,1.376613,1.691129,-0.904797,-19.924855,5.421997
0.020000,2.199717,1.404008,1.410197,1.667220,-1.195491,-14.534724,5.437420
0.020000,2.221855,1.379394,1.443302,1.643310,-1.195491,0.000000,5.452301
0.020000,2.244025,1.355458,1.475929,1.619400,-1.195491,0.000000,5.466650
0.020000,2.266201,1.332182,1.508078,1.595490,-1.195491,-0.000000,5.480477
0.020000,2.288356,1.309551,1.539749,1.571580,-1.195491,0.000000,5.493792
0.020000,2.310467,1.287548,1.570941,1.547671,-1.195491,0.000000,5.506609
0.020000,2.332508,1.266159,1.601656,1.523761,-1.195491,-0.000000,5.518941
0.020000,2.354460,1.245366,1.631892,1.499851,-1.195491,0.000000,5.530800
0.020000,2.376301,1.225155,1.661650,1.475941,-1.195491,0.000000,5.542200
0.020000,2.398012,1.205509,1.690929,1.452031,-1.195491,-0.000000,5.553156
0.020000,2.419574,1.186416,1.719731,1.428121,-1.195491,0.000000,5.563681
0.020000,2.440972,1.167859,1.748054,1.404212,-1.195491,-0.000000,5.573790
0.020000,2.462187,1.149824,1.775899,1.380302,-1.195491,0.000000,5.583497
0.020000,2.483206,1.132299,1.803266,1.356392,-1.195491,0.000000,5.592815
0.020000,2.504015,1.115269,1.830155,1.332482,-1.195491,-0.000000,5.601758
0.020000,2.524598,1.098721,1.856566,1.308572,-1.195491,-0.000000,5.610339
0.020000,2.544945,1.082644,1.882498,1.284662,-1.195491,0.000000,5.618572
0.020000,2.565044,1.067024,1.907952,1.260753,-1.195491,-0.000000,5.626469
0.020000,2.584882,1.051851,1.932928,1.236843,-1.195491,0.000000,5.634042
0.020000,2.604451,1.037114,1.957426,1.212933,-1.195491,0.000000,5.641305
0.020000,2.623740,1.022800,1.981445,1.189023,-1.195491,-0.000000,5.648267
0.020000,2.642740,1.008901,2.004987,1.165113,-1.195491,0.000000,5.654941
0.020000,2.661443,0.995407,2.028050,1.141203,-1.195491,0.000000,5.661337
0.020000,2.679841,0.982306,2.050635,1.117294,-1.195491,0.000000,5.667467
0.020000,2.697925,0.969592,2.072742,1.093384,-1.195491,-0.000000,5.673339
0.020000,2.715690,0.957255,2.094370,1.069474,-1.195491,-0.000000,5.678964
0.020000,2.733128,0.945286,2.115521,1.045564,-1.195491,0.000000,5.684352
0.020000,2.750233,0.933677,2.136193,1.021654,-1.195491,-0.000000,5.689510
0.020000,2.767000,0.922422,2.156387,0.997745,-1.195491,-0.000000,5.694448
0.020000,2.783422,0.911513,2.176103,0.973835,-1.195491,0.000000,5.699175
0.020000,2.799495,0.900942,2.195340,0.949925,-1.195491,0.000000,5.703697
0.020000,2.815214,0.890704,2.214100,0.926015,-1.195491,-0.000000,5.708023
0.020000,2.830575,0.880791,2.232381,0.902105,-1.195491,0.000000,5.712160
0.020000,2.845572,0.871198,2.250184,0.878195,-1.195491,-0.000000,5.716114
0.020000,2.860203,0.861920,2.267509,0.854286,-1.195491,0.000000,5.719894
0.020000,2.874463,0.852950,2.284355,0.830376,-1.195491,0.000000,5.723504
0.020000,2.888349,0.844284,2.300724,0.806466,-1.195491,-0.000000,5.726951
0.020000,2.901858,0.835916,2.316614,0.782556,-1.195491,0.000000,5.730241
0.020000,2.914986,0.827842,2.332026,0.758646,-1.195491,0.000000,5.733379
0.020000,2.927730,0.820058,2.346960,0.734736,-1.195491,-0.000000,5.736372
0.020000,2.940089,0.812559,2.361415,0.710827,-1.195491,0.000000,5.739223
0.020000,2.952059,0.805342,2.375393,0.686917,-1.195491,0.000000,5.741937
0.020000,2.963637,0.798402,2.388892,0.663007,-1.195491,-0.000000,5.744520
0.020000,2.974823,0.791736,2.401913,0.639097,-1.195491,-0.000000,5.746975
0.020000,2.985613,0.785341,2.414456,0.615187,-1.195491,0.000000,5.749307
0.020000,2.996005,0.779213,2.426521,0.591277,-1.195491,0.000000,5.751520
0.020000,3.005999,0.773349,2.438107,0.567368,-1.195491,-0.000000,5.753618
0.020000,3.015591,0.767748,2.449215,0.543458,-1.195491,0.000000,5.755603
0.020000,3.024781,0.762405,2.459845,0.519548,-1.195491,0.000000,5.757480
0.020000,3.033566,0.757318,2.469997,0.495638,-1.195491,0.000000,5.759251
0.020000,3.041946,0.752485,2.479671,0.471728,-1.195491,-0.000000,5.760920
0.020000,3.049919,0.747904,2.488866,0.447819,-1.195491,0.000000,5.762489
0.020000,3.057485,0.743573,2.497584,0.423909,-1.195491,-0.000000,5.763962
0.020000,3.064641,0.739490,2.505823,0.399999,-1.195491,-0.000000,5.765340
0.020000,3.071386,0.735653,2.513584,0.376089,-1.195491,0.000000,5.766627
0.020000,3.077721,0.732060,2.520866,0.352179,-1.195491,-0.000000,5.767823
0.020000,3.083644,0.728709,2.527671,0.328269,-1.195491,-0.000000,5.768932
0.020000,3.089153,0.725600,2.533997,0.304360,-1.195491,0.000000,5.769955
0.020000,3.094249,0.722731,2.539845,0.280450,-1.195491,0.000000,5.770894
0.020000,3.098931,0.720101,2.545215,0.256540,-1.195491,-0.000000,5.771750
0.020000,3.103198,0.717709,2.550107,0.232630,-1.195491,0.000000,5.772525
0.020000,3.107049,0.715553,2.554520,0.208720,-1.195491,0.000000,5.773221
0.020000,3.110484,0.713633,2.558456,0.184810,-1.195491,0.000000,5.773839
0.020000,3.113503,0.711948,2.561913,0.160901,-1.195491,-0.000000,5.774378
0.020000,3.116105,0.710497,2.564892,0.136991,-1.195491,0.000000,5.774842
0.020000,3.118289,0.709281,2.567392,0.113081,-1.195491,-0.000000,5.775230
0.020000,3.120057,0.708297,2.569415,0.089171,-1.195491,0.000000,5.775542
0.020000,3.121406,0.707547,2.570959,0.065261,-1.195491,-0.000000,5.775781
0.020000,3.122338,0.707029,2.572025,0.041351,-1.195491,0.000000,5.775945
0.020000,3.122871,0.706733,2.572635,0.019598,-1.087689,5.390131,5.776039
0.020000,3.123093,0.706609,2.572889,0.005814,-0.689192,19.924855,5.776078
0.020000,3.123144,0.706581,2.572947,0.000000,-0.290694,19.924855,5.776087
0.020000,3.123144,0.706581,2.572947,0.000000,0.000000,14.534724,5.776087
