dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660193,3.390999,0.000199,0.019868,0.993382,49.669088,6.283117
0.020000,1.660458,3.390999,0.000464,0.013276,-0.329598,-66.148972,0.000077
0.020000,1.661366,3.390999,0.001372,0.045400,1.606235,96.791634,0.000317
0.020000,1.662638,3.391000,0.002644,0.063606,0.910289,-34.797307,0.000651
0.020000,1.664275,3.391001,0.004281,0.081858,0.912570,0.114069,0.001075
0.020000,1.666279,3.391004,0.006285,0.100168,0.915504,0.146669,0.001587
0.020000,1.668650,3.391008,0.008656,0.118549,0.919089,0.179267,0.002183
0.020000,1.671390,3.391015,0.011396,0.137016,0.923327,0.211884,0.002857
0.020000,1.674502,3.391025,0.014508,0.155580,0.928216,0.244489,0.003605
0.020000,1.677987,3.391039,0.017993,0.174255,0.933758,0.277101,0.004420
0.020000,1.681848,3.391058,0.021854,0.193054,0.939953,0.309712,0.005295
0.020000,1.686088,3.391082,0.026094,0.211990,0.946799,0.342316,0.006222
0.020000,1.690709,3.391113,0.030715,0.231076,0.954297,0.374903,0.007193
0.020000,1.695715,3.391152,0.035722,0.250325,0.962447,0.407495,0.008199
0.020000,1.701110,3.391199,0.041117,0.269750,0.971248,0.440053,0.009230
0.020000,1.706897,3.391256,0.046904,0.289364,0.980700,0.472594,0.010275
0.020000,1.713080,3.391322,0.053088,0.309180,0.990802,0.505117,0.011323
0.020000,1.719664,3.391400,0.059672,0.329211,1.001554,0.537602,0.012362
0.020000,1.726653,3.391490,0.066661,0.349471,1.012956,0.570083,0.013379
0.020000,1.734052,3.391593,0.074061,0.369971,1.025006,0.602516,0.014361
0.020000,1.741865,3.391709,0.081875,0.390725,1.037705,0.634961,0.015292
0.020000,1.750099,3.391839,0.090110,0.411746,1.051053,0.667372,0.016159
0.020000,1.758759,3.391982,0.098771,0.433047,1.065049,0.699795,0.016945
0.020000,1.767850,3.392139,0.107864,0.454641,1.079693,0.732216,0.017634
0.020000,1.777380,3.392310,0.117395,0.476540,1.094987,0.764707,0.018208
0.020000,1.787353,3.392494,0.127370,0.498759,1.110931,0.797191,0.018651
0.020000,1.797777,3.392690,0.137796,0.521310,1.127527,0.829781,0.018942
0.020000,1.808660,3.392897,0.148680,0.544205,1.144775,0.862438,0.019063
0.020000,1.820007,3.393113,0.160029,0.567459,1.162679,0.895197,0.018994
0.020000,1.831826,3.393337,0.171851,0.591084,1.181241,0.928069,0.018714
0.020000,1.844126,3.393564,0.184153,0.615093,1.200462,0.961056,0.018200
0.020000,1.856914,3.393792,0.196943,0.639500,1.220345,0.994147,0.017431
0.020000,1.870198,3.394017,0.210229,0.664317,1.240891,1.027330,0.016384
0.020000,1.883988,3.394234,0.224020,0.689560,1.262102,1.060542,0.015035
0.020000,1.898291,3.394437,0.238325,0.715239,1.283977,1.093710,0.013358
0.020000,1.913118,3.394621,0.253153,0.741369,1.306511,1.126726,0.011330
0.020000,1.928476,3.394776,0.268512,0.767963,1.329700,1.159447,0.008923
0.020000,1.944376,3.394896,0.284413,0.795034,1.353532,1.191578,0.006111
0.020000,1.960828,3.394971,0.300864,0.822594,1.377990,1.222917,0.002866
0.020000,1.977841,3.394988,0.317877,0.850655,1.403050,1.253020,6.282346
0.020000,1.995426,3.394937,0.335462,0.879228,1.428679,1.281419,6.278151
0.020000,2.013592,3.394804,0.353629,0.908325,1.454828,1.307479,6.273436
