dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660168,3.035399,0.000075,0.007472,0.373604,18.680225,6.282977
0.020000,1.660168,3.035399,0.000374,0.022416,0.747209,18.680225,6.283131
0.020000,1.660662,3.035399,0.000971,0.037360,0.747209,-0.000000,0.000254
0.020000,1.661558,3.035399,0.001868,0.052305,0.747209,0.000000,0.000715
0.020000,1.662754,3.035401,0.003064,0.067249,0.747209,0.000000,0.001327
0.020000,1.664248,3.035403,0.004558,0.082193,0.747209,-0.000000,0.002086
0.020000,1.666042,3.035408,0.006351,0.097137,0.747209,0.000000,0.002990
0.020000,1.668134,3.035415,0.008443,0.112081,0.747209,-0.000000,0.004036
0.020000,1.670525,3.035426,0.010835,0.127026,0.747209,0.000000,0.005217
0.020000,1.673215,3.035442,0.013524,0.141970,0.747209,0.000000,0.006531
0.020000,1.676203,3.035464,0.016513,0.156914,0.747209,-0.000000,0.007969
0.020000,1.679491,3.035492,0.019801,0.171858,0.747209,0.000000,0.009527
0.020000,1.683077,3.035530,0.023388,0.186802,0.747209,-0.000000,0.011196
0.020000,1.686963,3.035577,0.027273,0.201746,0.747209,0.000000,0.012970
0.020000,1.691147,3.035635,0.031457,0.216691,0.747209,-0.000000,0.014839
0.020000,1.695629,3.035706,0.035941,0.231635,0.747209,0.000000,0.016795
0.020000,1.700411,3.035791,0.040723,0.246579,0.747209,-0.000000,0.018828
0.020000,1.705491,3.035892,0.045804,0.261523,0.747209,0.000000,0.020928
0.020000,1.710869,3.036010,0.051184,0.276467,0.747209,-0.000000,0.023083
0.020000,1.716546,3.036148,0.056863,0.291412,0.747209,-0.000000,0.025281
0.020000,1.722522,3.036305,0.062840,0.306356,0.747209,0.000000,0.027511
0.020000,1.728796,3.036485,0.069117,0.321300,0.747209,0.000000,0.029759
0.020000,1.735368,3.036688,0.075692,0.336244,0.747209,-0.000000,0.032012
0.020000,1.742239,3.036916,0.082567,0.351188,0.747209,0.000000,0.034256
0.020000,1.749408,3.037170,0.089740,0.366132,0.747209,0.000000,0.036474
0.020000,1.756874,3.037451,0.097212,0.381077,0.747209,0.000000,0.038653
0.020000,1.764639,3.037759,0.104983,0.396021,0.747209,-0.000000,0.040775
0.020000,1.772702,3.038097,0.113053,0.410965,0.747209,-0.000000,0.042823
0.020000,1.781063,3.038463,0.121421,0.425909,0.747209,0.000000,0.044780
0.020000,1.789721,3.038859,0.130089,0.440853,0.747209,0.000000,0.046629
0.020000,1.798678,3.039285,0.139056,0.455797,0.747209,-0.000000,0.048349
