dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660144,2.679799,0.000199,0.019868,0.993382,49.669088,6.283117
0.020000,1.660513,2.679799,0.000567,0.018424,-0.072172,-53.277677,0.000077
0.020000,1.661592,2.679799,0.001646,0.053938,1.775680,92.392574,0.000317
0.020000,1.663101,2.679800,0.003155,0.075467,1.076475,-34.960255,0.000651
0.020000,1.665040,2.679802,0.005094,0.096951,1.074193,-0.114069,0.001075
0.020000,1.667407,2.679805,0.007462,0.118376,1.071260,-0.146667,0.001587
0.020000,1.670202,2.679810,0.010256,0.139730,1.067674,-0.179278,0.002183
0.020000,1.673422,2.679818,0.013476,0.160999,1.063437,-0.211875,0.002857
0.020000,1.677065,2.679830,0.017120,0.182170,1.058547,-0.244493,0.003605
0.020000,1.681130,2.679846,0.021184,0.203230,1.053005,-0.277104,0.004420
0.020000,1.685613,2.679868,0.025668,0.224166,1.046811,-0.309710,0.005295
0.020000,1.690512,2.679896,0.030567,0.244965,1.039964,-0.342314,0.006222
0.020000,1.695825,2.679932,0.035879,0.265614,1.032466,-0.374916,0.007193
0.020000,1.701546,2.679976,0.041601,0.286101,1.024316,-0.407484,0.008199
0.020000,1.707674,2.680029,0.047730,0.306411,1.015515,-0.440053,0.009230
0.020000,1.714205,2.680093,0.054260,0.326532,1.006063,-0.472596,0.010275
0.020000,1.721133,2.680168,0.061189,0.346452,0.995961,-0.505110,0.011323
0.020000,1.728456,2.680255,0.068512,0.366156,0.985209,-0.537613,0.012362
0.020000,1.736168,2.680354,0.076225,0.385632,0.973808,-0.570068,0.013379
0.020000,1.744265,2.680466,0.084322,0.404867,0.961757,-0.602530,0.014361
0.020000,1.752741,2.680592,0.092799,0.423848,0.949058,-0.634943,0.015292
0.020000,1.761591,2.680731,0.101650,0.442562,0.935711,-0.667372,0.016159
0.020000,1.770809,2.680884,0.110870,0.460997,0.921715,-0.699789,0.016945
0.020000,1.780391,2.681050,0.120453,0.479138,0.907070,-0.732238,0.017634
0.020000,1.790329,2.681228,0.130393,0.496974,0.891777,-0.764673,0.018208
0.020000,1.800617,2.681418,0.140682,0.514490,0.875833,-0.797212,0.018651
0.020000,1.811248,2.681618,0.151316,0.531675,0.859237,-0.829776,0.018942
0.020000,1.822217,2.681827,0.162286,0.548515,0.841988,-0.862441,0.019063
0.020000,1.833515,2.682042,0.173586,0.564997,0.824084,-0.895204,0.018994
0.020000,1.845135,2.682261,0.185208,0.581107,0.805523,-0.928079,0.018714
0.020000,1.857069,2.682482,0.197145,0.596833,0.786301,-0.961070,0.018200
0.020000,1.869310,2.682700,0.209388,0.612161,0.766418,-0.994173,0.017431
0.020000,1.881850,2.682912,0.221930,0.627079,0.745871,-1.027351,0.016384
0.020000,1.894680,2.683114,0.234761,0.641572,0.724659,-1.060574,0.015035
0.020000,1.907791,2.683301,0.247874,0.655628,0.702784,-1.093761,0.013358
0.020000,1.921175,2.683466,0.261258,0.669233,0.680248,-1.126791,0.011330
0.020000,1.934822,2.683605,0.274906,0.682374,0.657058,-1.159485,0.008923
0.020000,1.948722,2.683710,0.288807,0.695038,0.633225,-1.191684,0.006111
0.020000,1.962866,2.683774,0.302951,0.707214,0.608765,-1.223011,0.002866
0.020000,1.977244,2.683789,0.317329,0.718888,0.583702,-1.253135,6.282346
0.020000,1.991845,2.683746,0.331930,0.730049,0.558071,-1.281551,6.278151
0.020000,2.006658,2.683637,0.346743,0.740687,0.531918,-1.307661,6.273436
0.020000,2.021673,2.683452,0.361759,0.750793,0.505304,-1.330657,6.268173
0.020000,2.036878,2.683180,0.376966,0.760360,0.478310,-1.349718,6.262331
0.020000,2.052261,2.682810,0.392354,0.769380,0.451038,-1.363605,6.255878
0.020000,2.067811,2.682331,0.407911,0.777853,0.423616,-1.371088,6.248784
0.020000,2.083515,2.681730,0.423627,0.785777,0.396203,-1.370636,6.241019
0.020000,2.099361,2.680995,0.439490,0.793157,0.369000,-1.360182,6.232552
0.020000,2.115336,2.680113,0.455490,0.800001,0.342232,-1.338375,6.223352
0.020000,2.127500,2.679322,0.467679,0.609471,-9.526516,-493.437393,6.212846
0.020000,2.142591,2.678154,0.482816,0.756812,7.367038,844.677663,6.198981
0.020000,2.157817,2.676758,0.498105,0.764476,0.383201,-349.191836,6.184433
0.020000,2.173164,2.675120,0.513539,0.771691,0.360747,-1.122685,6.169170
0.020000,2.188613,2.673227,0.529104,0.778241,0.327492,-1.662786,6.153159
0.020000,2.204147,2.671063,0.544788,0.784210,0.298444,-1.452387,6.136369
0.020000,2.219750,2.668617,0.560581,0.789676,0.273320,-1.256174,6.118764
0.020000,2.235400,2.665872,0.576471,0.794466,0.239505,-1.690760,6.100317
0.020000,2.251082,2.662816,0.592447,0.798833,0.218338,-1.058346,6.080993
0.020000,2.266775,2.659435,0.608500,0.802639,0.190332,-1.400321,6.060768
0.020000,2.282460,2.655714,0.624621,0.806032,0.169614,-1.035914,6.039617
0.020000,2.298120,2.651639,0.640803,0.809098,0.153301,-0.815627,6.017519
0.020000,2.313738,2.647197,0.657040,0.811869,0.138548,-0.737634,5.994462
0.020000,2.329298,2.642372,0.673331,0.814539,0.133506,-0.252112,5.970437
0.020000,2.344787,2.637151,0.689676,0.817243,0.135213,0.085366,5.945446
0.020000,2.360191,2.631516,0.706078,0.820135,0.144585,0.468575,5.919502
