dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.123234,1.020374,0.000050,0.005000,0.250000,12.500000,6.283099
0.020000,0.123231,1.020374,0.000053,0.000138,-0.243090,-24.654495,6.283107
0.020000,0.123225,1.020374,0.000059,0.000311,0.008637,12.586320,6.283125
0.020000,0.123214,1.020374,0.000070,0.000553,0.012088,0.172574,6.283156
0.020000,0.123633,1.020374,0.000489,0.020961,1.020422,50.416696,0.000017
0.020000,0.125211,1.020375,0.002067,0.078895,2.896703,93.814055,0.000079
0.020000,0.127183,1.020375,0.004040,0.098620,0.986219,-95.524218,0.000157
0.020000,0.129550,1.020375,0.006406,0.118344,0.986235,0.000795,0.000250
0.020000,0.132312,1.020376,0.009168,0.138069,0.986257,0.001137,0.000358
0.020000,0.135468,1.020377,0.012324,0.157795,0.986285,0.001392,0.000482
0.020000,0.139018,1.020379,0.015874,0.177521,0.986309,0.001199,0.000622
0.020000,0.142963,1.020382,0.019819,0.197248,0.986347,0.001897,0.000777
0.020000,0.147302,1.020386,0.024159,0.216976,0.986381,0.001717,0.000947
0.020000,0.152037,1.020391,0.028893,0.236704,0.986421,0.001963,0.001132
0.020000,0.157165,1.020397,0.034021,0.256434,0.986467,0.002317,0.001333
0.020000,0.162688,1.020405,0.039545,0.276164,0.986513,0.002286,0.001548
0.020000,0.168606,1.020415,0.045463,0.295895,0.986564,0.002553,0.001779
0.020000,0.174919,1.020427,0.051775,0.315627,0.986618,0.002722,0.002025
0.020000,0.181626,1.020441,0.058482,0.335361,0.986678,0.003002,0.002286
0.020000,0.188728,1.020459,0.065584,0.355096,0.986740,0.003106,0.002562
0.020000,0.196225,1.020479,0.073081,0.374832,0.986805,0.003214,0.002853
0.020000,0.204116,1.020503,0.080972,0.394569,0.986875,0.003514,0.003158
0.020000,0.212402,1.020530,0.089258,0.414308,0.986948,0.003630,0.003478
0.020000,0.221083,1.020562,0.097939,0.434049,0.987027,0.003969,0.003813
