dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.123203,0.664774,0.000050,0.005000,0.250000,12.500000,6.283099
0.020000,0.123203,0.664774,0.000250,0.015000,0.500000,12.500000,6.283107
0.020000,0.123203,0.664774,0.000700,0.030000,0.750000,12.500000,6.283125
0.020000,0.123203,0.664774,0.001500,0.050000,1.000000,12.500000,6.283156
0.020000,0.123639,0.664774,0.002700,0.070000,1.000000,0.000000,0.000017
0.020000,0.125239,0.664775,0.004300,0.090000,1.000000,-0.000000,0.000079
0.020000,0.127239,0.664775,0.006300,0.110000,1.000000,0.000000,0.000157
0.020000,0.129639,0.664775,0.008700,0.130000,1.000000,0.000000,0.000250
0.020000,0.132439,0.664776,0.011500,0.150000,1.000000,-0.000000,0.000358
0.020000,0.135639,0.664777,0.014700,0.170000,1.000000,0.000000,0.000482
0.020000,0.139239,0.664779,0.018300,0.190000,1.000000,-0.000000,0.000622
0.020000,0.143239,0.664782,0.022300,0.210000,1.000000,0.000000,0.000777
0.020000,0.147639,0.664786,0.026700,0.230000,1.000000,0.000000,0.000947
0.020000,0.152439,0.664791,0.031500,0.250000,1.000000,-0.000000,0.001132
0.020000,0.157639,0.664797,0.036700,0.270000,1.000000,0.000000,0.001333
0.020000,0.163239,0.664805,0.042300,0.290000,1.000000,-0.000000,0.001548
0.020000,0.169239,0.664815,0.048300,0.310000,1.000000,0.000000,0.001779
0.020000,0.175639,0.664828,0.054700,0.330000,1.000000,0.000000,0.002025
0.020000,0.182439,0.664842,0.061500,0.350000,1.000000,-0.000000,0.002286
0.020000,0.189639,0.664860,0.068700,0.370000,1.000000,0.000000,0.002562
0.020000,0.197239,0.664880,0.076300,0.390000,1.000000,0.000000,0.002853
0.020000,0.205239,0.664904,0.084300,0.410000,1.000000,-0.000000,0.003158
0.020000,0.213639,0.664932,0.092700,0.430000,1.000000,0.000000,0.003478
0.020000,0.222439,0.664964,0.101500,0.450000,1.000000,0.000000,0.003813
0.020000,0.231639,0.665001,0.110700,0.470000,1.000000,-0.000000,0.004162
0.020000,0.241239,0.665043,0.120300,0.490000,1.000000,0.000000,0.004526
0.020000,0.251239,0.665090,0.130300,0.510000,1.000000,0.000000,0.004904
0.020000,0.261638,0.665143,0.140700,0.530000,1.000000,0.000000,0.005296
0.020000,0.272438,0.665202,0.151500,0.550000,1.000000,0.000000,0.005702
0.020000,0.283638,0.665269,0.162700,0.570000,1.000000,-0.000000,0.006122
0.020000,0.295238,0.665342,0.174300,0.590000,1.000000,0.000000,0.006556
0.020000,0.307238,0.665423,0.186300,0.610000,1.000000,0.000000,0.007004
0.020000,0.319637,0.665513,0.198700,0.630000,1.000000,0.000000,0.007466
0.020000,0.332437,0.665612,0.211500,0.650000,1.000000,0.000000,0.007941
0.020000,0.345636,0.665720,0.224700,0.670000,1.000000,0.000000,0.008429
0.020000,0.359236,0.665838,0.238300,0.690000,1.000000,-0.000000,0.008930
0.020000,0.373235,0.665966,0.252300,0.710000,1.000000,0.000000,0.009445
0.020000,0.387635,0.666106,0.266700,0.730000,1.000000,0.000000,0.009973
0.020000,0.402434,0.666258,0.281500,0.750000,1.000000,0.000000,0.010513
0.020000,0.417633,0.666422,0.296700,0.770000,1.000000,0.000000,0.011066
0.020000,0.433232,0.666599,0.312300,0.790000,1.000000,0.000000,0.011632
0.020000,0.449231,0.666790,0.328300,0.810000,1.000000,0.000000,0.012210
0.020000,0.465630,0.666995,0.344700,0.830000,1.000000,-0.000000,0.012800
0.020000,0.482428,0.667215,0.361500,0.850000,1.000000,0.000000,0.013402
0.020000,0.499626,0.667451,0.378700,0.870000,1.000000,0.000000,0.014015
0.020000,0.517225,0.667703,0.396300,0.890000,1.000000,0.000000,0.014641
0.020000,0.535223,0.667972,0.414300,0.910000,1.000000,0.000000,0.015278
0.020000,0.553620,0.668259,0.432700,0.930000,1.000000,0.000000,0.015926
0.020000,0.572418,0.668565,0.451500,0.950000,1.000000,-0.000000,0.016585
0.020000,0.591615,0.668889,0.470700,0.970000,1.000000,0.000000,0.017255
0.020000,0.611212,0.669234,0.490300,0.990000,1.000000,0.000000,0.017936
0.020000,0.631209,0.669600,0.510300,1.010000,1.000000,0.000000,0.018627
0.020000,0.651605,0.669987,0.530700,1.030000,1.000000,0.000000,0.019328
0.020000,0.672401,0.670396,0.551500,1.050000,1.000000,0.000000,0.020040
0.020000,0.693597,0.670829,0.572700,1.070000,1.000000,0.000000,0.020761
0.020000,0.715192,0.671285,0.594300,1.090000,1.000000,0.000000,0.021492
0.020000,0.737187,0.671766,0.616300,1.110000,1.000000,0.000000,0.022232
0.020000,0.759581,0.672273,0.638700,1.130000,1.000000,-0.000000,0.022982
0.020000,0.782375,0.672805,0.661500,1.150000,1.000000,0.000000,0.023740
0.020000,0.805568,0.673365,0.684700,1.170000,1.000000,0.000000,0.024507
0.020000,0.829161,0.673952,0.708300,1.190000,1.000000,0.000000,0.025283
0.020000,0.853153,0.674568,0.732300,1.210000,1.000000,0.000000,0.026066
0.020000,0.877544,0.675214,0.756700,1.230000,1.000000,0.000000,0.026858
0.020000,0.902335,0.675890,0.781500,1.250000,1.000000,0.000000,0.027657
0.020000,0.927525,0.676597,0.806700,1.270000,1.000000,0.000000,0.028463
0.020000,0.953114,0.677336,0.832300,1.290000,1.000000,0.000000,0.029277
0.020000,0.979103,0.678108,0.858300,1.310000,1.000000,0.000000,0.030098
0.020000,1.005491,0.678913,0.884700,1.330000,1.000000,0.000000,0.030925
0.020000,1.032277,0.679753,0.911500,1.350000,1.000000,0.000000,0.031759
0.020000,1.059463,0.680628,0.938700,1.370000,1.000000,0.000000,0.032598
0.020000,1.087048,0.681539,0.966300,1.390000,1.000000,-0.000000,0.033443
0.020000,1.115032,0.682487,0.994300,1.410000,1.000000,0.000000,0.034294
0.020000,1.143415,0.683473,1.022700,1.430000,1.000000,0.000000,0.035150
0.020000,1.172197,0.684498,1.051500,1.450000,1.000000,0.000000,0.036011
0.020000,1.201378,0.685562,1.080700,1.470000,1.000000,0.000000,0.036876
0.020000,1.230957,0.686666,1.110300,1.490000,1.000000,0.000000,0.037746
0.020000,1.260935,0.687811,1.140300,1.510000,1.000000,0.000000,0.038620
0.020000,1.291312,0.688998,1.170700,1.530000,1.000000,0.000000,0.039497
0.020000,1.322087,0.690228,1.201500,1.550000,1.000000,0.000000,0.040377
0.020000,1.353261,0.691501,1.232700,1.570000,1.000000,0.000000,0.041261
0.020000,1.384834,0.692819,1.264300,1.590000,1.000000,0.000000,0.042147
0.020000,1.416805,0.694181,1.296300,1.610000,1.000000,0.000000,0.043035
0.020000,1.449174,0.695590,1.328700,1.630000,1.000000,-0.000000,0.043926
0.020000,1.481942,0.697045,1.361500,1.650000,1.000000,0.000000,0.044818
0.020000,1.515108,0.698547,1.394700,1.670000,1.000000,0.000000,0.045711
0.020000,1.548672,0.700097,1.428300,1.690000,1.000000,0.000000,0.046606
0.020000,1.582634,0.701697,1.462300,1.710000,1.000000,0.000000,0.047501
0.020000,1.616995,0.703345,1.496700,1.730000,1.000000,0.000000,0.048396
0.020000,1.651753,0.705044,1.531500,1.750000,1.000000,0.000000,0.049291
0.020000,1.686910,0.706795,1.566700,1.770000,1.000000,0.000000,0.050185
0.020000,1.722464,0.708596,1.602300,1.790000,1.000000,0.000000,0.051079
0.020000,1.758416,0.710450,1.638300,1.810000,1.000000,0.000000,0.051971
0.020000,1.794766,0.712358,1.674700,1.830000,1.000000,0.000000,0.052862
0.020000,1.831514,0.714318,1.711500,1.850000,1.000000,0.000000,0.053751
0.020000,1.868660,0.716333,1.748700,1.870000,1.000000,0.000000,0.054637
0.020000,1.906203,0.718403,1.786300,1.890000,1.000000,-0.000000,0.055521
0.020000,1.944143,0.720529,1.824300,1.910000,1.000000,0.000000,0.056401
0.020000,1.982481,0.722710,1.862700,1.930000,1.000000,0.000000,0.057278
0.020000,2.021216,0.724948,1.901500,1.950000,1.000000,0.000000,0.058151
0.020000,2.060349,0.727244,1.940700,1.970000,1.000000,0.000000,0.059019
0.020000,2.099829,0.729594,1.980250,1.985000,0.750000,-12.500000,0.059882
0.020000,2.139557,0.731992,2.020050,1.995000,0.500000,-12.500000,0.060736
0.020000,2.179432,0.734434,2.060000,2.000000,0.250000,-12.500000,0.061579
0.020000,2.219355,0.736912,2.100000,2.000000,0.000000,-12.500000,0.062410
0.020000,2.259277,0.739424,2.140000,2.000000,0.000000,0.000000,0.063226
0.020000,2.299196,0.741967,2.180000,2.000000,0.000000,0.000000,0.064029
0.020000,2.339113,0.744542,2.220000,2.000000,0.000000,0.000000,0.064818
0.020000,2.379028,0.747149,2.260000,2.000000,0.000000,0.000000,0.065592
0.020000,2.415943,0.749878,2.300000,2.000000,0.000000,0.000000,0.084732
0.020000,2.455755,0.753749,2.340000,2.000000,0.000000,0.000000,0.109164
0.020000,2.495458,0.758598,2.380000,2.000000,0.000000,0.000000,0.133969
0.020000,2.535029,0.764437,2.420000,2.000000,0.000000,0.000000,0.159086
0.020000,2.574439,0.771273,2.460000,2.000000,0.000000,0.000000,0.184452
0.020000,2.613663,0.779111,2.500000,2.000000,0.000000,0.000000,0.209994
0.020000,2.652673,0.787949,2.540000,2.000000,0.000000,0.000000,0.235637
0.020000,2.691444,0.797786,2.580000,2.000000,0.000000,0.000000,0.261303
0.020000,2.729949,0.808613,2.620000,2.000000,0.000000,0.000000,0.286909
0.020000,2.768165,0.820421,2.660000,2.000000,0.000000,0.000000,0.312372
0.020000,2.806070,0.833193,2.700000,2.000000,0.000000,0.000000,0.337609
0.020000,2.843643,0.846912,2.740000,2.000000,0.000000,0.000000,0.362539
0.020000,2.880864,0.861557,2.780000,2.000000,0.000000,0.000000,0.387082
0.020000,2.917719,0.877103,2.820000,2.000000,0.000000,0.000000,0.411164
0.020000,2.954193,0.893522,2.860000,2.000000,0.000000,0.000000,0.434715
0.020000,2.990275,0.910785,2.900000,2.000000,0.000000,0.000000,0.457669
0.020000,3.025957,0.928860,2.940000,2.000000,0.000000,0.000000,0.479969
0.020000,3.061234,0.947713,2.980000,2.000000,0.000000,0.000000,0.501562
0.020000,3.096103,0.967312,3.020000,2.000000,0.000000,0.000000,0.522403
0.020000,3.130565,0.987619,3.060000,2.000000,0.000000,0.000000,0.542455
0.020000,3.164620,1.008599,3.100000,2.000000,0.000000,0.000000,0.561684
0.020000,3.198275,1.030216,3.140000,2.000000,0.000000,0.000000,0.580066
0.020000,3.231537,1.052433,3.180000,2.000000,0.000000,0.000000,0.597582
0.020000,3.264415,1.075215,3.220000,2.000000,0.000000,0.000000,0.614215
0.020000,3.296919,1.098527,3.260000,2.000000,0.000000,0.000000,0.629957
0.020000,3.329063,1.122333,3.300000,2.000000,0.000000,0.000000,0.644802
0.020000,3.360862,1.146599,3.340000,2.000000,0.000000,0.000000,0.658748
0.020000,3.392329,1.171292,3.380000,2.000000,0.000000,0.000000,0.671796
0.020000,3.423484,1.196379,3.420000,2.000000,0.000000,0.000000,0.683949
0.020000,3.454342,1.221830,3.460000,2.000000,0.000000,0.000000,0.695212
0.020000,3.484923,1.247613,3.500000,2.000000,0.000000,0.000000,0.705593
0.020000,3.515247,1.273699,3.540000,2.000000,0.000000,0.000000,0.715097
0.020000,3.545333,1.300059,3.580000,2.000000,0.000000,0.000000,0.723735
0.020000,3.575201,1.326665,3.620000,2.000000,0.000000,0.000000,0.731514
0.020000,3.604873,1.353490,3.660000,2.000000,0.000000,0.000000,0.738442
0.020000,3.634369,1.380507,3.700000,2.000000,0.000000,0.000000,0.744528
0.020000,3.663713,1.407692,3.740000,2.000000,0.000000,0.000000,0.749780
0.020000,3.692924,1.435017,3.780000,2.000000,0.000000,0.000000,0.754204
0.020000,3.722025,1.462460,3.820000,2.000000,0.000000,0.000000,0.757807
0.020000,3.751039,1.489996,3.860000,2.000000,0.000000,0.000000,0.760593
0.020000,3.779987,1.517600,3.900000,2.000000,0.000000,0.000000,0.762568
0.020000,3.808891,1.545250,3.940000,2.000000,0.000000,0.000000,0.763732
0.020000,3.837775,1.572922,3.980000,2.000000,0.000000,0.000000,0.764090
0.020000,3.866660,1.600593,4.020000,2.000000,0.000000,0.000000,0.763640
0.020000,3.895568,1.628239,4.060000,2.000000,0.000000,0.000000,0.762382
0.020000,3.924523,1.655837,4.100000,2.000000,0.000000,0.000000,0.760315
0.020000,3.953545,1.683363,4.140000,2.000000,0.000000,0.000000,0.757436
0.020000,3.982658,1.710794,4.180000,2.000000,0.000000,0.000000,0.753739
0.020000,4.011883,1.738105,4.220000,2.000000,0.000000,0.000000,0.749221
