dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.123173,0.309174,0.000050,0.005000,0.250000,12.500000,6.283099
0.020000,0.123175,0.309174,0.000053,0.000138,-0.243090,-24.654495,6.283107
0.020000,0.123182,0.309174,0.000059,0.000311,0.008637,12.586320,6.283125
0.020000,0.123193,0.309174,0.000070,0.000553,0.012088,0.172574,6.283156
0.020000,0.123645,0.309174,0.000522,0.022619,1.103307,54.560969,0.000017
0.020000,0.125267,0.309175,0.002145,0.081105,2.924297,91.049499,0.000079
0.020000,0.127295,0.309175,0.004172,0.101380,1.013784,-95.525670,0.000157
0.020000,0.129728,0.309175,0.006605,0.121656,1.013763,-0.001032,0.000250
0.020000,0.132567,0.309176,0.009444,0.141931,1.013742,-0.001051,0.000358
0.020000,0.135811,0.309177,0.012688,0.162205,1.013719,-0.001158,0.000482
0.020000,0.139460,0.309180,0.016338,0.182479,1.013685,-0.001727,0.000622
0.020000,0.143515,0.309182,0.020393,0.202752,1.013657,-0.001379,0.000777
0.020000,0.147976,0.309186,0.024853,0.223024,1.013618,-0.001935,0.000947
0.020000,0.152842,0.309191,0.029719,0.243296,1.013577,-0.002054,0.001132
0.020000,0.158113,0.309198,0.034990,0.263566,1.013536,-0.002061,0.001333
0.020000,0.163790,0.309206,0.040667,0.283836,1.013487,-0.002465,0.001548
0.020000,0.169872,0.309216,0.046749,0.304105,1.013435,-0.002563,0.001779
0.020000,0.176359,0.309228,0.053237,0.324372,1.013380,-0.002761,0.002025
0.020000,0.183252,0.309243,0.060129,0.344639,1.013323,-0.002845,0.002286
0.020000,0.190550,0.309261,0.067427,0.364904,1.013261,-0.003111,0.002562
0.020000,0.198253,0.309282,0.075131,0.385168,1.013194,-0.003374,0.002853
0.020000,0.206362,0.309306,0.083239,0.405431,1.013125,-0.003439,0.003158
0.020000,0.214876,0.309334,0.091753,0.425692,1.013051,-0.003694,0.003478
0.020000,0.223795,0.309367,0.100672,0.445951,1.012977,-0.003720,0.003813
0.020000,0.233119,0.309404,0.109996,0.466209,1.012893,-0.004173,0.004162
0.020000,0.242848,0.309446,0.119726,0.486465,1.012810,-0.004134,0.004526
0.020000,0.252982,0.309494,0.129860,0.506720,1.012723,-0.004388,0.004904
0.020000,0.263522,0.309548,0.140400,0.526972,1.012628,-0.004727,0.005296
