dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000192,1.006587,0.000050,0.005000,0.250000,12.500000,6.282645
0.020000,0.000185,1.006587,0.000057,0.000367,-0.231657,-24.082847,6.282666
0.020000,0.000168,1.006587,0.000074,0.000825,0.022921,12.728886,6.282712
0.020000,0.000139,1.006587,0.000103,0.001467,0.032067,0.457289,6.282795
0.020000,0.000095,1.006587,0.000147,0.002199,0.036599,0.226628,6.282918
0.020000,0.000036,1.006587,0.000206,0.002929,0.036520,-0.003965,6.283083
0.020000,0.000968,1.006587,0.001138,0.046599,2.183518,107.349920,0.000103
0.020000,0.003281,1.006587,0.003450,0.115617,3.450883,63.368261,0.000350
0.020000,0.005979,1.006589,0.006148,0.134895,0.963887,-124.349836,0.000637
0.020000,0.009062,1.006591,0.009231,0.154176,0.964057,0.008517,0.000965
0.020000,0.012531,1.006595,0.012701,0.173461,0.964273,0.010791,0.001332
0.020000,0.016386,1.006601,0.016556,0.192752,0.964524,0.012531,0.001740
0.020000,0.020627,1.006609,0.020797,0.212047,0.964783,0.012960,0.002187
0.020000,0.025254,1.006621,0.025424,0.231349,0.965064,0.014044,0.002674
0.020000,0.030267,1.006635,0.030437,0.250657,0.965390,0.016296,0.003199
0.020000,0.035667,1.006654,0.035836,0.269971,0.965740,0.017508,0.003763
0.020000,0.041453,1.006678,0.041622,0.289293,0.966097,0.017872,0.004366
0.020000,0.047625,1.006707,0.047795,0.308623,0.966504,0.020336,0.005005
0.020000,0.054184,1.006742,0.054354,0.327962,0.966937,0.021669,0.005682
0.020000,0.061130,1.006784,0.061300,0.347310,0.967399,0.023086,0.006396
0.020000,0.068463,1.006833,0.068633,0.366667,0.967829,0.021515,0.007146
0.020000,0.076184,1.006891,0.076354,0.386035,0.968395,0.028298,0.007932
0.020000,0.084292,1.006959,0.084462,0.405412,0.968871,0.023787,0.008752
0.020000,0.092788,1.007037,0.092958,0.424802,0.969479,0.030426,0.009607
0.020000,0.101671,1.007126,0.101842,0.444202,0.970038,0.027916,0.010495
0.020000,0.110943,1.007228,0.111115,0.463615,0.970639,0.030076,0.011417
0.020000,0.120603,1.007343,0.120775,0.483041,0.971299,0.033010,0.012371
0.020000,0.130652,1.007472,0.130825,0.502480,0.971961,0.033073,0.013356
0.020000,0.141089,1.007617,0.141264,0.521933,0.972652,0.034544,0.014372
0.020000,0.151916,1.007778,0.152092,0.541401,0.973373,0.036037,0.015418
0.020000,0.163132,1.007957,0.163309,0.560883,0.974124,0.037550,0.016493
0.020000,0.174738,1.008155,0.174917,0.580381,0.974868,0.037244,0.017597
0.020000,0.186734,1.008373,0.186915,0.599894,0.975682,0.040680,0.018728
0.020000,0.199121,1.008612,0.199303,0.619425,0.976543,0.043031,0.019885
0.020000,0.211897,1.008874,0.212083,0.638972,0.977323,0.039006,0.021067
0.020000,0.225065,1.009159,0.225254,0.658537,0.978289,0.048313,0.022275
0.020000,0.238624,1.009470,0.238816,0.678119,0.979094,0.040234,0.023505
0.020000,0.252574,1.009806,0.252770,0.697721,0.980104,0.050496,0.024758
0.020000,0.266916,1.010171,0.267117,0.717342,0.981047,0.047189,0.026033
0.020000,0.281651,1.010564,0.281857,0.736983,0.982020,0.048640,0.027327
0.020000,0.296778,1.010987,0.296990,0.756643,0.983012,0.049608,0.028641
0.020000,0.312297,1.011442,0.312516,0.776324,0.984070,0.052858,0.029972
0.020000,0.328211,1.011930,0.328437,0.796027,0.985118,0.052410,0.031321
0.020000,0.344517,1.012452,0.344752,0.815751,0.986205,0.054342,0.032685
0.020000,0.361218,1.013010,0.361462,0.835497,0.987334,0.056451,0.034063
0.020000,0.378313,1.013604,0.378567,0.855267,0.988488,0.057725,0.035454
0.020000,0.395803,1.014237,0.396068,0.875060,0.989617,0.056447,0.036856
0.020000,0.413688,1.014909,0.413966,0.894876,0.990814,0.059839,0.038269
0.020000,0.431968,1.015622,0.432260,0.914717,0.992051,0.061854,0.039691
0.020000,0.450644,1.016377,0.450952,0.934582,0.993275,0.061216,0.041121
0.020000,0.469717,1.017176,0.470041,0.954473,0.994520,0.062235,0.042557
0.020000,0.489187,1.018019,0.489529,0.974390,0.995854,0.066702,0.043997
0.020000,0.509053,1.018908,0.509416,0.994333,0.997154,0.065022,0.045441
0.020000,0.529318,1.019844,0.529702,1.014303,0.998484,0.066479,0.046886
0.020000,0.549980,1.020829,0.550388,1.034299,0.999843,0.067944,0.048332
0.020000,0.571041,1.021863,0.571474,1.054324,1.001231,0.069412,0.049776
0.020000,0.592502,1.022947,0.592962,1.074377,1.002649,0.070879,0.051217
0.020000,0.614361,1.024084,0.614851,1.094459,1.004095,0.072339,0.052653
0.020000,0.636621,1.025273,0.637142,1.114570,1.005571,0.073790,0.054083
0.020000,0.659281,1.026516,0.659837,1.134711,1.007023,0.072566,0.055506
0.020000,0.682342,1.027813,0.682934,1.154881,1.008530,0.075351,0.056918
0.020000,0.705805,1.029167,0.706436,1.175084,1.010105,0.078786,0.058320
0.020000,0.729670,1.030577,0.730342,1.195316,1.011606,0.075022,0.059708
0.020000,0.753937,1.032044,0.754654,1.215580,1.013213,0.080387,0.061082
0.020000,0.778607,1.033570,0.779371,1.235877,1.014837,0.081162,0.062438
0.020000,0.803681,1.035155,0.804495,1.256205,1.016440,0.080147,0.063777
0.020000,0.829160,1.036799,0.830027,1.276567,1.018060,0.081019,0.065095
0.020000,0.855043,1.038503,0.855966,1.296962,1.019771,0.085544,0.066390
0.020000,0.881332,1.040268,0.882314,1.317391,1.021464,0.084672,0.067662
0.020000,0.908026,1.042093,0.909071,1.337855,1.023183,0.085943,0.068907
0.020000,0.935128,1.043981,0.936238,1.358353,1.024886,0.085143,0.070125
0.020000,0.962637,1.045929,0.963816,1.378887,1.026693,0.090335,0.071312
0.020000,0.990553,1.047940,0.991805,1.399457,1.028496,0.090154,0.072468
0.020000,1.018879,1.050012,1.020206,1.420062,1.030269,0.088650,0.073589
0.020000,1.047614,1.052146,1.049020,1.440704,1.032122,0.092658,0.074674
0.020000,1.076759,1.054342,1.078248,1.461384,1.033981,0.092970,0.075721
0.020000,1.106315,1.056600,1.107890,1.482102,1.035881,0.094961,0.076728
0.020000,1.136282,1.058918,1.137947,1.502856,1.037738,0.092851,0.077692
0.020000,1.166662,1.061298,1.168420,1.523651,1.039719,0.099048,0.078612
0.020000,1.197456,1.063737,1.199310,1.544484,1.041664,0.097279,0.079485
0.020000,1.228663,1.066236,1.230617,1.565357,1.043639,0.098756,0.080308
0.020000,1.260285,1.068793,1.262342,1.586270,1.045644,0.100209,0.081080
0.020000,1.292323,1.071408,1.294487,1.607223,1.047676,0.101634,0.081799
0.020000,1.324778,1.074080,1.327051,1.628218,1.049737,0.103028,0.082462
0.020000,1.357650,1.076807,1.360036,1.649254,1.051825,0.104387,0.083066
