dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.650987,0.000050,0.005000,0.250000,12.500000,6.282645
0.020000,0.000000,0.650987,0.000250,0.015000,0.500000,12.500000,6.282666
0.020000,0.000000,0.650987,0.000700,0.030000,0.750000,12.500000,6.282712
0.020000,0.000000,0.650987,0.001500,0.050000,1.000000,12.500000,6.282795
0.020000,0.000000,0.650987,0.002700,0.070000,1.000000,0.000000,6.282918
0.020000,0.000000,0.650987,0.004300,0.090000,1.000000,-0.000000,6.283083
0.020000,0.001005,0.650987,0.006300,0.110000,1.000000,0.000000,0.000103
0.020000,0.003405,0.650987,0.008700,0.130000,1.000000,0.000000,0.000350
0.020000,0.006205,0.650989,0.011500,0.150000,1.000000,-0.000000,0.000637
0.020000,0.009405,0.650991,0.014700,0.170000,1.000000,0.000000,0.000965
0.020000,0.013005,0.650995,0.018300,0.190000,1.000000,-0.000000,0.001332
0.020000,0.017005,0.651002,0.022300,0.210000,1.000000,0.000000,0.001740
0.020000,0.021405,0.651010,0.026700,0.230000,1.000000,0.000000,0.002187
0.020000,0.026205,0.651022,0.031500,0.250000,1.000000,-0.000000,0.002674
0.020000,0.031405,0.651037,0.036700,0.270000,1.000000,0.000000,0.003199
0.020000,0.037005,0.651057,0.042300,0.290000,1.000000,-0.000000,0.003763
0.020000,0.043005,0.651081,0.048300,0.310000,1.000000,0.000000,0.004366
0.020000,0.049405,0.651111,0.054700,0.330000,1.000000,0.000000,0.005005
0.020000,0.056205,0.651147,0.061500,0.350000,1.000000,-0.000000,0.005682
0.020000,0.063405,0.651191,0.068700,0.370000,1.000000,0.000000,0.006396
0.020000,0.071005,0.651242,0.076300,0.390000,1.000000,0.000000,0.007146
0.020000,0.079004,0.651303,0.084300,0.410000,1.000000,-0.000000,0.007932
0.020000,0.087404,0.651373,0.092700,0.430000,1.000000,0.000000,0.008752
0.020000,0.096204,0.651454,0.101500,0.450000,1.000000,0.000000,0.009607
0.020000,0.105403,0.651546,0.110700,0.470000,1.000000,-0.000000,0.010495
