dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000192,0.295387,0.000050,0.005000,0.250000,12.500000,6.282645
0.020000,-0.000185,0.295387,0.000057,0.000367,-0.231657,-24.082847,6.282666
0.020000,-0.000168,0.295387,0.000074,0.000825,0.022921,12.728886,6.282712
0.020000,-0.000139,0.295387,0.000103,0.001467,0.032067,0.457289,6.282795
0.020000,-0.000095,0.295387,0.000147,0.002199,0.036599,0.226628,6.282918
0.020000,-0.000036,0.295387,0.000206,0.002929,0.036520,-0.003965,6.283083
0.020000,0.001042,0.295387,0.001284,0.053914,2.549244,125.636226,0.000103
0.020000,0.003530,0.295387,0.003772,0.124383,3.523446,48.710091,0.000350
0.020000,0.006432,0.295389,0.006674,0.145105,1.036132,-124.365732,0.000637
0.020000,0.009748,0.295392,0.009990,0.165824,1.035929,-0.010102,0.000965
0.020000,0.013479,0.295396,0.013721,0.186538,1.035721,-0.010411,0.001332
0.020000,0.017624,0.295402,0.017866,0.207248,1.035495,-0.011297,0.001740
0.020000,0.022183,0.295411,0.022425,0.227953,1.035223,-0.013594,0.002187
0.020000,0.027156,0.295423,0.027398,0.248651,1.034920,-0.015187,0.002674
0.020000,0.032543,0.295439,0.032785,0.269343,1.034609,-0.015528,0.003199
0.020000,0.038343,0.295459,0.038586,0.290029,1.034269,-0.016987,0.003763
0.020000,0.044557,0.295484,0.044800,0.310706,1.033882,-0.019360,0.004366
0.020000,0.051185,0.295516,0.051427,0.331376,1.033493,-0.019476,0.005005
0.020000,0.058225,0.295553,0.058468,0.352038,1.033076,-0.020812,0.005682
0.020000,0.065679,0.295598,0.065922,0.372691,1.032635,-0.022058,0.006396
0.020000,0.073546,0.295651,0.073788,0.393333,1.032105,-0.026510,0.007146
0.020000,0.081825,0.295714,0.082068,0.413966,1.031665,-0.022001,0.007932
0.020000,0.090516,0.295786,0.090759,0.434587,1.031073,-0.029608,0.008752
0.020000,0.099620,0.295870,0.099863,0.455199,1.030568,-0.025259,0.009607
0.020000,0.109135,0.295966,0.109379,0.475798,1.029953,-0.030718,0.010495
0.020000,0.119062,0.296074,0.119307,0.496384,1.029330,-0.031170,0.011417
0.020000,0.129401,0.296197,0.129646,0.516959,1.028714,-0.030796,0.012371
0.020000,0.140150,0.296336,0.140397,0.537520,1.028044,-0.033494,0.013356
0.020000,0.151311,0.296490,0.151558,0.558067,1.027351,-0.034683,0.014372
0.020000,0.162881,0.296663,0.163130,0.578599,1.026634,-0.035848,0.015418
0.020000,0.174862,0.296854,0.175112,0.599117,1.025894,-0.036989,0.016493
0.020000,0.187253,0.297065,0.187505,0.619619,1.025092,-0.040071,0.017597
0.020000,0.200053,0.297298,0.200307,0.640105,1.024309,-0.039151,0.018728
0.020000,0.213262,0.297553,0.213518,0.660576,1.023522,-0.039391,0.019885
0.020000,0.226879,0.297832,0.227139,0.681027,1.022593,-0.046423,0.021067
0.020000,0.240905,0.298136,0.241168,0.701464,1.021808,-0.039236,0.022275
0.020000,0.255339,0.298466,0.255606,0.721880,1.020797,-0.050572,0.023505
0.020000,0.270180,0.298824,0.270451,0.742279,1.019950,-0.042364,0.024758
0.020000,0.285429,0.299212,0.285704,0.762658,1.018978,-0.048601,0.026033
0.020000,0.301083,0.299629,0.301365,0.783018,1.017982,-0.049761,0.027327
0.020000,0.317144,0.300079,0.317432,0.803357,1.016954,-0.051425,0.028641
0.020000,0.333611,0.300562,0.333905,0.823676,1.015941,-0.050659,0.029972
0.020000,0.350482,0.301079,0.350785,0.843973,1.014864,-0.053810,0.031321
0.020000,0.367758,0.301632,0.368070,0.864248,1.013776,-0.054423,0.032685
0.020000,0.385439,0.302222,0.385760,0.884502,1.012679,-0.054842,0.034063
0.020000,0.403522,0.302851,0.403855,0.904733,1.011556,-0.056135,0.035454
0.020000,0.422009,0.303520,0.422353,0.924940,1.010354,-0.060112,0.036856
0.020000,0.440898,0.304230,0.441256,0.945124,1.009171,-0.059137,0.038269
0.020000,0.460189,0.304982,0.460562,0.965283,1.007979,-0.059609,0.039691
0.020000,0.479881,0.305778,0.480270,0.985418,1.006722,-0.062869,0.041121
0.020000,0.499974,0.306620,0.500380,1.005526,1.005435,-0.064362,0.042557
0.020000,0.520467,0.307507,0.520893,1.025610,1.004190,-0.062213,0.043997
0.020000,0.541360,0.308442,0.541806,1.045667,1.002860,-0.066527,0.045441
0.020000,0.562651,0.309426,0.563120,1.065698,1.001509,-0.067519,0.046886
0.020000,0.584340,0.310459,0.584834,1.085700,1.000140,-0.068490,0.048332
0.020000,0.606427,0.311543,0.606947,1.105675,0.998751,-0.069445,0.049776
0.020000,0.628911,0.312680,0.629460,1.125622,0.997343,-0.070390,0.051217
0.020000,0.651791,0.313869,0.652371,1.145541,0.995916,-0.071329,0.052653
0.020000,0.675066,0.315113,0.675679,1.165430,0.994471,-0.072267,0.054083
0.020000,0.698737,0.316411,0.699385,1.185289,0.992951,-0.075987,0.055506
0.020000,0.722801,0.317765,0.723487,1.205118,0.991441,-0.075502,0.056918
0.020000,0.747259,0.319176,0.747986,1.224917,0.989955,-0.074337,0.058320
0.020000,0.772109,0.320644,0.772879,1.244684,0.988341,-0.080667,0.059708
0.020000,0.797351,0.322171,0.798168,1.264420,0.986792,-0.077470,0.061082
0.020000,0.822985,0.323756,0.823850,1.284124,0.985211,-0.079057,0.062438
0.020000,0.849009,0.325401,0.849926,1.303795,0.983561,-0.082491,0.063777
0.020000,0.875422,0.327105,0.876395,1.323433,0.981882,-0.083953,0.065095
0.020000,0.902225,0.328870,0.903256,1.343038,0.980249,-0.081629,0.066390
0.020000,0.929416,0.330695,0.930508,1.362609,0.978551,-0.084902,0.067662
0.020000,0.956995,0.332581,0.958151,1.382145,0.976832,-0.085951,0.068907
0.020000,0.984960,0.334529,0.986184,1.401646,0.975049,-0.089139,0.070125
0.020000,1.013311,0.336537,1.014606,1.421113,0.973326,-0.086146,0.071312
0.020000,1.042047,0.338607,1.043417,1.440544,0.971552,-0.088713,0.072468
0.020000,1.071168,0.340737,1.072615,1.459938,0.969699,-0.092640,0.073589
0.020000,1.100673,0.342928,1.102201,1.479296,0.967881,-0.090904,0.074674
0.020000,1.130561,0.345180,1.132174,1.498616,0.966022,-0.092988,0.075721
0.020000,1.160830,0.347492,1.162532,1.517899,0.964154,-0.093364,0.076728
0.020000,1.191482,0.349864,1.193275,1.537143,0.962195,-0.097956,0.077692
0.020000,1.222514,0.352294,1.224402,1.556349,0.960314,-0.094069,0.078612
0.020000,1.253926,0.354782,1.255912,1.575516,0.958347,-0.098361,0.079485
0.020000,1.285717,0.357328,1.287805,1.594643,0.956359,-0.099356,0.080308
0.020000,1.317886,0.359930,1.320079,1.613730,0.954351,-0.100407,0.081080
0.020000,1.350434,0.362586,1.352735,1.632777,0.952321,-0.101522,0.081799
0.020000,1.383358,0.365297,1.385771,1.651782,0.950267,-0.102707,0.082462
0.020000,1.416658,0.368059,1.419185,1.670746,0.948187,-0.103966,0.083066
0.020000,1.450334,0.370873,1.452979,1.689667,0.946072,-0.105767,0.083610
0.020000,1.484385,0.373735,1.487150,1.708546,0.943920,-0.107592,0.084090
0.020000,1.518810,0.376644,1.521697,1.727381,0.941786,-0.106696,0.084505
0.020000,1.553608,0.379598,1.556621,1.746173,0.939561,-0.111248,0.084853
0.020000,1.588779,0.382594,1.591919,1.764920,0.937367,-0.109732,0.085129
0.020000,1.624322,0.385631,1.627592,1.783622,0.935098,-0.113447,0.085333
0.020000,1.660237,0.388706,1.663637,1.802278,0.932825,-0.113623,0.085461
0.020000,1.696521,0.391816,1.700055,1.820889,0.930514,-0.115541,0.085511
0.020000,1.733176,0.394957,1.736844,1.839452,0.928171,-0.117171,0.085480
0.020000,1.770200,0.398128,1.774003,1.857968,0.925798,-0.118664,0.085366
0.020000,1.807592,0.401324,1.811532,1.876436,0.923393,-0.120256,0.085166
0.020000,1.845352,0.404543,1.849429,1.894855,0.920954,-0.121950,0.084876
0.020000,1.883480,0.407780,1.887694,1.913225,0.918479,-0.123744,0.084495
0.020000,1.921973,0.411031,1.926325,1.931544,0.915967,-0.125569,0.084020
0.020000,1.960833,0.414293,1.965321,1.949813,0.913453,-0.125736,0.083447
0.020000,2.000008,0.417556,2.004632,1.965546,0.786649,-6.340182,0.082774
0.020000,2.039400,0.420810,2.044157,1.976270,0.536216,-12.521649,0.082002
0.020000,2.078908,0.424040,2.083797,1.982002,0.286575,-12.482041,0.081130
0.020000,2.118434,0.427234,2.123452,1.982758,0.037816,-12.437959,0.080161
0.020000,2.157929,0.430386,2.163073,1.981031,-0.086370,-6.209293,0.079094
0.020000,2.197393,0.433491,2.202659,1.979302,-0.086422,-0.002610,0.077930
0.020000,2.236826,0.436546,2.242210,1.977571,-0.086556,-0.006700,0.076668
