dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.123578,1.020374,0.000004,0.000399,0.019971,0.998529,6.282131
0.020000,0.123577,1.020374,0.000005,0.000058,-0.017077,-1.852377,6.282135
0.020000,0.123574,1.020374,0.000008,0.000130,0.003617,1.034694,6.282142
0.020000,0.123570,1.020374,0.000012,0.000231,0.005063,0.072324,6.282155
0.020000,0.123562,1.020374,0.000020,0.000362,0.006509,0.072302,6.282175
0.020000,0.123552,1.020374,0.000030,0.000521,0.007955,0.072267,6.282205
0.020000,0.123538,1.020374,0.000044,0.000709,0.009399,0.072214,6.282244
0.020000,0.123519,1.020374,0.000063,0.000926,0.010842,0.072140,6.282297
0.020000,0.123496,1.020374,0.000086,0.001171,0.012283,0.072042,6.282362
0.020000,0.123467,1.020374,0.000115,0.001446,0.013721,0.071916,6.282444
0.020000,0.123432,1.020374,0.000150,0.001749,0.015156,0.071760,6.282542
0.020000,0.123390,1.020374,0.000192,0.002081,0.016588,0.071568,6.282659
0.020000,0.123342,1.020374,0.000240,0.002441,0.018014,0.071338,6.282796
0.020000,0.123285,1.020374,0.000297,0.002830,0.019436,0.071067,6.282955
0.020000,0.123220,1.020374,0.000362,0.003247,0.020851,0.070750,6.283138
0.020000,0.123933,1.020375,0.001074,0.035624,1.618893,79.902130,0.000160
0.020000,0.124989,1.020375,0.002131,0.052809,0.859214,-37.983978,0.000391
0.020000,0.126156,1.020375,0.003298,0.058371,0.278116,-29.054870,0.000646
0.020000,0.127435,1.020376,0.004577,0.063934,0.278169,0.002651,0.000925
0.020000,0.128825,1.020378,0.005967,0.069498,0.278193,0.001162,0.001228
0.020000,0.130326,1.020380,0.007468,0.075063,0.278261,0.003426,0.001555
0.020000,0.131939,1.020383,0.009081,0.080631,0.278355,0.004681,0.001906
0.020000,0.133663,1.020386,0.010805,0.086198,0.278390,0.001784,0.002281
0.020000,0.135498,1.020391,0.012640,0.091768,0.278462,0.003584,0.002680
0.020000,0.137445,1.020397,0.014587,0.097339,0.278587,0.006259,0.003102
0.020000,0.139503,1.020403,0.016645,0.102911,0.278587,-0.000001,0.003548
0.020000,0.141673,1.020412,0.018815,0.108486,0.278758,0.008525,0.004017
0.020000,0.143954,1.020421,0.021096,0.114062,0.278792,0.001708,0.004509
0.020000,0.146347,1.020433,0.023489,0.119641,0.278929,0.006855,0.005025
0.020000,0.148851,1.020446,0.025993,0.125221,0.278997,0.003377,0.005564
0.020000,0.151467,1.020461,0.028609,0.130803,0.279143,0.007328,0.006126
0.020000,0.154195,1.020479,0.031337,0.136387,0.279198,0.002755,0.006710
0.020000,0.157034,1.020499,0.034176,0.141975,0.279397,0.009920,0.007318
0.020000,0.159985,1.020521,0.037128,0.147564,0.279409,0.000603,0.007948
0.020000,0.163048,1.020547,0.040191,0.153156,0.279628,0.010948,0.008600
0.020000,0.166223,1.020575,0.043366,0.158751,0.279742,0.005706,0.009275
0.020000,0.169510,1.020607,0.046653,0.164347,0.279813,0.003575,0.009972
0.020000,0.172909,1.020642,0.050052,0.169948,0.280031,0.010870,0.010691
0.020000,0.176420,1.020681,0.053563,0.175551,0.280172,0.007079,0.011432
0.020000,0.180043,1.020723,0.057186,0.181156,0.280249,0.003860,0.012194
0.020000,0.183778,1.020770,0.060921,0.186765,0.280456,0.010352,0.012978
0.020000,0.187625,1.020822,0.064769,0.192378,0.280628,0.008579,0.013784
0.020000,0.191584,1.020878,0.068729,0.197994,0.280789,0.008061,0.014610
0.020000,0.195656,1.020939,0.072801,0.203613,0.280955,0.008306,0.015457
0.020000,0.199840,1.021006,0.076986,0.209235,0.281087,0.006588,0.016325
0.020000,0.204137,1.021078,0.081283,0.214861,0.281297,0.010505,0.017214
0.020000,0.208546,1.021156,0.085693,0.220490,0.281491,0.009694,0.018123
0.020000,0.213068,1.021240,0.090215,0.226124,0.281679,0.009372,0.019052
0.020000,0.217702,1.021330,0.094850,0.231761,0.281871,0.009639,0.020001
0.020000,0.222449,1.021428,0.099598,0.237403,0.282070,0.009910,0.020969
0.020000,0.227309,1.021532,0.104459,0.243048,0.282273,0.010186,0.021958
0.020000,0.232282,1.021644,0.109433,0.248698,0.282483,0.010466,0.022965
0.020000,0.237367,1.021763,0.114520,0.254352,0.282698,0.010750,0.023991
0.020000,0.242566,1.021891,0.119721,0.260010,0.282918,0.011038,0.025036
0.020000,0.247878,1.022026,0.125034,0.265673,0.283145,0.011330,0.026099
0.020000,0.253303,1.022171,0.130461,0.271341,0.283377,0.011626,0.027181
0.020000,0.258841,1.022325,0.136001,0.277012,0.283569,0.009596,0.028281
0.020000,0.264492,1.022488,0.141655,0.282688,0.283820,0.012551,0.029398
0.020000,0.270257,1.022660,0.147422,0.288370,0.284096,0.013779,0.030533
0.020000,0.276135,1.022843,0.153303,0.294057,0.284352,0.012816,0.031684
0.020000,0.282127,1.023037,0.159298,0.299750,0.284615,0.013130,0.032853
0.020000,0.288233,1.023241,0.165407,0.305446,0.284798,0.009167,0.034038
0.020000,0.294452,1.023457,0.171630,0.311147,0.285083,0.014218,0.035240
0.020000,0.300785,1.023684,0.177967,0.316856,0.285423,0.017002,0.036457
0.020000,0.307232,1.023923,0.184419,0.322569,0.285672,0.012467,0.037690
0.020000,0.313793,1.024174,0.190984,0.328286,0.285830,0.007917,0.038939
0.020000,0.320468,1.024439,0.197665,0.334012,0.286286,0.022768,0.040202
0.020000,0.327257,1.024716,0.204459,0.339741,0.286477,0.009566,0.041480
0.020000,0.334160,1.025007,0.211369,0.345476,0.286753,0.013804,0.042773
0.020000,0.341178,1.025312,0.218393,0.351220,0.287177,0.021172,0.044079
0.020000,0.348310,1.025631,0.225533,0.356965,0.287253,0.003834,0.045399
0.020000,0.355557,1.025965,0.232787,0.362722,0.287844,0.029524,0.046733
0.020000,0.362918,1.026315,0.240157,0.368478,0.287836,-0.000404,0.048080
0.020000,0.370394,1.026679,0.247642,0.374248,0.288476,0.032026,0.049439
0.020000,0.377985,1.027060,0.255242,0.380018,0.288496,0.001004,0.050810
0.020000,0.385691,1.027457,0.262958,0.385799,0.289068,0.028604,0.052194
0.020000,0.393511,1.027871,0.270790,0.391584,0.289252,0.009201,0.053589
0.020000,0.401447,1.028303,0.278737,0.397376,0.289611,0.017950,0.054995
0.020000,0.409498,1.028752,0.286801,0.403178,0.290065,0.022682,0.056412
0.020000,0.417665,1.029219,0.294980,0.408981,0.290184,0.005968,0.057839
0.020000,0.425946,1.029704,0.303276,0.414795,0.290697,0.025645,0.059276
0.020000,0.434344,1.030209,0.311689,0.420617,0.291078,0.019029,0.060723
0.020000,0.442856,1.030732,0.320218,0.426443,0.291324,0.012293,0.062179
0.020000,0.451485,1.031276,0.328863,0.432277,0.291676,0.017635,0.063644
0.020000,0.460229,1.031840,0.337625,0.438120,0.292138,0.023087,0.065118
0.020000,0.469089,1.032424,0.346505,0.443970,0.292498,0.017975,0.066599
0.020000,0.478065,1.033029,0.355501,0.449827,0.292862,0.018221,0.068088
0.020000,0.487157,1.033656,0.364615,0.455690,0.293162,0.015007,0.069584
0.020000,0.496366,1.034305,0.373846,0.461561,0.293569,0.020363,0.071086
0.020000,0.505691,1.034976,0.383195,0.467442,0.294003,0.021676,0.072595
0.020000,0.515132,1.035670,0.392662,0.473329,0.294388,0.019275,0.074110
0.020000,0.524689,1.036387,0.402246,0.479225,0.294779,0.019534,0.075630
0.020000,0.534364,1.037127,0.411949,0.485128,0.295175,0.019795,0.077156
0.020000,0.544155,1.037892,0.421770,0.491040,0.295576,0.020057,0.078685
0.020000,0.554062,1.038681,0.431709,0.496960,0.295983,0.020321,0.080219
0.020000,0.564087,1.039494,0.441767,0.502887,0.296394,0.020585,0.081756
0.020000,0.574229,1.040333,0.451943,0.508824,0.296811,0.020849,0.083296
0.020000,0.584488,1.041198,0.462238,0.514768,0.297233,0.021113,0.084839
0.020000,0.594864,1.042088,0.472653,0.520722,0.297661,0.021377,0.086384
0.020000,0.605358,1.043005,0.483187,0.526683,0.298094,0.021639,0.087931
0.020000,0.615969,1.043949,0.493840,0.532652,0.298450,0.017788,0.089479
0.020000,0.626698,1.044920,0.504612,0.538630,0.298895,0.022291,0.091028
0.020000,0.637544,1.045919,0.515505,0.544618,0.299401,0.025257,0.092576
0.020000,0.648509,1.046945,0.526517,0.550615,0.299854,0.022667,0.094125
0.020000,0.659591,1.048000,0.537649,0.556622,0.300312,0.022921,0.095673
0.020000,0.670792,1.049084,0.548902,0.562634,0.300610,0.014880,0.097219
0.020000,0.682110,1.050196,0.560275,0.568657,0.301136,0.026317,0.098764
0.020000,0.693547,1.051338,0.571769,0.574690,0.301694,0.027898,0.100306
0.020000,0.705102,1.052510,0.583384,0.580732,0.302080,0.019294,0.101846
0.020000,0.716776,1.053713,0.595119,0.586780,0.302407,0.016326,0.103382
0.020000,0.728569,1.054945,0.606976,0.592843,0.303120,0.035655,0.104914
0.020000,0.740480,1.056209,0.618954,0.598911,0.303398,0.013922,0.106442
0.020000,0.752511,1.057503,0.631054,0.604989,0.303915,0.025830,0.107965
0.020000,0.764660,1.058830,0.643276,0.611079,0.304507,0.029596,0.109483
0.020000,0.776929,1.060188,0.655619,0.617173,0.304722,0.010778,0.110994
0.020000,0.789316,1.061578,0.668085,0.623284,0.305546,0.041204,0.112499
0.020000,0.801824,1.063000,0.680673,0.629397,0.305635,0.004440,0.113997
0.020000,0.814451,1.064455,0.693383,0.635527,0.306517,0.044071,0.115488
0.020000,0.827197,1.065944,0.706216,0.641660,0.306653,0.006823,0.116970
0.020000,0.840064,1.067465,0.719173,0.647809,0.307418,0.038232,0.118443
0.020000,0.853050,1.069020,0.732252,0.653964,0.307774,0.017836,0.119908
0.020000,0.866157,1.070609,0.745455,0.660129,0.308251,0.023822,0.121362
0.020000,0.879384,1.072232,0.758781,0.666308,0.308926,0.033749,0.122806
0.020000,0.892731,1.073889,0.772230,0.672491,0.309160,0.011694,0.124239
0.020000,0.906199,1.075581,0.785804,0.678688,0.309841,0.034057,0.125661
0.020000,0.919788,1.077307,0.799502,0.684896,0.310399,0.027904,0.127070
0.020000,0.933497,1.079069,0.813324,0.691111,0.310774,0.018782,0.128467
0.020000,0.947328,1.080865,0.827271,0.697337,0.311279,0.025220,0.129850
0.020000,0.961280,1.082697,0.841343,0.703575,0.311911,0.031628,0.131220
0.020000,0.975353,1.084564,0.855539,0.709823,0.312416,0.025246,0.132575
0.020000,0.989548,1.086466,0.869861,0.716082,0.312926,0.025470,0.133915
0.020000,1.003864,1.088405,0.884308,0.722349,0.313331,0.020258,0.135240
0.020000,1.018302,1.090379,0.898880,0.728628,0.313952,0.031034,0.136548
0.020000,1.032862,1.092389,0.913579,0.734918,0.314503,0.027578,0.137840
0.020000,1.047545,1.094436,0.928403,0.741218,0.315030,0.026343,0.139114
0.020000,1.062350,1.096518,0.943354,0.747529,0.315561,0.026563,0.140370
0.020000,1.077277,1.098637,0.958431,0.753851,0.316097,0.026782,0.141608
0.020000,1.092327,1.100792,0.973634,0.760184,0.316637,0.027000,0.142826
0.020000,1.107501,1.102983,0.988965,0.766528,0.317181,0.027215,0.144025
0.020000,1.122797,1.105211,1.004422,0.772882,0.317730,0.027428,0.145203
