dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.123203,0.664774,0.000004,0.000399,0.019971,0.998529,6.282131
0.020000,0.123203,0.664774,0.000020,0.001198,0.039941,0.998529,6.282135
0.020000,0.123203,0.664774,0.000056,0.002396,0.059912,0.998529,6.282142
0.020000,0.123203,0.664774,0.000120,0.003994,0.079882,0.998529,6.282155
0.020000,0.123203,0.664774,0.000220,0.005991,0.099853,0.998529,6.282175
0.020000,0.123203,0.664774,0.000363,0.008388,0.119823,0.998529,6.282205
0.020000,0.123203,0.664774,0.000559,0.011184,0.139794,0.998529,6.282244
0.020000,0.123203,0.664774,0.000815,0.014379,0.159765,0.998529,6.282297
0.020000,0.123203,0.664774,0.001138,0.017974,0.179735,0.998529,6.282362
0.020000,0.123203,0.664774,0.001538,0.021968,0.199706,0.998529,6.282444
0.020000,0.123203,0.664774,0.002021,0.026361,0.219676,0.998529,6.282542
0.020000,0.123203,0.664774,0.002596,0.031154,0.239647,0.998529,6.282659
0.020000,0.123203,0.664774,0.003271,0.036346,0.259617,0.998529,6.282796
0.020000,0.123203,0.664774,0.004054,0.041938,0.279588,0.998529,6.282955
0.020000,0.123203,0.664774,0.004953,0.047929,0.299559,0.998529,6.283138
0.020000,0.123989,0.664775,0.005971,0.053921,0.299559,-0.000000,0.000160
0.020000,0.125128,0.664775,0.007110,0.059912,0.299559,0.000000,0.000391
0.020000,0.126386,0.664775,0.008368,0.065903,0.299559,-0.000000,0.000646
0.020000,0.127764,0.664777,0.009746,0.071894,0.299559,-0.000000,0.000925
0.020000,0.129262,0.664778,0.011243,0.077885,0.299559,0.000000,0.001228
0.020000,0.130879,0.664780,0.012861,0.083876,0.299559,0.000000,0.001555
0.020000,0.132617,0.664783,0.014598,0.089868,0.299559,0.000000,0.001906
0.020000,0.134474,0.664787,0.016456,0.095859,0.299559,-0.000000,0.002281
0.020000,0.136451,0.664792,0.018433,0.101850,0.299559,0.000000,0.002680
0.020000,0.138548,0.664798,0.020530,0.107841,0.299559,-0.000000,0.003102
0.020000,0.140765,0.664806,0.022746,0.113832,0.299559,0.000000,0.003548
0.020000,0.143101,0.664814,0.025083,0.119823,0.299559,0.000000,0.004017
0.020000,0.145557,0.664825,0.027539,0.125815,0.299559,-0.000000,0.004509
0.020000,0.148134,0.664837,0.030116,0.131806,0.299559,0.000000,0.005025
0.020000,0.150830,0.664852,0.032812,0.137797,0.299559,-0.000000,0.005564
0.020000,0.153645,0.664868,0.035628,0.143788,0.299559,0.000000,0.006126
0.020000,0.156581,0.664887,0.038563,0.149779,0.299559,-0.000000,0.006710
0.020000,0.159636,0.664908,0.041619,0.155770,0.299559,0.000000,0.007318
0.020000,0.162812,0.664932,0.044794,0.161762,0.299559,0.000000,0.007948
0.020000,0.166107,0.664960,0.048089,0.167753,0.299559,0.000000,0.008600
0.020000,0.169522,0.664990,0.051504,0.173744,0.299559,0.000000,0.009275
0.020000,0.173056,0.665024,0.055039,0.179735,0.299559,0.000000,0.009972
0.020000,0.176711,0.665062,0.058694,0.185726,0.299559,-0.000000,0.010691
0.020000,0.180485,0.665104,0.062468,0.191718,0.299559,0.000000,0.011432
0.020000,0.184379,0.665150,0.066362,0.197709,0.299559,0.000000,0.012194
0.020000,0.188393,0.665200,0.070376,0.203700,0.299559,0.000000,0.012978
0.020000,0.192526,0.665256,0.074510,0.209691,0.299559,0.000000,0.013784
0.020000,0.196779,0.665316,0.078764,0.215682,0.299559,-0.000000,0.014610
0.020000,0.201152,0.665382,0.083138,0.221673,0.299559,0.000000,0.015457
0.020000,0.205645,0.665453,0.087631,0.227665,0.299559,-0.000000,0.016325
0.020000,0.210258,0.665531,0.092244,0.233656,0.299559,0.000000,0.017214
0.020000,0.214990,0.665614,0.096977,0.239647,0.299559,-0.000000,0.018123
0.020000,0.219842,0.665704,0.101830,0.245638,0.299559,0.000000,0.019052
0.020000,0.224814,0.665801,0.106803,0.251629,0.299559,-0.000000,0.020001
0.020000,0.229905,0.665906,0.111895,0.257620,0.299559,0.000000,0.020969
0.020000,0.235116,0.666018,0.117107,0.263612,0.299559,0.000000,0.021958
0.020000,0.240447,0.666137,0.122440,0.269603,0.299559,-0.000000,0.022965
0.020000,0.245898,0.666265,0.127892,0.275594,0.299559,0.000000,0.023991
0.020000,0.251468,0.666402,0.133463,0.281585,0.299559,0.000000,0.025036
0.020000,0.257158,0.666547,0.139155,0.287576,0.299559,0.000000,0.026099
0.020000,0.262967,0.666702,0.144966,0.293567,0.299559,-0.000000,0.027181
0.020000,0.268896,0.666867,0.150898,0.299559,0.299559,0.000000,0.028281
0.020000,0.274944,0.667041,0.156949,0.305550,0.299559,-0.000000,0.029398
0.020000,0.281113,0.667226,0.163120,0.311541,0.299559,0.000000,0.030533
0.020000,0.287400,0.667422,0.169410,0.317532,0.299559,-0.000000,0.031684
0.020000,0.293807,0.667629,0.175821,0.323523,0.299559,-0.000000,0.032853
0.020000,0.300334,0.667847,0.182351,0.329514,0.299559,-0.000000,0.034038
0.020000,0.306980,0.668077,0.189002,0.335506,0.299559,0.000000,0.035240
0.020000,0.313746,0.668320,0.195772,0.341497,0.299559,-0.000000,0.036457
0.020000,0.320631,0.668575,0.202661,0.347488,0.299559,0.000000,0.037690
0.020000,0.327636,0.668844,0.209671,0.353479,0.299559,-0.000000,0.038939
0.020000,0.334760,0.669126,0.216801,0.359470,0.299559,0.000000,0.040202
0.020000,0.342003,0.669422,0.224050,0.365462,0.299559,-0.000000,0.041480
0.020000,0.349366,0.669732,0.231419,0.371453,0.299559,0.000000,0.042773
0.020000,0.356847,0.670057,0.238908,0.377444,0.299559,0.000000,0.044079
0.020000,0.364449,0.670398,0.246517,0.383435,0.299559,-0.000000,0.045399
0.020000,0.372169,0.670754,0.254245,0.389426,0.299559,0.000000,0.046733
0.020000,0.380009,0.671125,0.262094,0.395417,0.299559,-0.000000,0.048080
0.020000,0.387967,0.671514,0.270062,0.401409,0.299559,0.000000,0.049439
0.020000,0.396045,0.671919,0.278150,0.407400,0.299559,0.000000,0.050810
0.020000,0.404242,0.672342,0.286358,0.413391,0.299559,0.000000,0.052194
0.020000,0.412558,0.672782,0.294686,0.419382,0.299559,0.000000,0.053589
0.020000,0.420994,0.673240,0.303133,0.425373,0.299559,-0.000000,0.054995
0.020000,0.429548,0.673717,0.311701,0.431364,0.299559,-0.000000,0.056412
0.020000,0.438221,0.674213,0.320388,0.437356,0.299559,0.000000,0.057839
0.020000,0.447013,0.674729,0.329195,0.443347,0.299559,-0.000000,0.059276
0.020000,0.455923,0.675264,0.338122,0.449338,0.299559,0.000000,0.060723
0.020000,0.464953,0.675820,0.347168,0.455329,0.299559,-0.000000,0.062179
0.020000,0.474101,0.676396,0.356335,0.461320,0.299559,0.000000,0.063644
0.020000,0.483368,0.676993,0.365621,0.467311,0.299559,0.000000,0.065118
0.020000,0.492754,0.677612,0.375027,0.473303,0.299559,0.000000,0.066599
0.020000,0.502259,0.678253,0.384553,0.479294,0.299559,-0.000000,0.068088
0.020000,0.511881,0.678917,0.394199,0.485285,0.299559,-0.000000,0.069584
0.020000,0.521623,0.679603,0.403965,0.491276,0.299559,0.000000,0.071086
0.020000,0.531483,0.680313,0.413850,0.497267,0.299559,-0.000000,0.072595
0.020000,0.541461,0.681046,0.423855,0.503258,0.299559,0.000000,0.074110
0.020000,0.551558,0.681803,0.433981,0.509250,0.299559,0.000000,0.075630
0.020000,0.561773,0.682585,0.444225,0.515241,0.299559,0.000000,0.077156
0.020000,0.572106,0.683392,0.454590,0.521232,0.299559,-0.000000,0.078685
0.020000,0.582558,0.684224,0.465075,0.527223,0.299559,0.000000,0.080219
0.020000,0.593127,0.685082,0.475679,0.533214,0.299559,-0.000000,0.081756
0.020000,0.603815,0.685966,0.486403,0.539206,0.299559,0.000000,0.083296
0.020000,0.614621,0.686877,0.497247,0.545197,0.299559,0.000000,0.084839
0.020000,0.625544,0.687814,0.508211,0.551188,0.299559,-0.000000,0.086384
0.020000,0.636586,0.688779,0.519295,0.557179,0.299559,0.000000,0.087931
0.020000,0.647745,0.689772,0.530498,0.563170,0.299559,-0.000000,0.089479
0.020000,0.659023,0.690792,0.541822,0.569161,0.299559,0.000000,0.091028
