dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.122829,0.309175,0.000004,0.000399,0.019971,0.998529,6.282131
0.020000,0.122830,0.309175,0.000005,0.000058,-0.017077,-1.852377,6.282135
0.020000,0.122832,0.309175,0.000008,0.000130,0.003617,1.034694,6.282142
0.020000,0.122837,0.309175,0.000012,0.000231,0.005063,0.072324,6.282155
0.020000,0.122844,0.309175,0.000020,0.000362,0.006509,0.072302,6.282175
0.020000,0.122855,0.309175,0.000030,0.000521,0.007955,0.072267,6.282205
0.020000,0.122869,0.309175,0.000044,0.000709,0.009399,0.072214,6.282244
0.020000,0.122887,0.309175,0.000063,0.000926,0.010842,0.072140,6.282297
0.020000,0.122911,0.309175,0.000086,0.001171,0.012283,0.072042,6.282362
0.020000,0.122940,0.309175,0.000115,0.001446,0.013721,0.071916,6.282444
0.020000,0.122975,0.309175,0.000150,0.001749,0.015156,0.071760,6.282542
0.020000,0.123016,0.309174,0.000192,0.002081,0.016588,0.071568,6.282659
0.020000,0.123065,0.309174,0.000240,0.002441,0.018014,0.071338,6.282796
0.020000,0.123122,0.309174,0.000297,0.002830,0.019436,0.071067,6.282955
0.020000,0.123186,0.309174,0.000362,0.003247,0.020851,0.070750,6.283138
0.020000,0.124046,0.309175,0.001222,0.042979,1.986621,98.288501,0.000160
0.020000,0.125267,0.309175,0.002442,0.061023,0.902208,-54.220623,0.000391
0.020000,0.126615,0.309176,0.003791,0.067444,0.321023,-29.059283,0.000646
0.020000,0.128093,0.309177,0.005268,0.073863,0.320977,-0.002267,0.000925
0.020000,0.129698,0.309178,0.006874,0.080281,0.320887,-0.004496,0.001228
0.020000,0.131432,0.309181,0.008608,0.086698,0.320840,-0.002390,0.001555
0.020000,0.133295,0.309184,0.010470,0.093114,0.320810,-0.001452,0.001906
0.020000,0.135285,0.309188,0.012461,0.099528,0.320704,-0.005310,0.002281
0.020000,0.137404,0.309194,0.014579,0.105941,0.320629,-0.003742,0.002680
0.020000,0.139651,0.309200,0.016826,0.112353,0.320606,-0.001167,0.003102
0.020000,0.142026,0.309208,0.019202,0.118761,0.320428,-0.008907,0.003548
0.020000,0.144530,0.309217,0.021705,0.125170,0.320436,0.000419,0.004017
0.020000,0.147161,0.309229,0.024337,0.131575,0.320277,-0.007963,0.004509
0.020000,0.149921,0.309242,0.027096,0.137980,0.320226,-0.002540,0.005025
0.020000,0.152808,0.309257,0.029984,0.144382,0.320085,-0.007067,0.005564
0.020000,0.155824,0.309275,0.032999,0.150782,0.320024,-0.003029,0.006126
0.020000,0.158967,0.309295,0.036143,0.157179,0.319848,-0.008819,0.006710
0.020000,0.162239,0.309318,0.039415,0.163576,0.319826,-0.001080,0.007318
0.020000,0.165638,0.309344,0.042814,0.169967,0.319580,-0.012334,0.007948
0.020000,0.169165,0.309373,0.046341,0.176359,0.319561,-0.000936,0.008600
0.020000,0.172820,0.309406,0.049996,0.182747,0.319411,-0.007497,0.009275
0.020000,0.176602,0.309442,0.053779,0.189131,0.319202,-0.010470,0.009972
0.020000,0.180512,0.309482,0.057689,0.195514,0.319150,-0.002597,0.010691
0.020000,0.184550,0.309527,0.061727,0.201894,0.319000,-0.007485,0.011432
0.020000,0.188715,0.309576,0.065892,0.208269,0.318766,-0.011709,0.012194
0.020000,0.193008,0.309630,0.070185,0.214642,0.318670,-0.004767,0.012978
0.020000,0.197427,0.309689,0.074605,0.221013,0.318524,-0.007333,0.013784
0.020000,0.201975,0.309754,0.079153,0.227380,0.318355,-0.008454,0.014610
0.020000,0.206649,0.309824,0.083828,0.233744,0.318181,-0.008698,0.015457
0.020000,0.211450,0.309901,0.088630,0.240103,0.317957,-0.011196,0.016325
0.020000,0.216379,0.309983,0.093559,0.246459,0.317812,-0.007227,0.017214
0.020000,0.221434,0.310073,0.098615,0.252812,0.317639,-0.008686,0.018123
0.020000,0.226617,0.310169,0.103798,0.259161,0.317447,-0.009584,0.019052
0.020000,0.231926,0.310273,0.109109,0.265506,0.317251,-0.009806,0.020001
0.020000,0.237361,0.310384,0.114545,0.271847,0.317050,-0.010023,0.020969
0.020000,0.242924,0.310503,0.120109,0.278184,0.316846,-0.010236,0.021958
0.020000,0.248613,0.310631,0.125799,0.284516,0.316637,-0.010444,0.022965
0.020000,0.254428,0.310768,0.131616,0.290845,0.316424,-0.010647,0.023991
0.020000,0.260370,0.310913,0.137560,0.297169,0.316207,-0.010846,0.025036
0.020000,0.266437,0.311069,0.143630,0.303489,0.315986,-0.011040,0.026099
0.020000,0.272631,0.311234,0.149826,0.309804,0.315761,-0.011230,0.027181
0.020000,0.278951,0.311409,0.156148,0.316114,0.315480,-0.014072,0.028281
0.020000,0.285397,0.311595,0.162596,0.322419,0.315256,-0.011224,0.029398
0.020000,0.291968,0.311792,0.169171,0.328720,0.315049,-0.010351,0.030533
0.020000,0.298665,0.312000,0.175871,0.335016,0.314809,-0.011977,0.031684
0.020000,0.305488,0.312220,0.182697,0.341307,0.314566,-0.012145,0.032853
0.020000,0.312436,0.312453,0.189649,0.347592,0.314223,-0.017177,0.034038
0.020000,0.319509,0.312698,0.196726,0.353871,0.313984,-0.011945,0.035240
0.020000,0.326707,0.312956,0.203929,0.360147,0.313798,-0.009304,0.036457
0.020000,0.334031,0.313228,0.211258,0.366417,0.313498,-0.014983,0.037690
0.020000,0.341479,0.313513,0.218711,0.372679,0.313085,-0.020660,0.038939
0.020000,0.349052,0.313813,0.226290,0.378939,0.312998,-0.004315,0.040202
0.020000,0.356749,0.314128,0.233994,0.385191,0.312602,-0.019817,0.041480
0.020000,0.364571,0.314457,0.241823,0.391437,0.312292,-0.015515,0.042773
0.020000,0.372517,0.314803,0.249776,0.397680,0.312138,-0.007682,0.044079
0.020000,0.380587,0.315164,0.257854,0.403911,0.311582,-0.027820,0.045399
0.020000,0.388781,0.315542,0.266057,0.410143,0.311597,0.000749,0.046733
0.020000,0.397099,0.315936,0.274384,0.416362,0.310925,-0.033603,0.048080
0.020000,0.405541,0.316348,0.282836,0.422581,0.310976,0.002554,0.049439
0.020000,0.414106,0.316778,0.291412,0.428787,0.310316,-0.032987,0.050810
0.020000,0.422794,0.317226,0.300112,0.434993,0.310270,-0.002324,0.052194
0.020000,0.431605,0.317692,0.308935,0.441188,0.309775,-0.024708,0.053589
0.020000,0.440540,0.318178,0.317883,0.447378,0.309469,-0.015325,0.054995
0.020000,0.449597,0.318683,0.326954,0.453563,0.309259,-0.010493,0.056412
0.020000,0.458777,0.319208,0.336149,0.459736,0.308663,-0.029775,0.057839
0.020000,0.468079,0.319753,0.345467,0.465906,0.308501,-0.008119,0.059276
0.020000,0.477503,0.320319,0.354909,0.472070,0.308180,-0.016044,0.060723
0.020000,0.487050,0.320907,0.364473,0.478224,0.307699,-0.024071,0.062179
0.020000,0.496718,0.321516,0.374160,0.484370,0.307328,-0.018533,0.063644
0.020000,0.506508,0.322147,0.383971,0.490512,0.307070,-0.012891,0.065118
0.020000,0.516419,0.322801,0.393904,0.496645,0.306689,-0.019084,0.066599
0.020000,0.526452,0.323477,0.403959,0.502772,0.306303,-0.019261,0.068088
0.020000,0.536606,0.324177,0.414137,0.508888,0.305838,-0.023295,0.069584
0.020000,0.546880,0.324901,0.424437,0.514998,0.305483,-0.017751,0.071086
0.020000,0.557275,0.325649,0.434859,0.521101,0.305148,-0.016733,0.072595
0.020000,0.567791,0.326422,0.445403,0.527196,0.304751,-0.019850,0.074110
0.020000,0.578426,0.327220,0.456068,0.533283,0.304351,-0.019991,0.075630
0.020000,0.589182,0.328043,0.466856,0.539362,0.303949,-0.020127,0.077156
0.020000,0.600058,0.328892,0.477764,0.545433,0.303543,-0.020256,0.078685
0.020000,0.611053,0.329768,0.488794,0.551495,0.303136,-0.020379,0.080219
0.020000,0.622167,0.330670,0.499945,0.557550,0.302726,-0.020498,0.081756
0.020000,0.633401,0.331599,0.511217,0.563596,0.302314,-0.020611,0.083296
0.020000,0.644753,0.332556,0.522610,0.569634,0.301899,-0.020721,0.084839
0.020000,0.656224,0.333540,0.534123,0.575664,0.301483,-0.020826,0.086384
0.020000,0.667814,0.334553,0.545757,0.581685,0.301064,-0.020929,0.087931
0.020000,0.679522,0.335594,0.557511,0.587696,0.300553,-0.025563,0.089479
0.020000,0.691347,0.336664,0.569385,0.593699,0.300134,-0.020967,0.091028
0.020000,0.703291,0.337764,0.581378,0.599694,0.299772,-0.018081,0.092576
0.020000,0.715352,0.338893,0.593492,0.605681,0.299346,-0.021315,0.094125
0.020000,0.727530,0.340052,0.605725,0.611660,0.298918,-0.021405,0.095673
0.020000,0.739825,0.341242,0.618078,0.617626,0.298306,-0.030591,0.097219
0.020000,0.752237,0.342462,0.630549,0.623585,0.297938,-0.018378,0.098764
0.020000,0.764765,0.343713,0.643140,0.629536,0.297598,-0.017017,0.100306
0.020000,0.777410,0.344996,0.655850,0.635478,0.297062,-0.026797,0.101846
0.020000,0.790171,0.346310,0.668678,0.641407,0.296455,-0.030365,0.103382
0.020000,0.803047,0.347656,0.681625,0.647332,0.296263,-0.009577,0.104914
0.020000,0.816039,0.349034,0.694689,0.653244,0.295590,-0.033661,0.106442
0.020000,0.829146,0.350444,0.707872,0.659147,0.295170,-0.020978,0.107965
0.020000,0.842369,0.351888,0.721173,0.665044,0.294826,-0.017219,0.109483
0.020000,0.855706,0.353364,0.734592,0.670925,0.294066,-0.038014,0.110994
0.020000,0.869157,0.354873,0.748128,0.676804,0.293961,-0.005248,0.112499
0.020000,0.882723,0.356416,0.761781,0.682665,0.293051,-0.045499,0.113997
0.020000,0.896403,0.357993,0.775552,0.688525,0.292995,-0.002801,0.115488
0.020000,0.910197,0.359603,0.789439,0.694368,0.292125,-0.043491,0.116970
0.020000,0.924104,0.361248,0.803443,0.700206,0.291929,-0.009777,0.118443
0.020000,0.938124,0.362927,0.817564,0.706032,0.291286,-0.032155,0.119908
0.020000,0.952258,0.364640,0.831801,0.711847,0.290767,-0.025968,0.121362
0.020000,0.966504,0.366388,0.846154,0.717656,0.290455,-0.015573,0.122806
0.020000,0.980863,0.368171,0.860623,0.723450,0.289663,-0.039626,0.124239
0.020000,0.995334,0.369989,0.875208,0.729237,0.289346,-0.015835,0.125661
0.020000,1.009917,0.371841,0.889908,0.735014,0.288891,-0.022771,0.127070
0.020000,1.024612,0.373729,0.904723,0.740779,0.288234,-0.032846,0.128467
0.020000,1.039418,0.375652,0.919654,0.746533,0.287709,-0.026213,0.129850
0.020000,1.054336,0.377611,0.934700,0.752280,0.287316,-0.019651,0.131220
0.020000,1.069364,0.379605,0.949860,0.758015,0.286781,-0.026782,0.132575
0.020000,1.084504,0.381634,0.965135,0.763740,0.286244,-0.026829,0.133915
0.020000,1.099754,0.383699,0.980524,0.769452,0.285591,-0.032664,0.135240
0.020000,1.115114,0.385799,0.996027,0.775155,0.285162,-0.021465,0.136548
0.020000,1.130584,0.387935,1.011644,0.780848,0.284653,-0.025452,0.137840
0.020000,1.146164,0.390106,1.027375,0.786530,0.284111,-0.027060,0.139114
0.020000,1.161854,0.392313,1.043219,0.792202,0.283569,-0.027121,0.140370
