dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452432,1.053043,0.000200,0.019972,0.998586,49.929321,0.000055
0.020000,0.452440,1.053043,0.000208,0.000424,-0.977392,-98.798944,0.000031
0.020000,0.452662,1.053043,0.000429,0.011065,0.532061,75.472664,6.283177
0.020000,0.454079,1.053043,0.001847,0.070889,2.991175,122.955715,6.283122
0.020000,0.455902,1.053043,0.003670,0.091141,1.012618,-98.927864,6.283050
0.020000,0.458130,1.053042,0.005898,0.111392,1.012560,-0.002912,6.282963
0.020000,0.460763,1.053041,0.008531,0.131642,1.012488,-0.003562,6.282860
0.020000,0.463801,1.053040,0.011569,0.151890,1.012406,-0.004139,6.282742
0.020000,0.467244,1.053039,0.015011,0.172136,1.012310,-0.004794,6.282609
0.020000,0.471091,1.053036,0.018859,0.192380,1.012200,-0.005480,6.282460
0.020000,0.475344,1.053033,0.023111,0.212622,1.012078,-0.006120,6.282295
0.020000,0.480001,1.053028,0.027769,0.232861,1.011943,-0.006718,6.282116
0.020000,0.485063,1.053022,0.032830,0.253097,1.011796,-0.007366,6.281922
0.020000,0.490529,1.053015,0.038297,0.273329,1.011635,-0.008050,6.281714
0.020000,0.496400,1.053005,0.044168,0.293558,1.011461,-0.008678,6.281490
0.020000,0.502676,1.052994,0.050444,0.313784,1.011275,-0.009303,6.281253
0.020000,0.509356,1.052980,0.057124,0.334006,1.011077,-0.009940,6.281001
0.020000,0.516441,1.052964,0.064208,0.354223,1.010864,-0.010623,6.280736
0.020000,0.523929,1.052944,0.071697,0.374436,1.010639,-0.011236,6.280457
0.020000,0.531822,1.052922,0.079590,0.394644,1.010402,-0.011894,6.280165
0.020000,0.540119,1.052895,0.087887,0.414847,1.010151,-0.012518,6.279860
0.020000,0.548820,1.052865,0.096588,0.435044,1.009887,-0.013198,6.279542
0.020000,0.557925,1.052830,0.105693,0.455237,1.009611,-0.013797,6.279212
0.020000,0.567433,1.052791,0.115201,0.475423,1.009322,-0.014488,6.278869
0.020000,0.577345,1.052746,0.125113,0.495603,1.009020,-0.015099,6.278515
0.020000,0.587660,1.052696,0.135429,0.515778,1.008704,-0.015776,6.278150
0.020000,0.598379,1.052640,0.146148,0.535945,1.008377,-0.016362,6.277773
0.020000,0.609501,1.052578,0.157270,0.556106,1.008035,-0.017085,6.277386
0.020000,0.621026,1.052509,0.168795,0.576259,1.007681,-0.017682,6.276989
0.020000,0.632954,1.052433,0.180723,0.596406,1.007314,-0.018351,6.276581
0.020000,0.645284,1.052349,0.193054,0.616544,1.006935,-0.018947,6.276165
0.020000,0.658018,1.052256,0.205787,0.636675,1.006542,-0.019668,6.275739
0.020000,0.671153,1.052156,0.218923,0.656798,1.006137,-0.020272,6.275305
0.020000,0.684691,1.052046,0.232462,0.676912,1.005718,-0.020916,6.274863
0.020000,0.698631,1.051927,0.246402,0.697018,1.005287,-0.021573,6.274414
0.020000,0.712973,1.051798,0.260744,0.717115,1.004843,-0.022212,6.273957
0.020000,0.727716,1.051658,0.275488,0.737203,1.004385,-0.022875,6.273494
0.020000,0.742861,1.051508,0.290634,0.757281,1.003915,-0.023487,6.273025
0.020000,0.758407,1.051346,0.306181,0.777350,1.003432,-0.024185,6.272550
0.020000,0.774354,1.051173,0.322129,0.797408,1.002936,-0.024776,6.272071
0.020000,0.790702,1.050987,0.338478,0.817457,1.002427,-0.025454,6.271587
0.020000,0.807451,1.050789,0.355228,0.837495,1.001905,-0.026094,6.271099
0.020000,0.824600,1.050577,0.372379,0.857522,1.001370,-0.026747,6.270609
0.020000,0.842150,1.050352,0.389929,0.877539,1.000823,-0.027377,6.270116
0.020000,0.860099,1.050113,0.407880,0.897544,1.000262,-0.028028,6.269621
0.020000,0.878448,1.049860,0.426231,0.917538,0.999689,-0.028683,6.269124
0.020000,0.897196,1.049591,0.444981,0.937520,0.999102,-0.029316,6.268627
0.020000,0.916344,1.049308,0.464131,0.957490,0.998503,-0.029970,6.268131
0.020000,0.935891,1.049009,0.483680,0.977448,0.997891,-0.030609,6.267635
0.020000,0.955836,1.048694,0.503628,0.997393,0.997265,-0.031259,6.267140
0.020000,0.976180,1.048362,0.523975,1.017326,0.996628,-0.031892,6.266648
0.020000,0.996922,1.048014,0.544719,1.037245,0.995977,-0.032551,6.266158
0.020000,1.018062,1.047649,0.565862,1.057151,0.995313,-0.033186,6.265673
0.020000,1.039599,1.047266,0.587403,1.077044,0.994636,-0.033830,6.265191
0.020000,1.061534,1.046866,0.609342,1.096923,0.993947,-0.034476,6.264715
0.020000,1.083866,1.046449,0.631678,1.116788,0.993244,-0.035117,6.264245
0.020000,1.106594,1.046013,0.654410,1.136639,0.992529,-0.035762,6.263782
0.020000,1.129719,1.045559,0.677540,1.156475,0.991801,-0.036404,6.263327
0.020000,1.153241,1.045086,0.701066,1.176296,0.991060,-0.037045,6.262879
0.020000,1.177158,1.044595,0.724988,1.196102,0.990306,-0.037689,6.262442
0.020000,1.201470,1.044086,0.749306,1.215893,0.989540,-0.038332,6.262014
0.020000,1.226178,1.043557,0.774019,1.235668,0.988760,-0.038971,6.261597
0.020000,1.251280,1.043010,0.799128,1.255427,0.987968,-0.039618,6.261193
0.020000,1.276778,1.042444,0.824631,1.275170,0.987163,-0.040255,6.260801
0.020000,1.302669,1.041860,0.850529,1.294897,0.986345,-0.040899,6.260423
0.020000,1.328954,1.041257,0.876821,1.314608,0.985514,-0.041540,6.260060
0.020000,1.355633,1.040635,0.903507,1.334301,0.984670,-0.042184,6.259712
0.020000,1.382705,1.039995,0.930587,1.353977,0.983814,-0.042824,6.259381
0.020000,1.410170,1.039336,0.958059,1.373636,0.982945,-0.043465,6.259068
0.020000,1.438027,1.038660,0.985925,1.393277,0.982062,-0.044114,6.258773
0.020000,1.466277,1.037967,1.014183,1.412901,0.981167,-0.044745,6.258498
0.020000,1.494918,1.037256,1.042833,1.432506,0.980259,-0.045398,6.258243
0.020000,1.523951,1.036528,1.071875,1.452093,0.979339,-0.046037,6.258010
0.020000,1.553374,1.035784,1.101308,1.471661,0.978405,-0.046678,6.257800
0.020000,1.583189,1.035024,1.131132,1.491210,0.977459,-0.047327,6.257613
0.020000,1.613394,1.034249,1.161347,1.510740,0.976499,-0.047966,6.257451
0.020000,1.643989,1.033459,1.191952,1.530251,0.975527,-0.048613,6.257316
0.020000,1.674973,1.032656,1.222947,1.549741,0.974542,-0.049258,6.257207
0.020000,1.706347,1.031839,1.254331,1.569212,0.973544,-0.049903,6.257127
0.020000,1.738109,1.031010,1.286104,1.588663,0.972533,-0.050549,6.257075
0.020000,1.770260,1.030170,1.318266,1.608093,0.971509,-0.051195,6.257055
0.020000,1.802799,1.029320,1.350816,1.627503,0.970472,-0.051842,6.257065
0.020000,1.835726,1.028460,1.383754,1.646891,0.969422,-0.052490,6.257109
0.020000,1.869039,1.027593,1.417079,1.666258,0.968360,-0.053137,6.257187
0.020000,1.902740,1.026718,1.450791,1.685604,0.967284,-0.053785,6.257300
0.020000,1.936827,1.025838,1.484890,1.704928,0.966195,-0.054435,6.257449
0.020000,1.971301,1.024954,1.519375,1.724230,0.965094,-0.055078,6.257636
0.020000,2.006160,1.024067,1.554245,1.743509,0.963979,-0.055733,6.257862
0.020000,2.041404,1.023179,1.589500,1.762766,0.962851,-0.056379,6.258128
0.020000,2.071710,1.022482,1.619815,1.515730,-12.351794,-665.732255,6.264107
0.020000,2.104621,1.022005,1.652729,1.645697,6.498340,942.506702,6.273203
0.020000,2.138017,1.021821,1.686126,1.669847,1.207469,-264.543575,6.282065
0.020000,2.171901,1.021930,1.720010,1.694211,1.218216,0.537339,0.007494
0.020000,2.206275,1.022332,1.754385,1.718784,1.228646,0.521544,0.015850
0.020000,2.241139,1.023027,1.789257,1.743563,1.238975,0.516429,0.023936
0.020000,2.276496,1.024012,1.824628,1.768543,1.248996,0.501051,0.031739
0.020000,2.312348,1.025287,1.860502,1.793718,1.258757,0.488055,0.039251
0.020000,2.348696,1.026847,1.896884,1.819086,1.268369,0.480596,0.046458
0.020000,2.385543,1.028688,1.933777,1.844642,1.277811,0.472101,0.053352
0.020000,2.422890,1.030807,1.971184,1.870383,1.287036,0.461263,0.059921
0.020000,2.460741,1.033198,2.009110,1.896305,1.296136,0.454973,0.066156
0.020000,2.499097,1.035854,2.047558,1.922408,1.305138,0.450128,0.072046
0.020000,2.537962,1.038768,2.086532,1.948690,1.314073,0.446716,0.077580
0.020000,2.577338,1.041933,2.126035,1.975147,1.322869,0.439818,0.082751
0.020000,2.617229,1.045339,2.166071,2.001782,1.331755,0.444280,0.087546
0.020000,2.657637,1.048977,2.206643,2.028594,1.340592,0.441848,0.091957
0.020000,2.698567,1.052836,2.247754,2.055585,1.349546,0.447730,0.095973
0.020000,2.740023,1.056904,2.289410,2.082755,1.358510,0.448197,0.099584
0.020000,2.782009,1.061169,2.331612,2.110108,1.367638,0.456398,0.102780
0.020000,2.824530,1.065616,2.374365,2.137647,1.376975,0.466825,0.105550
0.020000,2.867591,1.070230,2.417672,2.165377,1.386466,0.474584,0.107884
0.020000,2.910938,1.074968,2.461277,2.180259,0.744140,-32.116330,0.109761
0.020000,2.954181,1.079766,2.504786,2.175413,-0.242348,-49.324362,0.111167
0.020000,2.997185,1.084588,2.548059,2.163686,-0.586321,-17.198691,0.112109
0.020000,3.039949,1.089415,2.591094,2.151729,-0.597863,-0.577098,0.112601
0.020000,3.082468,1.094226,2.633885,2.139549,-0.609011,-0.557372,0.112654
0.020000,3.124742,1.099002,2.676428,2.127153,-0.619793,-0.539123,0.112282
0.020000,3.166769,1.103725,2.718719,2.114549,-0.630201,-0.520390,0.111495
0.020000,3.208545,1.108379,2.760754,2.101742,-0.640341,-0.506983,0.110305
0.020000,3.250070,1.112946,2.802529,2.088740,-0.650102,-0.488065,0.108723
0.020000,3.291340,1.117411,2.844039,2.075546,-0.659672,-0.478477,0.106759
0.020000,3.332353,1.121759,2.885283,2.062167,-0.668970,-0.464922,0.104425
0.020000,3.373108,1.125976,2.926255,2.048606,-0.678050,-0.454015,0.101731
0.020000,3.413601,1.130049,2.966952,2.034867,-0.686955,-0.445235,0.098686
0.020000,3.453830,1.133964,3.007371,2.020953,-0.695718,-0.438167,0.095300
0.020000,3.493792,1.137711,3.047509,2.006867,-0.704267,-0.427454,0.091583
0.020000,3.533484,1.141276,3.087361,1.992610,-0.712841,-0.428696,0.087544
