dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.451172,0.706581,0.000079,0.007876,0.393818,19.690901,6.281816
0.020000,1.451172,0.706581,0.000394,0.023629,0.787636,19.690901,6.281966
0.020000,1.451172,0.706581,0.001103,0.047258,1.181454,19.690901,6.282302
0.020000,1.451172,0.706581,0.002363,0.078764,1.575272,19.690901,6.282900
0.020000,1.452539,0.706581,0.004332,0.118145,1.969090,19.690901,0.000647
0.020000,1.455296,0.706585,0.007089,0.157527,1.969090,0.000000,0.001951
0.020000,1.458840,0.706595,0.010633,0.196909,1.969090,0.000000,0.003622
0.020000,1.463172,0.706615,0.014965,0.236291,1.969090,-0.000000,0.005657
0.020000,1.468292,0.706650,0.020085,0.275673,1.969090,0.000000,0.008053
0.020000,1.474199,0.706706,0.025992,0.315054,1.969090,0.000000,0.010804
0.020000,1.480893,0.706789,0.032687,0.354436,1.969090,0.000000,0.013904
0.020000,1.488375,0.706905,0.040169,0.393818,1.969090,0.000000,0.017347
0.020000,1.496643,0.707065,0.048440,0.433200,1.969090,-0.000000,0.021125
0.020000,1.505699,0.707274,0.057497,0.472582,1.969090,0.000000,0.025230
0.020000,1.515540,0.707545,0.067343,0.511963,1.969090,-0.000000,0.029652
0.020000,1.526168,0.707885,0.077976,0.551345,1.969090,0.000000,0.034381
0.020000,1.537581,0.708306,0.089397,0.590727,1.969090,0.000000,0.039406
0.020000,1.549778,0.708820,0.101605,0.630109,1.969090,0.000000,0.044715
0.020000,1.562760,0.709437,0.114601,0.669491,1.969090,0.000000,0.050294
0.020000,1.576524,0.710170,0.128385,0.708872,1.969090,0.000000,0.056131
0.020000,1.591070,0.711032,0.142956,0.748254,1.969090,0.000000,0.062208
0.020000,1.606396,0.712035,0.158315,0.787636,1.969090,0.000000,0.068512
0.020000,1.622501,0.713193,0.174461,0.827018,1.969090,-0.000000,0.075024
0.020000,1.639383,0.714519,0.191396,0.866400,1.969090,0.000000,0.081727
0.020000,1.657040,0.716027,0.209117,0.905781,1.969090,0.000000,0.088601
0.020000,1.675471,0.717730,0.227627,0.945163,1.969090,-0.000000,0.095628
0.020000,1.694673,0.719641,0.246924,0.984545,1.969090,0.000000,0.102785
0.020000,1.714644,0.721775,0.267009,1.023927,1.969090,0.000000,0.110053
0.020000,1.735382,0.724144,0.287881,1.063309,1.969090,0.000000,0.117407
0.020000,1.756883,0.726761,0.309541,1.102690,1.969090,0.000000,0.124826
0.020000,1.779145,0.729640,0.331989,1.142072,1.969090,-0.000000,0.132285
0.020000,1.802166,0.732791,0.355224,1.181454,1.969090,0.000000,0.139759
0.020000,1.825942,0.736227,0.379247,1.220836,1.969090,0.000000,0.147223
0.020000,1.850470,0.739958,0.404057,1.260218,1.969090,-0.000000,0.154652
0.020000,1.875748,0.743995,0.429655,1.299599,1.969090,0.000000,0.162020
0.020000,1.901772,0.748346,0.456041,1.338981,1.969090,0.000000,0.169298
0.020000,1.928540,0.753021,0.483215,1.378363,1.969090,-0.000000,0.176460
0.020000,1.956050,0.758027,0.511176,1.417745,1.969090,0.000000,0.183479
0.020000,1.984297,0.763370,0.539925,1.457127,1.969090,-0.000000,0.190326
0.020000,2.013281,0.769055,0.569461,1.496508,1.969090,0.000000,0.196974
0.020000,2.043000,0.775086,0.599785,1.535890,1.969090,0.000000,0.203392
0.020000,2.073450,0.781465,0.630896,1.575272,1.969090,0.000000,0.209553
0.020000,2.104632,0.788194,0.662796,1.614654,1.969090,-0.000000,0.215427
0.020000,2.136543,0.795271,0.695483,1.654036,1.969090,0.000000,0.220984
0.020000,2.169184,0.802695,0.728957,1.693417,1.969090,0.000000,0.226195
0.020000,2.202555,0.810461,0.763219,1.732799,1.969090,-0.000000,0.231029
0.020000,2.236655,0.818563,0.798269,1.772181,1.969090,0.000000,0.235455
0.020000,2.271486,0.826995,0.834107,1.811563,1.969090,0.000000,0.239441
0.020000,2.307051,0.835745,0.870732,1.850945,1.969090,-0.000000,0.242957
0.020000,2.343351,0.844802,0.908144,1.890326,1.969090,0.000000,0.245968
0.020000,2.380389,0.854151,0.946345,1.929708,1.969090,0.000000,0.248442
0.020000,2.418171,0.863776,0.985333,1.969090,1.969090,0.000000,0.250343
0.020000,2.456699,0.873657,1.025108,2.008472,1.969090,-0.000000,0.251636
0.020000,2.495981,0.883772,1.065672,2.047854,1.969090,0.000000,0.252284
0.020000,2.536023,0.894095,1.107022,2.087235,1.969090,0.000000,0.252248
0.020000,2.576831,0.904599,1.149161,2.126617,1.969090,-0.000000,0.251489
0.020000,2.618414,0.915252,1.192087,2.165999,1.969090,0.000000,0.249963
0.020000,2.660782,0.926019,1.235801,2.205381,1.969090,0.000000,0.247627
0.020000,2.703942,0.936860,1.280302,2.244763,1.969090,-0.000000,0.244434
0.020000,2.747907,0.947734,1.325591,2.284145,1.969090,0.000000,0.240336
0.020000,2.792609,0.958573,1.371589,2.315650,1.575272,-19.690901,0.235291
0.020000,2.837907,0.969292,1.418139,2.339279,1.181454,-19.690901,0.229272
0.020000,2.883658,0.979804,1.465082,2.355032,0.787636,-19.690901,0.222261
0.020000,2.929717,0.990023,1.512261,2.362908,0.393818,-19.690901,0.214254
0.020000,2.975867,0.999852,1.559446,2.355604,-0.365186,-37.950220,0.205270
0.020000,3.021888,1.009200,1.606407,2.340424,-0.759004,-19.690901,0.195350
0.020000,3.067627,1.017998,1.652985,2.317368,-1.152822,-19.690901,0.184534
0.020000,3.112931,1.026185,1.699023,2.286435,-1.546640,-19.690901,0.172879
0.020000,3.157642,1.033710,1.744363,2.247626,-1.940458,-19.690901,0.160454
0.020000,3.201674,1.040543,1.788922,2.208244,-1.969090,-1.431582,0.147321
0.020000,3.245013,1.046673,1.832693,2.168862,-1.969090,-0.000000,0.133526
0.020000,3.287653,1.052091,1.875676,2.129480,-1.969090,0.000000,0.119115
0.020000,3.329586,1.056794,1.917872,2.090099,-1.969090,0.000000,0.104136
0.020000,3.370801,1.060782,1.959280,2.050717,-1.969090,-0.000000,0.088636
