dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452471,0.341843,0.000200,0.019972,0.998586,49.929321,0.000055
0.020000,0.452463,0.341843,0.000208,0.000424,-0.977392,-98.798944,0.000031
0.020000,0.452656,0.341843,0.000401,0.009653,0.461457,71.942474,6.283177
0.020000,0.454034,0.341843,0.001780,0.068913,2.963024,125.078323,6.283122
0.020000,0.455806,0.341843,0.003552,0.088605,0.984556,-98.923374,6.283050
0.020000,0.457972,0.341842,0.005718,0.108297,0.984613,0.002865,6.282963
0.020000,0.460532,0.341841,0.008277,0.127991,0.984683,0.003499,6.282860
0.020000,0.463486,0.341840,0.011231,0.147686,0.984767,0.004204,6.282742
0.020000,0.466833,0.341839,0.014579,0.167383,0.984864,0.004834,6.282609
0.020000,0.470575,0.341836,0.018320,0.187083,0.984973,0.005433,6.282460
0.020000,0.474711,0.341833,0.022456,0.206785,0.985094,0.006078,6.282295
0.020000,0.479240,0.341828,0.026986,0.226489,0.985230,0.006764,6.282116
0.020000,0.484164,0.341823,0.031910,0.246197,0.985378,0.007402,6.281922
0.020000,0.489483,0.341815,0.037228,0.265907,0.985538,0.008004,6.281714
0.020000,0.495195,0.341806,0.042940,0.285622,0.985711,0.008662,6.281490
0.020000,0.501302,0.341795,0.049047,0.305340,0.985897,0.009323,6.281253
0.020000,0.507803,0.341782,0.055548,0.325062,0.986097,0.009973,6.281001
0.020000,0.514699,0.341766,0.062444,0.344788,0.986308,0.010578,6.280736
0.020000,0.521989,0.341747,0.069735,0.364518,0.986533,0.011252,6.280457
0.020000,0.529674,0.341725,0.077420,0.384254,0.986771,0.011883,6.280165
0.020000,0.537754,0.341699,0.085499,0.403994,0.987022,0.012547,6.279860
0.020000,0.546229,0.341670,0.093974,0.423740,0.987285,0.013157,6.279542
0.020000,0.555098,0.341636,0.102844,0.443491,0.987562,0.013846,6.279212
0.020000,0.564363,0.341598,0.112109,0.463248,0.987851,0.014445,6.278869
0.020000,0.574023,0.341554,0.121769,0.483011,0.988153,0.015124,6.278515
0.020000,0.584079,0.341505,0.131825,0.502781,0.988468,0.015738,6.278150
0.020000,0.594530,0.341451,0.142276,0.522557,0.988797,0.016441,6.277773
0.020000,0.605377,0.341390,0.153123,0.542339,0.989137,0.017011,6.277386
0.020000,0.616619,0.341323,0.164365,0.562129,0.989491,0.017704,6.276989
0.020000,0.628257,0.341248,0.176004,0.581926,0.989858,0.018328,6.276581
0.020000,0.640292,0.341166,0.188039,0.601731,0.990238,0.019023,6.276165
0.020000,0.652722,0.341076,0.200469,0.621544,0.990630,0.019596,6.275739
0.020000,0.665549,0.340978,0.213297,0.641364,0.991036,0.020282,6.275305
0.020000,0.678772,0.340871,0.226521,0.661193,0.991455,0.020931,6.274863
0.020000,0.692393,0.340754,0.240141,0.681031,0.991886,0.021567,6.274414
0.020000,0.706410,0.340628,0.254159,0.700878,0.992330,0.022220,6.273957
0.020000,0.720824,0.340492,0.268573,0.720734,0.992787,0.022850,6.273494
0.020000,0.735635,0.340345,0.283385,0.740599,0.993258,0.023530,6.273025
0.020000,0.750843,0.340187,0.298595,0.760474,0.993740,0.024126,6.272550
0.020000,0.766450,0.340017,0.314202,0.780358,0.994237,0.024826,6.272071
0.020000,0.782454,0.339835,0.330207,0.800253,0.994746,0.025441,6.271587
0.020000,0.798856,0.339641,0.346610,0.820159,0.995268,0.026093,6.271099
0.020000,0.815656,0.339434,0.363412,0.840075,0.995802,0.026731,6.270609
0.020000,0.832855,0.339213,0.380612,0.860002,0.996350,0.027392,6.270116
0.020000,0.850452,0.338979,0.398211,0.879940,0.996911,0.028033,6.269621
0.020000,0.868448,0.338730,0.416208,0.899889,0.997484,0.028670,6.269124
0.020000,0.886843,0.338467,0.434605,0.919851,0.998071,0.029327,6.268627
0.020000,0.905637,0.338189,0.453402,0.939824,0.998670,0.029962,6.268131
0.020000,0.924831,0.337895,0.472598,0.959810,0.999282,0.030613,6.267635
0.020000,0.944425,0.337585,0.492194,0.979808,0.999907,0.031253,6.267140
0.020000,0.964419,0.337259,0.512191,0.999819,1.000545,0.031908,6.266648
0.020000,0.984813,0.336917,0.532587,1.019843,1.001196,0.032537,6.266158
0.020000,1.005607,0.336558,0.553385,1.039880,1.001860,0.033190,6.265673
0.020000,1.026803,0.336182,0.574584,1.059931,1.002537,0.033833,6.265191
