dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,5.250000,0.000987,0.098684,4.934211,246.710526,0.000064
0.020000,0.001396,5.250000,0.004934,0.296053,9.868421,246.710526,6.283151
0.020000,0.009290,5.249999,0.012829,0.493421,9.868421,0.000000,6.282957
0.020000,0.021132,5.249995,0.024671,0.690789,9.868421,0.000000,6.282675
0.020000,0.036922,5.249984,0.040461,0.888158,9.868421,-0.000000,6.282311
0.020000,0.056659,5.249962,0.060197,1.085526,9.868421,0.000000,6.281879
0.020000,0.080343,5.249925,0.083882,1.282895,9.868421,0.000000,6.281393
0.020000,0.107974,5.249868,0.111513,1.480263,9.868421,0.000000,6.280869
0.020000,0.139553,5.249787,0.143092,1.677632,9.868421,-0.000000,6.280330
0.020000,0.175079,5.249675,0.178618,1.875000,9.868421,0.000000,6.279798
0.020000,0.214553,5.249532,0.218092,2.072368,9.868421,0.000000,6.279299
0.020000,0.257973,5.249353,0.261513,2.269737,9.868421,-0.000000,6.278863
0.020000,0.305341,5.249140,0.308882,2.467105,9.868421,0.000000,6.278522
0.020000,0.356657,5.248894,0.360197,2.664474,9.868421,0.000000,6.278310
0.020000,0.411919,5.248623,0.415461,2.861842,9.868421,0.000000,6.278266
0.020000,0.471129,5.248335,0.474671,3.059211,9.868421,-0.000000,6.278430
0.020000,0.534286,5.248047,0.537829,3.256579,9.868421,0.000000,6.278847
0.020000,0.601391,5.247778,0.604934,3.453947,9.868421,-0.000000,6.279563
0.020000,0.672443,5.247557,0.675987,3.651316,9.868421,0.000000,6.280628
0.020000,0.746456,5.247419,0.750000,3.750000,4.934211,-246.710526,6.282074
0.020000,0.821456,5.247401,0.825000,3.750000,0.000000,-246.710526,0.000703
0.020000,0.896456,5.247533,0.900000,3.750000,0.000000,0.000000,0.002871
0.020000,0.971455,5.247841,0.975000,3.750000,0.000000,0.000000,0.005392
0.020000,1.046454,5.248351,1.050000,3.750000,0.000000,0.000000,0.008268
0.020000,1.121450,5.249090,1.125000,3.750000,0.000000,0.000000,0.011499
0.020000,1.196443,5.250085,1.200000,3.750000,0.000000,0.000000,0.015086
0.020000,1.271432,5.251362,1.275000,3.750000,0.000000,0.000000,0.019030
0.020000,1.346416,5.252948,1.350000,3.750000,0.000000,0.000000,0.023330
0.020000,1.421391,5.254870,1.425000,3.750000,0.000000,0.000000,0.027990
0.020000,1.496356,5.257155,1.500000,3.750000,0.000000,0.000000,0.033008
0.020000,1.571308,5.259829,1.575000,3.750000,0.000000,0.000000,0.038386
0.020000,1.646244,5.262920,1.650000,3.750000,0.000000,0.000000,0.044123
0.020000,1.721161,5.266454,1.725000,3.750000,0.000000,0.000000,0.050222
0.020000,1.796054,5.270459,1.800000,3.750000,0.000000,0.000000,0.056681
0.020000,1.870918,5.274961,1.875000,3.750000,0.000000,0.000000,0.063500
0.020000,1.945750,5.279987,1.950000,3.750000,0.000000,0.000000,0.070680
0.020000,2.020542,5.285563,2.025000,3.750000,0.000000,0.000000,0.078220
0.020000,2.095289,5.291716,2.100000,3.750000,0.000000,0.000000,0.086118
0.020000,2.169984,5.298473,2.175000,3.750000,0.000000,0.000000,0.094374
0.020000,2.244619,5.305860,2.250000,3.750000,0.000000,0.000000,0.102986
0.020000,2.319186,5.313903,2.325000,3.750000,0.000000,0.000000,0.111951
