dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,3.000000,0.000987,0.098684,4.934211,246.710526,6.283083
0.020000,0.001913,3.000000,0.004934,0.296053,9.868421,246.710526,0.000096
0.020000,0.009808,3.000002,0.012829,0.493421,9.868421,0.000000,0.000489
0.020000,0.021650,3.000012,0.024671,0.690789,9.868421,0.000000,0.001065
0.020000,0.037440,3.000034,0.040461,0.888158,9.868421,-0.000000,0.001811
0.020000,0.057176,3.000079,0.060197,1.085526,9.868421,0.000000,0.002707
0.020000,0.080861,3.000155,0.083882,1.282895,9.868421,0.000000,0.003728
0.020000,0.108492,3.000274,0.111513,1.480263,9.868421,0.000000,0.004845
0.020000,0.140070,3.000446,0.143092,1.677632,9.868421,-0.000000,0.006024
0.020000,0.175596,3.000682,0.178618,1.875000,9.868421,0.000000,0.007225
0.020000,0.215068,3.000991,0.218092,2.072368,9.868421,0.000000,0.008405
0.020000,0.258488,3.001380,0.261513,2.269737,9.868421,-0.000000,0.009516
0.020000,0.305854,3.001855,0.308882,2.467105,9.868421,0.000000,0.010503
0.020000,0.357166,3.002416,0.360197,2.664474,9.868421,0.000000,0.011309
0.020000,0.412426,3.003058,0.415461,2.861842,9.868421,0.000000,0.011871
0.020000,0.471632,3.003770,0.474671,3.059211,9.868421,-0.000000,0.012120
0.020000,0.534785,3.004534,0.537829,3.256579,9.868421,0.000000,0.011984
0.020000,0.601886,3.005320,0.604934,3.453947,9.868421,-0.000000,0.011386
0.020000,0.672934,3.006092,0.675987,3.651316,9.868421,0.000000,0.010241
0.020000,0.746944,3.006788,0.750000,3.750000,4.934211,-246.710526,0.008489
0.020000,0.821942,3.007340,0.825000,3.750000,0.000000,-246.710526,0.006132
0.020000,0.896941,3.007693,0.900000,3.750000,0.000000,0.000000,0.003186
0.020000,0.971941,3.007803,0.975000,3.750000,0.000000,0.000000,6.282836
0.020000,1.046941,3.007626,1.050000,3.750000,0.000000,0.000000,6.278709
0.020000,1.121939,3.007117,1.125000,3.750000,0.000000,0.000000,6.273990
0.020000,1.196934,3.006232,1.200000,3.750000,0.000000,0.000000,6.268676
0.020000,1.271922,3.004926,1.275000,3.750000,0.000000,0.000000,6.262766
0.020000,1.346901,3.003155,1.350000,3.750000,0.000000,0.000000,6.256258
0.020000,1.421867,3.000873,1.425000,3.750000,0.000000,0.000000,6.249150
0.020000,1.496813,2.998035,1.500000,3.750000,0.000000,0.000000,6.241441
0.020000,1.571734,2.994598,1.575000,3.750000,0.000000,0.000000,6.233131
0.020000,1.646622,2.990515,1.650000,3.750000,0.000000,0.000000,6.224220
0.020000,1.721470,2.985743,1.725000,3.750000,0.000000,0.000000,6.214707
0.020000,1.796267,2.980237,1.800000,3.750000,0.000000,0.000000,6.204596
0.020000,1.871003,2.973952,1.875000,3.750000,0.000000,0.000000,6.193887
0.020000,1.945665,2.966845,1.950000,3.750000,0.000000,0.000000,6.182585
0.020000,2.020240,2.958873,2.025000,3.750000,0.000000,0.000000,6.170695
0.020000,2.094712,2.949993,2.100000,3.750000,0.000000,0.000000,6.158224
