dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.182501,3.037014,0.000200,0.020000,1.000000,50.000000,6.282715
0.020000,0.182501,3.037014,0.001000,0.060000,2.000000,50.000000,6.282863
0.020000,0.182563,3.037014,0.002800,0.120000,3.000000,50.000000,0.000011
0.020000,0.185563,3.037015,0.005800,0.180000,3.000000,0.000000,0.000565
0.020000,0.189763,3.037019,0.010000,0.240000,3.000000,0.000000,0.001333
0.020000,0.195163,3.037029,0.015400,0.300000,3.000000,0.000000,0.002312
0.020000,0.201763,3.037048,0.022000,0.360000,3.000000,0.000000,0.003494
0.020000,0.209563,3.037080,0.029800,0.420000,3.000000,-0.000000,0.004870
0.020000,0.218563,3.037131,0.038800,0.480000,3.000000,0.000000,0.006430
0.020000,0.228763,3.037206,0.049000,0.540000,3.000000,0.000000,0.008161
0.020000,0.240162,3.037310,0.060400,0.600000,3.000000,-0.000000,0.010052
0.020000,0.252761,3.037449,0.073000,0.660000,3.000000,0.000000,0.012086
0.020000,0.266560,3.037631,0.086800,0.720000,3.000000,-0.000000,0.014247
0.020000,0.281558,3.037862,0.101800,0.780000,3.000000,0.000000,0.016518
0.020000,0.297756,3.038149,0.118000,0.840000,3.000000,-0.000000,0.018880
0.020000,0.315152,3.038498,0.135400,0.900000,3.000000,0.000000,0.021311
0.020000,0.333748,3.038918,0.154000,0.960000,3.000000,0.000000,0.023791
0.020000,0.353541,3.039414,0.173800,1.020000,3.000000,0.000000,0.026295
0.020000,0.374533,3.039993,0.194800,1.080000,3.000000,0.000000,0.028799
0.020000,0.396723,3.040660,0.217000,1.140000,3.000000,-0.000000,0.031277
0.020000,0.420111,3.041420,0.240400,1.200000,3.000000,0.000000,0.033702
0.020000,0.444696,3.042278,0.265000,1.260000,3.000000,0.000000,0.036046
0.020000,0.470478,3.043237,0.290800,1.320000,3.000000,0.000000,0.038278
0.020000,0.497457,3.044299,0.317800,1.380000,3.000000,-0.000000,0.040369
0.020000,0.525633,3.045465,0.346000,1.440000,3.000000,0.000000,0.042285
