Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 0.500029, 1.105600, 0.000077, 0.007663, 0.383142, 19.157088, 0.000007, 
20, 0.500313, 1.105600, 0.000361, 0.014196, 0.326676, -2.823305, 0.000070, 
20, 0.500952, 1.105600, 0.000999, 0.031943, 0.887314, 28.031916, 0.000213, 
20, 0.502088, 1.105600, 0.002135, 0.056790, 1.242358, 17.752181, 0.000467, 
20, 0.503863, 1.105602, 0.003910, 0.088741, 1.597582, 17.761238, 0.000863, 
20, 0.506419, 1.105605, 0.006466, 0.127804, 1.953104, 17.776080, 0.001433, 
20, 0.509898, 1.105611, 0.009946, 0.173985, 2.309067, 17.798166, 0.002206, 
20, 0.514444, 1.105623, 0.014492, 0.227298, 2.665647, 17.828972, 0.003214, 
20, 0.520200, 1.105645, 0.020247, 0.287759, 3.023047, 17.869990, 0.004484, 
20, 0.527236, 1.105682, 0.027284, 0.351834, 3.203771, 9.036229, 0.006029, 
20, 0.535556, 1.105740, 0.035603, 0.415987, 3.207654, 0.194157, 0.007845, 
20, 0.545160, 1.105825, 0.045208, 0.480232, 3.212254, 0.229965, 0.009927, 
20, 0.556051, 1.105946, 0.056100, 0.544584, 3.217573, 0.265985, 0.012268, 
20, 0.568231, 1.106112, 0.068281, 0.609056, 3.223618, 0.302222, 0.014861, 
20, 0.581702, 1.106331, 0.081754, 0.673664, 3.230391, 0.338665, 0.017700, 
20, 0.596468, 1.106615, 0.096523, 0.738422, 3.237897, 0.375295, 0.020776, 
20, 0.612531, 1.106976, 0.112589, 0.803345, 3.246138, 0.412077, 0.024079, 
20, 0.629894, 1.107424, 0.129958, 0.868447, 3.255118, 0.448965, 0.027599, 
20, 0.648561, 1.107975, 0.148633, 0.933744, 3.264836, 0.485900, 0.031325, 
20, 0.668535, 1.108640, 0.168618, 0.999250, 3.275292, 0.522810, 0.035246, 
20, 0.689820, 1.109434, 0.189918, 1.064979, 3.286484, 0.559616, 0.039349, 
20, 0.712419, 1.110372, 0.212537, 1.130947, 3.298409, 0.596227, 0.043621, 
20, 0.736337, 1.111470, 0.236480, 1.197169, 3.311060, 0.632545, 0.048046, 
20, 0.761578, 1.112741, 0.261753, 1.263657, 3.324429, 0.668469, 0.052612, 
20, 0.788147, 1.114203, 0.288362, 1.330427, 3.338507, 0.703892, 0.057300, 
20, 0.816047, 1.115871, 0.316312, 1.397493, 3.353281, 0.738714, 0.062096, 
20, 0.845283, 1.117761, 0.345609, 1.464868, 3.368738, 0.772837, 0.066981, 
20, 0.875861, 1.119888, 0.376260, 1.532565, 3.384861, 0.806167, 0.071937, 
20, 0.907784, 1.122270, 0.408272, 1.600598, 3.401634, 0.838628, 0.076946, 
20, 0.940985, 1.124914, 0.441579, 1.665339, 3.237062, -8.228567, 0.081977, 
20, 0.975325, 1.127823, 0.476042, 1.723126, 2.889379, -17.384183, 0.086990, 
20, 1.010661, 1.130993, 0.511520, 1.773913, 2.539340, -17.501945, 0.091948, 
20, 1.046852, 1.134420, 0.547873, 1.817648, 2.186742, -17.629895, 0.096817, 
20, 1.083756, 1.138093, 0.584958, 1.854276, 1.831419, -17.766172, 0.101565, 
20, 1.121227, 1.142000, 0.622633, 1.883741, 1.473240, -17.908928, 0.106164, 
20, 1.159123, 1.146124, 0.660753, 1.905983, 1.112113, -18.056358, 0.110589, 
20, 1.197298, 1.150445, 0.699172, 1.920943, 0.747979, -18.206714, 0.114820, 
20, 1.235606, 1.154942, 0.737743, 1.928559, 0.380812, -18.358330, 0.118838, 
20, 1.273975, 1.159598, 0.776392, 1.932477, 0.195909, -9.245132, 0.122636, 
20, 1.312403, 1.164405, 0.815120, 1.936381, 0.195166, -0.037187, 0.126214, 
20, 1.350891, 1.169355, 0.853925, 1.940269, 0.194426, -0.036983, 0.129573, 
20, 1.389440, 1.174440, 0.892808, 1.944143, 0.193697, -0.036429, 0.132715, 
20, 1.428050, 1.179653, 0.931768, 1.948003, 0.192986, -0.035552, 0.135639, 
20, 1.466721, 1.184985, 0.970805, 1.951849, 0.192299, -0.034375, 0.138347, 
20, 1.505454, 1.190428, 1.009919, 1.955682, 0.191640, -0.032926, 0.140840, 
20, 1.544249, 1.195974, 1.049109, 1.959502, 0.191016, -0.031230, 0.143118, 
20, 1.583108, 1.201615, 1.088375, 1.963311, 0.190429, -0.029307, 0.145181, 
20, 1.622031, 1.207344, 1.127717, 1.967108, 0.189886, -0.027183, 0.147031, 
20, 1.661019, 1.213151, 1.167135, 1.970896, 0.189388, -0.024877, 0.148668, 
20, 1.700073, 1.219029, 1.206629, 1.974675, 0.188940, -0.022412, 0.150092, 
20, 1.739193, 1.224971, 1.246198, 1.978446, 0.188544, -0.019806, 0.151305, 
20, 1.778381, 1.230966, 1.285842, 1.982210, 0.188202, -0.017080, 0.152305, 
20, 1.817638, 1.237009, 1.325561, 1.985968, 0.187917, -0.014253, 0.153094, 
20, 1.856965, 1.243089, 1.365356, 1.989722, 0.187690, -0.011343, 0.153672, 
20, 1.896364, 1.249200, 1.405225, 1.993472, 0.187523, -0.008367, 0.154039, 
20, 1.935835, 1.255332, 1.445170, 1.997221, 0.187416, -0.005345, 0.154196, 
20, 1.975379, 1.261478, 1.485189, 2.000968, 0.187370, -0.002292, 0.154141, 
20, 2.014999, 1.267630, 1.525283, 2.004716, 0.187386, 0.000774, 0.153876, 
20, 2.054695, 1.273778, 1.565453, 2.008465, 0.187463, 0.003835, 0.153400, 
20, 2.094469, 1.279914, 1.605697, 2.012217, 0.187600, 0.006874, 0.152713, 
20, 2.134322, 1.286030, 1.646016, 2.015973, 0.187797, 0.009875, 0.151814, 
20, 2.174255, 1.292118, 1.686411, 2.019734, 0.188054, 0.012818, 0.150705, 
20, 2.214270, 1.298168, 1.726881, 2.023502, 0.188368, 0.015688, 0.149383, 
20, 2.254369, 1.304172, 1.767427, 2.027276, 0.188737, 0.018465, 0.147849, 
20, 2.294552, 1.310122, 1.808048, 2.031059, 0.189160, 0.021131, 0.146102, 
20, 2.334821, 1.316008, 1.848745, 2.034852, 0.189633, 0.023665, 0.144142, 
20, 2.375177, 1.321821, 1.889518, 2.038655, 0.190154, 0.026051, 0.141967, 
20, 2.415623, 1.327553, 1.930367, 2.042470, 0.190719, 0.028265, 0.139579, 
20, 2.456158, 1.333195, 1.971293, 2.046296, 0.191325, 0.030288, 0.136975, 
20, 2.496784, 1.338737, 2.012296, 2.050135, 0.191967, 0.032096, 0.134155, 
20, 2.537503, 1.344171, 2.053376, 2.053988, 0.192640, 0.033667, 0.131119, 
20, 2.578315, 1.349486, 2.094533, 2.057855, 0.193340, 0.034978, 0.127865, 
20, 2.619223, 1.354674, 2.135768, 2.061736, 0.194060, 0.036001, 0.124392, 
20, 2.660225, 1.359725, 2.177080, 2.065632, 0.194794, 0.036716, 0.120701, 
20, 2.701325, 1.364629, 2.218471, 2.069543, 0.195536, 0.037091, 0.116790, 
