dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.412902,1.035787,0.000130,0.012978,0.648920,32.446019,0.015675
0.020000,0.412914,1.035787,0.000141,0.000576,-0.620110,-63.451508,0.015642
0.020000,0.412937,1.035787,0.000164,0.001150,0.028695,32.440235,0.015578
0.020000,0.412971,1.035788,0.000199,0.001719,0.028464,-0.011564,0.015481
0.020000,0.413515,1.035796,0.000743,0.027201,1.274064,62.280036,0.015353
0.020000,0.416167,1.035837,0.003395,0.132615,5.270741,199.833851,0.015193
0.020000,0.419349,1.035885,0.006577,0.159117,1.325091,-197.282501,0.015003
0.020000,0.423061,1.035940,0.010289,0.185604,1.324358,-0.036658,0.014784
0.020000,0.427302,1.036002,0.014531,0.212067,1.323131,-0.061372,0.014536
0.020000,0.432072,1.036071,0.019301,0.238517,1.322481,-0.032471,0.014260
0.020000,0.437370,1.036146,0.024600,0.264947,1.321504,-0.048890,0.013957
0.020000,0.443196,1.036226,0.030427,0.291349,1.320116,-0.069369,0.013630
0.020000,0.449550,1.036312,0.036782,0.317727,1.318906,-0.060512,0.013278
0.020000,0.456431,1.036402,0.043663,0.344084,1.317846,-0.053011,0.012905
0.020000,0.463839,1.036496,0.051071,0.370403,1.315948,-0.094877,0.012510
0.020000,0.471772,1.036593,0.059005,0.396698,1.314744,-0.060209,0.012097
0.020000,0.480231,1.036694,0.067464,0.422948,1.312496,-0.112397,0.011668
0.020000,0.489213,1.036797,0.076448,0.449171,1.311151,-0.067228,0.011223
0.020000,0.498720,1.036901,0.085955,0.475353,1.309121,-0.101538,0.010766
0.020000,0.508749,1.037007,0.095985,0.501495,1.307061,-0.103008,0.010298
0.020000,0.519301,1.037113,0.106537,0.527594,1.304962,-0.104907,0.009822
0.020000,0.530373,1.037219,0.117610,0.553650,1.302817,-0.107264,0.009341
0.020000,0.541966,1.037325,0.129203,0.579656,1.300288,-0.126453,0.008857
0.020000,0.554078,1.037429,0.141315,0.605615,1.297957,-0.116534,0.008373
0.020000,0.566708,1.037532,0.153945,0.631526,1.295540,-0.120875,0.007891
0.020000,0.579855,1.037632,0.167093,0.657383,1.292876,-0.133203,0.007416
0.020000,0.593518,1.037730,0.180757,0.683182,1.289953,-0.146163,0.006948
0.020000,0.607697,1.037826,0.194935,0.708930,1.287370,-0.129145,0.006493
0.020000,0.622389,1.037918,0.209628,0.734618,1.284399,-0.148545,0.006053
0.020000,0.637593,1.038006,0.224833,0.760245,1.281377,-0.151106,0.005631
0.020000,0.653309,1.038092,0.240549,0.785811,1.278288,-0.154432,0.005232
0.020000,0.669535,1.038174,0.256775,0.811310,1.274934,-0.167722,0.004858
0.020000,0.686270,1.038252,0.273510,0.836744,1.271719,-0.160739,0.004513
0.020000,0.703512,1.038327,0.290752,0.862111,1.268352,-0.168341,0.004202
0.020000,0.721260,1.038399,0.308500,0.887405,1.264714,-0.181908,0.003928
0.020000,0.739512,1.038469,0.326753,0.912628,1.261121,-0.179633,0.003695
0.020000,0.758268,1.038536,0.345508,0.937776,1.257409,-0.185586,0.003508
0.020000,0.777525,1.038602,0.364765,0.962847,1.253523,-0.194300,0.003370
0.020000,0.797281,1.038668,0.384522,0.987837,1.249546,-0.198876,0.003287
0.020000,0.817536,1.038734,0.404777,1.012747,1.245453,-0.204639,0.003263
0.020000,0.838287,1.038802,0.425528,1.037571,1.241220,-0.211649,0.003302
0.020000,0.859533,1.038873,0.446775,1.062308,1.236872,-0.217388,0.003410
0.020000,0.881272,1.038949,0.468514,1.086956,1.232379,-0.224663,0.003592
0.020000,0.903503,1.039032,0.490744,1.111510,1.227720,-0.232973,0.003853
0.020000,0.926222,1.039123,0.513463,1.135968,1.222871,-0.242420,0.004197
0.020000,0.949428,1.039225,0.536670,1.160329,1.218076,-0.239767,0.004632
0.020000,0.973119,1.039341,0.560362,1.184585,1.212807,-0.263427,0.005162
0.020000,0.997294,1.039474,0.584536,1.208735,1.207496,-0.265569,0.005794
0.020000,1.021949,1.039625,0.609192,1.232775,1.201961,-0.276736,0.006534
0.020000,1.047082,1.039800,0.634326,1.256701,1.196324,-0.281841,0.007388
0.020000,1.072692,1.040002,0.659936,1.280510,1.190452,-0.293641,0.008363
0.020000,1.098774,1.040234,0.686020,1.304188,1.183900,-0.327596,0.009466
0.020000,1.125328,1.040501,0.712575,1.327749,1.178040,-0.293006,0.010703
0.020000,1.152350,1.040809,0.739598,1.351164,1.170766,-0.363675,0.012084
0.020000,1.179836,1.041162,0.767087,1.374443,1.163915,-0.342553,0.013615
0.020000,1.207785,1.041566,0.795038,1.397580,1.156887,-0.351391,0.015305
0.020000,1.236192,1.042027,0.823450,1.420559,1.148928,-0.397970,0.017162
0.020000,1.265055,1.042551,0.852317,1.443381,1.141095,-0.391658,0.019196
0.020000,1.294370,1.043146,0.881638,1.466034,1.132680,-0.420755,0.021416
0.020000,1.324132,1.043819,0.911408,1.488504,1.123472,-0.460370,0.023831
0.020000,1.354339,1.044578,0.941624,1.510793,1.114474,-0.449905,0.026453
0.020000,1.384984,1.045432,0.972282,1.532883,1.104487,-0.499354,0.029292
0.020000,1.416065,1.046390,1.003377,1.554775,1.094592,-0.494770,0.032360
0.020000,1.447576,1.047462,1.034906,1.576438,1.083180,-0.570561,0.035670
0.020000,1.479511,1.048658,1.066863,1.597875,1.071806,-0.568716,0.039233
0.020000,1.511865,1.049989,1.099245,1.619067,1.059619,-0.609347,0.043065
0.020000,1.544631,1.051468,1.132045,1.639997,1.046524,-0.654765,0.047179
0.020000,1.577804,1.053107,1.165258,1.660660,1.033116,-0.670410,0.051591
0.020000,1.611376,1.054919,1.198878,1.681032,1.018636,-0.723959,0.056317
0.020000,1.645339,1.056919,1.232900,1.701088,1.002766,-0.793497,0.061375
0.020000,1.679684,1.059122,1.267316,1.720812,0.986206,-0.828025,0.066783
0.020000,1.714404,1.061544,1.302120,1.740199,0.969342,-0.843187,0.072561
0.020000,1.749488,1.064202,1.337304,1.759205,0.950335,-0.950352,0.078730
0.020000,1.784925,1.067114,1.372861,1.777825,0.930954,-0.969054,0.085312
0.020000,1.820703,1.070299,1.408781,1.796011,0.909342,-1.080614,0.092331
0.020000,1.856811,1.073778,1.445056,1.813732,0.886030,-1.165576,0.099812
0.020000,1.893234,1.077571,1.481676,1.831009,0.863841,-1.109473,0.107782
0.020000,1.929957,1.081701,1.518631,1.847740,0.836570,-1.363546,0.116271
0.020000,1.966965,1.086191,1.555910,1.863936,0.809797,-1.338634,0.125309
0.020000,2.004238,1.091067,1.593501,1.879554,0.780909,-1.444407,0.134928
0.020000,2.041758,1.096354,1.631392,1.894550,0.749765,-1.557213,0.145163
0.020000,2.079504,1.102081,1.669569,1.908875,0.716247,-1.675913,0.156052
0.020000,2.117453,1.108275,1.708020,1.922538,0.683173,-1.653665,0.167634
0.020000,2.155578,1.114966,1.746728,1.935425,0.644334,-1.941965,0.179950
0.020000,2.193854,1.122186,1.785679,1.947547,0.606136,-1.909894,0.193044
0.020000,2.232251,1.129967,1.824856,1.958857,0.565464,-2.033597,0.206962
0.020000,2.270736,1.138342,1.864243,1.969304,0.522386,-2.153925,0.221752
0.020000,2.309275,1.147347,1.903819,1.978846,0.477075,-2.265544,0.237464
0.020000,2.347831,1.157017,1.943569,1.987499,0.432637,-2.221910,0.254151
0.020000,2.386363,1.167388,1.983473,1.995179,0.384030,-2.430327,0.271864
0.020000,2.424829,1.178498,2.023511,2.001918,0.336926,-2.355210,0.290659
0.020000,2.463184,1.190385,2.063665,2.007706,0.289413,-2.375658,0.310587
0.020000,2.501378,1.203086,2.103917,2.012556,0.242481,-2.346592,0.331703
0.020000,2.539363,1.216641,2.144247,2.016539,0.199156,-2.166236,0.354054
0.020000,2.577085,1.231089,2.184641,2.019687,0.157404,-2.087616,0.377687
0.020000,2.614490,1.246467,2.225084,2.022139,0.122630,-1.738669,0.402642
0.020000,2.651523,1.262814,2.265565,2.024031,0.094598,-1.401619,0.428951
0.020000,2.688129,1.280167,2.306075,2.025546,0.075741,-0.942843,0.456634
0.020000,2.724252,1.298564,2.346614,2.026922,0.068764,-0.348843,0.485698
0.020000,2.759840,1.318043,2.387183,2.028469,0.077389,0.431235,0.516136
0.020000,2.794839,1.338640,2.427793,2.030504,0.101711,1.216099,0.547918
0.020000,2.829201,1.360392,2.468462,2.033430,0.146311,2.229983,0.580995
0.020000,2.862881,1.383338,2.509215,2.037671,0.212063,3.287609,0.615293
0.020000,2.895837,1.407515,2.550089,2.043679,0.300388,4.416258,0.650713
0.020000,2.928033,1.432962,2.591127,2.051913,0.411715,5.566341,0.687129
0.020000,2.959435,1.459720,2.632383,2.062807,0.544693,6.648898,0.724392
0.020000,2.990014,1.487829,2.673918,2.076758,0.697579,7.644315,0.762330
0.020000,3.019743,1.517330,2.715801,2.094111,0.867605,8.501272,0.800752
0.020000,3.048598,1.548261,2.758102,2.115048,1.046859,8.962723,0.839455
0.020000,3.076555,1.580662,2.800897,2.139768,1.236002,9.457141,0.878229
0.020000,3.103592,1.614566,2.844261,2.168177,1.420435,9.221662,0.916863
0.020000,3.129684,1.650001,2.888266,2.200250,1.603679,9.162197,0.955155
0.020000,3.154808,1.686989,2.932980,2.235715,1.773247,8.478374,0.992913
0.020000,3.178939,1.725544,2.978464,2.274204,1.924464,7.560886,1.029963
0.020000,3.202053,1.765671,3.024772,2.315420,2.060785,6.816026,1.066157
0.020000,3.224075,1.807265,3.071836,2.353179,1.887932,-8.642638,1.101283
0.020000,3.244855,1.850009,3.119363,2.376372,1.159683,-36.412460,1.135027
0.020000,3.264286,1.893572,3.167063,2.384974,0.430108,-36.478726,1.167153
