dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.418476,0.680231,0.000130,0.012978,0.648920,32.446019,0.015675
0.020000,0.418476,0.680231,0.000649,0.038935,1.297841,32.446019,0.015642
0.020000,0.418476,0.680231,0.001687,0.064892,1.297841,0.000000,0.015578
0.020000,0.418476,0.680231,0.003245,0.090849,1.297841,0.000000,0.015481
0.020000,0.418974,0.680238,0.005321,0.116806,1.297841,0.000000,0.015353
0.020000,0.421570,0.680278,0.007917,0.142762,1.297841,-0.000000,0.015193
0.020000,0.424684,0.680325,0.011032,0.168719,1.297841,0.000000,0.015003
0.020000,0.428318,0.680379,0.014666,0.194676,1.297841,0.000000,0.014784
0.020000,0.432470,0.680440,0.018819,0.220633,1.297841,0.000000,0.014536
0.020000,0.437142,0.680507,0.023491,0.246590,1.297841,-0.000000,0.014260
0.020000,0.442333,0.680580,0.028682,0.272547,1.297841,0.000000,0.013957
0.020000,0.448043,0.680659,0.034393,0.298503,1.297841,0.000000,0.013630
0.020000,0.454272,0.680743,0.040622,0.324460,1.297841,-0.000000,0.013278
0.020000,0.461020,0.680831,0.047371,0.350417,1.297841,0.000000,0.012905
0.020000,0.468288,0.680924,0.054639,0.376374,1.297841,-0.000000,0.012510
0.020000,0.476074,0.681020,0.062426,0.402331,1.297841,0.000000,0.012097
0.020000,0.484380,0.681118,0.070732,0.428287,1.297841,0.000000,0.011668
0.020000,0.493204,0.681219,0.079558,0.454244,1.297841,0.000000,0.011223
0.020000,0.502548,0.681322,0.088902,0.480201,1.297841,-0.000000,0.010766
0.020000,0.512411,0.681426,0.098766,0.506158,1.297841,0.000000,0.010298
0.020000,0.522793,0.681530,0.109148,0.532115,1.297841,0.000000,0.009822
0.020000,0.533695,0.681635,0.120050,0.558072,1.297841,0.000000,0.009341
0.020000,0.545115,0.681739,0.131471,0.584028,1.297841,0.000000,0.008857
0.020000,0.557055,0.681841,0.143411,0.609985,1.297841,0.000000,0.008373
0.020000,0.569514,0.681943,0.155871,0.635942,1.297841,-0.000000,0.007891
0.020000,0.582492,0.682042,0.168849,0.661899,1.297841,0.000000,0.007416
0.020000,0.595989,0.682139,0.182347,0.687856,1.297841,0.000000,0.006948
0.020000,0.610006,0.682233,0.196363,0.713812,1.297841,0.000000,0.006493
0.020000,0.624541,0.682324,0.210899,0.739769,1.297841,0.000000,0.006053
0.020000,0.639596,0.682412,0.225954,0.765726,1.297841,0.000000,0.005631
0.020000,0.655170,0.682497,0.241528,0.791683,1.297841,0.000000,0.005232
0.020000,0.671263,0.682578,0.257621,0.817640,1.297841,-0.000000,0.004858
0.020000,0.687875,0.682656,0.274234,0.843596,1.297841,0.000000,0.004513
0.020000,0.705006,0.682730,0.291365,0.869553,1.297841,0.000000,0.004202
0.020000,0.722657,0.682802,0.309016,0.895510,1.297841,0.000000,0.003928
0.020000,0.740826,0.682871,0.327186,0.921467,1.297841,0.000000,0.003695
0.020000,0.759515,0.682938,0.345875,0.947424,1.297841,0.000000,0.003508
0.020000,0.778723,0.683004,0.365083,0.973381,1.297841,0.000000,0.003370
0.020000,0.798450,0.683070,0.384810,0.999337,1.297841,0.000000,0.003287
0.020000,0.818696,0.683136,0.405056,1.025294,1.297841,-0.000000,0.003263
0.020000,0.839462,0.683204,0.425822,1.051251,1.297841,0.000000,0.003302
0.020000,0.860746,0.683275,0.447106,1.077208,1.297841,0.000000,0.003410
0.020000,0.882550,0.683352,0.468910,1.103165,1.297841,-0.000000,0.003592
0.020000,0.904872,0.683434,0.491233,1.129121,1.297841,0.000000,0.003853
0.020000,0.927714,0.683526,0.514075,1.155078,1.297841,0.000000,0.004197
0.020000,0.951075,0.683629,0.537436,1.181035,1.297841,0.000000,0.004632
0.020000,0.974955,0.683746,0.561316,1.206992,1.297841,0.000000,0.005162
0.020000,0.999354,0.683879,0.585716,1.232949,1.297841,0.000000,0.005794
0.020000,1.024272,0.684033,0.610634,1.258906,1.297841,0.000000,0.006534
0.020000,1.049709,0.684210,0.636072,1.284862,1.297841,0.000000,0.007388
0.020000,1.075665,0.684414,0.662029,1.310819,1.297841,0.000000,0.008363
0.020000,1.102140,0.684650,0.688505,1.336776,1.297841,0.000000,0.009466
0.020000,1.129134,0.684922,0.715500,1.362733,1.297841,-0.000000,0.010703
0.020000,1.156647,0.685235,0.743014,1.388690,1.297841,0.000000,0.012084
0.020000,1.184678,0.685595,0.771047,1.414646,1.297841,0.000000,0.013615
0.020000,1.213227,0.686007,0.799600,1.440603,1.297841,0.000000,0.015305
0.020000,1.242295,0.686479,0.828671,1.466560,1.297841,0.000000,0.017162
0.020000,1.271881,0.687016,0.858262,1.492517,1.297841,0.000000,0.019196
0.020000,1.301985,0.687627,0.888372,1.518474,1.297841,-0.000000,0.021416
0.020000,1.332606,0.688320,0.919001,1.544430,1.297841,0.000000,0.023831
0.020000,1.363744,0.689102,0.950149,1.570387,1.297841,-0.000000,0.026453
0.020000,1.395399,0.689985,0.981817,1.596344,1.297841,0.000000,0.029292
0.020000,1.427570,0.690976,1.014003,1.622301,1.297841,-0.000000,0.032360
0.020000,1.460257,0.692088,1.046709,1.648258,1.297841,0.000000,0.035670
0.020000,1.493458,0.693331,1.079933,1.674215,1.297841,-0.000000,0.039233
0.020000,1.527174,0.694719,1.113677,1.700171,1.297841,0.000000,0.043065
0.020000,1.561402,0.696264,1.147940,1.726128,1.297841,-0.000000,0.047179
0.020000,1.596142,0.697980,1.182722,1.752085,1.297841,0.000000,0.051591
0.020000,1.631392,0.699883,1.218024,1.778042,1.297841,-0.000000,0.056317
0.020000,1.667150,0.701989,1.253844,1.803999,1.297841,0.000000,0.061375
0.020000,1.703415,0.704315,1.290183,1.829955,1.297841,0.000000,0.066783
0.020000,1.740184,0.706880,1.327042,1.855912,1.297841,-0.000000,0.072561
0.020000,1.777455,0.709704,1.364420,1.881869,1.297841,0.000000,0.078730
0.020000,1.815225,0.712808,1.402317,1.907826,1.297841,-0.000000,0.085312
0.020000,1.853489,0.716214,1.440733,1.933783,1.297841,0.000000,0.092331
0.020000,1.892245,0.719948,1.479668,1.959740,1.297841,-0.000000,0.099812
0.020000,1.931487,0.724034,1.519123,1.985696,1.297841,0.000000,0.107782
0.020000,1.971210,0.728502,1.559096,2.011653,1.297841,-0.000000,0.116271
0.020000,2.011408,0.733379,1.599589,2.037610,1.297841,0.000000,0.125309
0.020000,2.052073,0.738699,1.640600,2.063567,1.297841,0.000000,0.134928
0.020000,2.093197,0.744495,1.682131,2.089524,1.297841,-0.000000,0.145163
0.020000,2.134771,0.750802,1.724181,2.115480,1.297841,0.000000,0.156052
0.020000,2.176784,0.757659,1.766751,2.141437,1.297841,-0.000000,0.167634
0.020000,2.219224,0.765108,1.809839,2.167394,1.297841,0.000000,0.179950
0.020000,2.262075,0.773191,1.853446,2.193351,1.297841,-0.000000,0.193044
0.020000,2.305322,0.781955,1.897573,2.219308,1.297841,0.000000,0.206962
0.020000,2.348946,0.791449,1.942219,2.245264,1.297841,-0.000000,0.221752
0.020000,2.392926,0.801726,1.987384,2.271221,1.297841,0.000000,0.237464
0.020000,2.437237,0.812839,2.033068,2.297178,1.297841,-0.000000,0.254151
0.020000,2.481852,0.824848,2.079271,2.323135,1.297841,0.000000,0.271864
0.020000,2.526738,0.837813,2.125993,2.349092,1.297841,0.000000,0.290659
0.020000,2.571862,0.851798,2.173234,2.375049,1.297841,-0.000000,0.310587
0.020000,2.617181,0.866870,2.220995,2.401005,1.297841,0.000000,0.331703
0.020000,2.662650,0.883098,2.269275,2.426962,1.297841,-0.000000,0.354054
0.020000,2.708220,0.900552,2.318073,2.452919,1.297841,0.000000,0.377687
0.020000,2.753832,0.919305,2.367391,2.478876,1.297841,-0.000000,0.402642
0.020000,2.799423,0.939430,2.417228,2.504833,1.297841,0.000000,0.428951
0.020000,2.844923,0.961001,2.467585,2.530789,1.297841,-0.000000,0.456634
0.020000,2.890256,0.984090,2.518460,2.556746,1.297841,0.000000,0.485698
0.020000,2.935336,1.008766,2.569854,2.582703,1.297841,-0.000000,0.516136
0.020000,2.980075,1.035096,2.621768,2.608660,1.297841,0.000000,0.547918
0.020000,3.024374,1.063140,2.674201,2.634617,1.297841,0.000000,0.580995
0.020000,3.068133,1.092954,2.727153,2.660574,1.297841,-0.000000,0.615293
0.020000,3.111243,1.124581,2.780624,2.686530,1.297841,0.000000,0.650713
0.020000,3.153598,1.158059,2.834614,2.712487,1.297841,-0.000000,0.687129
0.020000,3.195084,1.193411,2.889123,2.738444,1.297841,0.000000,0.724392
0.020000,3.235594,1.230649,2.944152,2.764401,1.297841,-0.000000,0.762330
0.020000,3.275021,1.269773,2.999699,2.790358,1.297841,0.000000,0.800752
0.020000,3.313264,1.310767,3.055766,2.816314,1.297841,-0.000000,0.839455
0.020000,3.350229,1.353607,3.112352,2.842271,1.297841,0.000000,0.878229
0.020000,3.385831,1.398250,3.169457,2.868228,1.297841,-0.000000,0.916863
0.020000,3.419997,1.444648,3.227081,2.894185,1.297841,0.000000,0.955155
0.020000,3.452666,1.492742,3.285224,2.920142,1.297841,0.000000,0.992913
0.020000,3.483788,1.542463,3.343887,2.946098,1.297841,-0.000000,1.029963
0.020000,3.513328,1.593742,3.403068,2.972055,1.297841,0.000000,1.066157
0.020000,3.541195,1.646373,3.462625,2.983636,0.579046,-35.939720,1.101283
0.020000,3.567223,1.699908,3.522154,2.969260,-0.718794,-64.892037,1.135027
0.020000,3.591308,1.753902,3.581280,2.943304,-1.297841,-28.952317,1.167153
0.020000,3.613497,1.808143,3.639886,2.917347,-1.297841,0.000000,1.197614
0.020000,3.633885,1.862533,3.697974,2.891390,-1.297841,-0.000000,1.226453
0.020000,3.652572,1.916982,3.755542,2.865433,-1.297841,0.000000,1.253724
0.020000,3.669653,1.971412,3.812591,2.839476,-1.297841,-0.000000,1.279492
0.020000,3.685223,2.025754,3.869121,2.813519,-1.297841,0.000000,1.303829
0.020000,3.699372,2.079947,3.925132,2.787563,-1.297841,-0.000000,1.326810
0.020000,3.712187,2.133938,3.980623,2.761606,-1.297841,0.000000,1.348511
0.020000,3.723752,2.187678,4.035596,2.735649,-1.297841,-0.000000,1.369006
0.020000,3.734144,2.241130,4.090049,2.709692,-1.297841,0.000000,1.388371
0.020000,3.743439,2.294256,4.143984,2.683735,-1.297841,-0.000000,1.406675
0.020000,3.751706,2.347027,4.197399,2.657779,-1.297841,0.000000,1.423988
