dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.424050,0.324674,0.000130,0.012978,0.648920,32.446019,0.015675
0.020000,0.424038,0.324674,0.000141,0.000576,-0.620110,-63.451508,0.015642
0.020000,0.424015,0.324674,0.000164,0.001150,0.028695,32.440235,0.015578
0.020000,0.423981,0.324673,0.000199,0.001719,0.028464,-0.011564,0.015481
0.020000,0.424434,0.324680,0.000651,0.022637,1.045897,50.871689,0.015353
0.020000,0.426972,0.324719,0.003190,0.126946,5.215453,208.477789,0.015193
0.020000,0.430019,0.324765,0.006238,0.152366,1.270969,-197.224227,0.015003
0.020000,0.433575,0.324818,0.009794,0.177799,1.271639,0.033518,0.014784
0.020000,0.437639,0.324878,0.013858,0.203240,1.272061,0.021100,0.014536
0.020000,0.442213,0.324943,0.018433,0.228705,1.273261,0.059980,0.014260
0.020000,0.447296,0.325015,0.023516,0.254192,1.274368,0.055372,0.013957
0.020000,0.452890,0.325092,0.029110,0.279698,1.275303,0.046748,0.013630
0.020000,0.458994,0.325174,0.035215,0.305231,1.276626,0.066169,0.013278
0.020000,0.465609,0.325261,0.041831,0.330797,1.278311,0.084232,0.012905
0.020000,0.472736,0.325352,0.048959,0.356385,1.279405,0.054722,0.012510
0.020000,0.480376,0.325446,0.056599,0.382013,1.281379,0.098688,0.012097
0.020000,0.488528,0.325542,0.064752,0.407664,1.282558,0.058958,0.011668
0.020000,0.497195,0.325642,0.073419,0.433360,1.284816,0.112876,0.011223
0.020000,0.506376,0.325743,0.082601,0.459093,1.286618,0.090126,0.010766
0.020000,0.516073,0.325845,0.092299,0.484865,1.288596,0.098894,0.010298
0.020000,0.526286,0.325947,0.102512,0.510679,1.290740,0.107161,0.009822
0.020000,0.537017,0.326050,0.113243,0.536540,1.293038,0.114905,0.009341
0.020000,0.548265,0.326153,0.124492,0.562443,1.295162,0.106237,0.008857
0.020000,0.560032,0.326254,0.136260,0.588397,1.297676,0.125700,0.008373
0.020000,0.572320,0.326354,0.148548,0.614403,1.300303,0.131311,0.007891
0.020000,0.585129,0.326452,0.161357,0.640461,1.302884,0.129092,0.007416
0.020000,0.598460,0.326547,0.174688,0.666569,1.305408,0.126172,0.006948
0.020000,0.612314,0.326641,0.188543,0.692738,1.308458,0.152493,0.006493
0.020000,0.626693,0.326731,0.202922,0.718964,1.311324,0.143317,0.006053
0.020000,0.641598,0.326818,0.217827,0.745251,1.314336,0.150583,0.005631
0.020000,0.657030,0.326902,0.233259,0.771601,1.317479,0.157177,0.005232
0.020000,0.672990,0.326982,0.249220,0.798012,1.320561,0.154062,0.004858
