dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660026,3.417398,0.000129,0.012874,0.643699,32.184950,6.283112
0.020000,1.660014,3.417398,0.000140,0.000587,-0.614372,-62.903574,6.283145
0.020000,1.660387,3.417398,0.000513,0.018633,0.902343,75.835797,0.000025
0.020000,1.661897,3.417398,0.002023,0.075481,2.842367,97.001165,0.000125
0.020000,1.663909,3.417398,0.004035,0.100637,1.257803,-79.228193,0.000257
0.020000,1.666425,3.417399,0.006551,0.125789,1.257627,-0.008797,0.000423
0.020000,1.669444,3.417401,0.009570,0.150937,1.257404,-0.011158,0.000623
0.020000,1.672966,3.417403,0.013092,0.176080,1.257135,-0.013462,0.000856
0.020000,1.676990,3.417407,0.017116,0.201217,1.256823,-0.015555,0.001124
0.020000,1.681517,3.417413,0.021643,0.226346,1.256466,-0.017861,0.001427
0.020000,1.686546,3.417421,0.026672,0.251467,1.256066,-0.020025,0.001766
0.020000,1.692078,3.417432,0.032204,0.276580,1.255619,-0.022333,0.002139
0.020000,1.698111,3.417446,0.038237,0.301682,1.255129,-0.024526,0.002550
0.020000,1.704647,3.417464,0.044773,0.326774,1.254592,-0.026834,0.002997
0.020000,1.711684,3.417487,0.051810,0.351854,1.254014,-0.028913,0.003481
0.020000,1.719222,3.417515,0.059348,0.376922,1.253387,-0.031340,0.004004
0.020000,1.727262,3.417550,0.067388,0.401976,1.252716,-0.033539,0.004566
0.020000,1.735802,3.417591,0.075928,0.427016,1.252005,-0.035565,0.005168
0.020000,1.744843,3.417641,0.084969,0.452041,1.251241,-0.038173,0.005810
0.020000,1.754383,3.417700,0.094510,0.477050,1.250440,-0.040039,0.006494
0.020000,1.764424,3.417768,0.104551,0.502042,1.249587,-0.042654,0.007221
0.020000,1.774964,3.417849,0.115091,0.527016,1.248695,-0.044641,0.007991
0.020000,1.786003,3.417941,0.126131,0.551971,1.247754,-0.047019,0.008806
0.020000,1.797541,3.418048,0.137669,0.576906,1.246772,-0.049116,0.009666
0.020000,1.809577,3.418170,0.149705,0.601821,1.245739,-0.051665,0.010573
0.020000,1.822110,3.418308,0.162240,0.626714,1.244668,-0.053535,0.011528
0.020000,1.835141,3.418465,0.175271,0.651585,1.243547,-0.056052,0.012533
0.020000,1.848668,3.418642,0.188800,0.676433,1.242381,-0.058274,0.013588
0.020000,1.862692,3.418840,0.202825,0.701256,1.241171,-0.060494,0.014695
0.020000,1.877211,3.419062,0.217346,0.726055,1.239919,-0.062622,0.015856
0.020000,1.892226,3.419309,0.232363,0.750827,1.238617,-0.065088,0.017072
0.020000,1.907735,3.419584,0.247874,0.775573,1.237273,-0.067216,0.018343
0.020000,1.923738,3.419888,0.263880,0.800290,1.235885,-0.069416,0.019673
0.020000,1.940234,3.420224,0.280380,0.824979,1.234452,-0.071636,0.021063
0.020000,1.957223,3.420594,0.297372,0.849639,1.232970,-0.074112,0.022513
0.020000,1.974703,3.421001,0.314858,0.874268,1.231450,-0.075975,0.024027
0.020000,1.992675,3.421447,0.332835,0.898865,1.229881,-0.078453,0.025605
0.020000,2.011137,3.421935,0.351304,0.923431,1.228270,-0.080552,0.027250
0.020000,2.030089,3.422468,0.370263,0.947963,1.226614,-0.082817,0.028963
0.020000,2.049530,3.423048,0.389712,0.972461,1.224918,-0.084765,0.030746
0.020000,2.069458,3.423680,0.409651,0.996925,1.223173,-0.087261,0.032602
0.020000,2.089874,3.424365,0.430078,1.021353,1.221391,-0.089105,0.034532
0.020000,2.110775,3.425108,0.450992,1.045744,1.219562,-0.091432,0.036538
0.020000,2.132162,3.425912,0.472394,1.070098,1.217694,-0.093405,0.038623
0.020000,2.154033,3.426781,0.494283,1.094413,1.215785,-0.095462,0.040788
0.020000,2.176387,3.427718,0.516656,1.118690,1.213834,-0.097554,0.043036
0.020000,2.199224,3.428728,0.539515,1.142927,1.211844,-0.099485,0.045369
0.020000,2.222541,3.429815,0.562857,1.167123,1.209815,-0.101449,0.047789
0.020000,2.246338,3.430983,0.586683,1.191278,1.207748,-0.103341,0.050299
0.020000,2.270613,3.432237,0.610991,1.215391,1.205645,-0.105198,0.052900
0.020000,2.295366,3.433581,0.635780,1.239461,1.203505,-0.106963,0.055596
0.020000,2.320595,3.435020,0.661050,1.263488,1.201332,-0.108682,0.058389
0.020000,2.346298,3.436560,0.686799,1.287470,1.199125,-0.110319,0.061282
0.020000,2.372475,3.438205,0.713027,1.311408,1.196888,-0.111886,0.064276
0.020000,2.399123,3.439962,0.739733,1.335301,1.194621,-0.113332,0.067374
0.020000,2.426241,3.441835,0.766916,1.359147,1.192327,-0.114710,0.070579
0.020000,2.453828,3.443831,0.794575,1.382947,1.190008,-0.115941,0.073894
0.020000,2.481881,3.445956,0.822709,1.406701,1.187666,-0.117112,0.077321
0.020000,2.510400,3.448216,0.851317,1.430407,1.185304,-0.118082,0.080863
0.020000,2.539382,3.450618,0.880399,1.454065,1.182926,-0.118900,0.084522
0.020000,2.568825,3.453169,0.909952,1.477676,1.180534,-0.119609,0.088302
0.020000,2.598728,3.455875,0.939977,1.501238,1.178131,-0.120133,0.092204
0.020000,2.629088,3.458743,0.970472,1.524753,1.175722,-0.120453,0.096232
0.020000,2.659903,3.461782,1.001436,1.548219,1.173311,-0.120535,0.100389
0.020000,2.691170,3.465000,1.032869,1.571637,1.170902,-0.120479,0.104676
0.020000,2.722888,3.468403,1.064769,1.595007,1.168502,-0.119990,0.109097
0.020000,2.755055,3.472000,1.097136,1.618329,1.166110,-0.119602,0.113655
0.020000,2.787666,3.475800,1.129968,1.641604,1.163740,-0.118476,0.118352
0.020000,2.820720,3.479811,1.163265,1.664832,1.161394,-0.117343,0.123190
0.020000,2.854214,3.484043,1.197025,1.688014,1.159073,-0.116008,0.128173
0.020000,2.886035,3.488221,1.229119,1.604704,-4.165479,-266.227647,0.132954
0.020000,2.915062,3.492405,1.258446,1.466355,-6.917437,-137.597861,0.153171
0.020000,2.944649,3.497277,1.288431,1.499254,1.644961,428.119882,0.173113
0.020000,2.974759,3.502848,1.319053,1.531071,1.590832,-2.706439,0.192714
0.020000,3.005402,3.509136,1.350334,1.564063,1.649575,2.937133,0.211908
0.020000,3.036586,3.516154,1.382298,1.598202,1.706984,2.870471,0.230629
0.020000,3.068320,3.523913,1.414967,1.633450,1.762400,2.770772,0.248817
0.020000,3.100613,3.532424,1.448362,1.669760,1.815480,2.654037,0.266410
0.020000,3.133472,3.541694,1.482504,1.707081,1.866036,2.527786,0.283353
0.020000,3.166906,3.551728,1.517411,1.745355,1.913736,2.385013,0.299591
0.020000,3.200923,3.562528,1.553101,1.784528,1.958632,2.244788,0.315074
0.020000,3.235532,3.574094,1.589592,1.824542,2.000680,2.102405,0.329755
