dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660000,3.061798,0.000129,0.012874,0.643699,32.184950,6.283112
0.020000,1.660000,3.061798,0.000644,0.038622,1.287398,32.184950,6.283145
0.020000,1.660396,3.061798,0.001674,0.064370,1.287398,0.000000,0.000025
0.020000,1.661941,3.061798,0.003218,0.090118,1.287398,-0.000000,0.000125
0.020000,1.664001,3.061798,0.005278,0.115866,1.287398,0.000000,0.000257
0.020000,1.666576,3.061799,0.007853,0.141614,1.287398,0.000000,0.000423
0.020000,1.669665,3.061801,0.010943,0.167362,1.287398,-0.000000,0.000623
0.020000,1.673270,3.061804,0.014548,0.193110,1.287398,0.000000,0.000856
0.020000,1.677390,3.061808,0.018667,0.218858,1.287398,-0.000000,0.001124
0.020000,1.682024,3.061814,0.023302,0.244606,1.287398,0.000000,0.001427
0.020000,1.687174,3.061822,0.028451,0.270354,1.287398,0.000000,0.001766
0.020000,1.692839,3.061833,0.034116,0.296102,1.287398,0.000000,0.002139
0.020000,1.699018,3.061847,0.040296,0.321849,1.287398,0.000000,0.002550
0.020000,1.705712,3.061866,0.046990,0.347597,1.287398,-0.000000,0.002997
0.020000,1.712922,3.061889,0.054199,0.373345,1.287398,0.000000,0.003481
0.020000,1.720646,3.061918,0.061924,0.399093,1.287398,0.000000,0.004004
0.020000,1.728885,3.061953,0.070163,0.424841,1.287398,0.000000,0.004566
0.020000,1.737640,3.061996,0.078917,0.450589,1.287398,0.000000,0.005168
0.020000,1.746909,3.062047,0.088187,0.476337,1.287398,-0.000000,0.005810
0.020000,1.756693,3.062107,0.097971,0.502085,1.287398,0.000000,0.006494
0.020000,1.766992,3.062178,0.108270,0.527833,1.287398,-0.000000,0.007221
0.020000,1.777806,3.062260,0.119084,0.553581,1.287398,0.000000,0.007991
0.020000,1.789134,3.062355,0.130413,0.579329,1.287398,0.000000,0.008806
0.020000,1.800978,3.062465,0.142257,0.605077,1.287398,0.000000,0.009666
0.020000,1.813336,3.062590,0.154616,0.630825,1.287398,-0.000000,0.010573
0.020000,1.826209,3.062732,0.167490,0.656573,1.287398,0.000000,0.011528
0.020000,1.839597,3.062893,0.180879,0.682321,1.287398,0.000000,0.012533
0.020000,1.853500,3.063074,0.194783,0.708069,1.287398,0.000000,0.013588
0.020000,1.867918,3.063278,0.209202,0.733817,1.287398,-0.000000,0.014695
0.020000,1.882850,3.063506,0.224136,0.759565,1.287398,0.000000,0.015856
0.020000,1.898296,3.063761,0.239585,0.785313,1.287398,0.000000,0.017072
0.020000,1.914258,3.064043,0.255549,0.811061,1.287398,-0.000000,0.018343
0.020000,1.930733,3.064357,0.272027,0.836809,1.287398,0.000000,0.019673
0.020000,1.947723,3.064703,0.289021,0.862557,1.287398,0.000000,0.021063
0.020000,1.965228,3.065084,0.306529,0.888305,1.287398,-0.000000,0.022513
0.020000,1.983247,3.065503,0.324553,0.914053,1.287398,0.000000,0.024027
0.020000,2.001779,3.065963,0.343092,0.939801,1.287398,0.000000,0.025605
0.020000,2.020826,3.066467,0.362145,0.965548,1.287398,0.000000,0.027250
0.020000,2.040387,3.067017,0.381714,0.991296,1.287398,-0.000000,0.028963
0.020000,2.060461,3.067616,0.401797,1.017044,1.287398,-0.000000,0.030746
0.020000,2.081049,3.068268,0.422395,1.042792,1.287398,0.000000,0.032602
0.020000,2.102151,3.068977,0.443509,1.068540,1.287398,-0.000000,0.034532
0.020000,2.123765,3.069745,0.465137,1.094288,1.287398,0.000000,0.036538
0.020000,2.145893,3.070577,0.487280,1.120036,1.287398,-0.000000,0.038623
0.020000,2.168533,3.071477,0.509938,1.145784,1.287398,0.000000,0.040788
0.020000,2.191686,3.072447,0.533112,1.171532,1.287398,-0.000000,0.043036
0.020000,2.215351,3.073494,0.556800,1.197280,1.287398,0.000000,0.045369
0.020000,2.239528,3.074621,0.581003,1.223028,1.287398,0.000000,0.047789
0.020000,2.264216,3.075833,0.605721,1.248776,1.287398,0.000000,0.050299
0.020000,2.289416,3.077134,0.630954,1.274524,1.287398,-0.000000,0.052900
0.020000,2.315126,3.078530,0.656702,1.300272,1.287398,0.000000,0.055596
0.020000,2.341346,3.080026,0.682965,1.326020,1.287398,-0.000000,0.058389
0.020000,2.368076,3.081627,0.709743,1.351768,1.287398,0.000000,0.061282
0.020000,2.395315,3.083339,0.737035,1.377516,1.287398,0.000000,0.064276
0.020000,2.423063,3.085168,0.764843,1.403264,1.287398,-0.000000,0.067374
0.020000,2.451318,3.087120,0.793166,1.429012,1.287398,0.000000,0.070579
0.020000,2.480081,3.089201,0.822004,1.454760,1.287398,-0.000000,0.073894
0.020000,2.509349,3.091419,0.851356,1.480508,1.287398,0.000000,0.077321
0.020000,2.539124,3.093778,0.881224,1.506256,1.287398,0.000000,0.080863
0.020000,2.569402,3.096288,0.911607,1.532004,1.287398,0.000000,0.084522
0.020000,2.600185,3.098954,0.942504,1.557752,1.287398,-0.000000,0.088302
0.020000,2.631469,3.101785,0.973917,1.583500,1.287398,0.000000,0.092204
0.020000,2.663255,3.104789,1.005844,1.609247,1.287398,-0.000000,0.096232
0.020000,2.695541,3.107973,1.038286,1.634995,1.287398,0.000000,0.100389
0.020000,2.728325,3.111346,1.071244,1.660743,1.287398,0.000000,0.104676
0.020000,2.761607,3.114917,1.104716,1.686491,1.287398,0.000000,0.109097
0.020000,2.795383,3.118694,1.138704,1.712239,1.287398,-0.000000,0.113655
0.020000,2.829654,3.122687,1.173206,1.737987,1.287398,0.000000,0.118352
0.020000,2.864416,3.126906,1.208223,1.763735,1.287398,0.000000,0.123190
0.020000,2.899668,3.131360,1.243755,1.789483,1.287398,-0.000000,0.128173
0.020000,2.933174,3.135760,1.279802,1.815231,1.287398,0.000000,0.132954
0.020000,2.969317,3.140968,1.316364,1.840979,1.287398,-0.000000,0.153171
0.020000,3.005901,3.146992,1.353442,1.866727,1.287398,0.000000,0.173113
0.020000,3.042865,3.153831,1.391034,1.892475,1.287398,0.000000,0.192714
0.020000,3.080194,3.161490,1.429141,1.918223,1.287398,0.000000,0.211908
0.020000,3.117873,3.169969,1.467762,1.943971,1.287398,0.000000,0.230629
0.020000,3.155889,3.179264,1.506899,1.969719,1.287398,0.000000,0.248817
0.020000,3.194232,3.189369,1.546551,1.995467,1.287398,-0.000000,0.266410
0.020000,3.232889,3.200274,1.586718,2.021215,1.287398,0.000000,0.283353
0.020000,3.271854,3.211967,1.627400,2.046963,1.287398,-0.000000,0.299591
0.020000,3.311119,3.224433,1.668597,2.072711,1.287398,0.000000,0.315074
0.020000,3.350680,3.237653,1.710308,2.098459,1.287398,0.000000,0.329755
0.020000,3.390534,3.251606,1.752535,2.124207,1.287398,0.000000,0.343589
0.020000,3.430474,3.266190,1.795055,2.127795,0.179427,-55.398551,0.356471
0.020000,3.470058,3.281200,1.837389,2.105636,-1.107971,-64.369900,0.368252
0.020000,3.509025,3.296478,1.879244,2.079888,-1.287398,-8.971348,0.378875
0.020000,3.547359,3.311954,1.920585,2.054140,-1.287398,0.000000,0.388371
0.020000,3.585077,3.327576,1.961410,2.028392,-1.287398,0.000000,0.396783
0.020000,3.622197,3.343293,2.001720,2.002644,-1.287398,0.000000,0.404152
0.020000,3.658735,3.359062,2.041516,1.976896,-1.287398,0.000000,0.410518
0.020000,3.694708,3.374838,2.080796,1.951148,-1.287398,0.000000,0.415921
0.020000,3.730132,3.390582,2.119562,1.925400,-1.287398,-0.000000,0.420401
0.020000,3.765023,3.406258,2.157812,1.899652,-1.287398,0.000000,0.423995
0.020000,3.799395,3.421832,2.195548,1.873904,-1.287398,-0.000000,0.426739
