dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.659974,2.706198,0.000129,0.012874,0.643699,32.184950,6.283112
0.020000,1.659986,2.706198,0.000140,0.000587,-0.614372,-62.903574,6.283145
0.020000,1.660405,2.706198,0.000560,0.020981,1.019738,81.705545,0.000025
0.020000,1.661985,2.706198,0.002140,0.079007,2.901287,94.077422,0.000125
0.020000,1.664092,2.706198,0.004247,0.105347,1.316990,-79.214818,0.000257
0.020000,1.666726,2.706199,0.006881,0.131690,1.317171,0.009038,0.000423
0.020000,1.669887,2.706201,0.010042,0.158038,1.317394,0.011129,0.000623
0.020000,1.673575,2.706204,0.013730,0.184391,1.317659,0.013282,0.000856
0.020000,1.677790,2.706208,0.017945,0.210751,1.317973,0.015658,0.001124
0.020000,1.682532,2.706214,0.022687,0.237117,1.318329,0.017813,0.001427
0.020000,1.687802,2.706222,0.027957,0.263492,1.318731,0.020118,0.001766
0.020000,1.693599,2.706234,0.033754,0.289876,1.319177,0.022275,0.002139
0.020000,1.699925,2.706249,0.040080,0.316269,1.319668,0.024555,0.002550
0.020000,1.706778,2.706268,0.046933,0.342673,1.320202,0.026718,0.002997
0.020000,1.714160,2.706291,0.054315,0.369089,1.320785,0.029123,0.003481
0.020000,1.722070,2.706321,0.062225,0.395517,1.321408,0.031166,0.004004
0.020000,1.730509,2.706357,0.070664,0.421958,1.322077,0.033452,0.004566
0.020000,1.739477,2.706401,0.079633,0.448414,1.322795,0.035922,0.005168
0.020000,1.748975,2.706453,0.089130,0.474885,1.323551,0.037784,0.005810
0.020000,1.759002,2.706515,0.099158,0.501372,1.324360,0.040428,0.006494
0.020000,1.769560,2.706587,0.109715,0.527877,1.325206,0.042289,0.007221
0.020000,1.780647,2.706671,0.120803,0.554399,1.326102,0.044812,0.007991
0.020000,1.792266,2.706769,0.132422,0.580939,1.327040,0.046927,0.008806
0.020000,1.804415,2.706881,0.144572,0.607500,1.328027,0.049339,0.009666
0.020000,1.817096,2.707009,0.157254,0.634081,1.329053,0.051277,0.010573
0.020000,1.830309,2.707155,0.170467,0.660684,1.330131,0.053931,0.011528
0.020000,1.844054,2.707321,0.184214,0.687309,1.331249,0.055903,0.012533
0.020000,1.858332,2.707507,0.198493,0.713957,1.332413,0.058186,0.013588
0.020000,1.873143,2.707717,0.213305,0.740629,1.333622,0.060468,0.014695
0.020000,1.888488,2.707951,0.228652,0.767327,1.334879,0.062846,0.015856
0.020000,1.904367,2.708213,0.244533,0.794050,1.336177,0.064861,0.017072
0.020000,1.920780,2.708503,0.260949,0.820801,1.337521,0.067229,0.018343
0.020000,1.937729,2.708825,0.277900,0.847579,1.338911,0.069511,0.019673
0.020000,1.955213,2.709182,0.295388,0.874386,1.340347,0.071764,0.021063
0.020000,1.973233,2.709574,0.313413,0.901222,1.341821,0.073731,0.022513
0.020000,1.991790,2.710006,0.331974,0.928089,1.343348,0.076333,0.024027
0.020000,2.010884,2.710480,0.351074,0.954988,1.344913,0.078265,0.025605
0.020000,2.030515,2.710999,0.370713,0.981918,1.346525,0.080577,0.027250
0.020000,2.050685,2.711566,0.390890,1.008882,1.348178,0.082686,0.028963
0.020000,2.071393,2.712184,0.411608,1.035879,1.349881,0.085102,0.030746
0.020000,2.092641,2.712857,0.432866,1.062912,1.351619,0.086900,0.032602
0.020000,2.114428,2.713589,0.454666,1.089980,1.353406,0.089351,0.034532
0.020000,2.136756,2.714383,0.477007,1.117084,1.355230,0.091240,0.036538
0.020000,2.159624,2.715242,0.499892,1.144226,1.357099,0.093453,0.038623
0.020000,2.183034,2.716172,0.523320,1.171407,1.359010,0.095514,0.040788
0.020000,2.206985,2.717177,0.547292,1.198626,1.360959,0.097467,0.043036
0.020000,2.231479,2.718260,0.571810,1.225885,1.362949,0.099515,0.045369
0.020000,2.256515,2.719427,0.596874,1.253184,1.364978,0.101438,0.047789
0.020000,2.282095,2.720682,0.622484,1.280525,1.367045,0.103337,0.050299
0.020000,2.308218,2.722032,0.648642,1.307908,1.369148,0.105162,0.052900
0.020000,2.334886,2.723480,0.675349,1.335334,1.371287,0.106961,0.055596
0.020000,2.362098,2.725032,0.702605,1.362803,1.373461,0.108669,0.058389
0.020000,2.389854,2.726695,0.730412,1.390316,1.375667,0.110309,0.061282
0.020000,2.418156,2.728474,0.758769,1.417875,1.377904,0.111852,0.064276
0.020000,2.447003,2.730375,0.787679,1.445478,1.380171,0.113336,0.067374
0.020000,2.476395,2.732406,0.817141,1.473127,1.382464,0.114682,0.070579
0.020000,2.506333,2.734572,0.847158,1.500823,1.384783,0.115954,0.073894
0.020000,2.536817,2.736881,0.877729,1.528565,1.387124,0.117035,0.077321
0.020000,2.567847,2.739340,0.908856,1.556355,1.389485,0.118053,0.080863
0.020000,2.599423,2.741957,0.940540,1.584192,1.391864,0.118930,0.084522
0.020000,2.631544,2.744740,0.972781,1.612077,1.394255,0.119589,0.088302
0.020000,2.664211,2.747696,1.005582,1.640011,1.396657,0.120083,0.092204
0.020000,2.697423,2.750834,1.038941,1.667992,1.399065,0.120400,0.096232
0.020000,2.731179,2.754163,1.072862,1.696021,1.401476,0.120544,0.100389
0.020000,2.765480,2.757692,1.107344,1.724099,1.403883,0.120368,0.104676
0.020000,2.800325,2.761431,1.142388,1.752225,1.406287,0.120159,0.109097
0.020000,2.835712,2.765388,1.177996,1.780398,1.408672,0.119289,0.113655
0.020000,2.871641,2.769575,1.214169,1.808619,1.411045,0.118639,0.118352
0.020000,2.908112,2.774001,1.250906,1.836887,1.413392,0.117360,0.123190
0.020000,2.945121,2.778677,1.288211,1.865201,1.415705,0.115619,0.128173
0.020000,2.980314,2.783298,1.323705,1.774730,-4.523555,-296.962960,0.132954
0.020000,3.023572,2.789531,1.367410,2.185236,20.525321,1252.443762,0.153171
0.020000,3.067153,2.796707,1.411578,2.208390,1.157677,-968.382180,0.173113
0.020000,3.110971,2.804814,1.456139,2.228072,0.984095,-8.679087,0.192714
0.020000,3.154985,2.813845,1.501071,2.246576,0.925181,-2.945726,0.211908
0.020000,3.199159,2.823784,1.546349,2.263934,0.867932,-2.862435,0.230629
0.020000,3.243458,2.834615,1.591953,2.280185,0.812532,-2.770013,0.248817
0.020000,3.287850,2.846313,1.637860,2.295373,0.759415,-2.655853,0.266410
0.020000,3.332306,2.858854,1.684051,2.309553,0.708985,-2.521488,0.283353
0.020000,3.376802,2.872207,1.730507,2.322777,0.661213,-2.388598,0.299591
0.020000,3.421314,2.886338,1.777209,2.335104,0.616350,-2.243169,0.315074
0.020000,3.465827,2.901212,1.824141,2.346590,0.574285,-2.103223,0.329755
0.020000,3.510325,2.916790,1.871287,2.357289,0.534982,-1.965182,0.343589
0.020000,3.554568,2.932945,1.918387,2.355027,-0.113098,-32.403981,0.356471
0.020000,3.598069,2.949440,1.964910,2.326153,-1.443711,-66.530641,0.368252
0.020000,3.640553,2.966097,2.010543,2.281630,-2.226161,-39.122513,0.378875
0.020000,3.682018,2.982837,2.055260,2.235858,-2.288623,-3.123078,0.388371
0.020000,3.722500,2.999603,2.099077,2.190824,-2.251681,1.847102,0.396783
0.020000,3.762033,3.016342,2.142007,2.146526,-2.214905,1.838757,0.404152
0.020000,3.800649,3.033007,2.184066,2.102954,-2.178575,1.816522,0.410518
0.020000,3.838382,3.049555,2.225268,2.060093,-2.143070,1.775249,0.415921
0.020000,3.875262,3.065946,2.265626,2.017923,-2.108494,1.728787,0.420401
0.020000,3.911319,3.082146,2.305155,1.976423,-2.075011,1.674175,0.423995
