dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.591192,2.912161,0.000963,0.096316,4.815789,240.789474,0.001797
0.020000,2.591669,2.912161,0.004816,0.288947,9.631579,240.789474,6.282931
0.020000,2.599375,2.912143,0.012521,0.481579,9.631579,0.000000,6.278807
0.020000,2.610933,2.912057,0.024079,0.674211,9.631579,0.000000,6.272554
0.020000,2.626341,2.911828,0.039489,0.866842,9.631579,-0.000000,6.264094
0.020000,2.645599,2.911357,0.058753,1.059474,9.631579,0.000000,6.253317
0.020000,2.668699,2.910514,0.081868,1.252105,9.631579,0.000000,6.240086
0.020000,2.695632,2.909140,0.108837,1.444737,9.631579,0.000000,6.224232
0.020000,2.726381,2.907038,0.139658,1.637368,9.631579,-0.000000,6.205553
0.020000,2.760918,2.903976,0.174332,1.830000,9.631579,0.000000,6.183820
0.020000,2.799203,2.899677,0.212858,2.022632,9.631579,0.000000,6.158770
0.020000,2.841174,2.893820,0.255237,2.215263,9.631579,-0.000000,6.130122
0.020000,2.886743,2.886035,0.301468,2.407895,9.631579,0.000000,6.097582
0.020000,2.935787,2.875897,0.351553,2.600526,9.631579,0.000000,6.060864
0.020000,2.988138,2.862932,0.405489,2.793158,9.631579,0.000000,6.019720
0.020000,3.043573,2.846619,0.463279,2.985789,9.631579,-0.000000,5.973984
0.020000,3.101796,2.826398,0.524921,3.178421,9.631579,0.000000,5.923632
0.020000,3.162444,2.801691,0.590416,3.371053,9.631579,-0.000000,5.868845
0.020000,3.225067,2.771927,0.659763,3.563684,9.631579,0.000000,5.810081
0.020000,3.288322,2.737064,0.732000,3.660000,4.815789,-240.789474,5.748932
0.020000,3.350142,2.697888,0.805200,3.660000,0.000000,-240.789474,5.688026
0.020000,3.409504,2.655077,0.878400,3.660000,0.000000,0.000000,5.629151
0.020000,3.466309,2.608924,0.951600,3.660000,0.000000,0.000000,5.573151
0.020000,3.520527,2.559757,1.024800,3.660000,0.000000,0.000000,5.520688
0.020000,3.572195,2.507915,1.098000,3.660000,0.000000,0.000000,5.472229
0.020000,3.621408,2.453735,1.171200,3.660000,0.000000,0.000000,5.428048
0.020000,3.668303,2.397536,1.244400,3.660000,0.000000,0.000000,5.388259
0.020000,3.713054,2.339613,1.317600,3.660000,0.000000,0.000000,5.352852
0.020000,3.755855,2.280234,1.390800,3.660000,0.000000,0.000000,5.321732
0.020000,3.796914,2.219636,1.464000,3.660000,0.000000,0.000000,5.294750
0.020000,3.836446,2.158031,1.537200,3.660000,0.000000,0.000000,5.271734
0.020000,3.874671,2.095605,1.610400,3.660000,0.000000,0.000000,5.252507
0.020000,3.911803,2.032523,1.683600,3.660000,0.000000,0.000000,5.236904
0.020000,3.948058,1.968933,1.756800,3.660000,0.000000,0.000000,5.224777
0.020000,3.983647,1.904967,1.830000,3.660000,0.000000,0.000000,5.216008
0.020000,4.018779,1.840749,1.903200,3.660000,0.000000,0.000000,5.210505
0.020000,4.053661,1.776395,1.976400,3.660000,0.000000,0.000000,5.208211
0.020000,4.088498,1.712016,2.049600,3.660000,0.000000,0.000000,5.209103
0.020000,4.123495,1.647724,2.122800,3.660000,0.000000,0.000000,5.213188
0.020000,4.158858,1.583632,2.196000,3.660000,0.000000,0.000000,5.220511
0.020000,4.194794,1.519861,2.269200,3.660000,0.000000,0.000000,5.231147
0.020000,4.231514,1.456538,2.342400,3.660000,0.000000,0.000000,5.245203
0.020000,4.269231,1.393804,2.415600,3.660000,0.000000,0.000000,5.262816
0.020000,4.308161,1.331817,2.488800,3.660000,0.000000,0.000000,5.284143
0.020000,4.348521,1.270751,2.562000,3.660000,0.000000,0.000000,5.309358
0.020000,4.390292,1.211137,2.634795,3.619456,-2.027195,-101.359769,5.338463
0.020000,4.432814,1.154257,2.705815,3.482596,-6.842985,-240.789474,5.370885
0.020000,4.475162,1.101409,2.773541,3.289965,-9.631579,-139.429705,5.405612
0.020000,4.516845,1.053016,2.837414,3.097333,-9.631579,-0.000000,5.441815
0.020000,4.557655,1.009009,2.897434,2.904702,-9.631579,0.000000,5.478871
0.020000,4.597350,0.969275,2.953602,2.712070,-9.631579,0.000000,5.516142
0.020000,4.635669,0.933664,3.005917,2.519439,-9.631579,0.000000,5.553000
0.020000,4.672344,0.901989,3.054379,2.326807,-9.631579,-0.000000,5.588855
0.020000,4.707106,0.874034,3.098989,2.134175,-9.631579,0.000000,5.623172
0.020000,4.739700,0.849567,3.139746,1.941544,-9.631579,-0.000000,5.655491
0.020000,4.769889,0.828343,3.176651,1.748912,-9.631579,0.000000,5.685434
0.020000,4.797459,0.810116,3.209703,1.556281,-9.631579,-0.000000,5.712704
0.020000,4.822224,0.794648,3.238902,1.363649,-9.631579,0.000000,5.737077
0.020000,4.844022,0.781715,3.264249,1.171017,-9.631579,0.000000,5.758400
0.020000,4.862720,0.771116,3.285743,0.978386,-9.631579,-0.000000,5.776569
0.020000,4.878210,0.762671,3.303384,0.785754,-9.631579,0.000000,5.791521
0.020000,4.890403,0.756233,3.317173,0.593123,-9.631579,0.000000,5.803223
0.020000,4.899235,0.751682,3.327109,0.400491,-9.631579,-0.000000,5.811660
0.020000,4.904662,0.748933,3.333193,0.207860,-9.631579,0.000000,5.816826
0.020000,4.907018,0.747750,3.335829,0.055772,-7.604384,101.359769,5.819064
0.020000,4.907517,0.747500,3.336387,0.000000,-2.788594,240.789474,5.819538
0.020000,4.907517,0.747500,3.336387,0.000000,0.000000,139.429705,5.819538
