dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.763933,5.242274,0.000238,0.023810,1.190476,59.523810,0.000001
0.020000,1.763933,5.242274,0.000952,0.047619,1.190476,0.000000,0.000000
0.020000,1.764918,5.242274,0.002143,0.071429,1.190476,0.000000,6.283184
0.020000,1.766585,5.242274,0.003810,0.095238,1.190476,0.000000,6.283182
0.020000,1.768728,5.242274,0.005952,0.119048,1.190476,0.000000,6.283179
0.020000,1.771347,5.242274,0.008571,0.142857,1.190476,0.000000,6.283176
0.020000,1.774442,5.242274,0.011667,0.166667,1.190476,0.000000,6.283173
0.020000,1.778013,5.242274,0.015238,0.190476,1.190476,0.000000,6.283168
0.020000,1.782061,5.242273,0.019286,0.214286,1.190476,0.000000,6.283163
0.020000,1.786585,5.242273,0.023810,0.238095,1.190476,0.000000,6.283158
0.020000,1.791585,5.242273,0.028810,0.261905,1.190476,0.000000,6.283152
0.020000,1.797061,5.242273,0.034286,0.285714,1.190476,-0.000000,6.283146
0.020000,1.803013,5.242273,0.040238,0.309524,1.190476,0.000000,6.283139
0.020000,1.809442,5.242272,0.046667,0.333333,1.190476,-0.000000,6.283132
0.020000,1.816347,5.242272,0.053571,0.357143,1.190476,0.000000,6.283124
0.020000,1.823728,5.242272,0.060952,0.380952,1.190476,-0.000000,6.283116
0.020000,1.831585,5.242271,0.068810,0.404762,1.190476,0.000000,6.283107
0.020000,1.839918,5.242270,0.077143,0.428571,1.190476,-0.000000,6.283098
0.020000,1.848728,5.242269,0.085952,0.452381,1.190476,0.000000,6.283089
0.020000,1.858013,5.242269,0.095238,0.476190,1.190476,-0.000000,6.283079
0.020000,1.867775,5.242267,0.105000,0.500000,1.190476,0.000000,6.283070
0.020000,1.878013,5.242266,0.115238,0.523810,1.190476,0.000000,6.283059
0.020000,1.888728,5.242265,0.125952,0.547619,1.190476,0.000000,6.283049
0.020000,1.899918,5.242263,0.137143,0.571429,1.190476,-0.000000,6.283038
0.020000,1.911585,5.242261,0.148810,0.595238,1.190476,0.000000,6.283028
0.020000,1.923728,5.242259,0.160952,0.619048,1.190476,0.000000,6.283017
0.020000,1.936347,5.242257,0.173571,0.642857,1.190476,0.000000,6.283006
