dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.642050,5.196618,0.000072,0.007226,0.361290,18.064516,6.281001
0.020000,2.642050,5.196618,0.000361,0.021677,0.722581,18.064516,6.281142
0.020000,2.642050,5.196618,0.001012,0.043355,1.083871,18.064516,6.281458
0.020000,2.642050,5.196618,0.002168,0.072258,1.445161,18.064516,6.282020
0.020000,2.642050,5.196618,0.003974,0.108387,1.806452,18.064516,6.282900
0.020000,2.644066,5.196619,0.006575,0.151742,2.167742,18.064516,0.000983
0.020000,2.647606,5.196626,0.010116,0.202323,2.529032,18.064516,0.002715
0.020000,2.652231,5.196643,0.014741,0.260129,2.890323,18.064516,0.004987
0.020000,2.658084,5.196681,0.020594,0.325161,3.251613,18.064516,0.007879
0.020000,2.665309,5.196751,0.027819,0.397419,3.612903,18.064516,0.011473
0.020000,2.673979,5.196869,0.036490,0.469677,3.612903,-0.000000,0.015823
0.020000,2.684094,5.197055,0.046606,0.541935,3.612903,0.000000,0.020949
0.020000,2.695651,5.197331,0.058168,0.614194,3.612903,-0.000000,0.026874
0.020000,2.708652,5.197725,0.071174,0.686452,3.612903,0.000000,0.033627
0.020000,2.723093,5.198265,0.085626,0.758710,3.612903,0.000000,0.041238
0.020000,2.738974,5.198988,0.101523,0.830968,3.612903,-0.000000,0.049743
0.020000,2.756290,5.199932,0.118865,0.903226,3.612903,0.000000,0.059182
0.020000,2.775038,5.201141,0.137652,0.975484,3.612903,0.000000,0.069599
0.020000,2.795213,5.202663,0.157884,1.047742,3.612903,0.000000,0.081043
0.020000,2.816807,5.204552,0.179561,1.120000,3.612903,-0.000000,0.093564
0.020000,2.839814,5.206869,0.202684,1.192258,3.612903,0.000000,0.107221
0.020000,2.864220,5.209679,0.227252,1.264516,3.612903,0.000000,0.122073
0.020000,2.890012,5.213053,0.253265,1.336774,3.612903,-0.000000,0.138182
0.020000,2.917175,5.217071,0.280723,1.409032,3.612903,0.000000,0.155617
0.020000,2.945684,5.221818,0.309626,1.481290,3.612903,0.000000,0.174443
0.020000,2.975518,5.227387,0.339974,1.553548,3.612903,-0.000000,0.194729
0.020000,3.006641,5.233877,0.371768,1.625806,3.612903,-0.000000,0.216540
0.020000,3.039017,5.241396,0.405006,1.698065,3.612903,0.000000,0.239938
0.020000,3.072601,5.250058,0.439690,1.770323,3.612903,0.000000,0.264974
0.020000,3.107339,5.259982,0.475819,1.842581,3.612903,0.000000,0.291692
0.020000,3.143168,5.271295,0.513394,1.914839,3.612903,0.000000,0.320115
0.020000,3.179948,5.284104,0.552341,1.979871,3.251613,-18.064516,0.350192
0.020000,3.217461,5.298479,0.592516,2.037677,2.890323,-18.064516,0.381778
0.020000,3.255491,5.314477,0.633775,2.088258,2.529032,-18.064516,0.414696
0.020000,3.293816,5.332132,0.675974,2.131613,2.167742,-18.064516,0.448725
0.020000,3.332220,5.351455,0.718968,2.167742,1.806452,-18.064516,0.483609
0.020000,3.370491,5.372429,0.762612,2.196645,1.445161,-18.064516,0.519063
0.020000,3.408426,5.395011,0.806761,2.218323,1.083871,-18.064516,0.554778
0.020000,3.445834,5.419128,0.851272,2.232774,0.722581,-18.064516,0.590432
0.020000,3.482541,5.444681,0.896000,2.240000,0.361290,-18.064516,0.625708
0.020000,3.518391,5.471544,0.940800,2.240000,0.000000,-18.064516,0.660297
0.020000,3.553303,5.499616,0.985600,2.240000,0.000000,0.000000,0.693971
0.020000,3.587265,5.528829,1.030400,2.240000,0.000000,0.000000,0.726578
