dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.642827,5.552217,0.000072,0.007226,0.361290,18.064516,6.281001
0.020000,2.642777,5.552217,0.000122,0.002497,-0.236417,-29.885382,6.281142
0.020000,2.642664,5.552217,0.000235,0.005621,0.156169,19.629320,6.281458
0.020000,2.642465,5.552218,0.000435,0.009998,0.218854,3.134260,6.282020
0.020000,2.642152,5.552218,0.000747,0.015635,0.281873,3.150942,6.282900
0.020000,2.643717,5.552219,0.002312,0.078237,3.130067,142.409699,0.000983
0.020000,2.646641,5.552224,0.005236,0.146221,3.399209,13.457089,0.002715
0.020000,2.650458,5.552239,0.009053,0.190830,2.230439,-58.438510,0.004987
0.020000,2.655282,5.552270,0.013878,0.241245,2.520773,14.516703,0.007879
0.020000,2.661229,5.552327,0.019825,0.297348,2.805140,14.218369,0.011473
0.020000,2.668352,5.552425,0.026949,0.356191,2.942164,6.851180,0.015823
0.020000,2.676645,5.552577,0.035243,0.414703,2.925584,-0.828989,0.020949
0.020000,2.686096,5.552803,0.044697,0.472689,2.899314,-1.313499,0.026874
0.020000,2.696697,5.553124,0.055302,0.530275,2.879276,-1.001907,0.033627
0.020000,2.708433,5.553563,0.067047,0.587250,2.848767,-1.525434,0.041238
0.020000,2.721293,5.554148,0.079920,0.643626,2.818810,-1.497837,0.049743
0.020000,2.735257,5.554909,0.093905,0.699263,2.781830,-1.848998,0.059182
0.020000,2.750308,5.555880,0.108987,0.754119,2.742826,-1.950203,0.069599
0.020000,2.766425,5.557095,0.125150,0.808146,2.701330,-2.074837,0.081043
0.020000,2.783584,5.558597,0.142374,0.861212,2.653314,-2.400784,0.093564
0.020000,2.801759,5.560427,0.160641,0.913345,2.606648,-2.333290,0.107221
0.020000,2.820919,5.562633,0.179928,0.964316,2.548547,-2.905051,0.122073
0.020000,2.841031,5.565264,0.200211,1.014175,2.492937,-2.780523,0.138182
0.020000,2.862060,5.568374,0.221469,1.062919,2.437185,-2.787595,0.155617
0.020000,2.883967,5.572021,0.243677,1.110385,2.373329,-3.192774,0.174443
0.020000,2.906709,5.576266,0.266812,1.156736,2.317566,-2.788176,0.194729
0.020000,2.930239,5.581173,0.290849,1.201836,2.254964,-3.130104,0.216540
0.020000,2.954512,5.586809,0.315767,1.245920,2.204219,-2.537248,0.239938
0.020000,2.979475,5.593247,0.341547,1.288996,2.153788,-2.521528,0.264974
0.020000,3.005078,5.600561,0.368175,1.331380,2.119224,-1.728216,0.291692
0.020000,3.031269,5.608831,0.395640,1.373279,2.094941,-1.214129,0.320115
0.020000,3.057949,5.618121,0.423891,1.412548,1.963461,-6.574001,0.350192
0.020000,3.084975,5.628477,0.452833,1.447078,1.726470,-11.849561,0.381778
0.020000,3.112215,5.639936,0.482385,1.477634,1.527800,-9.933483,0.414696
0.020000,3.139551,5.652528,0.512482,1.504823,1.359443,-8.417864,0.448725
0.020000,3.166874,5.666275,0.543069,1.529358,1.226779,-6.633201,0.483609
