dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.641274,4.841019,0.000072,0.007226,0.361290,18.064516,6.281001
0.020000,2.641324,4.841019,0.000122,0.002497,-0.236417,-29.885382,6.281142
0.020000,2.641436,4.841019,0.000235,0.005621,0.156169,19.629320,6.281458
0.020000,2.641636,4.841018,0.000435,0.009998,0.218854,3.134260,6.282020
0.020000,2.641949,4.841018,0.000747,0.015635,0.281873,3.150942,6.282900
0.020000,2.644416,4.841019,0.003215,0.123363,5.386372,255.224922,0.000983
0.020000,2.648572,4.841027,0.007371,0.207806,4.222158,-58.210667,0.002715
0.020000,2.654004,4.841048,0.012803,0.271626,3.190995,-51.558154,0.004987
0.020000,2.660886,4.841092,0.019685,0.344077,3.622569,21.578685,0.007879
0.020000,2.669389,4.841174,0.028188,0.425164,4.054362,21.589634,0.011473
0.020000,2.679605,4.841314,0.038406,0.510875,4.285522,11.558011,0.015823
0.020000,2.691543,4.841533,0.050345,0.596986,4.305530,1.000422,0.020949
0.020000,2.705207,4.841860,0.064013,0.683376,4.319508,0.698873,0.026874
0.020000,2.720607,4.842326,0.079421,0.770389,4.350676,1.558424,0.033627
0.020000,2.737753,4.842968,0.096578,0.857893,4.375195,1.225949,0.041238
0.020000,2.756655,4.843828,0.115500,0.946079,4.409293,1.704888,0.049743
0.020000,2.777323,4.844955,0.136198,1.034922,4.442145,1.642584,0.059182
0.020000,2.799767,4.846401,0.158689,1.124546,4.481227,1.954141,0.069599
0.020000,2.824000,4.848230,0.182991,1.215066,4.525994,2.238321,0.081043
0.020000,2.850030,4.850508,0.209120,1.306472,4.570307,2.215644,0.093564
0.020000,2.877869,4.853311,0.237100,1.398988,4.625759,2.772617,0.107221
0.020000,2.907521,4.856725,0.266948,1.492432,4.672201,2.322087,0.122073
0.020000,2.938994,4.860843,0.298689,1.587027,4.729777,2.878815,0.138182
0.020000,2.972289,4.865768,0.332347,1.682888,4.793066,3.164441,0.155617
0.020000,3.007402,4.871615,0.367943,1.779828,4.846988,2.696114,0.174443
0.020000,3.044327,4.878508,0.405505,1.878106,4.913879,3.344560,0.194729
0.020000,3.083042,4.886582,0.445054,1.977410,4.965207,2.566398,0.216540
0.020000,3.123523,4.895983,0.486612,2.077916,5.025296,3.004447,0.239938
0.020000,3.165727,4.906868,0.530197,2.179267,5.067568,2.113587,0.264974
0.020000,3.209600,4.919403,0.575826,2.281436,5.108430,2.043125,0.291692
0.020000,3.255067,4.933760,0.623506,2.383979,5.127180,0.937459,0.320115
0.020000,3.301946,4.950086,0.673146,2.482029,4.902474,-11.235288,0.350192
0.020000,3.349947,4.968481,0.724551,2.570261,4.411619,-24.542753,0.381778
0.020000,3.398766,4.989018,0.777514,2.648138,3.893822,-25.889864,0.414696
0.020000,3.448081,5.011736,0.831811,2.714821,3.334169,-27.982605,0.448725
0.020000,3.497567,5.036634,0.887206,2.769790,2.748420,-29.287467,0.483609
0.020000,3.546893,5.063667,0.943455,2.812407,2.130862,-30.877900,0.519063
0.020000,3.595740,5.092744,1.000301,2.842335,1.496422,-31.721983,0.554778
0.020000,3.643804,5.123731,1.057488,2.859333,0.849913,-32.325495,0.590432
0.020000,3.690806,5.156450,1.114757,2.863437,0.205168,-32.237226,0.625708
0.020000,3.736499,5.190688,1.171854,2.854851,-0.429305,-31.723654,0.660297
0.020000,3.780743,5.226262,1.228625,2.838589,-0.813066,-19.188071,0.693971
0.020000,3.823496,5.263035,1.285018,2.819623,-0.948342,-6.763755,0.726578
0.020000,3.864737,5.300871,1.340985,2.798370,-1.062620,-5.713935,0.757989
0.020000,3.904463,5.339635,1.396490,2.775246,-1.156211,-4.679532,0.788099
0.020000,3.942690,5.379197,1.451504,2.750667,-1.228936,-3.636250,0.816826
0.020000,3.979448,5.419435,1.506004,2.725035,-1.281594,-2.632888,0.844111
0.020000,4.014781,5.460237,1.559978,2.698703,-1.316616,-1.751112,0.869914
0.020000,4.048741,5.501500,1.613418,2.672004,-1.334954,-0.916929,0.894215
0.020000,4.081389,5.543128,1.666323,2.645207,-1.339836,-0.244092,0.917008
0.020000,4.112792,5.585039,1.718693,2.618522,-1.334253,0.279155,0.938300
0.020000,4.143019,5.627158,1.770536,2.592158,-1.318204,0.802456,0.958109
0.020000,4.172143,5.669419,1.821860,2.566208,-1.297506,1.034884,0.976458
0.020000,4.200237,5.711763,1.872677,2.540812,-1.269802,1.385213,0.993378
0.020000,4.227372,5.754140,1.922997,2.515998,-1.240715,1.454373,1.008902
0.020000,4.253621,5.796503,1.972833,2.491815,-1.209109,1.580276,1.023066
0.020000,4.279053,5.838814,2.022198,2.468277,-1.176899,1.610502,1.035906
0.020000,4.303735,5.881036,2.071106,2.445367,-1.145511,1.569407,1.047457
0.020000,4.327735,5.923137,2.119567,2.423054,-1.115660,1.492567,1.057754
0.020000,4.351113,5.965089,2.167593,2.401318,-1.086793,1.443344,1.066827
0.020000,4.373932,6.006865,2.215195,2.380104,-1.060718,1.303757,1.074707
0.020000,4.396250,6.048441,2.262382,2.359358,-1.037299,1.170955,1.081420
0.020000,4.418121,6.089794,2.309163,2.339022,-1.016811,1.024392,1.086990
0.020000,4.439600,6.130901,2.355543,2.319032,-0.999458,0.867630,1.091435
0.020000,4.460738,6.171741,2.401530,2.299325,-0.985388,0.703481,1.094772
0.020000,4.481584,6.212294,2.447127,2.279831,-0.974706,0.534145,1.097012
0.020000,4.502184,6.252537,2.492336,2.260481,-0.967479,0.361337,1.098164
0.020000,4.522585,6.292450,2.537160,2.241206,-0.963751,0.186404,1.098231
0.020000,4.542828,6.332010,2.581599,2.221935,-0.963542,0.010447,1.097215
0.020000,4.562957,6.371194,2.625651,2.202598,-0.966853,-0.165571,1.095112
0.020000,4.583011,6.409979,2.669313,2.183125,-0.973667,-0.340713,1.091913
0.020000,4.603027,6.448340,2.712582,2.163446,-0.983947,-0.513955,1.087607
0.020000,4.623044,6.486250,2.755452,2.143493,-0.997628,-0.684065,1.082180
0.020000,4.643096,6.523681,2.797916,2.123201,-1.014617,-0.849471,1.075611
0.020000,4.663217,6.560605,2.839966,2.102505,-1.034780,-1.008125,1.067878
0.020000,4.683439,6.596990,2.881593,2.081347,-1.057903,-1.156162,1.058955
0.020000,4.703793,6.632804,2.922787,2.059677,-1.083508,-1.280266,1.048814
0.020000,4.724274,6.667956,2.963471,2.034207,-1.273528,-9.500983,1.037441
0.020000,4.744842,6.702305,3.003507,2.001818,-1.619418,-17.294495,1.024851
0.020000,4.765451,6.735716,3.042763,1.962759,-1.952938,-16.675980,1.011077
0.020000,4.786049,6.768061,3.081109,1.917344,-2.270748,-15.890548,0.996166
0.020000,4.806578,6.799225,3.118428,1.865915,-2.571477,-15.036433,0.980187
0.020000,4.826974,6.829104,3.154604,1.808836,-2.853967,-14.124484,0.963229
0.020000,4.847166,6.857607,3.189534,1.746501,-3.116705,-13.136927,0.945402
0.020000,4.867077,6.884655,3.223120,1.679297,-3.360204,-12.174928,0.926839
0.020000,4.886622,6.910184,3.255273,1.607626,-3.583574,-11.168510,0.907694
0.020000,4.905714,6.934145,3.285910,1.531852,-3.788701,-10.256347,0.888144
0.020000,4.924294,6.956546,3.315014,1.455191,-3.833056,-2.217746,0.868345
0.020000,4.942342,6.977445,3.342627,1.380655,-3.726771,5.314261,0.848417
0.020000,4.959835,6.996903,3.368792,1.308270,-3.619285,5.374274,0.828481
0.020000,4.976752,7.014984,3.393553,1.238011,-3.512914,5.318579,0.808659
0.020000,4.993070,7.031750,3.416949,1.169818,-3.409652,5.163101,0.789064
0.020000,5.008769,7.047265,3.439021,1.103610,-3.310416,4.961763,0.769810
0.020000,5.023829,7.061592,3.459807,1.039281,-3.216430,4.699296,0.751002
0.020000,5.038229,7.074791,3.479341,0.976708,-3.128664,4.388302,0.732739
0.020000,5.051950,7.086922,3.497656,0.915752,-3.047821,4.042169,0.715111
0.020000,5.064974,7.098042,3.514781,0.856270,-2.974107,3.685700,0.698201
0.020000,5.077283,7.108204,3.530743,0.798106,-2.908156,3.297571,0.682084
0.020000,5.088860,7.117461,3.545566,0.741106,-2.850023,2.906629,0.666825
0.020000,5.099687,7.125858,3.559268,0.685129,-2.798839,2.559184,0.652482
0.020000,5.109750,7.133442,3.571869,0.630017,-2.755597,2.162106,0.639103
0.020000,5.119033,7.140252,3.583382,0.575658,-2.717947,1.882512,0.626731
0.020000,5.127522,7.146326,3.593820,0.521910,-2.687397,1.527486,0.615400
0.020000,5.135204,7.151698,3.603193,0.468681,-2.661466,1.296555,0.605139
0.020000,5.142066,7.156398,3.611511,0.415871,-2.640523,1.047146,0.595971
0.020000,5.148097,7.160453,3.618779,0.363381,-2.624484,0.801950,0.587915
0.020000,5.153287,7.163887,3.625002,0.311150,-2.611535,0.647477,0.580986
0.020000,5.157628,7.166719,3.630184,0.259137,-2.600672,0.543114,0.575196
0.020000,5.161154,7.168993,3.634381,0.209815,-2.466091,6.729062,0.570494
0.020000,5.163947,7.170778,3.637696,0.165749,-2.203288,13.140148,0.566773
0.020000,5.166090,7.172138,3.640234,0.126899,-1.942489,13.039980,0.563919
0.020000,5.167668,7.173133,3.642099,0.093254,-1.682246,13.012123,0.561820
0.020000,5.168765,7.173823,3.643395,0.064803,-1.422554,12.984610,0.560360
0.020000,5.169469,7.174264,3.644225,0.041526,-1.163848,12.935278,0.559424
0.020000,5.169866,7.174512,3.644694,0.023416,-0.905527,12.916082,0.558896
0.020000,5.170043,7.174623,3.644903,0.010462,-0.647711,12.890797,0.558660
0.020000,5.170088,7.174652,3.644956,0.002666,-0.389799,12.895587,0.558600
0.020000,5.170089,7.174652,3.644957,0.000029,-0.131849,12.897507,0.558599
0.020000,5.170089,7.174652,3.644957,0.000000,-0.001435,6.520697,0.558599
