dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.500000,5.000000,0.000072,0.007226,0.361290,18.064516,6.280952
0.020000,2.500000,5.000000,0.000361,0.021677,0.722581,18.064516,6.281083
0.020000,2.500000,5.000000,0.001012,0.043355,1.083871,18.064516,6.281377
0.020000,2.500000,5.000000,0.002168,0.072258,1.445161,18.064516,6.281900
0.020000,2.500000,5.000000,0.003974,0.108387,1.806452,18.064516,6.282718
0.020000,2.501573,5.000001,0.006575,0.151742,2.167742,18.064516,0.000714
0.020000,2.505112,5.000006,0.010116,0.202323,2.529032,18.064516,0.002325
0.020000,2.509737,5.000022,0.014741,0.260129,2.890323,18.064516,0.004439
0.020000,2.515590,5.000055,0.020594,0.325161,3.251613,18.064516,0.007131
0.020000,2.522816,5.000119,0.027819,0.397419,3.612903,18.064516,0.010477
0.020000,2.531486,5.000227,0.036490,0.469677,3.612903,-0.000000,0.014527
0.020000,2.541601,5.000398,0.046606,0.541935,3.612903,0.000000,0.019300
0.020000,2.553159,5.000653,0.058168,0.614194,3.612903,-0.000000,0.024818
0.020000,2.566161,5.001017,0.071174,0.686452,3.612903,0.000000,0.031110
0.020000,2.580604,5.001518,0.085626,0.758710,3.612903,0.000000,0.038205
0.020000,2.596486,5.002188,0.101523,0.830968,3.612903,-0.000000,0.046137
0.020000,2.613806,5.003063,0.118865,0.903226,3.612903,0.000000,0.054946
0.020000,2.632559,5.004186,0.137652,0.975484,3.612903,0.000000,0.064675
0.020000,2.652742,5.005601,0.157884,1.047742,3.612903,0.000000,0.075371
0.020000,2.674348,5.007360,0.179561,1.120000,3.612903,-0.000000,0.087087
0.020000,2.697369,5.009518,0.202684,1.192258,3.612903,0.000000,0.099880
0.020000,2.721796,5.012137,0.227252,1.264516,3.612903,0.000000,0.113813
0.020000,2.747618,5.015286,0.253265,1.336774,3.612903,-0.000000,0.128952
0.020000,2.774817,5.019039,0.280723,1.409032,3.612903,0.000000,0.145367
0.020000,2.803378,5.023478,0.309626,1.481290,3.612903,0.000000,0.163135
0.020000,2.833274,5.028693,0.339974,1.553548,3.612903,-0.000000,0.182331
0.020000,2.864478,5.034779,0.371768,1.625806,3.612903,-0.000000,0.203033
0.020000,2.896957,5.041842,0.405006,1.698065,3.612903,0.000000,0.225321
0.020000,2.930670,5.049993,0.439690,1.770323,3.612903,0.000000,0.249270
0.020000,2.965564,5.059353,0.475819,1.842581,3.612903,0.000000,0.274947
0.020000,3.001583,5.070047,0.513394,1.914839,3.612903,0.000000,0.302409
0.020000,3.038588,5.082186,0.552341,1.979871,3.251613,-18.064516,0.331644
0.020000,3.076367,5.095849,0.592516,2.037677,2.890323,-18.064516,0.362554
0.020000,3.114701,5.111103,0.633775,2.088258,2.529032,-18.064516,0.395005
0.020000,3.153369,5.127996,0.675974,2.131613,2.167742,-18.064516,0.428820
0.020000,3.192150,5.146551,0.718968,2.167742,1.806452,-18.064516,0.463785
0.020000,3.230826,5.166769,0.762612,2.196645,1.445161,-18.064516,0.499642
0.020000,3.269184,5.188623,0.806761,2.218323,1.083871,-18.064516,0.536101
0.020000,3.307024,5.212057,0.851272,2.232774,0.722581,-18.064516,0.572850
