dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992329,5.594600,0.000130,0.012998,0.649908,32.495406,0.000066
0.020000,0.992341,5.594600,0.000142,0.000603,-0.619742,-63.482491,0.000032
0.020000,0.992909,5.594600,0.000710,0.028416,1.390641,100.519135,6.283150
0.020000,0.994505,5.594600,0.002306,0.079789,2.568649,58.900384,6.283049
0.020000,0.996633,5.594599,0.004434,0.106374,1.329245,-61.970196,6.282914
0.020000,0.999292,5.594598,0.007093,0.132949,1.328753,-0.024597,6.282747
0.020000,1.002482,5.594597,0.010283,0.159512,1.328138,-0.030748,6.282549
0.020000,1.006203,5.594594,0.014004,0.186060,1.327400,-0.036896,6.282319
0.020000,1.010455,5.594590,0.018256,0.212591,1.326539,-0.043050,6.282059
0.020000,1.015237,5.594584,0.023038,0.239102,1.325555,-0.049197,6.281770
0.020000,1.020549,5.594575,0.028350,0.265591,1.324448,-0.055349,6.281454
0.020000,1.026390,5.594564,0.034191,0.292055,1.323218,-0.061504,6.281111
0.020000,1.032760,5.594550,0.040561,0.318492,1.321865,-0.067653,6.280743
0.020000,1.039658,5.594532,0.047459,0.344900,1.320389,-0.073799,6.280352
0.020000,1.047083,5.594509,0.054884,0.371276,1.318790,-0.079956,6.279940
0.020000,1.055035,5.594481,0.062837,0.397617,1.317068,-0.086109,6.279509
0.020000,1.063514,5.594448,0.071315,0.423922,1.315223,-0.092251,6.279060
0.020000,1.072517,5.594409,0.080319,0.450187,1.313254,-0.098413,6.278596
0.020000,1.082046,5.594363,0.089847,0.476410,1.311163,-0.104548,6.278119
0.020000,1.092097,5.594310,0.099899,0.502589,1.308949,-0.110708,6.277632
0.020000,1.102671,5.594248,0.110473,0.528721,1.306612,-0.116848,6.277138
0.020000,1.113767,5.594179,0.121569,0.554804,1.304152,-0.122991,6.276638
0.020000,1.125384,5.594100,0.133186,0.580836,1.301569,-0.129151,6.276137
0.020000,1.137520,5.594011,0.145322,0.606813,1.298864,-0.135282,6.275636
0.020000,1.150174,5.593912,0.157977,0.632734,1.296035,-0.141414,6.275140
0.020000,1.163345,5.593803,0.171149,0.658595,1.293084,-0.147572,6.274651
0.020000,1.177033,5.593683,0.184837,0.684396,1.290010,-0.153700,6.274174
0.020000,1.191235,5.593552,0.199039,0.710132,1.286813,-0.159840,6.273711
0.020000,1.205950,5.593409,0.213755,0.735802,1.283494,-0.165979,6.273266
0.020000,1.221177,5.593255,0.228983,0.761403,1.280051,-0.172113,6.272844
0.020000,1.236915,5.593089,0.244722,0.786932,1.276486,-0.178248,6.272448
0.020000,1.253162,5.592911,0.260970,0.812388,1.272799,-0.184393,6.272082
0.020000,1.269916,5.592722,0.277725,0.837768,1.268988,-0.190521,6.271751
0.020000,1.287177,5.592522,0.294987,0.863069,1.265055,-0.196666,6.271459
0.020000,1.304941,5.592312,0.312752,0.888289,1.260999,-0.202807,6.271211
0.020000,1.323208,5.592091,0.331021,0.913426,1.256820,-0.208955,6.271011
0.020000,1.341976,5.591861,0.349790,0.938476,1.252517,-0.215107,6.270864
0.020000,1.361244,5.591623,0.369059,0.963438,1.248092,-0.221256,6.270776
0.020000,1.381008,5.591377,0.388825,0.988309,1.243544,-0.227424,6.270751
0.020000,1.401269,5.591125,0.409087,1.013086,1.238872,-0.233588,6.270794
0.020000,1.422022,5.590869,0.429842,1.037768,1.234077,-0.239762,6.270911
0.020000,1.443268,5.590611,0.451089,1.062351,1.229158,-0.245945,6.271108
0.020000,1.465003,5.590351,0.472826,1.086833,1.224115,-0.252128,6.271390
0.020000,1.487226,5.590093,0.495050,1.111212,1.218949,-0.258318,6.271763
0.020000,1.509934,5.589839,0.517760,1.135485,1.213658,-0.264525,6.272233
0.020000,1.533126,5.589591,0.540953,1.159650,1.208244,-0.270716,6.272805
0.020000,1.556798,5.589353,0.564627,1.183704,1.202706,-0.276906,6.273487
0.020000,1.580950,5.589128,0.588780,1.207645,1.197044,-0.283113,6.274285
0.020000,1.605579,5.588920,0.613409,1.231470,1.191258,-0.289273,6.275205
0.020000,1.630682,5.588733,0.638513,1.255177,1.185349,-0.295453,6.276253
0.020000,1.656256,5.588570,0.664088,1.278764,1.179318,-0.301571,6.277437
0.020000,1.682301,5.588438,0.690133,1.302227,1.173164,-0.307679,6.278764
0.020000,1.708812,5.588340,0.716644,1.325565,1.166890,-0.313704,6.280240
0.020000,1.735787,5.588282,0.743620,1.348775,1.160496,-0.319693,6.281873
0.020000,1.763224,5.588270,0.771057,1.371854,1.153985,-0.325563,0.000484
0.020000,1.791120,5.588311,0.798953,1.394802,1.147358,-0.331335,0.002452
0.020000,1.819472,5.588411,0.827305,1.417614,1.140619,-0.336971,0.004600
0.020000,1.848278,5.588576,0.856111,1.440289,1.133771,-0.342410,0.006934
0.020000,1.877533,5.588816,0.885367,1.462826,1.126817,-0.347665,0.009463
0.020000,1.907236,5.589137,0.915072,1.485221,1.119764,-0.352651,0.012194
0.020000,1.937383,5.589549,0.945221,1.507473,1.112618,-0.357324,0.015136
0.020000,1.967970,5.590060,0.975813,1.529581,1.105385,-0.361660,0.018296
0.020000,1.998995,5.590679,1.006844,1.551543,1.098074,-0.365540,0.021684
0.020000,2.030453,5.591418,1.038311,1.573356,1.090696,-0.368887,0.025306
0.020000,2.062342,5.592286,1.070211,1.595022,1.083260,-0.371821,0.029173
0.020000,2.094657,5.593295,1.102542,1.616537,1.075782,-0.373865,0.033291
0.020000,2.124828,5.594361,1.132732,1.509507,-5.351541,-321.366187,0.036698
0.020000,2.150502,5.595607,1.158436,1.285196,-11.215549,-293.200380,0.059800
0.020000,2.177013,5.597519,1.185016,1.329024,2.191435,670.349182,0.084475
0.020000,2.203390,5.600099,1.211519,1.325129,-0.194779,-119.310679,0.110829
0.020000,2.229573,5.603382,1.237908,1.319427,-0.285092,-4.515650,0.138966
0.020000,2.255504,5.607402,1.264148,1.312012,-0.370765,-4.283635,0.168981
0.020000,2.281122,5.612190,1.290209,1.303066,-0.447290,-3.826270,0.200962
0.020000,2.306369,5.617777,1.316067,1.292914,-0.507603,-3.015627,0.234973
0.020000,2.331196,5.624191,1.341710,1.282117,-0.539834,-1.611579,0.271055
0.020000,2.355561,5.631460,1.367135,1.271267,-0.542495,-0.133028,0.309210
0.020000,2.379430,5.639612,1.392359,1.261175,-0.504588,1.895352,0.349393
0.020000,2.402791,5.648680,1.417418,1.252948,-0.411351,4.661841,0.391501
0.020000,2.425644,5.658702,1.442372,1.247707,-0.262082,7.463438,0.435364
0.020000,2.448010,5.669726,1.467307,1.246776,-0.046510,10.778597,0.480743
0.020000,2.469927,5.681813,1.492335,1.251409,0.231640,13.907506,0.527321
0.020000,2.491445,5.695036,1.517592,1.262831,0.571108,16.973420,0.574720
0.020000,2.512626,5.709485,1.543232,1.281977,0.957263,19.307729,0.622504
0.020000,2.533530,5.725261,1.569421,1.309473,1.374828,20.878272,0.670203
0.020000,2.554217,5.742473,1.596332,1.345529,1.802800,21.398567,0.717337
0.020000,2.574733,5.761229,1.624130,1.389900,2.218545,20.787264,0.763437
0.020000,2.595113,5.781634,1.652969,1.441945,2.602245,19.184993,0.808073
0.020000,2.615373,5.803778,1.682982,1.500691,2.937302,16.752850,0.850866
0.020000,2.635519,5.827732,1.714282,1.564973,3.214080,13.838910,0.891507
0.020000,2.655546,5.853545,1.746953,1.633537,3.428225,10.707235,0.929754
0.020000,2.675440,5.881245,1.781056,1.705172,3.581742,7.675876,0.965435
0.020000,2.695189,5.910835,1.816632,1.778781,3.680437,4.934729,0.998439
0.020000,2.714782,5.942303,1.853700,1.853443,3.733124,2.634377,1.028706
0.020000,2.734214,5.975619,1.892269,1.928432,3.749450,0.816255,1.056218
0.020000,2.753488,6.010742,1.932333,2.003200,3.738380,-0.553502,1.080987
0.020000,2.772618,6.047624,1.973882,2.077426,3.711291,-1.354428,1.103045
0.020000,2.791630,6.086213,2.016899,2.150890,3.673225,-1.903298,1.122433
0.020000,2.810561,6.126453,2.061371,2.223568,3.633911,-1.965699,1.139196
0.020000,2.829460,6.168293,2.107281,2.295503,3.596723,-1.859391,1.153376
0.020000,2.848340,6.211570,2.154497,2.360806,3.265171,-16.577631,1.164980
0.020000,2.867138,6.255897,2.202645,2.407377,2.328514,-46.832806,1.173991
0.020000,2.885798,6.300862,2.251328,2.434197,1.341002,-49.375598,1.180447
0.020000,2.904360,6.346259,2.300373,2.452224,0.901350,-21.982600,1.184453
0.020000,2.922912,6.391998,2.349731,2.467899,0.783777,-5.878661,1.186115
0.020000,2.941546,6.438009,2.399372,2.482046,0.707353,-3.821207,1.185519
0.020000,2.960355,6.484228,2.449272,2.495030,0.649174,-2.908940,1.182731
0.020000,2.979436,6.530600,2.499416,2.507175,0.607286,-2.094432,1.177798
0.020000,2.998883,6.577070,2.549791,2.518775,0.579955,-1.366517,1.170749
0.020000,3.018796,6.623589,2.600393,2.530088,0.565696,-0.712949,1.161603
0.020000,3.039272,6.670109,2.651220,2.541327,0.561951,-0.187285,1.150362
0.020000,3.060412,6.716579,2.702273,2.552671,0.567184,0.261648,1.137020
0.020000,3.082319,6.762951,2.753558,2.564256,0.579230,0.602304,1.121564
0.020000,3.105093,6.809167,2.805082,2.576162,0.595291,0.803073,1.103976
0.020000,3.128838,6.855168,2.856850,2.588409,0.612351,0.852968,1.084237
0.020000,3.153656,6.900885,2.908869,2.600947,0.626923,0.728609,1.062330
0.020000,3.179645,6.946240,2.961142,2.613647,0.635009,0.404317,1.038246
0.020000,3.206898,6.991143,3.013668,2.626307,0.632980,-0.101447,1.011987
0.020000,3.235502,7.035490,3.066439,2.638583,0.613787,-0.959643,0.983575
0.020000,3.265530,7.079164,3.119441,2.650073,0.574502,-1.964238,0.953053
0.020000,3.297041,7.122034,3.172645,2.660230,0.507865,-3.331865,0.920498
0.020000,3.330073,7.163952,3.226014,2.668445,0.410775,-4.854531,0.886017
0.020000,3.364640,7.204760,3.279495,2.674018,0.278642,-6.606633,0.849760
0.020000,3.400724,7.244292,3.333019,2.676210,0.109601,-8.452063,0.811916
0.020000,3.438278,7.282377,3.386505,2.674298,-0.095627,-10.261389,0.772718
0.020000,3.477218,7.318848,3.439857,2.667610,-0.334405,-11.938896,0.732433
0.020000,3.517428,7.353547,3.492969,2.655613,-0.599854,-13.272424,0.691360
0.020000,3.558760,7.386336,3.545728,2.637930,-0.884107,-14.212674,0.649820
0.020000,3.601041,7.417100,3.598016,2.614423,-1.175381,-14.563675,0.608140
0.020000,3.644077,7.445754,3.649719,2.585118,-1.465225,-14.492219,0.566646
0.020000,3.687665,7.472247,3.700726,2.550387,-1.736584,-13.567951,0.525643
0.020000,3.731598,7.496563,3.750940,2.510663,-1.986184,-12.479987,0.485413
0.020000,3.775676,7.518719,3.800273,2.466665,-2.199877,-10.684676,0.446197
0.020000,3.819710,7.538762,3.848654,2.419034,-2.381552,-9.083718,0.408197
0.020000,3.861329,7.555909,3.893667,2.250656,-8.418927,-301.868761,0.375058
0.020000,3.895355,7.569155,3.930180,1.825678,-21.248909,-641.499132,0.367514
0.020000,3.928768,7.581886,3.965937,1.787820,-1.892860,967.802462,0.360638
0.020000,3.961563,7.594136,4.000945,1.750391,-1.871454,1.070328,0.354405
0.020000,3.993735,7.605936,4.035212,1.713394,-1.849870,1.079193,0.348791
0.020000,4.025281,7.617317,4.068749,1.676829,-1.828247,1.081111,0.343771
0.020000,4.056200,7.628307,4.101563,1.640695,-1.806698,1.077459,0.339322
0.020000,4.086491,7.638931,4.133663,1.604989,-1.785310,1.069403,0.335418
0.020000,4.116153,7.649214,4.165057,1.569706,-1.764155,1.057783,0.332037
0.020000,4.145188,7.659177,4.195754,1.534840,-1.743284,1.043511,0.329155
0.020000,4.173597,7.668842,4.225761,1.500385,-1.722738,1.027332,0.326748
0.020000,4.201381,7.678226,4.255088,1.466334,-1.702546,1.009596,0.324795
0.020000,4.228544,7.687349,4.283742,1.432680,-1.682727,0.990933,0.323272
0.020000,4.255088,7.696224,4.311730,1.399414,-1.663292,0.971754,0.322158
0.020000,4.281016,7.704867,4.339061,1.366529,-1.644249,0.952158,0.321431
0.020000,4.306332,7.713291,4.365741,1.334017,-1.625598,0.932542,0.321071
0.020000,4.331039,7.721507,4.391778,1.301870,-1.607338,0.913000,0.321057
0.020000,4.355141,7.729526,4.417180,1.270081,-1.589466,0.893626,0.321369
0.020000,4.378644,7.737358,4.441953,1.238642,-1.571975,0.874518,0.321987
0.020000,4.401550,7.745010,4.466104,1.207544,-1.554860,0.855777,0.322891
0.020000,4.423865,7.752491,4.489639,1.176782,-1.538114,0.837289,0.324064
0.020000,4.445594,7.759806,4.512566,1.146347,-1.521731,0.819145,0.325486
0.020000,4.466741,7.766962,4.534891,1.116233,-1.505704,0.801361,0.327140
0.020000,4.487310,7.773963,4.556620,1.086433,-1.490029,0.783735,0.329008
0.020000,4.507309,7.780813,4.577758,1.056939,-1.474701,0.766419,0.331073
0.020000,4.526740,7.787516,4.598313,1.027744,-1.459714,0.749308,0.333317
0.020000,4.545609,7.794074,4.618290,0.998843,-1.445070,0.732216,0.335725
0.020000,4.563923,7.800490,4.637695,0.970228,-1.430764,0.715292,0.338280
0.020000,4.581684,7.806766,4.656532,0.941892,-1.416796,0.698432,0.340967
0.020000,4.598900,7.812901,4.674809,0.913829,-1.403167,0.681432,0.343770
0.020000,4.615576,7.818898,4.692530,0.886031,-1.389876,0.664550,0.346675
0.020000,4.631715,7.824755,4.709699,0.858492,-1.376927,0.647460,0.349666
0.020000,4.647325,7.830474,4.726324,0.831206,-1.364320,0.630318,0.352729
0.020000,4.662409,7.836054,4.742407,0.804165,-1.352060,0.613040,0.355852
0.020000,4.676974,7.841493,4.757954,0.777362,-1.340149,0.595524,0.359019
0.020000,4.691024,7.846791,4.772970,0.750790,-1.328590,0.577966,0.362220
0.020000,4.704564,7.851947,4.787459,0.724442,-1.317386,0.560186,0.365439
0.020000,4.717600,7.856959,4.801425,0.698312,-1.306543,0.542172,0.368667
0.020000,4.730137,7.861825,4.814873,0.672390,-1.296061,0.524084,0.371890
0.020000,4.742179,7.866544,4.827806,0.646671,-1.285946,0.505753,0.375098
0.020000,4.753731,7.871114,4.840229,0.621147,-1.276199,0.487364,0.378279
0.020000,4.764798,7.875532,4.852145,0.595811,-1.266820,0.468913,0.381423
0.020000,4.775384,7.879797,4.863559,0.570655,-1.257824,0.449816,0.384519
0.020000,4.785494,7.883906,4.874472,0.545671,-1.249191,0.431679,0.387559
0.020000,4.795133,7.887857,4.884889,0.520852,-1.240944,0.412342,0.390533
0.020000,4.804304,7.891648,4.894813,0.496191,-1.233066,0.393866,0.393431
0.020000,4.813012,7.895277,4.904246,0.471679,-1.225573,0.374656,0.396246
0.020000,4.821260,7.898741,4.913193,0.447310,-1.218447,0.356321,0.398970
0.020000,4.829053,7.902038,4.921654,0.423076,-1.211713,0.336699,0.401594
0.020000,4.836393,7.905166,4.929633,0.398969,-1.205334,0.318950,0.404112
0.020000,4.843285,7.908123,4.937133,0.374982,-1.199341,0.299624,0.406517
0.020000,4.849732,7.910907,4.944155,0.351108,-1.193720,0.281053,0.408803
0.020000,4.855737,7.913516,4.950702,0.327339,-1.188465,0.262784,0.410963
0.020000,4.861302,7.915948,4.956775,0.303667,-1.183576,0.244457,0.412993
0.020000,4.866430,7.918201,4.962377,0.280086,-1.179047,0.226447,0.414887
0.020000,4.871125,7.920274,4.967509,0.256588,-1.174894,0.207621,0.416640
0.020000,4.875388,7.922165,4.972172,0.233167,-1.171088,0.190295,0.418248
0.020000,4.879221,7.923872,4.976368,0.209814,-1.167627,0.173047,0.419708
0.020000,4.882627,7.925394,4.980099,0.186523,-1.164547,0.154003,0.421016
0.020000,4.885607,7.926730,4.983365,0.163287,-1.161781,0.138327,0.422168
0.020000,4.888162,7.927880,4.986167,0.140099,-1.159400,0.119033,0.423163
0.020000,4.890294,7.928841,4.988506,0.116953,-1.157327,0.103654,0.423997
0.020000,4.892005,7.929614,4.990383,0.093840,-1.155622,0.085244,0.424669
0.020000,4.893294,7.930197,4.991798,0.070755,-1.154257,0.068228,0.425177
