dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992353,5.239000,0.000130,0.012998,0.649908,32.495406,0.000066
0.020000,0.992353,5.239000,0.000650,0.038994,1.299816,32.495406,0.000032
0.020000,0.992897,5.239000,0.001690,0.064991,1.299816,0.000000,6.283150
0.020000,0.994457,5.239000,0.003250,0.090987,1.299816,0.000000,6.283049
0.020000,0.996536,5.238999,0.005329,0.116983,1.299816,0.000000,6.282914
0.020000,0.999136,5.238999,0.007929,0.142980,1.299816,0.000000,6.282747
0.020000,1.002256,5.238997,0.011048,0.168976,1.299816,0.000000,6.282549
0.020000,1.005895,5.238994,0.014688,0.194972,1.299816,-0.000000,6.282319
0.020000,1.010054,5.238990,0.018847,0.220969,1.299816,0.000000,6.282059
0.020000,1.014734,5.238984,0.023527,0.246965,1.299816,-0.000000,6.281770
0.020000,1.019933,5.238976,0.028726,0.272961,1.299816,0.000000,6.281454
0.020000,1.025652,5.238965,0.034445,0.298958,1.299816,-0.000000,6.281111
0.020000,1.031891,5.238951,0.040684,0.324954,1.299816,0.000000,6.280743
0.020000,1.038650,5.238933,0.047443,0.350950,1.299816,0.000000,6.280352
0.020000,1.045929,5.238911,0.054722,0.376947,1.299816,0.000000,6.279940
0.020000,1.053728,5.238884,0.062521,0.402943,1.299816,0.000000,6.279509
0.020000,1.062047,5.238851,0.070840,0.428939,1.299816,0.000000,6.279060
0.020000,1.070886,5.238813,0.079679,0.454936,1.299816,0.000000,6.278596
0.020000,1.080244,5.238768,0.089037,0.480932,1.299816,0.000000,6.278119
0.020000,1.090123,5.238715,0.098916,0.506928,1.299816,0.000000,6.277632
0.020000,1.100521,5.238655,0.109315,0.532925,1.299816,0.000000,6.277138
0.020000,1.111439,5.238586,0.120233,0.558921,1.299816,0.000000,6.276638
0.020000,1.122877,5.238508,0.131671,0.584917,1.299816,0.000000,6.276137
0.020000,1.134835,5.238421,0.143630,0.610914,1.299816,0.000000,6.275636
0.020000,1.147313,5.238324,0.156108,0.636910,1.299816,0.000000,6.275140
0.020000,1.160311,5.238216,0.169106,0.662906,1.299816,0.000000,6.274651
0.020000,1.173828,5.238097,0.182624,0.688903,1.299816,0.000000,6.274174
0.020000,1.187866,5.237968,0.196662,0.714899,1.299816,0.000000,6.273711
0.020000,1.202423,5.237826,0.211220,0.740895,1.299816,0.000000,6.273266
0.020000,1.217500,5.237674,0.226298,0.766892,1.299816,-0.000000,6.272844
0.020000,1.233097,5.237509,0.241896,0.792888,1.299816,0.000000,6.272448
0.020000,1.249214,5.237333,0.258014,0.818884,1.299816,-0.000000,6.272082
0.020000,1.265850,5.237146,0.274651,0.844881,1.299816,0.000000,6.271751
0.020000,1.283007,5.236947,0.291809,0.870877,1.299816,0.000000,6.271459
0.020000,1.300683,5.236737,0.309486,0.896873,1.299816,0.000000,6.271211
0.020000,1.318879,5.236517,0.327684,0.922870,1.299816,-0.000000,6.271011
0.020000,1.337595,5.236288,0.346401,0.948866,1.299816,0.000000,6.270864
0.020000,1.356831,5.236050,0.365638,0.974862,1.299816,-0.000000,6.270776
0.020000,1.376587,5.235805,0.385396,1.000859,1.299816,0.000000,6.270751
0.020000,1.396862,5.235553,0.405673,1.026855,1.299816,0.000000,6.270794
0.020000,1.417658,5.235296,0.426470,1.052851,1.299816,0.000000,6.270911
0.020000,1.438973,5.235036,0.447787,1.078847,1.299816,0.000000,6.271108
0.020000,1.460809,5.234776,0.469624,1.104844,1.299816,0.000000,6.271390
0.020000,1.483164,5.234516,0.491980,1.130840,1.299816,0.000000,6.271763
0.020000,1.506039,5.234260,0.514857,1.156836,1.299816,0.000000,6.272233
0.020000,1.529435,5.234010,0.538254,1.182833,1.299816,0.000000,6.272805
0.020000,1.553350,5.233770,0.562171,1.208829,1.299816,0.000000,6.273487
0.020000,1.577785,5.233542,0.586607,1.234825,1.299816,0.000000,6.274285
0.020000,1.602741,5.233332,0.611564,1.260822,1.299816,0.000000,6.275205
0.020000,1.628217,5.233141,0.637040,1.286818,1.299816,0.000000,6.276253
0.020000,1.654212,5.232976,0.663036,1.312814,1.299816,-0.000000,6.277437
0.020000,1.680728,5.232841,0.689553,1.338811,1.299816,0.000000,6.278764
0.020000,1.707764,5.232741,0.716589,1.364807,1.299816,-0.000000,6.280240
