dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992376,4.883400,0.000125,0.012497,0.624862,31.243103,0.000067
0.020000,0.992365,4.883400,0.000137,0.000580,-0.595857,-61.035956,0.000034
0.020000,0.992821,4.883400,0.000593,0.022798,1.110897,85.337692,6.283154
0.020000,0.994286,4.883400,0.002058,0.073252,2.522710,70.590674,6.283057
0.020000,0.996239,4.883399,0.004011,0.097680,1.221401,-65.065452,6.282928
0.020000,0.998682,4.883399,0.006454,0.122117,1.221856,0.022738,6.282767
0.020000,1.001613,4.883397,0.009385,0.146566,1.222424,0.028423,6.282576
0.020000,1.005034,4.883395,0.012805,0.171028,1.223107,0.034108,6.282354
0.020000,1.008944,4.883391,0.016716,0.195506,1.223903,0.039794,6.282104
0.020000,1.013344,4.883386,0.021116,0.220002,1.224812,0.045478,6.281826
0.020000,1.018234,4.883378,0.026006,0.244519,1.225835,0.051167,6.281521
0.020000,1.023615,4.883368,0.031387,0.269058,1.226972,0.056850,6.281190
0.020000,1.029488,4.883356,0.037260,0.293623,1.228223,0.062538,6.280835
0.020000,1.035852,4.883339,0.043624,0.318215,1.229588,0.068225,6.280457
0.020000,1.042709,4.883319,0.050481,0.342836,1.231066,0.073912,6.280059
0.020000,1.050058,4.883295,0.057830,0.367489,1.232658,0.079592,6.279641
0.020000,1.057902,4.883265,0.065674,0.392176,1.234364,0.085289,6.279206
0.020000,1.066240,4.883230,0.074012,0.416900,1.236183,0.090968,6.278756
0.020000,1.075073,4.883189,0.082845,0.441662,1.238116,0.096646,6.278292
0.020000,1.084402,4.883141,0.092174,0.466466,1.240163,0.102346,6.277818
0.020000,1.094228,4.883086,0.102001,0.491312,1.242323,0.108006,6.277336
0.020000,1.104552,4.883023,0.112325,0.516204,1.244597,0.113714,6.276848
0.020000,1.115375,4.882952,0.123148,0.541144,1.246984,0.119368,6.276356
0.020000,1.126697,4.882872,0.134470,0.566133,1.249486,0.125071,6.275865
0.020000,1.138520,4.882782,0.146294,0.591175,1.252101,0.130739,6.275376
0.020000,1.150845,4.882683,0.158619,0.616272,1.254829,0.136402,6.274893
0.020000,1.163673,4.882574,0.171448,0.641425,1.257671,0.142094,6.274419
0.020000,1.177006,4.882454,0.184781,0.666638,1.260626,0.147773,6.273957
0.020000,1.190843,4.882323,0.198619,0.691912,1.263694,0.153423,6.273511
0.020000,1.205187,4.882181,0.212964,0.717249,1.266877,0.159124,6.273084
0.020000,1.220040,4.882028,0.227817,0.742653,1.270172,0.164773,6.272680
0.020000,1.235401,4.881863,0.243179,0.768124,1.273581,0.170452,6.272303
0.020000,1.251274,4.881688,0.259053,0.793667,1.277104,0.176139,6.271956
0.020000,1.267658,4.881501,0.275438,0.819281,1.280740,0.181801,6.271645
0.020000,1.284557,4.881304,0.292338,0.844971,1.284490,0.187472,6.271373
0.020000,1.301970,4.881096,0.309752,0.870738,1.288353,0.193167,6.271144
0.020000,1.319900,4.880878,0.327684,0.896585,1.292330,0.198834,6.270963
0.020000,1.338349,4.880652,0.346134,0.922513,1.296420,0.204534,6.270835
0.020000,1.357318,4.880417,0.365105,0.948526,1.300625,0.210216,6.270763
0.020000,1.376809,4.880174,0.384597,0.974625,1.304943,0.215917,6.270754
0.020000,1.396824,4.879926,0.404614,1.000812,1.309375,0.221616,6.270812
0.020000,1.417364,4.879673,0.425155,1.027091,1.313922,0.227327,6.270943
0.020000,1.438432,4.879417,0.446225,1.053462,1.318583,0.233038,6.271151
0.020000,1.460029,4.879160,0.467823,1.079929,1.323358,0.238759,6.271441
0.020000,1.482157,4.878904,0.489953,1.106494,1.328248,0.244484,6.271820
0.020000,1.504819,4.878652,0.512616,1.133159,1.333252,0.250211,6.272293
0.020000,1.528017,4.878406,0.535815,1.159927,1.338370,0.255934,6.272865
0.020000,1.551751,4.878169,0.559551,1.186799,1.343604,0.261670,6.273544
0.020000,1.576026,4.877944,0.583826,1.213778,1.348951,0.267381,6.274333
