dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.760000,2.887000,0.000079,0.007937,0.396825,19.841270,3.139817
0.020000,14.760000,2.887000,0.000397,0.023810,0.793651,19.841270,3.139942
0.020000,14.760000,2.887000,0.001111,0.047619,1.190476,19.841270,3.140222
0.020000,14.760000,2.887000,0.002302,0.071429,1.190476,0.000000,3.140690
0.020000,14.760000,2.887000,0.003968,0.095238,1.190476,0.000000,3.141344
0.020000,14.758489,2.887000,0.006111,0.119048,1.190476,0.000000,3.142186
0.020000,14.755871,2.886997,0.008730,0.142857,1.190476,-0.000000,3.143216
0.020000,14.752775,2.886990,0.011825,0.166667,1.190476,0.000000,3.144435
0.020000,14.749204,2.886977,0.015397,0.190476,1.190476,0.000000,3.145844
0.020000,14.745156,2.886957,0.019444,0.214286,1.190476,0.000000,3.147443
0.020000,14.740633,2.886926,0.023968,0.238095,1.190476,-0.000000,3.149233
0.020000,14.735633,2.886883,0.028968,0.261905,1.190476,0.000000,3.151216
0.020000,14.730157,2.886824,0.034444,0.285714,1.190476,-0.000000,3.153393
0.020000,14.724205,2.886747,0.040397,0.309524,1.190476,0.000000,3.155764
0.020000,14.717777,2.886648,0.046825,0.333333,1.190476,-0.000000,3.158332
0.020000,14.710874,2.886523,0.053730,0.357143,1.190476,0.000000,3.161099
0.020000,14.703494,2.886368,0.061111,0.380952,1.190476,-0.000000,3.164064
0.020000,14.695640,2.886179,0.068968,0.404762,1.190476,0.000000,3.167231
0.020000,14.687310,2.885951,0.077302,0.428571,1.190476,0.000000,3.170601
0.020000,14.678504,2.885680,0.086111,0.452381,1.190476,-0.000000,3.174175
0.020000,14.669224,2.885360,0.095397,0.476190,1.190476,0.000000,3.177957
0.020000,14.659469,2.884985,0.105159,0.500000,1.190476,-0.000000,3.181947
0.020000,14.649240,2.884551,0.115397,0.523810,1.190476,0.000000,3.186148
0.020000,14.638538,2.884050,0.126111,0.547619,1.190476,-0.000000,3.190562
0.020000,14.627362,2.883476,0.137302,0.571429,1.190476,0.000000,3.195191
0.020000,14.615714,2.882823,0.148968,0.595238,1.190476,0.000000,3.200037
0.020000,14.603593,2.882083,0.161111,0.619048,1.190476,0.000000,3.205103
0.020000,14.591002,2.881249,0.173730,0.642857,1.190476,0.000000,3.210390
0.020000,14.577940,2.880313,0.186825,0.666667,1.190476,-0.000000,3.215901
0.020000,14.564409,2.879267,0.200397,0.690476,1.190476,0.000000,3.221637
0.020000,14.550410,2.878102,0.214444,0.714286,1.190476,-0.000000,3.227601
0.020000,14.535944,2.876809,0.228968,0.738095,1.190476,0.000000,3.233796
0.020000,14.521012,2.875380,0.243968,0.761905,1.190476,-0.000000,3.240222
0.020000,14.505616,2.873805,0.259444,0.785714,1.190476,0.000000,3.246882
0.020000,14.489758,2.872074,0.275397,0.809524,1.190476,-0.000000,3.253778
0.020000,14.473439,2.870177,0.291825,0.833333,1.190476,0.000000,3.260910
0.020000,14.456662,2.868102,0.308730,0.857143,1.190476,-0.000000,3.268281
0.020000,14.439429,2.865841,0.326111,0.880952,1.190476,-0.000000,3.275891
0.020000,14.421743,2.863380,0.343968,0.904762,1.190476,0.000000,3.283742
0.020000,14.403605,2.860710,0.362302,0.928571,1.190476,-0.000000,3.291833
0.020000,14.385019,2.857817,0.381111,0.952381,1.190476,0.000000,3.300166
0.020000,14.365989,2.854690,0.400397,0.976190,1.190476,-0.000000,3.308740
0.020000,14.346517,2.851317,0.420159,1.000000,1.190476,0.000000,3.317555
0.020000,14.326608,2.847684,0.440397,1.023810,1.190476,0.000000,3.326610
0.020000,14.306265,2.843778,0.461111,1.047619,1.190476,-0.000000,3.335904
0.020000,14.285493,2.839588,0.482302,1.071429,1.190476,0.000000,3.345434
