dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.266972,7.958629,0.000124,0.012435,0.621750,31.087517,0.010068
0.020000,0.266977,7.958629,0.000129,0.000236,-0.609956,-61.585300,0.010055
0.020000,0.267041,7.958630,0.000193,0.003209,0.148639,37.929732,0.010028
0.020000,0.268548,7.958645,0.001700,0.075317,3.605408,172.838428,0.009989
0.020000,0.270556,7.958665,0.003708,0.100421,1.255228,-117.508958,0.009936
0.020000,0.273066,7.958690,0.006219,0.125525,1.255183,-0.002267,0.009870
0.020000,0.276079,7.958720,0.009231,0.150628,1.255127,-0.002779,0.009791
0.020000,0.279593,7.958754,0.012746,0.175729,1.255060,-0.003381,0.009698
0.020000,0.283609,7.958793,0.016762,0.200828,1.254982,-0.003885,0.009593
0.020000,0.288128,7.958836,0.021281,0.225926,1.254892,-0.004518,0.009475
0.020000,0.293148,7.958883,0.026301,0.251022,1.254791,-0.005027,0.009345
0.020000,0.298670,7.958934,0.031823,0.276116,1.254679,-0.005610,0.009202
0.020000,0.304694,7.958989,0.037848,0.301207,1.254556,-0.006147,0.009046
0.020000,0.311220,7.959048,0.044374,0.326295,1.254422,-0.006730,0.008878
0.020000,0.318247,7.959109,0.051401,0.351381,1.254276,-0.007273,0.008698
0.020000,0.325776,7.959174,0.058930,0.376463,1.254119,-0.007867,0.008506
0.020000,0.333806,7.959242,0.066961,0.401542,1.253951,-0.008390,0.008302
0.020000,0.342339,7.959312,0.075494,0.426618,1.253771,-0.008975,0.008087
0.020000,0.351372,7.959384,0.084527,0.451689,1.253581,-0.009514,0.007861
0.020000,0.360907,7.959457,0.094063,0.476757,1.253379,-0.010102,0.007623
0.020000,0.370943,7.959533,0.104099,0.501820,1.253166,-0.010654,0.007374
0.020000,0.381480,7.959609,0.114636,0.526879,1.252942,-0.011186,0.007115
0.020000,0.392519,7.959686,0.125675,0.551933,1.252706,-0.011799,0.006846
0.020000,0.404058,7.959763,0.137215,0.576982,1.252460,-0.012335,0.006566
0.020000,0.416098,7.959841,0.149255,0.602026,1.252202,-0.012872,0.006276
0.020000,0.428639,7.959918,0.161797,0.627065,1.251932,-0.013483,0.005978
0.020000,0.441681,7.959993,0.174839,0.652098,1.251652,-0.014017,0.005669
0.020000,0.455223,7.960068,0.188381,0.677125,1.251361,-0.014569,0.005353
0.020000,0.469266,7.960141,0.202424,0.702146,1.251058,-0.015159,0.005027
0.020000,0.483809,7.960212,0.216967,0.727161,1.250744,-0.015702,0.004694
0.020000,0.498853,7.960280,0.232011,0.752170,1.250418,-0.016272,0.004352
0.020000,0.514396,7.960345,0.247554,0.777171,1.250082,-0.016829,0.004003
0.020000,0.530439,7.960406,0.263597,0.802166,1.249734,-0.017388,0.003648
0.020000,0.546982,7.960463,0.280140,0.827153,1.249374,-0.017966,0.003285
0.020000,0.564025,7.960516,0.297183,0.852133,1.249004,-0.018514,0.002917
0.020000,0.581567,7.960564,0.314725,0.877106,1.248622,-0.019085,0.002542
0.020000,0.599608,7.960606,0.332767,0.902071,1.248230,-0.019641,0.002163
0.020000,0.618148,7.960643,0.351307,0.927027,1.247826,-0.020208,0.001778
0.020000,0.637188,7.960673,0.370347,0.951975,1.247410,-0.020763,0.001389
0.020000,0.656726,7.960696,0.389885,0.976915,1.246984,-0.021332,0.000997
0.020000,0.676763,7.960712,0.409922,1.001846,1.246546,-0.021898,0.000600
0.020000,0.697299,7.960721,0.430457,1.026768,1.246097,-0.022450,0.000201
0.020000,0.718332,7.960721,0.451491,1.051680,1.245636,-0.023018,6.282985
0.020000,0.739864,7.960712,0.473023,1.076584,1.245165,-0.023578,6.282581
0.020000,0.761893,7.960694,0.495052,1.101477,1.244682,-0.024141,6.282177
0.020000,0.784421,7.960667,0.517579,1.126361,1.244188,-0.024702,6.281771
0.020000,0.807445,7.960630,0.540604,1.151235,1.243683,-0.025263,6.281365
0.020000,0.830967,7.960582,0.564126,1.176098,1.243166,-0.025826,6.280960
0.020000,0.854986,7.960524,0.588145,1.200951,1.242638,-0.026387,6.280556
0.020000,0.879502,7.960454,0.612661,1.225793,1.242099,-0.026948,6.280153
0.020000,0.904514,7.960373,0.637673,1.250624,1.241549,-0.027509,6.279752
0.020000,0.930023,7.960281,0.663182,1.275444,1.240988,-0.028070,6.279354
0.020000,0.956028,7.960176,0.689187,1.300252,1.240415,-0.028631,6.278960
0.020000,0.982528,7.960059,0.715688,1.325049,1.239831,-0.029192,6.278570
0.020000,1.009525,7.959929,0.742685,1.349833,1.239236,-0.029752,6.278184
0.020000,1.037017,7.959786,0.770177,1.374606,1.238630,-0.030314,6.277804
0.020000,1.065003,7.959630,0.798164,1.399366,1.238013,-0.030872,6.277431
0.020000,1.093485,7.959461,0.826647,1.424114,1.237384,-0.031434,6.277064
0.020000,1.122462,7.959279,0.855624,1.448849,1.236744,-0.031992,6.276705
0.020000,1.151932,7.959082,0.885095,1.473571,1.236093,-0.032556,6.276354
0.020000,1.181897,7.958873,0.915061,1.498279,1.235431,-0.033111,6.276012
0.020000,1.212356,7.958649,0.945520,1.522974,1.234757,-0.033676,6.275680
0.020000,1.243308,7.958412,0.976473,1.547656,1.234073,-0.034230,6.275358
0.020000,1.274754,7.958161,1.007920,1.572323,1.233377,-0.034796,6.275048
0.020000,1.306692,7.957896,1.039859,1.596977,1.232670,-0.035352,6.274750
0.020000,1.339123,7.957618,1.072291,1.621616,1.231951,-0.035912,6.274466
0.020000,1.372047,7.957326,1.105216,1.646240,1.231222,-0.036474,6.274194
0.020000,1.405462,7.957021,1.138633,1.670850,1.230481,-0.037033,6.273938
0.020000,1.439370,7.956704,1.172542,1.695444,1.229729,-0.037593,6.273697
0.020000,1.473768,7.956373,1.206943,1.720024,1.228966,-0.038154,6.273473
0.020000,1.508659,7.956031,1.241834,1.744588,1.228192,-0.038714,6.273265
0.020000,1.544039,7.955676,1.277217,1.769136,1.227407,-0.039273,6.273076
0.020000,1.579911,7.955310,1.313090,1.793668,1.226610,-0.039837,6.272906
