dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.270553,7.603047,0.000124,0.012435,0.621750,31.087517,0.010068
0.020000,0.270553,7.603047,0.000622,0.037305,1.243501,31.087517,0.010055
0.020000,0.270607,7.603048,0.001617,0.062175,1.243501,0.000000,0.010028
0.020000,0.272099,7.603063,0.003109,0.087045,1.243501,-0.000000,0.009989
0.020000,0.274089,7.603083,0.005098,0.111915,1.243501,0.000000,0.009936
0.020000,0.276576,7.603107,0.007585,0.136785,1.243501,0.000000,0.009870
0.020000,0.279560,7.603137,0.010570,0.161655,1.243501,0.000000,0.009791
0.020000,0.283042,7.603171,0.014052,0.186525,1.243501,-0.000000,0.009698
0.020000,0.287021,7.603209,0.018031,0.211395,1.243501,0.000000,0.009593
0.020000,0.291497,7.603252,0.022507,0.236265,1.243501,0.000000,0.009475
0.020000,0.296471,7.603298,0.027481,0.261135,1.243501,0.000000,0.009345
0.020000,0.301942,7.603349,0.032953,0.286005,1.243501,0.000000,0.009202
0.020000,0.307911,7.603404,0.038922,0.310875,1.243501,-0.000000,0.009046
0.020000,0.314377,7.603462,0.045388,0.335745,1.243501,0.000000,0.008878
0.020000,0.321340,7.603523,0.052351,0.360615,1.243501,-0.000000,0.008698
0.020000,0.328801,7.603587,0.059812,0.385485,1.243501,0.000000,0.008506
0.020000,0.336759,7.603654,0.067771,0.410355,1.243501,-0.000000,0.008302
0.020000,0.345214,7.603723,0.076227,0.435225,1.243501,0.000000,0.008087
0.020000,0.354167,7.603795,0.085180,0.460095,1.243501,0.000000,0.007861
0.020000,0.363618,7.603868,0.094630,0.484965,1.243501,-0.000000,0.007623
0.020000,0.373565,7.603942,0.104578,0.509835,1.243501,0.000000,0.007374
0.020000,0.384010,7.604018,0.115024,0.534705,1.243501,-0.000000,0.007115
0.020000,0.394953,7.604094,0.125967,0.559575,1.243501,0.000000,0.006846
0.020000,0.406393,7.604171,0.137407,0.584445,1.243501,0.000000,0.006566
0.020000,0.418330,7.604248,0.149344,0.609315,1.243501,0.000000,0.006276
0.020000,0.430765,7.604324,0.161779,0.634185,1.243501,-0.000000,0.005978
0.020000,0.443697,7.604399,0.174712,0.659055,1.243501,0.000000,0.005669
0.020000,0.457127,7.604473,0.188142,0.683925,1.243501,0.000000,0.005353
0.020000,0.471054,7.604545,0.202069,0.708795,1.243501,-0.000000,0.005027
0.020000,0.485478,7.604616,0.216493,0.733665,1.243501,0.000000,0.004694
0.020000,0.500400,7.604683,0.231415,0.758535,1.243501,0.000000,0.004352
0.020000,0.515819,7.604747,0.246835,0.783405,1.243501,0.000000,0.004003
0.020000,0.531736,7.604808,0.262752,0.808275,1.243501,-0.000000,0.003648
0.020000,0.548150,7.604865,0.279166,0.833145,1.243501,-0.000000,0.003285
0.020000,0.565062,7.604918,0.296078,0.858015,1.243501,0.000000,0.002917
0.020000,0.582471,7.604965,0.313487,0.882885,1.243501,-0.000000,0.002542
0.020000,0.600377,7.605007,0.331393,0.907755,1.243501,0.000000,0.002163
0.020000,0.618781,7.605044,0.349797,0.932626,1.243501,-0.000000,0.001778
0.020000,0.637682,7.605074,0.368698,0.957496,1.243501,0.000000,0.001389
0.020000,0.657081,7.605097,0.388097,0.982366,1.243501,-0.000000,0.000997
0.020000,0.676977,7.605113,0.407993,1.007236,1.243501,0.000000,0.000600
0.020000,0.697370,7.605121,0.428386,1.032106,1.243501,-0.000000,0.000201
0.020000,0.718261,7.605121,0.449277,1.056976,1.243501,0.000000,6.282985
0.020000,0.739649,7.605112,0.470665,1.081846,1.243501,-0.000000,6.282581
0.020000,0.761535,7.605094,0.492551,1.106716,1.243501,0.000000,6.282177
0.020000,0.783918,7.605067,0.514934,1.131586,1.243501,0.000000,6.281771
0.020000,0.806798,7.605030,0.537814,1.156456,1.243501,0.000000,6.281365
0.020000,0.830176,7.604983,0.561192,1.181326,1.243501,-0.000000,6.280960
0.020000,0.854051,7.604925,0.585067,1.206196,1.243501,0.000000,6.280556
0.020000,0.878423,7.604856,0.609440,1.231066,1.243501,-0.000000,6.280153
0.020000,0.903293,7.604776,0.634310,1.255936,1.243501,0.000000,6.279752
0.020000,0.928661,7.604683,0.659677,1.280806,1.243501,0.000000,6.279354
0.020000,0.954525,7.604579,0.685542,1.305676,1.243501,0.000000,6.278960
0.020000,0.980887,7.604463,0.711904,1.330546,1.243501,0.000000,6.278570
0.020000,1.007746,7.604333,0.738764,1.355416,1.243501,0.000000,6.278184
0.020000,1.035103,7.604191,0.766121,1.380286,1.243501,-0.000000,6.277804
0.020000,1.062957,7.604036,0.793975,1.405156,1.243501,0.000000,6.277431
0.020000,1.091308,7.603868,0.822327,1.430026,1.243501,-0.000000,6.277064
0.020000,1.120157,7.603686,0.851176,1.454896,1.243501,0.000000,6.276705
0.020000,1.149503,7.603491,0.880523,1.479766,1.243501,0.000000,6.276354
0.020000,1.179346,7.603282,0.910367,1.504636,1.243501,0.000000,6.276012
0.020000,1.209687,7.603059,0.940708,1.529506,1.243501,-0.000000,6.275680
0.020000,1.240525,7.602822,0.971547,1.554376,1.243501,0.000000,6.275358
0.020000,1.271860,7.602572,1.002883,1.579246,1.243501,-0.000000,6.275048
0.020000,1.303693,7.602309,1.034717,1.604116,1.243501,0.000000,6.274750
0.020000,1.336022,7.602031,1.067048,1.628986,1.243501,0.000000,6.274466
0.020000,1.368849,7.601740,1.099876,1.653856,1.243501,0.000000,6.274194
0.020000,1.402174,7.601436,1.133202,1.678726,1.243501,0.000000,6.273938
0.020000,1.435996,7.601120,1.167025,1.703596,1.243501,-0.000000,6.273697
0.020000,1.470315,7.600790,1.201346,1.728466,1.243501,-0.000000,6.273473
0.020000,1.505131,7.600448,1.236164,1.753336,1.243501,0.000000,6.273265
0.020000,1.540445,7.600094,1.271479,1.778206,1.243501,0.000000,6.273076
0.020000,1.576256,7.599729,1.307292,1.803076,1.243501,-0.000000,6.272906
0.020000,1.612564,7.599353,1.343602,1.827946,1.243501,0.000000,6.272755
0.020000,1.649370,7.598967,1.380410,1.852816,1.243501,0.000000,6.272626
0.020000,1.686672,7.598571,1.417715,1.877686,1.243501,0.000000,6.272518
0.020000,1.724473,7.598166,1.455518,1.902556,1.243501,-0.000000,6.272433
0.020000,1.762770,7.597753,1.493817,1.927426,1.243501,0.000000,6.272372
0.020000,1.801565,7.597333,1.532615,1.952296,1.243501,-0.000000,6.272335
0.020000,1.838423,7.596925,1.571909,1.977166,1.243501,0.000000,6.269836
0.020000,1.878205,7.596078,1.611701,2.002036,1.243501,-0.000000,6.254021
0.020000,1.918466,7.594584,1.651991,2.026906,1.243501,0.000000,6.238188
0.020000,1.959196,7.592426,1.692777,2.051776,1.243501,-0.000000,6.222367
0.020000,2.000382,7.589591,1.734062,2.076646,1.243501,0.000000,6.206590
0.020000,2.042014,7.586066,1.775843,2.101516,1.243501,-0.000000,6.190889
0.020000,2.084081,7.581840,1.818122,2.126386,1.243501,0.000000,6.175296
0.020000,2.126571,7.576905,1.860899,2.151256,1.243501,0.000000,6.159846
0.020000,2.169474,7.571252,1.904173,2.176126,1.243501,0.000000,6.144572
0.020000,2.212778,7.564876,1.947944,2.200996,1.243501,0.000000,6.129506
0.020000,2.256473,7.557774,1.992212,2.225866,1.243501,0.000000,6.114682
0.020000,2.300548,7.549944,2.036978,2.250736,1.243501,0.000000,6.100133
0.020000,2.344995,7.541386,2.082242,2.275606,1.243501,0.000000,6.085891
0.020000,2.389804,7.532103,2.128003,2.300476,1.243501,-0.000000,6.071986
0.020000,2.434967,7.522098,2.174261,2.325346,1.243501,-0.000000,6.058451
0.020000,2.480476,7.511377,2.221017,2.350216,1.243501,0.000000,6.045313
0.020000,2.526326,7.499949,2.268270,2.375086,1.243501,0.000000,6.032602
0.020000,2.572511,7.487823,2.316020,2.399956,1.243501,-0.000000,6.020345
0.020000,2.619026,7.475011,2.364268,2.424826,1.243501,0.000000,6.008567
0.020000,2.665869,7.461525,2.413013,2.449696,1.243501,0.000000,5.997295
0.020000,2.713036,7.447382,2.462256,2.474566,1.243501,-0.000000,5.986551
0.020000,2.760528,7.432598,2.511996,2.499436,1.243501,0.000000,5.976360
0.020000,2.808345,7.417192,2.562233,2.524306,1.243501,-0.000000,5.966742
0.020000,2.856488,7.401184,2.612968,2.549176,1.243501,0.000000,5.957720
0.020000,2.904960,7.384596,2.664200,2.574046,1.243501,0.000000,5.949313
0.020000,2.953766,7.367451,2.715930,2.598916,1.243501,0.000000,5.941541
0.020000,3.002911,7.349775,2.768157,2.623786,1.243501,0.000000,5.934424
0.020000,3.052401,7.331595,2.820881,2.648656,1.243501,0.000000,5.927980
