dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.274133,7.247465,0.000124,0.012435,0.621750,31.087517,0.010068
0.020000,0.274128,7.247465,0.000129,0.000236,-0.609956,-61.585300,0.010055
0.020000,0.274173,7.247466,0.000174,0.002266,0.101483,35.571916,0.010028
0.020000,0.275651,7.247481,0.001652,0.073903,3.581885,174.020137,0.009989
0.020000,0.277622,7.247500,0.003623,0.098539,1.231773,-117.505599,0.009936
0.020000,0.280085,7.247525,0.006087,0.123175,1.231818,0.002214,0.009870
0.020000,0.283042,7.247554,0.009043,0.147813,1.231874,0.002822,0.009791
0.020000,0.286490,7.247587,0.012492,0.172451,1.231941,0.003341,0.009698
0.020000,0.290432,7.247625,0.016434,0.197092,1.232020,0.003956,0.009593
0.020000,0.294867,7.247668,0.020869,0.221734,1.232109,0.004445,0.009475
0.020000,0.299794,7.247714,0.025796,0.246378,1.232210,0.005055,0.009345
0.020000,0.305214,7.247764,0.031217,0.271025,1.232322,0.005594,0.009202
0.020000,0.311127,7.247818,0.037130,0.295674,1.232446,0.006177,0.009046
0.020000,0.317534,7.247876,0.043537,0.320325,1.232580,0.006716,0.008878
0.020000,0.324433,7.247936,0.050436,0.344980,1.232726,0.007294,0.008698
0.020000,0.331825,7.248000,0.057829,0.369637,1.232882,0.007823,0.008506
0.020000,0.339711,7.248066,0.065715,0.394298,1.233051,0.008420,0.008302
0.020000,0.348090,7.248135,0.074094,0.418963,1.233230,0.008958,0.008087
0.020000,0.356962,7.248206,0.082967,0.443631,1.233421,0.009541,0.007861
0.020000,0.366328,7.248278,0.092333,0.468304,1.233622,0.010076,0.007623
0.020000,0.376188,7.248352,0.102192,0.492980,1.233835,0.010646,0.007374
0.020000,0.386541,7.248427,0.112546,0.517662,1.234060,0.011237,0.007115
0.020000,0.397387,7.248503,0.123393,0.542348,1.234295,0.011748,0.006846
0.020000,0.408728,7.248579,0.134733,0.567038,1.234541,0.012335,0.006566
0.020000,0.420562,7.248655,0.146568,0.591734,1.234800,0.012921,0.006276
0.020000,0.432891,7.248730,0.158897,0.616436,1.235069,0.013434,0.005978
0.020000,0.445713,7.248805,0.171720,0.641143,1.235349,0.014024,0.005669
0.020000,0.459030,7.248878,0.185037,0.665856,1.235641,0.014596,0.005353
0.020000,0.472841,7.248950,0.198848,0.690574,1.235944,0.015131,0.005027
0.020000,0.487147,7.249020,0.213154,0.715300,1.236258,0.015712,0.004694
0.020000,0.501948,7.249086,0.227955,0.740031,1.236583,0.016266,0.004352
0.020000,0.517243,7.249150,0.243250,0.764770,1.236920,0.016834,0.004003
0.020000,0.533033,7.249211,0.259041,0.789515,1.237268,0.017400,0.003648
0.020000,0.549318,7.249267,0.275326,0.814267,1.237627,0.017946,0.003285
0.020000,0.566099,7.249319,0.292106,0.839027,1.237997,0.018523,0.002917
0.020000,0.583375,7.249366,0.309382,0.863795,1.238379,0.019077,0.002542
0.020000,0.601146,7.249408,0.327154,0.888570,1.238772,0.019646,0.002163
0.020000,0.619413,7.249444,0.345421,0.913354,1.239176,0.020204,0.001778
0.020000,0.638176,7.249474,0.364184,0.938146,1.239591,0.020773,0.001389
0.020000,0.657435,7.249497,0.383443,0.962946,1.240018,0.021328,0.000997
0.020000,0.677190,7.249513,0.403198,0.987755,1.240456,0.021887,0.000600
0.020000,0.697442,7.249521,0.423449,1.012573,1.240905,0.022460,0.000201
0.020000,0.718190,7.249521,0.444197,1.037401,1.241365,0.023015,6.282985
0.020000,0.739434,7.249512,0.465442,1.062237,1.241837,0.023579,6.282581
0.020000,0.761176,7.249495,0.487184,1.087084,1.242319,0.024140,6.282177
0.020000,0.783415,7.249468,0.509422,1.111940,1.242813,0.024702,6.281771
0.020000,0.806151,7.249431,0.532159,1.136806,1.243319,0.025265,6.281365
