dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452472,7.952600,0.000129,0.012873,0.643635,32.181771,6.283127
0.020000,0.452465,7.952600,0.000136,0.000364,-0.625415,-63.452523,6.283148
0.020000,0.452534,7.952600,0.000205,0.003430,0.153304,38.935940,0.000003
0.020000,0.454056,7.952600,0.001728,0.076145,3.635713,174.120438,0.000065
0.020000,0.456087,7.952600,0.003758,0.101528,1.269179,-118.326676,0.000146
0.020000,0.458625,7.952601,0.006296,0.126914,1.269263,0.004201,0.000248
0.020000,0.461671,7.952602,0.009342,0.152301,1.269371,0.005399,0.000371
0.020000,0.465225,7.952603,0.012896,0.177691,1.269499,0.006375,0.000513
0.020000,0.469287,7.952606,0.016958,0.203084,1.269648,0.007478,0.000675
0.020000,0.473856,7.952609,0.021527,0.228480,1.269819,0.008528,0.000856
0.020000,0.478934,7.952614,0.026605,0.253881,1.270010,0.009592,0.001057
0.020000,0.484520,7.952621,0.032191,0.279285,1.270225,0.010722,0.001277
0.020000,0.490614,7.952629,0.038285,0.304694,1.270459,0.011694,0.001516
0.020000,0.497216,7.952640,0.044887,0.330108,1.270715,0.012835,0.001774
0.020000,0.504326,7.952654,0.051997,0.355528,1.270993,0.013856,0.002050
0.020000,0.511945,7.952670,0.059616,0.380954,1.271292,0.014988,0.002344
0.020000,0.520073,7.952691,0.067744,0.406386,1.271613,0.016010,0.002656
0.020000,0.528710,7.952715,0.076381,0.431826,1.271954,0.017094,0.002985
0.020000,0.537855,7.952744,0.085526,0.457272,1.272317,0.018143,0.003330
0.020000,0.547509,7.952778,0.095181,0.482726,1.272702,0.019244,0.003692
0.020000,0.557673,7.952817,0.105344,0.508188,1.273108,0.020294,0.004070
0.020000,0.568346,7.952863,0.116018,0.533659,1.273536,0.021409,0.004464
0.020000,0.579529,7.952915,0.127200,0.559139,1.273985,0.022421,0.004872
0.020000,0.591221,7.952974,0.138893,0.584628,1.274456,0.023561,0.005295
0.020000,0.603424,7.953042,0.151095,0.610127,1.274947,0.024544,0.005731
0.020000,0.616136,7.953117,0.163808,0.635636,1.275461,0.025703,0.006181
0.020000,0.629359,7.953202,0.177031,0.661156,1.275995,0.026730,0.006644
0.020000,0.643092,7.953297,0.190765,0.686687,1.276552,0.027826,0.007119
0.020000,0.657337,7.953402,0.205010,0.712229,1.277130,0.028882,0.007605
0.020000,0.672092,7.953517,0.219765,0.737784,1.277729,0.029958,0.008102
0.020000,0.687358,7.953645,0.235032,0.763351,1.278350,0.031070,0.008608
0.020000,0.703136,7.953785,0.250811,0.788931,1.278992,0.032084,0.009124
0.020000,0.719426,7.953938,0.267101,0.814524,1.279656,0.033191,0.009649
0.020000,0.736228,7.954104,0.283904,0.840131,1.280341,0.034283,0.010182
0.020000,0.753542,7.954285,0.301219,0.865752,1.281048,0.035316,0.010721
0.020000,0.771369,7.954481,0.319047,0.891387,1.281776,0.036414,0.011267
0.020000,0.789708,7.954693,0.337388,0.917038,1.282526,0.037497,0.011818
0.020000,0.808561,7.954921,0.356242,0.942704,1.283297,0.038547,0.012373
0.020000,0.827927,7.955166,0.375609,0.968385,1.284089,0.039632,0.012933
0.020000,0.847807,7.955429,0.395491,0.994083,1.284904,0.040720,0.013494
0.020000,0.868201,7.955710,0.415887,1.019798,1.285739,0.041764,0.014058
0.020000,0.889109,7.956010,0.436798,1.045530,1.286596,0.042854,0.014622
0.020000,0.910533,7.956329,0.458223,1.071280,1.287475,0.043932,0.015186
0.020000,0.932471,7.956669,0.480164,1.097047,1.288375,0.044988,0.015749
0.020000,0.954925,7.957029,0.502621,1.122833,1.289296,0.046070,0.016309
0.020000,0.977894,7.957410,0.525594,1.148638,1.290239,0.047138,0.016866
0.020000,1.001380,7.957812,0.549083,1.174462,1.291203,0.048209,0.017419
0.020000,1.025382,7.958237,0.573089,1.200306,1.292188,0.049280,0.017966
0.020000,1.049902,7.958684,0.597612,1.226170,1.293195,0.050347,0.018507
0.020000,1.074938,7.959154,0.622653,1.252054,1.294224,0.051419,0.019039
0.020000,1.100493,7.959648,0.648213,1.277960,1.295274,0.052487,0.019563
0.020000,1.126565,7.960165,0.674290,1.303886,1.296345,0.053554,0.020077
0.020000,1.153157,7.960705,0.700887,1.329835,1.297437,0.054625,0.020579
0.020000,1.180267,7.961270,0.728003,1.355806,1.298551,0.055690,0.021068
0.020000,1.207897,7.961859,0.755639,1.381800,1.299686,0.056761,0.021543
0.020000,1.236046,7.962472,0.783795,1.407817,1.300843,0.057822,0.022004
0.020000,1.264716,7.963109,0.812473,1.433857,1.302021,0.058897,0.022447
0.020000,1.293907,7.963771,0.841671,1.459922,1.303220,0.059956,0.022873
0.020000,1.323620,7.964457,0.871391,1.486010,1.304440,0.061031,0.023279
0.020000,1.353854,7.965167,0.901634,1.512124,1.305682,0.062090,0.023665
0.020000,1.384610,7.965900,0.932399,1.538263,1.306945,0.063163,0.024028
0.020000,1.415890,7.966657,0.963687,1.564427,1.308230,0.064228,0.024368
0.020000,1.447692,7.967438,0.995500,1.590618,1.309536,0.065297,0.024683
0.020000,1.480019,7.968240,1.027837,1.616835,1.310863,0.066366,0.024971
0.020000,1.512870,7.969065,1.060698,1.643080,1.312212,0.067430,0.025231
0.020000,1.546247,7.969911,1.094085,1.669351,1.313582,0.068508,0.025462
0.020000,1.580149,7.970778,1.127998,1.695651,1.314973,0.069573,0.025661
0.020000,1.614577,7.971665,1.162438,1.721979,1.316386,0.070642,0.025828
0.020000,1.649532,7.972570,1.197404,1.748335,1.317821,0.071718,0.025961
0.020000,1.685014,7.973494,1.232899,1.774720,1.319276,0.072788,0.026057
0.020000,1.721025,7.974433,1.268922,1.801136,1.320754,0.073862,0.026116
0.020000,1.757564,7.975388,1.305473,1.827581,1.322252,0.074937,0.026135
0.020000,1.794632,7.976357,1.342554,1.854056,1.323773,0.076011,0.026113
0.020000,1.832231,7.977338,1.380166,1.880562,1.325314,0.077088,0.026049
