dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452431,7.241400,0.000125,0.012499,0.624960,31.247976,6.283127
0.020000,0.452438,7.241400,0.000132,0.000354,-0.607268,-61.611359,6.283147
0.020000,0.452487,7.241400,0.000181,0.002438,0.104222,35.574475,0.000001
0.020000,0.454008,7.241400,0.001702,0.076055,3.680838,178.830832,0.000061
0.020000,0.456036,7.241400,0.003730,0.101405,1.267490,-120.667400,0.000140
0.020000,0.458571,7.241401,0.006265,0.126753,1.267409,-0.004056,0.000239
0.020000,0.461613,7.241402,0.009307,0.152099,1.267309,-0.005004,0.000358
0.020000,0.465162,7.241403,0.012856,0.177443,1.267188,-0.006063,0.000496
0.020000,0.469217,7.241405,0.016912,0.202784,1.267048,-0.006994,0.000653
0.020000,0.473780,7.241409,0.021474,0.228122,1.266886,-0.008101,0.000830
0.020000,0.478849,7.241414,0.026543,0.253456,1.266706,-0.009019,0.001025
0.020000,0.484425,7.241420,0.032119,0.278786,1.266504,-0.010094,0.001239
0.020000,0.490507,7.241428,0.038201,0.304112,1.266283,-0.011034,0.001471
0.020000,0.497096,7.241439,0.044790,0.329432,1.266041,-0.012113,0.001722
0.020000,0.504191,7.241452,0.051885,0.354748,1.265779,-0.013085,0.001990
0.020000,0.511792,7.241468,0.059486,0.380058,1.265498,-0.014063,0.002276
0.020000,0.519899,7.241488,0.067593,0.405362,1.265195,-0.015136,0.002579
0.020000,0.528512,7.241511,0.076206,0.430659,1.264873,-0.016101,0.002899
0.020000,0.537631,7.241539,0.085325,0.455950,1.264531,-0.017129,0.003235
0.020000,0.547256,7.241572,0.094950,0.481233,1.264168,-0.018128,0.003587
0.020000,0.557386,7.241610,0.105080,0.506509,1.263785,-0.019153,0.003955
0.020000,0.568021,7.241654,0.115716,0.531777,1.263382,-0.020132,0.004338
0.020000,0.579162,7.241705,0.126856,0.557036,1.262959,-0.021188,0.004736
0.020000,0.590807,7.241763,0.138502,0.582286,1.262515,-0.022180,0.005148
0.020000,0.602958,7.241828,0.150653,0.607527,1.262052,-0.023160,0.005573
0.020000,0.615613,7.241901,0.163308,0.632758,1.261567,-0.024230,0.006012
0.020000,0.628772,7.241983,0.176467,0.657980,1.261063,-0.025192,0.006463
0.020000,0.642436,7.242075,0.190131,0.683190,1.260538,-0.026247,0.006926
0.020000,0.656603,7.242176,0.204299,0.708390,1.259994,-0.027202,0.007401
0.020000,0.671274,7.242288,0.218971,0.733579,1.259429,-0.028282,0.007886
0.020000,0.686449,7.242412,0.234146,0.758756,1.258844,-0.029242,0.008381
0.020000,0.702127,7.242547,0.249824,0.783921,1.258238,-0.030297,0.008886
0.020000,0.718307,7.242695,0.266006,0.809073,1.257613,-0.031263,0.009399
0.020000,0.734991,7.242856,0.282690,0.834212,1.256967,-0.032309,0.009920
0.020000,0.752177,7.243031,0.299877,0.859338,1.256300,-0.033332,0.010448
0.020000,0.769865,7.243221,0.317566,0.884450,1.255614,-0.034309,0.010983
0.020000,0.788054,7.243425,0.335757,0.909549,1.254907,-0.035341,0.011523
0.020000,0.806746,7.243646,0.354449,0.934632,1.254180,-0.036365,0.012068
0.020000,0.825938,7.243883,0.373643,0.959701,1.253433,-0.037352,0.012618
0.020000,0.845632,7.244137,0.393338,0.984754,1.252665,-0.038375,0.013170
0.020000,0.865826,7.244408,0.413534,1.009792,1.251877,-0.039401,0.013724
0.020000,0.886520,7.244698,0.434230,1.034813,1.251069,-0.040387,0.014280
0.020000,0.907714,7.245007,0.455427,1.059818,1.250241,-0.041420,0.014836
0.020000,0.929408,7.245335,0.477123,1.084806,1.249393,-0.042411,0.015391
0.020000,0.951601,7.245682,0.499318,1.109776,1.248524,-0.043443,0.015945
0.020000,0.974292,7.246051,0.522013,1.134729,1.247635,-0.044438,0.016496
0.020000,0.997482,7.246440,0.545206,1.159663,1.246726,-0.045454,0.017044
0.020000,1.021170,7.246850,0.568898,1.184579,1.245797,-0.046457,0.017587
0.020000,1.045356,7.247282,0.593087,1.209476,1.244847,-0.047474,0.018124
0.020000,1.070039,7.247736,0.617774,1.234354,1.243878,-0.048477,0.018655
0.020000,1.095219,7.248212,0.642959,1.259212,1.242888,-0.049487,0.019178
0.020000,1.120895,7.248711,0.668640,1.284049,1.241878,-0.050494,0.019691
0.020000,1.147067,7.249233,0.694817,1.308866,1.240848,-0.051502,0.020195
0.020000,1.173734,7.249779,0.721490,1.333662,1.239798,-0.052506,0.020687
0.020000,1.200897,7.250347,0.748659,1.358437,1.238728,-0.053517,0.021166
0.020000,1.228555,7.250939,0.776323,1.383189,1.237637,-0.054522,0.021632
0.020000,1.256706,7.251555,0.804481,1.407920,1.236527,-0.055523,0.022082
0.020000,1.285352,7.252193,0.833134,1.432628,1.235396,-0.056537,0.022516
0.020000,1.314491,7.252856,0.862280,1.457313,1.234245,-0.057537,0.022933
0.020000,1.344122,7.253541,0.891919,1.481974,1.233074,-0.058549,0.023331
0.020000,1.374246,7.254250,0.922052,1.506612,1.231883,-0.059548,0.023708
0.020000,1.404862,7.254982,0.952676,1.531225,1.230672,-0.060559,0.024064
0.020000,1.435969,7.255736,0.983792,1.555814,1.229441,-0.061565,0.024396
0.020000,1.467567,7.256512,1.015400,1.580378,1.228190,-0.062571,0.024704
0.020000,1.499655,7.257309,1.047498,1.604916,1.226918,-0.063581,0.024987
0.020000,1.532234,7.258127,1.080087,1.629429,1.225626,-0.064585,0.025242
0.020000,1.565301,7.258966,1.113165,1.653915,1.224314,-0.065593,0.025468
0.020000,1.598858,7.259824,1.146733,1.678375,1.222982,-0.066606,0.025664
0.020000,1.632903,7.260701,1.180789,1.702807,1.221630,-0.067613,0.025828
0.020000,1.667435,7.261596,1.215333,1.727213,1.220257,-0.068625,0.025959
0.020000,1.702455,7.262507,1.250365,1.751590,1.218865,-0.069635,0.026054
0.020000,1.737962,7.263433,1.285884,1.775939,1.217452,-0.070648,0.026114
0.020000,1.773955,7.264374,1.321889,1.800259,1.216019,-0.071661,0.026135
0.020000,1.810433,7.265327,1.358380,1.824551,1.214565,-0.072674,0.026116
0.020000,1.847397,7.266292,1.395356,1.848812,1.213091,-0.073689,0.026056
0.020000,1.884845,7.267266,1.432817,1.873044,1.211597,-0.074705,0.025953
0.020000,1.922778,7.268248,1.470762,1.897246,1.210083,-0.075720,0.025805
0.020000,1.961193,7.269236,1.509190,1.921417,1.208548,-0.076735,0.025611
0.020000,2.000092,7.270228,1.548101,1.945557,1.206993,-0.077755,0.025368
0.020000,2.039472,7.271221,1.587495,1.969665,1.205418,-0.078766,0.025075
0.020000,2.073810,7.272006,1.621841,1.717338,-12.616347,-691.088228,0.018489
0.020000,2.110696,7.272499,1.658731,1.844476,6.356875,948.661086,0.008344
0.020000,2.148191,7.272626,1.696226,1.874752,1.513825,-242.152494,6.281681
0.020000,2.186297,7.272385,1.734333,1.905328,1.528784,0.747939,6.272146
0.020000,2.225016,7.271778,1.773057,1.936195,1.543362,0.728931,6.262941
0.020000,2.264351,7.270806,1.812403,1.967347,1.557590,0.711381,6.254082
0.020000,2.304304,7.269471,1.852379,1.998775,1.571415,0.691272,6.245585
0.020000,2.344879,7.267778,1.892988,2.030474,1.584928,0.675651,6.237465
0.020000,2.386077,7.265732,1.934237,2.062437,1.598168,0.661963,6.229736
0.020000,2.427901,7.263339,1.976130,2.094661,1.611172,0.650235,6.222414
0.020000,2.470356,7.260606,2.018673,2.127137,1.623798,0.631290,6.215512
0.020000,2.513445,7.257544,2.061870,2.159867,1.636504,0.635315,6.209045
0.020000,2.557171,7.254162,2.105727,2.192844,1.648851,0.617331,6.203027
0.020000,2.601539,7.250472,2.150249,2.226069,1.661269,0.620891,6.197471
0.020000,2.646554,7.246487,2.195440,2.259543,1.673685,0.620786,6.192393
0.020000,2.692221,7.242221,2.241305,2.293265,1.686092,0.620364,6.187804
0.020000,2.738544,7.237692,2.287850,2.327238,1.698689,0.629859,6.183721
0.020000,2.785532,7.232916,2.335079,2.361469,1.711524,0.641745,6.180156
0.020000,2.833189,7.227913,2.382998,2.395958,1.724461,0.646829,6.177126
0.020000,2.881401,7.222717,2.431489,2.424565,1.430360,-14.705037,6.174650
0.020000,2.929810,7.217394,2.480191,2.435055,0.524502,-45.292898,6.172751
0.020000,2.978054,7.212010,2.528733,2.427128,-0.396355,-46.042830,6.171437
0.020000,3.026000,7.206609,2.576983,2.412507,-0.731063,-16.735397,6.170693
0.020000,3.073644,7.201220,2.624930,2.397352,-0.757768,-1.335284,6.170504
0.020000,3.120980,7.195870,2.672568,2.381892,-0.773003,-0.761713,6.170850
0.020000,3.168007,7.190583,2.719891,2.366138,-0.787676,-0.733664,6.171717
0.020000,3.214720,7.185385,2.766893,2.350101,-0.801833,-0.707863,6.173088
0.020000,3.261118,7.180298,2.813569,2.333791,-0.815537,-0.685189,6.174947
0.020000,3.307197,7.175343,2.859913,2.317214,-0.828850,-0.665655,6.177280
0.020000,3.352953,7.170542,2.905921,2.300379,-0.841721,-0.643540,6.180072
0.020000,3.398384,7.165913,2.951586,2.283291,-0.854396,-0.633752,6.183309
