dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.250097,12.900000,0.000198,0.019770,0.988512,49.425604,6.283163
0.020000,3.250888,12.900000,0.000989,0.059311,1.977024,49.425604,6.282981
0.020000,3.252667,12.899999,0.002768,0.118621,2.965536,49.425604,6.282573
0.020000,3.255830,12.899996,0.005931,0.197702,3.954048,49.425604,6.281846
0.020000,3.260773,12.899987,0.010874,0.296554,4.942560,49.425604,6.280709
0.020000,3.267692,12.899964,0.017793,0.395405,4.942560,-0.000000,6.279117
0.020000,3.276589,12.899919,0.026690,0.494256,4.942560,0.000000,6.277068
0.020000,3.287462,12.899839,0.037563,0.593107,4.942560,-0.000000,6.274561
0.020000,3.300312,12.899709,0.050414,0.691958,4.942560,-0.000000,6.271593
0.020000,3.315138,12.899511,0.065242,0.790810,4.942560,0.000000,6.268164
0.020000,3.331941,12.899226,0.082047,0.889661,4.942560,0.000000,6.264270
0.020000,3.350718,12.898830,0.100828,0.988512,4.942560,0.000000,6.259910
0.020000,3.371470,12.898297,0.121587,1.087363,4.942560,-0.000000,6.255080
0.020000,3.394195,12.897598,0.144323,1.186214,4.942560,0.000000,6.249779
0.020000,3.418892,12.896701,0.169036,1.285066,4.942560,-0.000000,6.244004
0.020000,3.445558,12.895572,0.195725,1.383917,4.942560,0.000000,6.237753
0.020000,3.474190,12.894174,0.224392,1.482768,4.942560,0.000000,6.231023
0.020000,3.504786,12.892466,0.255036,1.581619,4.942560,0.000000,6.223812
0.020000,3.537342,12.890405,0.287657,1.680471,4.942560,0.000000,6.216119
0.020000,3.571852,12.887946,0.322255,1.779322,4.942560,-0.000000,6.207944
0.020000,3.608311,12.885038,0.358830,1.878173,4.942560,0.000000,6.199284
0.020000,3.646712,12.881632,0.397382,1.977024,4.942560,-0.000000,6.190141
0.020000,3.687047,12.877672,0.437911,2.075875,4.942560,0.000000,6.180517
0.020000,3.729307,12.873102,0.480417,2.174727,4.942560,-0.000000,6.170412
0.020000,3.773480,12.867863,0.524900,2.273578,4.942560,0.000000,6.159832
0.020000,3.819555,12.861892,0.571360,2.372429,4.942560,0.000000,6.148780
0.020000,3.867516,12.855125,0.619797,2.471280,4.942560,0.000000,6.137263
0.020000,3.917350,12.847496,0.670211,2.570131,4.942560,-0.000000,6.125291
0.020000,3.969037,12.838937,0.722602,2.668983,4.942560,0.000000,6.112872
0.020000,4.022557,12.829378,0.776970,2.767834,4.942560,0.000000,6.100019
0.020000,4.077890,12.818747,0.833316,2.866685,4.942560,0.000000,6.086746
0.020000,4.135011,12.806973,0.891638,2.965536,4.942560,-0.000000,6.073071
0.020000,4.193894,12.793981,0.951937,3.064387,4.942560,0.000000,6.059013
0.020000,4.254510,12.779700,1.014213,3.163239,4.942560,-0.000000,6.044594
0.020000,4.316828,12.764054,1.078467,3.262090,4.942560,0.000000,6.029839
0.020000,4.380817,12.746970,1.144697,3.360941,4.942560,-0.000000,6.014775
0.020000,4.446440,12.728377,1.212904,3.459792,4.942560,0.000000,5.999432
0.020000,4.513662,12.708203,1.283089,3.558643,4.942560,-0.000000,5.983843
0.020000,4.582443,12.686378,1.355250,3.657495,4.942560,0.000000,5.968044
0.020000,4.652743,12.662835,1.429388,3.756346,4.942560,-0.000000,5.952072
0.020000,4.724521,12.637510,1.505504,3.855197,4.942560,-0.000000,5.935968
0.020000,4.797734,12.610341,1.583596,3.954048,4.942560,0.000000,5.919773
0.020000,4.872339,12.581270,1.663666,4.052899,4.942560,-0.000000,5.903532
0.020000,4.948292,12.550244,1.745712,4.151751,4.942560,0.000000,5.887290
0.020000,5.025549,12.517212,1.829736,4.250602,4.942560,0.000000,5.871092
0.020000,5.104068,12.482130,1.915736,4.349453,4.942560,-0.000000,5.854988
0.020000,5.183806,12.444958,2.003714,4.448304,4.942560,0.000000,5.839024
0.020000,5.264722,12.405662,2.093669,4.547156,4.942560,-0.000000,5.823248
0.020000,5.346778,12.364212,2.185600,4.646007,4.942560,0.000000,5.807708
0.020000,5.429936,12.320584,2.279509,4.744858,4.942560,0.000000,5.792451
0.020000,5.514163,12.274761,2.375395,4.843709,4.942560,0.000000,5.777523
0.020000,5.599428,12.226732,2.473257,4.942560,4.942560,0.000000,5.762971
0.020000,5.685704,12.176489,2.573097,5.041412,4.942560,-0.000000,5.748837
0.020000,5.772967,12.124033,2.674914,5.140263,4.942560,0.000000,5.735166
0.020000,5.861199,12.069369,2.778707,5.239114,4.942560,0.000000,5.721997
0.020000,5.950385,12.012509,2.884478,5.337965,4.942560,-0.000000,5.709372
0.020000,6.040517,11.953470,2.992226,5.436816,4.942560,0.000000,5.697329
0.020000,6.131591,11.892274,3.101951,5.535668,4.942560,-0.000000,5.685904
0.020000,6.223610,11.828951,3.213653,5.634519,4.942560,0.000000,5.675135
0.020000,6.316579,11.763534,3.327332,5.733370,4.942560,-0.000000,5.665056
0.020000,6.410515,11.696063,3.442988,5.832221,4.942560,0.000000,5.655701
0.020000,6.505436,11.626584,3.560620,5.931072,4.942560,-0.000000,5.647104
0.020000,6.601370,11.555147,3.680230,6.029924,4.942560,0.000000,5.639298
0.020000,6.698350,11.481811,3.801817,6.128775,4.942560,-0.000000,5.632317
0.020000,6.796416,11.406638,3.925381,6.227626,4.942560,0.000000,5.626195
0.020000,6.895617,11.329698,4.050922,6.326477,4.942560,-0.000000,5.620966
0.020000,6.996006,11.251066,4.178441,6.425328,4.942560,0.000000,5.616667
0.020000,7.097491,11.170950,4.307738,6.504409,3.954048,-49.425604,5.613339
0.020000,7.199833,11.089687,4.438419,6.563720,2.965536,-49.425604,5.611024
0.020000,7.302802,11.007624,4.570089,6.603261,1.977024,-49.425604,5.609750
0.020000,7.406081,10.925190,4.702233,6.611109,0.392415,-79.230455,5.609537
0.020000,7.509199,10.842936,4.834138,6.579417,-1.584609,-98.851207,5.610390
0.020000,7.611780,10.761343,4.965212,6.527954,-2.573121,-49.425604,5.612292
0.020000,7.713596,10.680759,5.095058,6.456722,-3.561633,-49.425604,5.615219
0.020000,7.814411,10.601527,5.223283,6.365719,-4.550145,-49.425604,5.619134
0.020000,7.914075,10.523905,5.349609,6.266868,-4.942560,-19.620752,5.623996
0.020000,8.012585,10.448020,5.473958,6.168016,-4.942560,-0.000000,5.629765
0.020000,8.109989,10.373945,5.596329,6.069165,-4.942560,0.000000,5.636406
0.020000,8.206333,10.301745,5.716724,5.970314,-4.942560,-0.000000,5.643886
0.020000,8.301651,10.231480,5.835142,5.871463,-4.942560,0.000000,5.652170
0.020000,8.395973,10.163204,5.951583,5.772612,-4.942560,0.000000,5.661226
0.020000,8.489322,10.096964,6.066046,5.673760,-4.942560,0.000000,5.671019
0.020000,8.581715,10.032802,6.178533,5.574909,-4.942560,-0.000000,5.681516
0.020000,8.673161,9.970755,6.289043,5.476058,-4.942560,0.000000,5.692682
0.020000,8.763665,9.910853,6.397575,5.377207,-4.942560,-0.000000,5.704481
0.020000,8.853225,9.853122,6.504131,5.278355,-4.942560,0.000000,5.716878
0.020000,8.941835,9.797581,6.608710,5.179504,-4.942560,-0.000000,5.729833
0.020000,9.029483,9.744243,6.711311,5.080653,-4.942560,0.000000,5.743307
0.020000,9.116150,9.693118,6.811936,4.981802,-4.942560,0.000000,5.757260
0.020000,9.201817,9.644206,6.910583,4.882951,-4.942560,-0.000000,5.771649
0.020000,9.286457,9.597504,7.007254,4.784099,-4.942560,0.000000,5.786430
0.020000,9.370041,9.553002,7.101947,4.685248,-4.942560,0.000000,5.801559
0.020000,9.452536,9.510685,7.194664,4.586397,-4.942560,0.000000,5.816990
0.020000,9.533907,9.470532,7.285403,4.487546,-4.942560,0.000000,5.832676
0.020000,9.614116,9.432516,7.374166,4.388695,-4.942560,-0.000000,5.848569
0.020000,9.693121,9.396604,7.460951,4.289843,-4.942560,0.000000,5.864622
0.020000,9.770882,9.362759,7.545759,4.190992,-4.942560,0.000000,5.880786
0.020000,9.847356,9.330937,7.628591,4.092141,-4.942560,0.000000,5.897015
0.020000,9.922499,9.301091,7.709445,3.993290,-4.942560,0.000000,5.913260
0.020000,9.996268,9.273169,7.788322,3.894439,-4.942560,-0.000000,5.929477
0.020000,10.068619,9.247113,7.865222,3.795587,-4.942560,0.000000,5.945621
0.020000,10.139509,9.222866,7.940146,3.696736,-4.942560,-0.000000,5.961649
0.020000,10.208896,9.200362,8.013092,3.597885,-4.942560,-0.000000,5.977521
0.020000,10.276740,9.179535,8.084061,3.499034,-4.942560,0.000000,5.993196
