dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660130,5.590600,0.000129,0.012923,0.646172,32.308585,0.000107
0.020000,1.660154,5.590600,0.000153,0.001200,-0.586150,-61.616093,0.000039
0.020000,1.660935,5.590600,0.000933,0.039003,1.890145,123.814765,6.283090
0.020000,1.662557,5.590600,0.002556,0.081112,2.105427,10.764107,6.282889
0.020000,1.664719,5.590599,0.004718,0.108114,1.350114,-37.765672,6.282623
0.020000,1.667421,5.590597,0.007420,0.135086,1.348613,-0.075047,6.282294
0.020000,1.670661,5.590593,0.010660,0.162021,1.346737,-0.093808,6.281904
0.020000,1.674439,5.590588,0.014438,0.188911,1.344486,-0.112541,6.281455
0.020000,1.678754,5.590579,0.018753,0.215748,1.341860,-0.131296,6.280950
0.020000,1.683605,5.590567,0.023604,0.242525,1.338859,-0.150068,6.280393
0.020000,1.688990,5.590550,0.028988,0.269235,1.335484,-0.168748,6.279788
0.020000,1.694907,5.590528,0.034906,0.295870,1.331733,-0.187546,6.279138
0.020000,1.701355,5.590500,0.041354,0.322422,1.327608,-0.206234,6.278448
0.020000,1.708333,5.590464,0.048332,0.348884,1.323110,-0.224907,6.277724
0.020000,1.715838,5.590420,0.055837,0.375249,1.318236,-0.243674,6.276971
0.020000,1.723868,5.590367,0.063867,0.401508,1.312990,-0.262303,6.276195
0.020000,1.732421,5.590304,0.072420,0.427656,1.307370,-0.280997,6.275401
0.020000,1.741494,5.590230,0.081494,0.453683,1.301377,-0.299663,6.274598
0.020000,1.751085,5.590144,0.091085,0.479584,1.295012,-0.318274,6.273791
0.020000,1.761192,5.590044,0.101192,0.505349,1.288273,-0.336915,6.272989
0.020000,1.771811,5.589932,0.111812,0.530972,1.281163,-0.355542,6.272200
0.020000,1.782939,5.589805,0.122941,0.556446,1.273681,-0.374097,6.271431
0.020000,1.794573,5.589664,0.134576,0.581762,1.265825,-0.392756,6.270693
0.020000,1.806710,5.589508,0.146714,0.606914,1.257599,-0.411309,6.269993
0.020000,1.819347,5.589337,0.159352,0.631895,1.249002,-0.429870,6.269343
0.020000,1.832480,5.589152,0.172486,0.656695,1.240031,-0.448526,6.268751
0.020000,1.846104,5.588951,0.186112,0.681309,1.230689,-0.467114,6.268228
0.020000,1.860217,5.588737,0.200227,0.705728,1.220974,-0.485759,6.267786
0.020000,1.874815,5.588509,0.214826,0.729946,1.210885,-0.504453,6.267435
0.020000,1.889892,5.588270,0.229905,0.753955,1.200422,-0.523155,6.267188
0.020000,1.905445,5.588020,0.245460,0.777746,1.189583,-0.541953,6.267057
0.020000,1.921469,5.587761,0.261486,0.801314,1.178367,-0.560795,6.267053
0.020000,1.937960,5.587496,0.277979,0.824649,1.166772,-0.579728,6.267191
0.020000,1.954912,5.587227,0.294934,0.847745,1.154798,-0.598729,6.267484
0.020000,1.972322,5.586958,0.312346,0.870594,1.142441,-0.617828,6.267945
0.020000,1.990184,5.586691,0.330210,0.893188,1.129700,-0.637061,6.268589
0.020000,2.008493,5.586431,0.348520,0.915519,1.116574,-0.656318,6.269431
0.020000,2.027243,5.586183,0.367272,0.937580,1.103060,-0.675681,6.270486
0.020000,2.046428,5.585951,0.386459,0.959364,1.089157,-0.695145,6.271769
0.020000,2.066045,5.585742,0.406076,0.980861,1.074866,-0.714530,6.273297
0.020000,2.086085,5.585561,0.426117,1.002065,1.060185,-0.734058,6.275086
0.020000,2.106544,5.585416,0.446577,1.022967,1.045119,-0.753328,6.277153
0.020000,2.127415,5.585314,0.467448,1.043560,1.029667,-0.772581,6.279516
0.020000,2.148691,5.585264,0.488725,1.063837,1.013837,-0.791483,6.282192
0.020000,2.170367,5.585275,0.510400,1.083790,0.997639,-0.809910,0.002014
0.020000,2.192435,5.585356,0.532469,1.103411,0.981082,-0.827862,0.005371
0.020000,2.214889,5.585518,0.554923,1.122695,0.964182,-0.844972,0.009098
0.020000,2.237720,5.585772,0.577755,1.141634,0.946964,-0.860910,0.013213
0.020000,2.260922,5.586130,0.600960,1.160223,0.929454,-0.875507,0.017737
0.020000,2.284486,5.586606,0.624529,1.178457,0.911688,-0.888312,0.022688
0.020000,2.308405,5.587212,0.648456,1.196331,0.893710,-0.898881,0.028088
0.020000,2.332670,5.587965,0.672732,1.213843,0.875579,-0.906583,0.033957
0.020000,2.357273,5.588878,0.697352,1.230990,0.857358,-0.911045,0.040315
0.020000,2.382205,5.589968,0.722308,1.247773,0.839134,-0.911188,0.047182
0.020000,2.407456,5.591253,0.747592,1.264193,0.821004,-0.906510,0.054580
0.020000,2.433017,5.592751,0.773197,1.280255,0.803079,-0.896229,0.062529
