dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660168,5.235000,0.000129,0.012923,0.646172,32.308585,0.000107
0.020000,1.660168,5.235000,0.000646,0.038770,1.292343,32.308585,0.000039
0.020000,1.660901,5.235000,0.001680,0.064617,1.292343,-0.000000,6.283090
0.020000,1.662451,5.235000,0.003231,0.090464,1.292343,0.000000,6.282889
0.020000,1.664519,5.234999,0.005299,0.116311,1.292343,-0.000000,6.282623
0.020000,1.667104,5.234997,0.007883,0.142158,1.292343,0.000000,6.282294
0.020000,1.670206,5.234994,0.010985,0.168005,1.292343,-0.000000,6.281904
0.020000,1.673824,5.234988,0.014603,0.193852,1.292343,-0.000000,6.281455
0.020000,1.677960,5.234980,0.018739,0.219698,1.292343,0.000000,6.280950
0.020000,1.682612,5.234968,0.023391,0.245545,1.292343,-0.000000,6.280393
0.020000,1.687781,5.234952,0.028561,0.271392,1.292343,0.000000,6.279788
0.020000,1.693468,5.234931,0.034247,0.297239,1.292343,-0.000000,6.279138
0.020000,1.699671,5.234904,0.040450,0.323086,1.292343,0.000000,6.278448
0.020000,1.706391,5.234869,0.047171,0.348933,1.292343,0.000000,6.277724
0.020000,1.713628,5.234827,0.054408,0.374780,1.292343,0.000000,6.276971
0.020000,1.721382,5.234776,0.062162,0.400626,1.292343,-0.000000,6.276195
0.020000,1.729653,5.234715,0.070433,0.426473,1.292343,-0.000000,6.275401
0.020000,1.738440,5.234643,0.079221,0.452320,1.292343,0.000000,6.274598
0.020000,1.747745,5.234559,0.088526,0.478167,1.292343,0.000000,6.273791
0.020000,1.757566,5.234463,0.098347,0.504014,1.292343,0.000000,6.272989
0.020000,1.767904,5.234353,0.108686,0.529861,1.292343,0.000000,6.272200
0.020000,1.778759,5.234230,0.119542,0.555708,1.292343,-0.000000,6.271431
0.020000,1.790131,5.234092,0.130914,0.581555,1.292343,0.000000,6.270693
0.020000,1.802020,5.233939,0.142804,0.607401,1.292343,0.000000,6.269993
0.020000,1.814425,5.233771,0.155210,0.633248,1.292343,-0.000000,6.269343
0.020000,1.827347,5.233589,0.168134,0.659095,1.292343,0.000000,6.268751
0.020000,1.840786,5.233391,0.181574,0.684942,1.292343,0.000000,6.268228
0.020000,1.854742,5.233179,0.195532,0.710789,1.292343,-0.000000,6.267786
0.020000,1.869214,5.232954,0.210006,0.736636,1.292343,0.000000,6.267435
0.020000,1.884203,5.232715,0.224997,0.762483,1.292343,0.000000,6.267188
0.020000,1.899710,5.232466,0.240505,0.788329,1.292343,-0.000000,6.267057
0.020000,1.915733,5.232208,0.256530,0.814176,1.292343,0.000000,6.267053
0.020000,1.932272,5.231942,0.273072,0.840023,1.292343,-0.000000,6.267191
0.020000,1.949329,5.231671,0.290131,0.865870,1.292343,0.000000,6.267484
0.020000,1.966903,5.231399,0.307707,0.891717,1.292343,-0.000000,6.267945
0.020000,1.984994,5.231129,0.325800,0.917564,1.292343,-0.000000,6.268589
0.020000,2.003602,5.230865,0.344410,0.943411,1.292343,0.000000,6.269431
0.020000,2.022727,5.230611,0.363536,0.969258,1.292343,-0.000000,6.270486
0.020000,2.042369,5.230374,0.383180,0.995104,1.292343,0.000000,6.271769
