dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660206,4.879400,0.000129,0.012923,0.646172,32.308585,0.000107
0.020000,1.660182,4.879400,0.000153,0.001200,-0.586150,-61.616093,0.000039
0.020000,1.660867,4.879400,0.000838,0.034217,1.650809,111.847969,6.283090
0.020000,1.662346,4.879400,0.002317,0.073969,1.987635,16.841308,6.282889
0.020000,1.664319,4.879399,0.004290,0.098661,1.234573,-37.653105,6.282623
0.020000,1.666787,4.879397,0.006758,0.123382,1.236074,0.075037,6.282294
0.020000,1.669750,4.879394,0.009721,0.148141,1.237950,0.093788,6.281904
0.020000,1.673209,4.879389,0.013180,0.172945,1.240201,0.112560,6.281455
0.020000,1.677165,4.879381,0.017136,0.197802,1.242827,0.131305,6.280950
0.020000,1.681619,4.879370,0.021590,0.222718,1.245828,0.150023,6.280393
0.020000,1.686573,4.879354,0.026544,0.247702,1.249204,0.168813,6.279788
0.020000,1.692028,4.879334,0.031999,0.272762,1.252953,0.187480,6.279138
0.020000,1.697986,4.879308,0.037957,0.297903,1.257078,0.206232,6.278448
0.020000,1.704449,4.879275,0.044420,0.323135,1.261578,0.224975,6.277724
0.020000,1.711418,4.879234,0.051389,0.348464,1.266450,0.243609,6.276971
0.020000,1.718896,4.879185,0.058867,0.373898,1.271697,0.262344,6.276195
0.020000,1.726885,4.879126,0.066856,0.399444,1.277316,0.280992,6.275401
0.020000,1.735387,4.879056,0.075358,0.425110,1.283309,0.299637,6.274598
0.020000,1.744404,4.878975,0.084376,0.450904,1.289675,0.318304,6.273791
0.020000,1.753940,4.878881,0.093913,0.476832,1.296414,0.336915,6.272989
0.020000,1.763998,4.878775,0.103971,0.502902,1.303524,0.355513,6.272200
0.020000,1.774580,4.878654,0.114553,0.529122,1.311007,0.374158,6.271431
0.020000,1.785689,4.878520,0.125663,0.555500,1.318861,0.392689,6.270693
0.020000,1.797329,4.878370,0.137304,0.582041,1.327087,0.411314,6.269993
0.020000,1.809503,4.878206,0.149479,0.608755,1.335686,0.429935,6.269343
0.020000,1.822214,4.878026,0.162192,0.635648,1.344655,0.448483,6.268751
0.020000,1.835467,4.877831,0.175447,0.662728,1.353998,0.467128,6.268228
0.020000,1.849266,4.877621,0.189247,0.690002,1.363713,0.485768,6.267786
0.020000,1.863614,4.877398,0.203597,0.717479,1.373802,0.504430,6.267435
0.020000,1.878515,4.877161,0.218500,0.745164,1.384265,0.523175,6.267188
0.020000,1.893974,4.876912,0.233961,0.773066,1.395104,0.541940,6.267057
0.020000,1.909996,4.876654,0.249985,0.801192,1.406320,0.560794,6.267053
0.020000,1.926585,4.876387,0.266576,0.829551,1.417914,0.579711,6.267191
0.020000,1.943746,4.876115,0.283739,0.858148,1.429889,0.598733,6.267484
0.020000,1.961484,4.875840,0.301479,0.886993,1.442246,0.617840,6.267945
0.020000,1.979803,4.875567,0.319801,0.916093,1.454986,0.636998,6.268589
0.020000,1.998711,4.875298,0.338710,0.945455,1.468112,0.656313,6.269431
0.020000,2.018211,4.875040,0.358212,0.975088,1.481626,0.675678,6.270486
0.020000,2.038309,4.874797,0.378312,1.004998,1.495527,0.695060,6.271769
0.020000,2.059012,4.874576,0.399015,1.035195,1.509818,0.714581,6.273297
0.020000,2.080325,4.874384,0.420329,1.065685,1.524497,0.733915,6.275086
0.020000,2.102254,4.874229,0.442259,1.096476,1.539564,0.753353,6.277153
0.020000,2.124805,4.874119,0.464810,1.127576,1.555013,0.772463,6.279516
0.020000,2.147985,4.874065,0.487990,1.158993,1.570840,0.791373,6.282192
0.020000,2.171799,4.874076,0.511805,1.190734,1.587039,0.809923,0.002014
0.020000,2.196255,4.874166,0.536261,1.222806,1.603594,0.827742,0.005371
0.020000,2.221359,4.874347,0.561365,1.255215,1.620489,0.844770,0.009098
0.020000,2.247117,4.874634,0.587125,1.287969,1.637705,0.860810,0.013213
0.020000,2.273535,4.875042,0.613546,1.321074,1.655213,0.875368,0.017737
0.020000,2.300620,4.875589,0.640637,1.354533,1.672975,0.888132,0.022688
0.020000,2.328378,4.876293,0.668404,1.388352,1.690948,0.898630,0.028088
0.020000,2.356815,4.877175,0.696854,1.422534,1.709077,0.906443,0.033957
0.020000,2.385937,4.878256,0.725996,1.457080,1.727290,0.910665,0.040315
0.020000,2.415748,4.879560,0.755836,1.491990,1.745510,0.911017,0.047182
0.020000,2.446254,4.881112,0.786381,1.527262,1.763637,0.906336,0.054580
0.020000,2.477458,4.882941,0.817639,1.562893,1.781548,0.895552,0.062529
0.020000,2.509365,4.885074,0.849616,1.598876,1.799115,0.878351,0.071047
0.020000,2.541975,4.887543,0.882320,1.635199,1.816180,0.853259,0.080155
0.020000,2.575292,4.890381,0.915757,1.671851,1.832558,0.818880,0.089870
0.020000,2.609314,4.893623,0.949934,1.708811,1.848020,0.773110,0.100210
0.020000,2.644040,4.897306,0.984855,1.746058,1.862365,0.717234,0.111192
0.020000,2.682049,4.901998,1.023152,1.914867,8.440417,328.902614,0.135543
0.020000,2.723458,4.908231,1.065027,2.093760,8.944681,25.213173,0.163177
0.020000,2.765122,4.915681,1.107352,2.116257,1.124830,-390.992521,0.190622
0.020000,2.806959,4.924346,1.150077,2.136232,0.998762,-6.303409,0.217736
