dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.659949,5.590600,0.000129,0.012893,0.644635,32.231731,0.000143
0.020000,1.659965,5.590600,0.000145,0.000784,-0.605446,-62.504015,0.000099
0.020000,1.659996,5.590600,0.000176,0.001560,0.038828,32.213695,0.000011
0.020000,1.661460,5.590600,0.001640,0.073188,3.581382,177.127691,6.283066
0.020000,1.663584,5.590599,0.003764,0.106205,1.650828,-96.527704,6.282893
0.020000,1.666238,5.590598,0.006418,0.132701,1.324825,-16.300162,6.282681
0.020000,1.669421,5.590596,0.009601,0.159162,1.323061,-0.088195,6.282431
0.020000,1.673133,5.590593,0.013313,0.185579,1.320861,-0.110013,6.282145
0.020000,1.677372,5.590588,0.017551,0.211946,1.318337,-0.126174,6.281827
0.020000,1.682137,5.590581,0.022317,0.238256,1.315488,-0.142477,6.281479
0.020000,1.687427,5.590571,0.027607,0.264500,1.312211,-0.163812,6.281105
0.020000,1.693240,5.590557,0.033420,0.290673,1.308646,-0.178270,6.280709
0.020000,1.699576,5.590540,0.039755,0.316767,1.304670,-0.198772,6.280296
0.020000,1.706431,5.590519,0.046611,0.342775,1.300401,-0.213489,6.279871
0.020000,1.713805,5.590493,0.053985,0.368689,1.295717,-0.234159,6.279438
0.020000,1.721695,5.590462,0.061875,0.394503,1.290712,-0.250275,6.279004
0.020000,1.730099,5.590425,0.070279,0.420211,1.285377,-0.266739,6.278574
0.020000,1.739015,5.590382,0.079195,0.445804,1.279645,-0.286604,6.278155
0.020000,1.748440,5.590332,0.088620,0.471276,1.273603,-0.302089,6.277753
0.020000,1.758372,5.590277,0.098553,0.496619,1.267181,-0.321116,6.277377
0.020000,1.768809,5.590214,0.108989,0.521828,1.260437,-0.337205,6.277032
0.020000,1.779747,5.590145,0.119927,0.546894,1.253310,-0.356349,6.276729
0.020000,1.791182,5.590070,0.131364,0.571811,1.245850,-0.373014,6.276474
0.020000,1.803114,5.589988,0.143295,0.596572,1.238038,-0.390598,6.276276
0.020000,1.815537,5.589902,0.155718,0.621169,1.229855,-0.409137,6.276146
0.020000,1.828448,5.589810,0.168630,0.645595,1.221319,-0.426799,6.276092
0.020000,1.841845,5.589715,0.182027,0.669844,1.212414,-0.445241,6.276124
0.020000,1.855723,5.589618,0.195905,0.693906,1.203139,-0.463734,6.276253
0.020000,1.870078,5.589520,0.210261,0.717776,1.193490,-0.482453,6.276491
0.020000,1.884906,5.589424,0.225090,0.741445,1.183456,-0.501714,6.276847
0.020000,1.900204,5.589330,0.240388,0.764906,1.173030,-0.521297,6.277333
0.020000,1.915967,5.589243,0.256151,0.788150,1.162201,-0.541461,6.277963
0.020000,1.932190,5.589164,0.272374,0.811169,1.150958,-0.562145,6.278748
0.020000,1.948869,5.589098,0.289053,0.833955,1.139292,-0.583315,6.279702
0.020000,1.965999,5.589048,0.306183,0.856499,1.127204,-0.604393,6.280839
