dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660000,5.235000,0.000124,0.012422,0.621102,31.055104,0.000143
0.020000,1.660000,5.235000,0.000621,0.037266,1.242204,31.055104,0.000101
0.020000,1.660000,5.235000,0.001615,0.062110,1.242204,0.000000,0.000016
0.020000,1.661300,5.235000,0.003106,0.086954,1.242204,0.000000,6.283076
0.020000,1.663287,5.235000,0.005093,0.111798,1.242204,0.000000,6.282909
0.020000,1.665772,5.234999,0.007577,0.136642,1.242204,-0.000000,6.282705
0.020000,1.668753,5.234997,0.010559,0.161487,1.242204,0.000000,6.282463
0.020000,1.672231,5.234994,0.014037,0.186331,1.242204,0.000000,6.282187
0.020000,1.676206,5.234989,0.018012,0.211175,1.242204,-0.000000,6.281879
0.020000,1.680678,5.234983,0.022484,0.236019,1.242204,0.000000,6.281542
0.020000,1.685647,5.234974,0.027453,0.260863,1.242204,-0.000000,6.281179
0.020000,1.691113,5.234962,0.032918,0.285707,1.242204,0.000000,6.280795
0.020000,1.697075,5.234946,0.038881,0.310551,1.242204,-0.000000,6.280393
0.020000,1.703535,5.234927,0.045340,0.335395,1.242204,0.000000,6.279978
0.020000,1.710491,5.234903,0.052297,0.360239,1.242204,-0.000000,6.279554
0.020000,1.717944,5.234874,0.059750,0.385083,1.242204,0.000000,6.279128
0.020000,1.725894,5.234840,0.067700,0.409927,1.242204,0.000000,6.278704
0.020000,1.734341,5.234801,0.076147,0.434771,1.242204,-0.000000,6.278288
0.020000,1.743285,5.234755,0.085091,0.459616,1.242204,0.000000,6.277888
0.020000,1.752725,5.234703,0.094532,0.484460,1.242204,-0.000000,6.277509
0.020000,1.762663,5.234645,0.104469,0.509304,1.242204,0.000000,6.277158
0.020000,1.773097,5.234580,0.114904,0.534148,1.242204,-0.000000,6.276844
0.020000,1.784028,5.234510,0.125835,0.558992,1.242204,0.000000,6.276573
0.020000,1.795456,5.234433,0.137264,0.583836,1.242204,-0.000000,6.276354
0.020000,1.807381,5.234350,0.149189,0.608680,1.242204,0.000000,6.276196
0.020000,1.819803,5.234263,0.161611,0.633524,1.242204,0.000000,6.276107
0.020000,1.832721,5.234171,0.174530,0.658368,1.242204,0.000000,6.276097
0.020000,1.846137,5.234076,0.187945,0.683212,1.242204,-0.000000,6.276175
0.020000,1.860049,5.233980,0.201858,0.708056,1.242204,0.000000,6.276352
0.020000,1.874459,5.233883,0.216268,0.732900,1.242204,0.000000,6.276638
0.020000,1.889365,5.233789,0.231174,0.757745,1.242204,-0.000000,6.277043
0.020000,1.904768,5.233698,0.246578,0.782589,1.242204,0.000000,6.277579
0.020000,1.920668,5.233614,0.262478,0.807433,1.242204,-0.000000,6.278259
0.020000,1.937065,5.233540,0.278875,0.832277,1.242204,0.000000,6.279093
0.020000,1.953959,5.233479,0.295769,0.857121,1.242204,-0.000000,6.280095
0.020000,1.971349,5.233436,0.313160,0.881965,1.242204,0.000000,6.281277
0.020000,1.989237,5.233413,0.331047,0.906809,1.242204,-0.000000,6.282653
0.020000,2.007622,5.233418,0.349432,0.931653,1.242204,0.000000,0.001052
0.020000,2.026503,5.233455,0.368314,0.956497,1.242204,-0.000000,0.002859
0.020000,2.045881,5.233530,0.387692,0.981341,1.242204,0.000000,0.004904
0.020000,2.065756,5.233650,0.407567,1.006185,1.242204,0.000000,0.007202
0.020000,2.086128,5.233822,0.427939,1.031029,1.242204,-0.000000,0.009770
0.020000,2.106995,5.234055,0.448808,1.055874,1.242204,0.000000,0.012624
0.020000,2.128359,5.234358,0.470174,1.080718,1.242204,0.000000,0.015781
0.020000,2.150219,5.234741,0.492037,1.105562,1.242204,0.000000,0.019261
0.020000,2.172573,5.235214,0.514397,1.130406,1.242204,-0.000000,0.023080
0.020000,2.195423,5.235788,0.537253,1.155250,1.242204,-0.000000,0.027260
0.020000,2.218766,5.236478,0.560607,1.180094,1.242204,0.000000,0.031819
0.020000,2.242602,5.237295,0.584457,1.204938,1.242204,-0.000000,0.036778
0.020000,2.266930,5.238255,0.608804,1.229782,1.242204,0.000000,0.042160
0.020000,2.291749,5.239374,0.633648,1.254626,1.242204,0.000000,0.047985
0.020000,2.317057,5.240668,0.658989,1.279470,1.242204,0.000000,0.054278
0.020000,2.342852,5.242156,0.684827,1.304314,1.242204,0.000000,0.061061
0.020000,2.369132,5.243858,0.711162,1.329158,1.242204,-0.000000,0.068358
0.020000,2.395893,5.245795,0.737993,1.354003,1.242204,-0.000000,0.076194
0.020000,2.423133,5.247989,0.765322,1.378847,1.242204,0.000000,0.084595
0.020000,2.450848,5.250464,0.793147,1.403691,1.242204,-0.000000,0.093586
0.020000,2.479034,5.253245,0.821470,1.428535,1.242204,0.000000,0.103193
0.020000,2.507684,5.256359,0.850289,1.453379,1.242204,0.000000,0.113442
0.020000,2.536793,5.259835,0.879605,1.478223,1.242204,-0.000000,0.124359
0.020000,2.566354,5.263704,0.909418,1.503067,1.242204,0.000000,0.135970
0.020000,2.596358,5.267996,0.939727,1.527911,1.242204,-0.000000,0.148300
0.020000,2.626796,5.272745,0.970534,1.552755,1.242204,0.000000,0.161373
0.020000,2.657657,5.277987,1.001838,1.577599,1.242204,0.000000,0.175213
0.020000,2.688929,5.283758,1.033638,1.602443,1.242204,-0.000000,0.189841
0.020000,2.720598,5.290095,1.065935,1.627287,1.242204,0.000000,0.205275
0.020000,2.752649,5.297039,1.098730,1.652132,1.242204,0.000000,0.221532
0.020000,2.785062,5.304630,1.132021,1.676976,1.242204,-0.000000,0.238624
0.020000,2.817820,5.312908,1.165809,1.701820,1.242204,0.000000,0.256560
0.020000,2.850899,5.321918,1.200093,1.726664,1.242204,-0.000000,0.275343
0.020000,2.884276,5.331700,1.234875,1.751508,1.242204,0.000000,0.294972
0.020000,2.917925,5.342299,1.270154,1.776352,1.242204,0.000000,0.315438
0.020000,2.951815,5.353758,1.305929,1.801196,1.242204,-0.000000,0.336726
0.020000,2.985915,5.366118,1.342202,1.826040,1.242204,0.000000,0.358811
0.020000,3.020193,5.379421,1.378971,1.850884,1.242204,0.000000,0.381664
0.020000,3.054611,5.393706,1.416237,1.875728,1.242204,-0.000000,0.405244
0.020000,3.089132,5.409013,1.454000,1.900572,1.242204,0.000000,0.429502
0.020000,3.123716,5.425375,1.492260,1.925416,1.242204,-0.000000,0.454381
0.020000,3.158320,5.442826,1.531017,1.950261,1.242204,0.000000,0.479816
0.020000,3.192903,5.461395,1.570270,1.975105,1.242204,0.000000,0.505734
0.020000,3.227420,5.481108,1.610021,1.999949,1.242204,-0.000000,0.532055
0.020000,3.261827,5.501985,1.650268,2.024793,1.242204,0.000000,0.558694
0.020000,3.296082,5.524045,1.691013,2.049637,1.242204,0.000000,0.585561
0.020000,3.330140,5.547299,1.732254,2.074481,1.242204,0.000000,0.612565
0.020000,3.363960,5.571757,1.773992,2.099325,1.242204,0.000000,0.639614
0.020000,3.395826,5.596095,1.816227,2.124169,1.242204,-0.000000,0.661729
0.020000,3.429577,5.622303,1.858959,2.149013,1.242204,0.000000,0.658707
0.020000,3.463806,5.648705,1.902187,2.173857,1.242204,0.000000,0.655268
0.020000,3.498526,5.675284,1.945913,2.198701,1.242204,0.000000,0.651397
0.020000,3.533750,5.702021,1.990135,2.223545,1.242204,0.000000,0.647076
0.020000,3.569493,5.728897,2.034855,2.248390,1.242204,-0.000000,0.642289
0.020000,3.605769,5.755888,2.080071,2.273234,1.242204,0.000000,0.637017
0.020000,3.642594,5.782973,2.125784,2.298078,1.242204,0.000000,0.631241
0.020000,3.679984,5.810128,2.171994,2.322922,1.242204,0.000000,0.624943
0.020000,3.717955,5.837326,2.218701,2.347766,1.242204,0.000000,0.618102
0.020000,3.756525,5.864539,2.265905,2.372610,1.242204,0.000000,0.610698
0.020000,3.795711,5.891737,2.313605,2.397454,1.242204,0.000000,0.602709
0.020000,3.835532,5.918890,2.361803,2.422298,1.242204,0.000000,0.594115
0.020000,3.876007,5.945963,2.410497,2.447142,1.242204,0.000000,0.584893
0.020000,3.917153,5.972921,2.459688,2.471986,1.242204,0.000000,0.575021
0.020000,3.958991,5.999726,2.509377,2.496830,1.242204,0.000000,0.564478
0.020000,4.001539,6.026337,2.559562,2.521674,1.242204,-0.000000,0.553242
0.020000,4.044817,6.052712,2.610244,2.546519,1.242204,0.000000,0.541291
0.020000,4.088845,6.078805,2.661422,2.571363,1.242204,0.000000,0.528604
0.020000,4.133640,6.104568,2.713098,2.596207,1.242204,0.000000,0.515161
0.020000,4.179221,6.129951,2.765271,2.621051,1.242204,0.000000,0.500944
0.020000,4.225605,6.154901,2.817940,2.645895,1.242204,-0.000000,0.485936
0.020000,4.272810,6.179361,2.871106,2.670739,1.242204,0.000000,0.470124
0.020000,4.320850,6.203274,2.924770,2.695583,1.242204,0.000000,0.453494
0.020000,4.369739,6.226579,2.978930,2.720427,1.242204,-0.000000,0.436040
0.020000,4.419489,6.249212,3.033587,2.745271,1.242204,0.000000,0.417758
0.020000,4.470109,6.271108,3.088741,2.770115,1.242204,-0.000000,0.398649
0.020000,4.521607,6.292201,3.144391,2.794959,1.242204,0.000000,0.378718
0.020000,4.573793,6.312348,3.200332,2.799145,0.209264,-51.647031,0.358056
0.020000,4.626234,6.331342,3.256109,2.778486,-1.032941,-62.110208,0.336863
0.020000,4.678638,6.349066,3.311430,2.753642,-1.242204,-10.463177,0.315298
0.020000,4.730941,6.365498,3.366254,2.728798,-1.242204,0.000000,0.293436
0.020000,4.783115,6.380637,3.420582,2.703954,-1.242204,0.000000,0.271335
0.020000,4.835132,6.394488,3.474413,2.679109,-1.242204,0.000000,0.249057
0.020000,4.886963,6.407055,3.527746,2.654265,-1.242204,0.000000,0.226662
0.020000,4.938577,6.418351,3.580583,2.629421,-1.242204,0.000000,0.204212
0.020000,4.989944,6.428390,3.632923,2.604577,-1.242204,0.000000,0.181767
0.020000,5.041034,6.437191,3.684766,2.579733,-1.242204,0.000000,0.159387
0.020000,5.091816,6.444776,3.736112,2.554889,-1.242204,-0.000000,0.137127
0.020000,5.142260,6.451170,3.786962,2.530045,-1.242204,0.000000,0.115040
0.020000,5.192339,6.456402,3.837314,2.505201,-1.242204,0.000000,0.093177
0.020000,5.242025,6.460504,3.887170,2.480357,-1.242204,0.000000,0.071584
0.020000,5.287820,6.463334,3.936529,2.455513,-1.242204,-0.000000,0.052093
0.020000,5.336636,6.465409,3.985390,2.430669,-1.242204,0.000000,0.032680
0.020000,5.384989,6.466499,4.033755,2.405825,-1.242204,0.000000,0.012173
0.020000,5.432856,6.466569,4.081623,2.380980,-1.242204,0.000000,6.273684
0.020000,5.480215,6.465582,4.128995,2.356136,-1.242204,0.000000,6.250766
0.020000,5.527042,6.463501,4.175869,2.331292,-1.242204,0.000000,6.226527
0.020000,5.573307,6.460288,4.222246,2.306448,-1.242204,0.000000,6.200889
0.020000,5.618976,6.455904,4.268127,2.281604,-1.242204,0.000000,6.173774
0.020000,5.664012,6.450310,4.313510,2.256760,-1.242204,0.000000,6.145110
0.020000,5.708372,6.443467,4.358397,2.231916,-1.242204,0.000000,6.114832
0.020000,5.752010,6.435339,4.402787,2.207072,-1.242204,0.000000,6.082885
0.020000,5.794872,6.425891,4.446680,2.182228,-1.242204,0.000000,6.049231
0.020000,5.836901,6.415094,4.490076,2.157384,-1.242204,-0.000000,6.013851
0.020000,5.878034,6.402922,4.532975,2.132540,-1.242204,0.000000,5.976756
0.020000,5.918206,6.389357,4.575378,2.107696,-1.242204,0.000000,5.937987
0.020000,5.957345,6.374392,4.617283,2.082851,-1.242204,0.000000,5.897625
0.020000,5.995379,6.358027,4.658692,2.058007,-1.242204,-0.000000,5.855795
0.020000,6.032236,6.340277,4.699603,2.033163,-1.242204,-0.000000,5.812664
0.020000,6.067845,6.321170,4.740018,2.008319,-1.242204,0.000000,5.768449
0.020000,6.102138,6.300746,4.779936,1.983475,-1.242204,0.000000,5.723407
0.020000,6.135056,6.279062,4.819357,1.958631,-1.242204,0.000000,5.677832
0.020000,6.166546,6.256189,4.858281,1.933787,-1.242204,0.000000,5.632043
0.020000,6.196569,6.232209,4.896709,1.908943,-1.242204,-0.000000,5.586369
0.020000,6.225097,6.207217,4.934639,1.884099,-1.242204,0.000000,5.541141
0.020000,6.252117,6.181314,4.972073,1.859255,-1.242204,-0.000000,5.496669
0.020000,6.277628,6.154607,5.009009,1.834411,-1.242204,0.000000,5.453240
0.020000,6.301646,6.127206,5.045449,1.809567,-1.242204,-0.000000,5.411097
0.020000,6.324198,6.099222,5.081392,1.784722,-1.242204,0.000000,5.370442
0.020000,6.345321,6.070760,5.116838,1.759878,-1.242204,0.000000,5.331430
0.020000,6.365062,6.041922,5.151787,1.735034,-1.242204,0.000000,5.294168
0.020000,6.383477,6.012807,5.186239,1.710190,-1.242204,-0.000000,5.258723
0.020000,6.400624,5.983501,5.220195,1.685346,-1.242204,0.000000,5.225121
0.020000,6.416569,5.954088,5.253653,1.660502,-1.242204,-0.000000,5.193359
0.020000,6.431375,5.924640,5.286615,1.635658,-1.242204,0.000000,5.163405
0.020000,6.445109,5.895225,5.319080,1.610814,-1.242204,-0.000000,5.135211
0.020000,6.457835,5.865900,5.351047,1.585970,-1.242204,0.000000,5.108712
0.020000,6.469619,5.836720,5.382518,1.561126,-1.242204,0.000000,5.083834
0.020000,6.480521,5.807728,5.413492,1.536282,-1.242204,0.000000,5.060496
0.020000,6.490600,5.778967,5.443970,1.511438,-1.242204,-0.000000,5.038614
0.020000,6.499914,5.750470,5.473950,1.486593,-1.242204,0.000000,5.018105
0.020000,6.508515,5.722270,5.503433,1.461749,-1.242204,-0.000000,4.998884
0.020000,6.516453,5.694392,5.532420,1.436905,-1.242204,0.000000,4.980872
0.020000,6.523777,5.666860,5.560910,1.412061,-1.242204,0.000000,4.963990
0.020000,6.530529,5.639694,5.588902,1.387217,-1.242204,-0.000000,4.948165
0.020000,6.536752,5.612912,5.616398,1.362373,-1.242204,0.000000,4.933325
0.020000,6.542484,5.586528,5.643397,1.337529,-1.242204,0.000000,4.919406
0.020000,6.547760,5.560557,5.669899,1.312685,-1.242204,0.000000,4.906346
0.020000,6.552615,5.535009,5.695905,1.287841,-1.242204,0.000000,4.894087
0.020000,6.557079,5.509894,5.721413,1.262997,-1.242204,-0.000000,4.882576
