dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660051,4.879400,0.000129,0.012893,0.644635,32.231731,0.000143
0.020000,1.660035,4.879400,0.000145,0.000784,-0.605446,-62.504015,0.000099
0.020000,1.660004,4.879400,0.000176,0.001560,0.038828,32.213695,0.000011
0.020000,1.661375,4.879400,0.001547,0.068543,3.349137,165.515459,6.283066
0.020000,1.663376,4.879400,0.003548,0.100079,1.576787,-88.617519,6.282893
0.020000,1.665879,4.879399,0.006051,0.125152,1.253677,-16.155486,6.282681
0.020000,1.668885,4.879397,0.009057,0.150263,1.255523,0.092275,6.282431
0.020000,1.672393,4.879393,0.012565,0.175416,1.257655,0.106627,6.282145
0.020000,1.676405,4.879389,0.016577,0.200620,1.260180,0.126231,6.281827
0.020000,1.680923,4.879382,0.021095,0.225881,1.263092,0.145619,6.281479
0.020000,1.685947,4.879372,0.026119,0.251207,1.266295,0.160140,6.281105
0.020000,1.691479,4.879360,0.031651,0.276606,1.269917,0.181078,6.280709
0.020000,1.697521,4.879343,0.037693,0.302082,1.273840,0.196175,6.280296
0.020000,1.704074,4.879323,0.044246,0.327646,1.278174,0.216676,6.279871
0.020000,1.711140,4.879298,0.051312,0.353302,1.282802,0.231404,6.279438
0.020000,1.718721,4.879268,0.058893,0.379058,1.287810,0.250392,6.279004
0.020000,1.726819,4.879232,0.066991,0.404922,1.293189,0.268992,6.278574
0.020000,1.735437,4.879191,0.075609,0.430899,1.298875,0.284264,6.278155
0.020000,1.744577,4.879143,0.084749,0.456998,1.304949,0.303731,6.277753
0.020000,1.754241,4.879089,0.094414,0.483225,1.311345,0.319784,6.277377
0.020000,1.764433,4.879028,0.104606,0.509588,1.318120,0.338728,6.277032
0.020000,1.775154,4.878960,0.115327,0.536092,1.325215,0.354788,6.276729
0.020000,1.786409,4.878886,0.126582,0.562746,1.332683,0.373402,6.276474
0.020000,1.798200,4.878805,0.138373,0.589556,1.340510,0.391326,6.276276
0.020000,1.810530,4.878719,0.150704,0.616529,1.348681,0.408568,6.276146
0.020000,1.823403,4.878628,0.163578,0.643674,1.357222,0.427015,6.276092
0.020000,1.836823,4.878533,0.176997,0.670996,1.366124,0.445111,6.276124
0.020000,1.850793,4.878435,0.190968,0.698504,1.375397,0.463667,6.276253
0.020000,1.865317,4.878336,0.205492,0.726205,1.385049,0.482610,6.276491
0.020000,1.880398,4.878238,0.220574,0.754107,1.395084,0.501724,6.276847
0.020000,1.896042,4.878142,0.236218,0.782217,1.405511,0.521344,6.277333
0.020000,1.912253,4.878052,0.252429,0.810544,1.416337,0.541324,6.277963
0.020000,1.929035,4.877971,0.269211,0.839095,1.427574,0.561847,6.278748
0.020000,1.946392,4.877902,0.286569,0.867880,1.439236,0.583079,6.279702
0.020000,1.964330,4.877850,0.304507,0.896907,1.451351,0.605762,6.280839
0.020000,1.982854,4.877818,0.323030,0.926185,1.463892,0.627041,6.282172
0.020000,2.001968,4.877813,0.342145,0.955723,1.476908,0.650809,0.000530
0.020000,2.021679,4.877841,0.361855,0.985532,1.490438,0.676507,0.002300
0.020000,2.041991,4.877908,0.382168,1.015620,1.504417,0.698930,0.004312
0.020000,2.062911,4.878021,0.403088,1.045999,1.518950,0.726680,0.006583
0.020000,2.084444,4.878190,0.424621,1.076680,1.534012,0.753086,0.009129
