dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.475000,3.000000,0.000963,0.096316,4.815789,240.789474,6.282157
0.020000,1.476160,3.000000,0.004816,0.288947,9.631579,240.789474,0.000442
0.020000,1.483865,3.000015,0.012521,0.481579,9.631579,0.000000,0.003378
0.020000,1.495423,3.000079,0.024079,0.674211,9.631579,0.000000,0.007770
0.020000,1.510832,3.000244,0.039489,0.866842,9.631579,-0.000000,0.013603
0.020000,1.530092,3.000576,0.058753,1.059474,9.631579,0.000000,0.020857
0.020000,1.553201,3.001158,0.081868,1.252105,9.631579,0.000000,0.029505
0.020000,1.580153,3.002089,0.108837,1.444737,9.631579,0.000000,0.039509
0.020000,1.610943,3.003481,0.139658,1.637368,9.631579,-0.000000,0.050824
0.020000,1.645559,3.005460,0.174332,1.830000,9.631579,0.000000,0.063392
0.020000,1.683990,3.008166,0.212858,2.022632,9.631579,0.000000,0.077145
0.020000,1.726217,3.011747,0.255237,2.215263,9.631579,-0.000000,0.091999
0.020000,1.772218,3.016360,0.301468,2.407895,9.631579,0.000000,0.107855
0.020000,1.821963,3.022170,0.351553,2.600526,9.631579,0.000000,0.124597
0.020000,1.875420,3.029343,0.405489,2.793158,9.631579,0.000000,0.142093
0.020000,1.932549,3.038048,0.463279,2.985789,9.631579,-0.000000,0.160194
0.020000,1.993307,3.048448,0.524921,3.178421,9.631579,0.000000,0.178733
0.020000,2.057644,3.060702,0.590416,3.371053,9.631579,-0.000000,0.197530
0.020000,2.125509,3.074958,0.659763,3.563684,9.631579,0.000000,0.216387
0.020000,2.195913,3.091125,0.732000,3.660000,4.815789,-240.789474,0.234858
0.020000,2.266949,3.108788,0.805200,3.660000,0.000000,-240.789474,0.252333
0.020000,2.337678,3.127644,0.878400,3.660000,0.000000,0.000000,0.268541
0.020000,2.408104,3.147600,0.951600,3.660000,0.000000,0.000000,0.283474
0.020000,2.478239,3.168560,1.024800,3.660000,0.000000,0.000000,0.297128
