dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660139,5.590600,0.000124,0.012402,0.620087,31.004346,0.000082
0.020000,1.660323,5.590600,0.000307,0.009168,-0.161683,-39.088490,6.283152
0.020000,1.661396,5.590600,0.001381,0.053685,2.225866,119.377427,6.282923
0.020000,1.663006,5.590599,0.002991,0.080478,1.339652,-44.310700,6.282582
0.020000,1.665150,5.590597,0.005135,0.107212,1.336672,-0.148997,6.282132
0.020000,1.667827,5.590594,0.007812,0.133866,1.332698,-0.198672,6.281578
0.020000,1.671036,5.590588,0.011021,0.160420,1.327731,-0.248353,6.280925
0.020000,1.674773,5.590578,0.014758,0.186856,1.321770,-0.298040,6.280181
0.020000,1.679036,5.590563,0.019021,0.213152,1.314816,-0.347717,6.279353
0.020000,1.683822,5.590543,0.023807,0.239290,1.306868,-0.397403,6.278450
0.020000,1.689127,5.590515,0.029112,0.265248,1.297926,-0.447093,6.277482
0.020000,1.694947,5.590479,0.034932,0.291008,1.287992,-0.496724,6.276460
0.020000,1.701277,5.590433,0.041263,0.316549,1.277064,-0.546386,6.275397
0.020000,1.708114,5.590376,0.048100,0.341852,1.265144,-0.595984,6.274305
0.020000,1.715452,5.590307,0.055438,0.366897,1.252233,-0.645565,6.273200
0.020000,1.723285,5.590224,0.063271,0.391663,1.238331,-0.695098,6.272097
0.020000,1.731607,5.590127,0.071594,0.416132,1.223439,-0.744611,6.271013
0.020000,1.740412,5.590015,0.080399,0.440283,1.207558,-0.794051,6.269965
0.020000,1.749693,5.589888,0.089681,0.464097,1.190688,-0.843511,6.268974
0.020000,1.759443,5.589745,0.099432,0.487554,1.172829,-0.892912,6.268057
0.020000,1.769654,5.589586,0.109645,0.510633,1.153983,-0.942328,6.267238
0.020000,1.780319,5.589412,0.120311,0.533316,1.134147,-0.991775,6.266538
0.020000,1.791429,5.589224,0.131423,0.555583,1.113322,-1.041267,6.265981
0.020000,1.802976,5.589023,0.142971,0.577413,1.091505,-1.090840,6.265591
0.020000,1.814950,5.588810,0.154947,0.598787,1.068695,-1.140528,6.265394
0.020000,1.827341,5.588590,0.167341,0.619684,1.044887,-1.190371,6.265417
0.020000,1.840141,5.588364,0.180142,0.640086,1.020079,-1.240384,6.265687
0.020000,1.853338,5.588136,0.193342,0.659971,0.994268,-1.290583,6.266234
